//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klik
CaptainChurchill,Kaptajn Churchill
Gwendolin,Gwendolin
Benjamin,Benjamin
PatFusty,Pat Fusty
Ezili,Ezili
ObynGreenfoot,Obyn Grønfod
,
//Hero Short Descriptions,
Quincy Short Description,Bueskytte
StrikerJones Short Description,Artillerikommandør
CaptainChurchill Short Description,Kampvogn
Gwendolin Short Description,Pyromanisk
Benjamin Short Description,Kode-abe
PatFusty Short Description,Kæmpeabe
Ezili Short Description,Voodoo-abe
ObynGreenfoot Short Description,Skovvogter
,
//Hero Description,
Quincy Description,"Quincy er stolt, stærk og intelligent og bruger sin bue med fantastisk behændighed."
StrikerJones Description,"Angriber-Jones er en stærk leder, som bruger sin viden om langdistancekamp til at øge sprængstoffers sprængevne eksplosivt."
CaptainChurchill Description,"Kaptajnen, der patruljerer i sin pansrede kampvogn, udgør en magtfuld tilstedeværelse på slagmarken."
Gwendolin Description,"Gwendolin er af den faste overbevisning, at der ikke findes et bloon-problem, som ikke kan løses med ild. Masser af ild."
Benjamin Description,Benjamin bruger sine elite hacking-kundskaber til at generere ekstra penge til sagen.
PatFusty Description,Pat er en enorm abe med kolonorm styrke. Hans unikke størrelse og kraft er i sandhed et aktiv i krigen mod bloons'ene.
Ezili Description,Ezili er udøver af mørkets kunst og en manipulator af bloons. Pas på! 
ObynGreenfoot Description,Obyn behersker naturens kræfter og kan skyde gennem solide objekter med sit ulveånds-angreb.
,
//Hero Level Descriptions,
Quincy Level 1 Description,Quincys pile hopper rundt til op til 3 forskellige mål.
Quincy Level 2 Description,Grundangreb hopper rundt til op til 4 mål.
Quincy Level 3 Description,Hurtigskud: kortvarigt tredobbelt angrebshastighed.
Quincy Level 4 Description,Lidt større rækkevidde.
Quincy Level 5 Description,Bruger sit skarpe syn til at nedskyde camo-bloons.
Quincy Level 6 Description,Affyrer 2 pile ad gangen.
Quincy Level 7 Description,Affyrer eksploderende pile for hvert tredje skud.
Quincy Level 8 Description,Pile gør tredobbelt skade mod MOAB-klasse-bloons.
Quincy Level 9 Description,Grundangreb hopper rundt til op til 6 mål.
Quincy Level 10 Description,Pilestorm: dækker et stort område med en dødbringende pileregn.
Quincy Level 11 Description,Øget angrebshastighed
Quincy Level 12 Description,Hver pil får øget springkraft.
Quincy Level 13 Description,Lille forøgelse af rækkevidde.
Quincy Level 14 Description,Pile gør firedobbelt skade mod MOAB-klasse-bloons.
Quincy Level 15 Description,"Hurtigskud øges til 4x angrebshastighed, og nedkølingen reduceres."
Quincy Level 16 Description,Yderligere øget angrebshastighed
Quincy Level 17 Description,Pile varer 25 % længere.
Quincy Level 18 Description,"Quincy angriber hurtigere og Pilestorm har reduceret nedkøling, og 50% flere pile."
Quincy Level 19 Description,Hver pil får yderligere øget springkraft.
Quincy Level 20 Description,Quincy angriber endnu hurtigere. Pilestorm gør mere skade pr. pil og affyrer endnu flere pile.
,
StrikerJones Level 1 Description,Angriber-Jones affyrer en kraftig bazooka for at eksplodere Bloons.
StrikerJones Level 2 Description,Øget sprængradius.
StrikerJones Level 3 Description,"Chok-granat: affyrer en lammende, målsøgende granat mod den største bloon på skærmen."
StrikerJones Level 4 Description,Alle bombekanoner og morter-aber på skærmen skyder 10 % hurtigere
StrikerJones Level 5 Description,Gør alle sorte bloons mindre modstandsdygtige overfor eksplosionsskade fra alle aber.
StrikerJones Level 6 Description,Jones' normale angreb får kraftig øget sprængradius og springkraft.
StrikerJones Level 7 Description,"Springer 2 lag pr. skud, og morter-abers sprængradius øget med 10 %."
StrikerJones Level 8 Description,Bombekanoner i nærheden af helten får +5 % rækkevidde og +25 % springkraft.
StrikerJones Level 9 Description,"Øget angrebshastighed og øget Chok-granat springkraft, skade og lammeevne."
StrikerJones Level 10 Description,Artillerikommando: nulstiller nedkølingen på alle bombekanoner og Morter-aber.
StrikerJones Level 11 Description,Øget angrebshastighed.
StrikerJones Level 12 Description,Let øget angrebsrækkevidde og ekstra springkraft.
StrikerJones Level 13 Description,Øget angrebshastighed.
StrikerJones Level 14 Description,Effekten fra chok-granater dækker et større område og varer i længere tid.
StrikerJones Level 15 Description,Chok-granats nedkøling reduceret til 11 sekunder.
StrikerJones Level 16 Description,Øget angrebshastighed.
StrikerJones Level 17 Description,Øger rækkevidde og springer 4 lag pr. skud.
StrikerJones Level 18 Description,Alle bombekanoner og morter-aber angriber ekstra 10 % hurtigere.
StrikerJones Level 19 Description,Giver øget angrebshastighed og gør alle sorte bloons sårbare overfor eksplosiv skade.
StrikerJones Level 20 Description,"Artillerikommando gør også, at alle bombekanoner og morter-aber gør dobbelt skade og sprænger dobbelt så meget pr. skud i 10 sekunder."
,
CaptainChurchill Level 1 Description,Springende bomber affyret fra kampvogn kan eksplodere op til 3 gange.
CaptainChurchill Level 2 Description,Øget springkraft pr. skud.
CaptainChurchill Level 3 Description,Panserbrydende granater: Skuddene kan springe sorte bloons og gøre ekstra skade på keramiske bloons. Varighed stiger efterhånden som Churchill opgraderes.
CaptainChurchill Level 4 Description,Øget angrebsrækkevidde.
CaptainChurchill Level 5 Description,Udstyrer kampvognen med et hurtigskydende maskingeværsangreb.
CaptainChurchill Level 6 Description,Kikkert der giver Churchill evnen til at springe camo-bloons.
CaptainChurchill Level 7 Description,Granater gør mere skade og kan eksplodere 4 gange i stedet for 3.
CaptainChurchill Level 8 Description,Øget angrebshastighed.
CaptainChurchill Level 9 Description,Granater kan eksplodere 5 gange.
CaptainChurchill Level 10 Description,"MOAB-spærreild: affyrer en byge af granater mod op til 10 MOAB-klasse-bloons på skærmen, som gør enorm skade hver gang."
CaptainChurchill Level 11 Description,Øget springkraft pr. granat.
CaptainChurchill Level 12 Description,Granater gør endnu mere skade og kan eksplodere 6 gange.
CaptainChurchill Level 13 Description,Panserbrydende granater springer 2 bloons-lag og gør ekstra skade mod keramiske bloons eller højere.
CaptainChurchill Level 14 Description,Maskingevær og hoved-kanon kan springe 1 ekstra lag for hvert skud.
CaptainChurchill Level 15 Description,Alle angreb gør ekstra skade mod forstærkede bloons.
CaptainChurchill Level 16 Description,Øget angrebshastighed.
CaptainChurchill Level 17 Description,Panserbrydende granater gør endnu mere skade.
CaptainChurchill Level 18 Description,Alle granater springer et ekstra bloon-lag.
CaptainChurchill Level 19 Description,Granater kan eksplodere 7 gange.
CaptainChurchill Level 20 Description,MOAB-spærreilds-granater og hoved-kanonen forårsager massive skader per træfning., 
,
Gwendolin Level 1 Description,Brænder Bloons med ild fra sin pyro-pistol.
Gwendolin Level 2 Description,Let øget springkraft pr. skud.
Gwendolin Level 3 Description,"Ild-cocktail: kaster en flaske med brandfarlig væske, der brænder forbipasserende bloons."
Gwendolin Level 4 Description,"Sæt varme på - med sekunders mellemrum genereres der en kraftfuld trykbølge af ild, som springer bloons og tilføjer ild til Monkey-angreb i nærheden."
Gwendolin Level 5 Description,Øget springkraft.
Gwendolin Level 6 Description,Angreb der brænder bloons.
Gwendolin Level 7 Description,"Sæt varme på får øget radius, Ild-cocktail er mere effektiv."
Gwendolin Level 8 Description,Affyrer 2 ildskud pr. skud.
Gwendolin Level 9 Description,Første træfning pr. bølge springer 1 ekstra lag.
Gwendolin Level 10 Description,"Ildstorm: Sætter hele skærmen i brand, brænder alle bloons og giver Sæt varme på-bonus til alle aber."
Gwendolin Level 11 Description,Øget angrebsrækkevidde.
Gwendolin Level 12 Description,Øget angrebshastighed.
Gwendolin Level 13 Description,"Stor forøgelse i springkraft, og projektiler bevæger sig hurtigere og varer længere."
Gwendolin Level 14 Description,Ild-cocktail gør ekstra skade og sætter ild i MOAB-klasse bloons.
Gwendolin Level 15 Description,Øget angrebshastighed.
Gwendolin Level 16 Description,Ildstorm varer i længere tid. Lilla bloons er ikke længere immune overfor Gwendolins angreb.
Gwendolin Level 17 Description,Sæt varme på gør at berørte aber kan springe 1 ekstra lag og gøre +2 skade på bly-bloons.
Gwendolin Level 18 Description,Øget angrebshastighed.
Gwendolin Level 19 Description,Affyrer 3 ildskud pr. skud.
Gwendolin Level 20 Description,Ildstorm gør kraftigt øget skade.
,
Benjamin Level 1 Description,Hacker ind $100 pr. runde.
Benjamin Level 2 Description,Genererer 150 $ pr. runde i stedet for 100 $.
Benjamin Level 3 Description,Biohack: De 4 nærmeste aber springer et ekstra lag pr. angreb i 6 sekunder. Aber påvirkede af effekten kan ikke angribe i 2 sekunder efter at effekten er forbi.
Benjamin Level 4 Description,"Skum fløden - tjener +1 $ for hver ny bloon, der kommer."
Benjamin Level 5 Description,Bank-hack - alle bankers indkomst øges med +5 %.
Benjamin Level 6 Description,Cybersikkerhed - gendanner 5 liv i slutningen af hver runde.
Benjamin Level 7 Description,Bloon Trojaner - Med få sekunders mellemrum sendes der en trojansk software virus til en tilfældig Bloon. Påvirkede bloons genererer ingen børn og producerer 1 gang ekstra penge for hvert lag.
Benjamin Level 8 Description,Indkomst øget til 250 $ pr. runde.
Benjamin Level 9 Description,Bank-hack øget til 12 %.
Benjamin Level 10 Description,Kanaliser finansiering: Nedgraderer de mest nyligt-gendannede bloons med 1 rang. Penge pr. spring fra bloons påvirkede af effekten giver dobbelt. Varer i 10 sekunder.
Benjamin Level 11 Description,Indkomst øget til 300 $ pr. runde.
Benjamin Level 12 Description,Skum fløden' øget til 2 $ pr. bloon.
Benjamin Level 13 Description,Biohack øger bonus-skade og påvirker 6 aber i 8 sekunder.
Benjamin Level 14 Description,Cybersikkerhed tilføjer 10 liv pr. runde og kan gå op til 100 liv over antal startliv.
Benjamin Level 15 Description,Indkomst øget til 500 $ pr. runde.
Benjamin Level 16 Description,Bloon-trojaner bliver sendt oftere og tjener flere penge.
Benjamin Level 17 Description,Indkomst øget til 800 $ pr. runde.
Benjamin Level 18 Description,Bloon-trojaner kan påvirke BFB og DDT bloons.
Benjamin Level 19 Description,Biohack varer i 9 sekunder og aber som er påvirkede af effekten springer 3 ekstra lag i stedet for 2.
Benjamin Level 20 Description,"Kanalisér finansiering' varer 20 sekunder, og berørte bloons giver tre gange så mange penge pr. springning."
,
PatFusty Level 1 Description,Pat slynger bloons til jorden.
PatFusty Level 2 Description,Øget radius af slagangreb.
PatFusty Level 3 Description,Samlingsskrig: Alle aber i nærheden kan springe +1 lag i en kort periode.
PatFusty Level 4 Description,Øget angrebshastighed.
PatFusty Level 5 Description,"Giver nogle gange et kraftigt klask, som skubber bloons væk fra udgangen."
PatFusty Level 6 Description,"Bloons, som Pat rammer, bliver kortvarigt lammet."
PatFusty Level 7 Description,Øget springkraft og skade.
PatFusty Level 8 Description,Øget angrebshastighed.
PatFusty Level 9 Description,Øget angrebsrækkevidde.
PatFusty Level 10 Description,"Kæmpeklem: Fanger en MOAB, BFB, DDT (Hvis synlig) eller ZOMG og smadrer den til atomer på 5 sekunder."
PatFusty Level 11 Description,Angreb springer flere lag.
PatFusty Level 12 Description,Øget angrebshastighed.
PatFusty Level 13 Description,Angreb lammer bloons i længere tid og kan meget kortvarigt lamme MOAB-klasse-bloons.
PatFusty Level 14 Description,Samlingsskrig får øget radius og varighed og samlede aber gør mere skade.
PatFusty Level 15 Description,Klaskeangreb kan påvirke flere bloons.
PatFusty Level 16 Description,Øget angrebs-rækkevidde og bonus-skade på keramiske bloons.
PatFusty Level 17 Description,Øget angrebshastighed.
PatFusty Level 18 Description,Øget springkraft.
PatFusty Level 19 Description,Angreb springer flere lag.
PatFusty Level 20 Description,Kæmpeklem kan fange flere store Bloons på en gang.
,
ObynGreenfoot Level 1 Description,Sender ulveånder for at angribe Bloons.
ObynGreenfoot Level 2 Description,Naturens vrede - alle druider indenfor rækkevidde får +1 springkraft.
ObynGreenfoot Level 3 Description,"Skaber en tornet busk på vejen, som kan springe 20 bloons."
ObynGreenfoot Level 4 Description,Hver 18. sekund skabes et totem som sinker alle bloons i nærheden med 30%. Mindre effektiv mod MOAB-klasse bloons
ObynGreenfoot Level 5 Description,Øget angrebshastighed. Junglens druider får øget rækkevidde.
ObynGreenfoot Level 6 Description,Øget springkraft og projektiler bevæger sig hurtigere.
ObynGreenfoot Level 7 Description,Tornebuske kan springe 100 bloons.
ObynGreenfoot Level 8 Description,Naturens Beskyttelse totemmer hæmmer bloons med 40 %.
ObynGreenfoot Level 9 Description,"Angreb springer ekstra lag. Stormens druider skaber større storme, som gør mere skade på MOABs."
ObynGreenfoot Level 10 Description,"Træmur: hidkalder en mur af træer på tværs af vejen, som smadrer alle bloons, der svæver ind. Når de er fulde, brister træerne i en regn af penge."
ObynGreenfoot Level 11 Description,"Naturens klarhed - alle magiske aber indenfor rækkevidde får +5 springkraft, og druider får yderligere +1 springkraft."
ObynGreenfoot Level 12 Description,Øget angrebshastighed og Magi-abers nedkølingstid reduceret med 5%.
ObynGreenfoot Level 13 Description,Endnu mere springkraft og projektil-fart.
ObynGreenfoot Level 14 Description,Flere lag springes ved angreb.
ObynGreenfoot Level 15 Description,Naturens beskyttelse hæmmer bloons med 60 % og har reduceret nedkøling.
ObynGreenfoot Level 16 Description,Tornebusk springer 500 bloons hver og kan skade alle bloons-typer.
ObynGreenfoot Level 17 Description,Øget angrebshastighed.
ObynGreenfoot Level 18 Description,Øget vrede - al springkraft for Vredens druide starter runden på 200.
ObynGreenfoot Level 19 Description,Flere lag springes ved angreb.
ObynGreenfoot Level 20 Description,Træmur kan holde mange flere bloons.
,
Ezili Level 1 Description,Ezili forbander bloons med sort voodoo-magi.
Ezili Level 2 Description,Øget angrebsrækkevidde.
Ezili Level 3 Description,Hjertestopper: forhindrer al regenerering af lag i 6 sekunder.
Ezili Level 4 Description,Ezilis hovedangreb kan nu forhekse flere bloons.
Ezili Level 5 Description,Øget angrebshastighed.
Ezili Level 6 Description,Skade over tid varer længere og skader hurtigere.
Ezili Level 7 Description,"Offertotem: et totem som giver aber i nærheden mulighed for at se camo-bloons og giver dem ekstra springkraft, angrebsrækkevidde, angrebshastighed og øget projektilhastighed. Dræner 10 liv."
Ezili Level 8 Description,Ezilis angreb gør meget mere skade mod MOAB-klasse-bloons.  
Ezili Level 9 Description,"Ezilis angreb fjerner camo, regenerering og forstærkninger fra ikke-MOAB Bloons."
Ezili Level 10 Description,"MOAB-forbandelse: lægger en forbandelse på en MOAB-klasse-bloon, der så tager skade hvert sekund, indtil den springer."
Ezili Level 11 Description,Øget angrebsrækkevidde. Øger springningen af genoplivne bloons med 50%.
Ezili Level 12 Description,Reduceret nedkøling og øget varighed for Hjertestopper. Gør øget skade på MOABs.
Ezili Level 13 Description,Grundangreb får øget skaderadius og øget springkraft.
Ezili Level 14 Description,Hurtigere skade over tid.
Ezili Level 15 Description,Øget rækkevidde. Skade over tid varer længere.
Ezili Level 16 Description,"Offer-totem varer længere, og koster kun 1 liv at bruge."
Ezili Level 17 Description,Grundangreb får øget skaderadius og øget springkraft.
Ezili Level 18 Description,Øget angrebshastighed.
Ezili Level 19 Description,Hvert skadetik fra grundangreb springer 3 lag!
Ezili Level 20 Description,MOAB Hex virker hurtigere og kan ødelægge BAD bloons.
,
//Hero Ability Names,
Rapid Shot Ability,Hurtigskud
Storm of Arrows Ability,Pilestorm 
Concussive Shell Ability,Chok-granat
Artillery Command Ability,Artillerikommando
Armor Piercing Shells Ability,Panserbrydende granater
MOAB Barrage Ability,MOAB-spærreild
Cocktail of Fire Ability,Ild-cocktail
Firestorm Ability,Ildstorm
Biohack Ability,Biohack
Syphon Funding Ability,Kanalisér finansiering
Rallying Roar Ability,Samlingsskrig
Big Squeeze Ability,Kæmpeklem
Brambles Ability,Tornebuske
Wall of Trees Ability,Træmur
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,Kortvarigt tredobbelt angrebshastighed.
Storm of Arrows Ability Description,Dækker et stort område med en dødbringende pileregn.
Concussive Shell Ability Description,"Affyrer en lammende, målsøgende granat mod den største bloon på skærmen."
Artillery Command Ability Description,Nulstiller nedkølingen på alle bombekanoner og morter-aber.
Armor Piercing Shells Ability Description,Skuddene kan springe sorte bloons og gøre ekstra skade på keramiske bloons. Varigheden øges efterhånden som Churchill opgraderes.
MOAB Barrage Ability Description,"Affyrer en byge af granater mod op til 10 MOAB-klasse-bloons på skærmen, med enorm skadevirkning."
Cocktail of Fire Ability Description,"Kaster en flaske med brandfarlig væske, der brænder forbipasserende bloons."
Firestorm Ability Description,"Sætter hele skærmen i brand, brænder alle bloons og giver Sæt varme på-bonus til alle aber."
Biohack Ability Description,De 4 nærmeste aber springer et ekstra lag pr. angreb i 6 sekunder.  Aber påvirkede af effekten  kan ikke angribe i 2 sekunder efter effekten ender. 
Syphon Funding Ability Description,Nedgraderer de fleste nyligt gendannede bloons med 1 grad. Penge pr. spring fra de påvirkede aber er fordoblet. Varer i 10 sekunder.
Rallying Roar Ability Description,Alle aber i nærheden kan springe +1 lag i en kort periode.
Big Squeeze Ability Description,"Griber fast i en MOAB, BFB, DDT (hvis synlig), eller ZOMG og knuser den i småstykker i løbet af 5 sekunder."
Brambles Ability Description,"Skaber en tornebusk på vejen, som kan springe 50 bloons."
Wall of Trees Ability Description,"Hidkalder en mur af træer på tværs af vejen, som smadrer alle bloons, der svæver ind. Når de er fyldt, brister træerne i en regn af penge."
Heartstopper Ability Description,Forhindrer regenerering i 6 sekunder.
Sacrificial Totem Ability Description,"Et totem, der giver alle aber i nærheden mulighed for at opdager camo, samt ekstra springkraft, angrebsrækkevidde og -hastighed og projektilhastighed. Dræner 10 liv."
MOAB Hex Ability Description,"Lægger en forbandelse på en MOAB-klasse-bloon, så den tager skade hvert sekundt, indtil den springer."
,
//Hero Misc,
Level,Niveau
,
//Upgrade Names,
Sharp Shots,Skarpe Skud
Quick Shots,Hurtige Skud
Long Range Darts,Langtrækkende Dartpile
Razor Sharp Shots,Knivskarpe Skud
Very Quick Shots,Meget hurtige Skud
Enhanced Eyesight,Forbedret Syn
Spike-o-pult,Søm-o-pult!
Triple Shot,Tredobbelt Skud
Crossbow,Armbrøst
Juggernaut,Kæmpepult
Super Monkey Fan Club,Superabe-fanklub
Sharp Shooter,Skarpskytte
Ultra-Juggernaut,Ultra Kæmpepult
Plasma Monkey Fan Club,Plasma-abe-fanklub
Crossbow Master,Armbrøstmester
,
Improved Rangs,Forbedrede B'ranger
Faster Throwing,Hurtigere Kasteevne
Long Range Rangs,Langtrækkende B'ranger
Glaives,Glavind 
Faster Rangs,Hurtigere B'ranger
Red Hot Rangs,Brandvarme B'ranger
Glaive Ricochet,Glavind-hop
Bionc Boomerang,Bionisk Boomerang
Kylie Boomerang,Kylie Boomerang
M.O.A.R Glaives,M.O.A.R.-glavind
Turbo Charge,Turboladning
MOAB Press,MOAB-presse
Glaive Lord,Glavindmester
Perma Charge,Perma-ladning
MOAB Domination,MOAB-dominans
,
Bigger Bombs,Større Bomber
Faster Reload,Hurtigere Ladning
Extra Range,Ekstra Rækkevidde
Heavy Bombs,Tunge Bomber
Missile Launcher,Missilaffyringsrampe
Frag Bombs,Fragmenteringsbomber
Really Big Bombs,Rigtig Store Bomber
MOAB Mauler,MOAB-mukkert
Cluster Bombs,Klyngebomber
Bloon Impact,Bloon-nedslag
MOAB Assassin,MOAB-snigmorder
Recursive Cluster,Gentagen Klynge
Bloon Crush,Bloon-knus
MOAB Eliminator,MOAB-eliminator
Bomb Blitz,Bombe-blitz
,
Faster Shooting,Hurtigere Skydning
Long Range Tacks,Langtrækkende Stifter
More Tacks,Flere Stifter
Even Faster Shooting,Endnu Hurtigere Skydning
Super Range Tacks,Super Langtrækkende Stifter
Even More Tacks,Endnu Flere Stifter
Hot Shots,Varme Skud
Blade Shooter,Klingeskyder
Tack Sprayer,Stiftsprøjter
Ring of Fire,Ildring
Blade Maelstrom,Klingemalstrøm
Overdrive,Overgear
Inferno Ring,Inferno-ring
Super Maelstrom,Super malstrøm
The Tack Zone,Stift-zonen
,
Permafrost,Permafrost
Enhanced Freeze,Forstærket Frys
Larger Radius,Større Radius
Metal Freeze,Kuldegys
Deep Freeze,Dybfrys
Re-Freeze,Genfrys
Ice Shards,Isskår
Arctic Wind,Arktisk Vind
Cryo Cannon,Kryo-kanon
Embrittlement,Skrøbelighedsdannelse
Snowstorm,Snestorm
Icicles,Istapper
Super Brittle,Super Skrøbelig
Absolute Zero,Absolut nulpunkt
Icicle Impale,Istap-spidning
,
Glue Soak,Lim-iblødlægning
Bigger Globs,Større Klatter
Stickier Glue,Mere Klæbende Lim
Corrosive Glue,Ætsende Lim
Glue Splatter,Limsprøjter
Stronger Glue,Stærkere Lim
Bloon Dissolver,Bloon-opløser
Glue Hose,Limspule
MOAB Glue,MOAB-lim
Bloon Liquefier,Bloon-smelter
Glue Strike,Limangreb
Relentless Glue,Uophørlig Lim
The Bloon Solver,Bloon-opløseren
Glue Storm,Limstorm
Super Glue,Superlim
,
Full Metal Jacket,Jægersoldat
Night Vision Goggles,Natkikkert
Fast Firing,Hurtigskydende
Large Calibre,Høj kaliber
Shrapnel Shot,Granatsplint-skud
Even Faster Firing,Endnu hurtigere Skydning
Deadly Precision,Dødelig Præcision
Bouncing Bullet,Prelle-patron
Semi-Automatic,Semiautomatisk
Maim MOAB,Kvæst MOAB
Supply Drop,Forsyningsnedkastning
Full Auto Rifle,Fuldautomatisk Riffel
Cripple MOAB,MOAB-lammelse
Elite Sniper,Elite-snigskytte
Elite Defender,Elite-forsvarer
,
Longer Range,Længere Rækkevidde
Barbed Darts,Pig-dartpile
Twin Guns,Dobbeltløbet Maskingevær
Advanced Intel,Avanceret Efterretning
Heat-tipped Darts,Varme-dyppede dartpile
Airburst Darts,Luftsprængningspile
Submerge and Support,Undervandsstøtte
Ballistic Missile,Ballistisk Missil
Triple Guns,Tredobbeltløbet Maskingevær
Bloontonium Reactor,Bloontonium-reaktor
First Strike Capability,Slå Først Kapacitet
Armor Piercing Darts,Panserbrydende Dartpile
Energizer,Aktivator
Pre-emptive Strike,Forebyggende angreb
Sub Commander,Ubådskommandør
,
Buccaneer-Faster Shooting,Hurtigere Skydning
Buccaneer-Grape Shot,Drueskud
Buccaneer-Long Range,Langtrækkende
Buccaneer-Double Shot,Dobbeltskud
Buccaneer-Hot Shot,Varmt skud
Buccaneer-Crow's Nest,Kragerede
Buccaneer-Destroyer,Knuser
Buccaneer-Cannon Ship,Kanonskib
Buccaneer-Merchantman,Handelsskib
Buccaneer-Aircraft Carrier,Hangarskib
Buccaneer-Monkey Pirates,Abe-pirater
Buccaneer-Favored Trades,Foretrukne Handler
Buccaneer-Carrier Flagship,Flaghangarskib
Buccaneer-Pirate Lord,Pirathersker
Buccaneer-Trade Empire,Handelsimperium
,
Rapid Fire,Fuldautomatisk
Exploding Pineapple,Eksplo-ananas
Sharper Darts,Spidsere Dartpile
Lots More Darts,Mange Flere Dartpile
Spy Plane,Spionfly
Centered Path,Centreret sti
Fighter Plane,Jagerfly
Bomber Ace,Bombe-es
Neva-Miss Targeting,Træfsikker Målsøgning
Operation: Dart Storm,Operation: Dartstorm
Ground Zero,Ground Zero
Spectre,Ildstøttefly
Sky Shredder,Himlens Hersker
Tsar Bomba,Tsar-bombe
Flying Fortress,Flyvende Fæstning
,
Quad Darts,Firedobbelt dartpile
Bigger Jets,Større Jetfly
Faster Firing,Hurtigere Skydning
Pursuit,Jagt
IFR,Infrarød
Faster Darts,Hurtigere Dartpile
Razor Rotors,Knivskarpe Rotorer
Downdraft,Faldstrøm
MOAB Shove,MOAB-maser
Apache Dartship,Apache Dart-heli
Support Chinook,Støttehelikopter
Comanche Defense,Comanche-forsvar
Apache Prime,Apache Prime
Special Poperations,Special springstyrker
Comanche Commander,Støttehelikopter-kommandør
,
Bigger Blast,Større Sprængning
Mortar Faster Reload,Hurtigere Ladning
Increased Accuracy,Øget Præcision
Bloon Buster,Bloon-knuser
Mortar Rapid Reload,Hurtig Ladning
Burny Stuff,Brændende Sager
Shockwave,Granatchok
Heavy Shells,Tunge Granater
Signal Flare,Signalblus
The Big One,Den Store
Artillery Battery,Artilleribatteri
Shattering Shells,Ødelæggende Granater
The Biggest One,Den Største
Pop and Awe,Spring og bring
Blooncineration,Bloon-brænding
,
Focused Firing,Fokuseret Skydning
Advanced Targeting,Avanceret målsøgning
Powerful Darts,Kraftfulde Dartpile
Faster Swivel,Hurtigere Snurren
Faster Barrel Spin,Hurtigere Løbsrotation
Depleted Bloontonium,Udtømt Bloontonium
Laser Shock,Laser-chok
Laser Cannon,Laserkanon
