//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Kliknij
HeliPilot Description,"Leci tam, gdzie mu wskażesz. Strzela z dwóch karabinów na ciężkie rzutki."
MortarMonkey Description,Strzela wybuchającymi pociskami moździerzowymi w wybraną lokalizację na ekranie.
WizardMonkey Description,Ciska w blony magicznymi strzałami energii. Może się ulepszać o kolejne magiczne zaklęcia.
DartlingGunner Description,Używa karabinu maszynowego na rzutki. Celuje we wskazane przez ciebie miejsce na ekranie.
SuperMonkey Description,"Strzela setkami rzutek o prędkości naddźwiękowej, a zasięg ataku jest ogromny."
NinjaMonkey Description,"Zwinna i szybka małpka, która ciska w blony ostrymi shurikenami. Może celować w kamuflażowe blony."
Alchemist Description,"Włada siłami nauki i magii, oblewa blony kwasem i warzy mikstury o różnych efektach."
Druid Description,"Każdy atak to wybuch kolców. Ulepszenia pozwalają wzywać moce dżungli, burzy i gniewu."
BananaFarm Description,"Podczas każdej rundy wytwarza banany zmieniające się w gotówkę, którą możesz wydać na różne rzeczy."
EngineerMonkey Description,"Włada pistoletem na gwoździe, którymi przekłuwa blony. Ulepszenia pozwalają tworzyć strzelające gwoździami wieżyczki strażnicze."
SpikeFactory Description,Automatycznie generuje stosy kolców drogowych na najbliższej ścieżce. Doskonała ostatnia linia obrony.
MonkeyAcademy Description,Miejsce nauki i treningu małpek. Zapewnia potężne korzyści dla wojskowych i magicznych małpek oraz bohaterów. Generuje niewielką ilość PD w każdej rundzie.
MonkeyVillage Description,"Centrum przemysłowe małpek, posiada wiele różnych korzyści wspomagających twoje małpki. Zwiększa o 10% zasięg wszystkich małpek w swoim promieniu."
,
//Hero Names,
Quincy,Quincy
StrikerJones,Striker Jones
CaptainChurchill,Kapitan Churchill
Gwendolin,Gwendolin
Benjamin,Benjamin
PatFusty,Pat Fusty
Ezili,Ezili
ObynGreenfoot,Obyn Zielonostopy
,
//Hero Short Descriptions,
Quincy Short Description,Łucznik
StrikerJones Short Description,Dowódca artyleryjski
CaptainChurchill Short Description,Czołgista
Gwendolin Short Description,Piromaniaczka
Benjamin Short Description,Małpka kodująca
PatFusty Short Description,Ogromna małpka
Ezili Short Description,Małpka voodoo
ObynGreenfoot Short Description,Strażnik lasu
,
//Hero Description,
Quincy Description,"Dumny, silny i inteligentny Quincy wykorzystuje łuk, by ukazać wachlarz niesamowitych zdolności."
StrikerJones Description,"Striker Jones to silny dowódca, który wykorzystuje swoją wiedzę o walce z dystansu, by zwiększyć moc środków wybuchowych."
CaptainChurchill Description,Kapitan w swoim pancernym bojowym czołgu to prawdziwa elektrownia na polu bitwy.
Gwendolin Description,"Gwendolin uważa, że nie ma takiego problemu z blonami, którego nie da się rozwiązać za pomocą ognia. Dużych ilości ognia."
Benjamin Description,Benjamin za pomocą swoich elitarnych zdolności hakerskich może wytwarzać dodatkową gotówkę.
PatFusty Description,Pat to wielka małpka o ogromnej sile. Jego unikalny rozmiar i moc to zaleta w wojnie z blonami.
Ezili Description,Ezili włada czarną magią i manipuluje blonami. Ostrożnie.
ObynGreenfoot Description,Obyn panuje nad siłami natury i może strzelać przez przeszkody za pomocą ataku wilczego ducha.
,
//Hero Level Descriptions,
Quincy Level 1 Description,"Strzały Quincy’ego odbijają się, trafiając do 3 różnych celów."
Quincy Level 2 Description,"Atak podstawowy odbija się, trafiając do 4 celów."
Quincy Level 3 Description,Szybki strzał: potrójna prędkość ataku przez krótki czas.
Quincy Level 4 Description,Nieznacznie większy zasięg.
Quincy Level 5 Description,"Wykorzystuje bystry wzrok, by strzelać w kamuflażowe blony."
Quincy Level 6 Description,Wypuszcza 2 strzały naraz.
Quincy Level 7 Description,Co trzecie wypuszczone strzały wybuchają.
Quincy Level 8 Description,Strzały zadają potrójne obrażenia blonom klasy MOAB.
Quincy Level 9 Description,"Atak podstawowy odbija się, trafiając do 6 celów."
Quincy Level 10 Description,Burza strzał: na duży obszar spada śmiertelny deszcz strzał.
Quincy Level 11 Description,Zwiększona prędkość ataku.
Quincy Level 12 Description,Każda strzała ma większą siłę przekłucia.
Quincy Level 13 Description,Niewielki wzrost zasięgu.
Quincy Level 14 Description,Strzały zadają poczwórne obrażenia blonom klasy MOAB.
Quincy Level 15 Description,Szybki strzał ma 4-krotnie większą prędkość ataku i skrócony czas odnowienia.
Quincy Level 16 Description,Jeszcze większa prędkość ataku.
Quincy Level 17 Description,Strzały wytrzymują 25% dłużej. Co drugi strzał to eksplodująca strzała.
Quincy Level 18 Description,"Quincy atakuje szybciej, a burza strzał ma skrócone odnowienie i o 50% więcej strzał."
Quincy Level 19 Description,Każda strzała ma jeszcze większą siłę przekłucia.
Quincy Level 20 Description,Quincy atakuje jeszcze szybciej. Burza strzał zadaje więcej obrażeń na strzałę i wypuszcza jeszcze więcej strzał.
,
StrikerJones Level 1 Description,Striker Jones strzela z potężnej bazuki i wysadza blony.
StrikerJones Level 2 Description,Zwiększony promień wybuchu.
StrikerJones Level 3 Description,Pocisk wstrząsowy: strzela sterowanym pociskiem w największego blona na ekranie i go ogłusza.
StrikerJones Level 4 Description,Wszystkie działa bombowe i małpki z moździerzem na ekranie strzelają o 10% szybciej.
StrikerJones Level 5 Description,"Sprawia, że wszystkie czarne blony są mniej odporne na obrażenia wybuchowe od wszystkich małpek."
StrikerJones Level 6 Description,Promień wybuchu i ilość przekłuć w normalnych atakach Jonesa znacznie rosną.
StrikerJones Level 7 Description,"Przekłuwa 2 warstwy na strzał, a promień wybuchu u małpki z moździerzem wzrasta o 10%."
StrikerJones Level 8 Description,Działa bombowe w pobliżu bohatera otrzymują +5% do zasięgu i +25% do przebicia.
StrikerJones Level 9 Description,"Zwiększona prędkość ataku i zwiększone obrażenia, przebicie i ogłuszenie pocisku wstrząsowego."
StrikerJones Level 10 Description,Dowództwo artyleryjskie: resetuje odnowienie dla wszystkich dział bombowych i małpek z moździerzami.
StrikerJones Level 11 Description,Zwiększona prędkość ataku.
StrikerJones Level 12 Description,Nieznacznie większy zasięg ataku i przekłucie dodatkowej warstwy.
StrikerJones Level 13 Description,Zwiększona prędkość ataku.
StrikerJones Level 14 Description,Pocisk wstrząsowy obejmuje większy obszar i działa dłużej.
StrikerJones Level 15 Description,Odnowienie po pocisku wstrząsowym skrócone do 11 sekund.
StrikerJones Level 16 Description,Zwiększona prędkość ataku.
StrikerJones Level 17 Description,Zwiększony zasięg i przekłucie 4 warstw na strzał.
StrikerJones Level 18 Description,Wszystkie działa bombowe i małpki z moździerzem atakują dodatkowe 10% szybciej.
StrikerJones Level 19 Description,Zwiększona prędkość ataku oraz wszystkie czarne blony stają się wrażliwe na eksplozje.
StrikerJones Level 20 Description,Dowództwo artyleryjskie daje także podwójne obrażenia i przekłucia na strzał dla wszystkich dział bombowych i małpek z moździerzami na 10 sekund.
,
CaptainChurchill Level 1 Description,Przebijające bomby wystrzelone z czołgu mogą eksplodować do 3 razy.
CaptainChurchill Level 2 Description,Zwiększona siła przekłucia na strzał.
CaptainChurchill Level 3 Description,Pancerne pociski przebijające: strzały mogą przekłuwać czarne blony i zadawać dodatkowe obrażenia ceramicznym blonom. Czas działania rośnie wraz z poziomami Churchilla.
CaptainChurchill Level 4 Description,Zwiększony zasięg ataku.
CaptainChurchill Level 5 Description,Dodaje do czołgu szybki atak karabinem maszynowym.
CaptainChurchill Level 6 Description,Lornetka pozwala Churchillowi przekłuwać kamuflażowe blony.
CaptainChurchill Level 7 Description,Pociski zadają więcej obrażeń i mogą eksplodować 4 razy zamiast 3.
CaptainChurchill Level 8 Description,Zwiększona prędkość ataku.
CaptainChurchill Level 9 Description,Pociski mogą eksplodować 5 razy.
CaptainChurchill Level 10 Description,Ogień zaporowy MOAB: strzela ogniem zaporowym pocisków do nawet 10 blonów klasy MOAB na ekranie i zadaje duże obrażenia.
CaptainChurchill Level 11 Description,Zwiększona siła przekłucia na pocisk.
CaptainChurchill Level 12 Description,Pociski zadają większe obrażenia i mogą eksplodować 6 razy.
CaptainChurchill Level 13 Description,Pancerne pociski przekłuwające przekłuwają 2 warstwy blonów i zadają dodatkowe obrażenia ceramicznym blonom i wyższym.
CaptainChurchill Level 14 Description,Karabin maszynowy i armata czołgowa mogą przekłuć dodatkową warstwę na strzał.
CaptainChurchill Level 15 Description,Wszystkie ataki zadają dodatkowe obrażenia ufortyfikowanym blonom.
CaptainChurchill Level 16 Description,Zwiększona prędkość ataku.
CaptainChurchill Level 17 Description,Pancerne pociski przekłuwające zadają jeszcze większe obrażenia.
CaptainChurchill Level 18 Description,Wszystkie pociski przekłuwają dodatkową warstwę blona.
CaptainChurchill Level 19 Description,Pociski mogą eksplodować 7 razy.
CaptainChurchill Level 20 Description,Pociski ognia zaporowego MOAB i armata czołgowa zadają znacznie większe obrażenia na trafienie.
,
Gwendolin Level 1 Description,Wysadza blony ogniem z pirospluwy.
Gwendolin Level 2 Description,Nieznacznie zwiększona siła przekłucia na strzał.
Gwendolin Level 3 Description,"Ognisty koktajl: ciska butelką płonącego płynu i spala blony, które przejdą przez ogień."
Gwendolin Level 4 Description,"Daj do pieca – co kilka sekund generuje potężną falę ognia, która przekłuwa blony i dodaje ognia do ataków najbliższych małpek."
Gwendolin Level 5 Description,"Zwiększona moc przebijania. 10% ulepszona prędkość ataku i promień Ognistego pierścienia, Flary sygnałowej i Oddechu smoka."
Gwendolin Level 6 Description,Ataki wywołują efekt poparzenia na wybranym blonie.
Gwendolin Level 7 Description,"Daj do pieca ma zwiększony promień, a ognisty koktajl jest bardziej efektywny."
Gwendolin Level 8 Description,Wypuszcza 2 ogniste pociski na strzał.
Gwendolin Level 9 Description,Pierwsze uderzenie przekłuwa 1 dodatkową warstwę.
Gwendolin Level 10 Description,"Ognista burza: podpala cały ekran, spala wszystkie blony i dodaje wszystkim małpkom wzmocnienie daj do pieca."
Gwendolin Level 11 Description,Zwiększony zasięg ataku.
Gwendolin Level 12 Description,Zwiększona prędkość ataku.
Gwendolin Level 13 Description,"O wiele większa siła przekłucia, a pociski poruszają się szybciej i wytrzymują dłużej."
Gwendolin Level 14 Description,Ognisty koktajl zadaje dodatkowe obrażenia i podpala blony klasy MOAB.
Gwendolin Level 15 Description,Zwiększona prędkość ataku.
Gwendolin Level 16 Description,Ognista burza trwa dłużej i zadaje większe obrażenia. Fioletowe blony przestają być odporne na ataki Gwendolin.
Gwendolin Level 17 Description,Daj do pieca pozwala małpkom przekłuwać 1 dodatkową warstwę i zadawać +2 do obrażeń ołowianych blonów.
Gwendolin Level 18 Description,"Zwiększona prędkość ataku. 20% ulepszona prędkość ataku i promień Ognistego pierścienia, Flary sygnałowej i Oddechu smoka."
Gwendolin Level 19 Description,Wypuszcza 3 ogniste pociski na strzał.
Gwendolin Level 20 Description,Ognista burza zadaje o wiele większe obrażenia.
,
Benjamin Level 1 Description,Hakuje 100 $ na każdą rundę.
Benjamin Level 2 Description,Generuje 150 $ na rundę zamiast 100 $.
Benjamin Level 3 Description,Biohack: 4 najbliżej znajdujące się małpki przekłuwają dodatkową warstwę na każdy atak przez 6 sekund. Objęte małpki nie mogą atakować przez 2 sekundy po zakończeniu efektu.
Benjamin Level 4 Description,Skimming – zarabia +1 $ za każdego nowego przywołanego blona.
Benjamin Level 5 Description,Bank hack – wszystkie banki zarabiają +5%.
Benjamin Level 6 Description,Cyberbezpieczeństwo – odzyskujesz 5 żyć na koniec każdej rundy.
Benjamin Level 7 Description,Blon trojan – co kilka sekund wysyła wirusa do przypadkowego blona. Objęty blon nie przywołuje nowych blonów po zniszczeniu i generuje dodatkowe +1 gotówki za każdą warstwę.
Benjamin Level 8 Description,Przychód wzrasta do 250 $ na rundę.
Benjamin Level 9 Description,Bank hack zwiększony do 12%.
Benjamin Level 10 Description,Wyprowadzanie środków: obniża poziom nowo przywołanych blonów o 1. Kwota za przekłucie objętych blonów jest podwójna. Trwa przez 10 sekund.
Benjamin Level 11 Description,Przychód wzrasta do 300 $ na rundę.
Benjamin Level 12 Description,Skimming zwiększony do 2 $ za blona.
Benjamin Level 13 Description,Biohack zwiększa bonusowe obrażenia i obejmuje 6 małpek przez 8 sekund.
Benjamin Level 14 Description,Cyberbezpieczeństwo dodaje 10 żyć na rundę i może sumować się do ponad 100 żyć startowych.
Benjamin Level 15 Description,Przychód wzrasta do 500 $ na rundę.
Benjamin Level 16 Description,Blon trojan jest wysyłany częściej i zyskuje więcej gotówki.
Benjamin Level 17 Description,Przychód wzrasta do 800 $ na rundę.
Benjamin Level 18 Description,Blon trojan może wpływać na blony BLB i MST.
Benjamin Level 19 Description,"Biohack trwa przez 9 sekund, a objęte małpki przekłuwają 3 dodatkowe warstwy zamiast 2."
Benjamin Level 20 Description,"Wyprowadzanie środków trwa 20 sekund, a gotówka za przekłucie objętych blonów jest potrójna względem normy."
,
PatFusty Level 1 Description,Pat wbija blony w ziemię.
PatFusty Level 2 Description,Zwiększa promień uderzenia.
PatFusty Level 3 Description,Zbiorowy ryk: wszystkie najbliższe małpki mogą przekłuwać +1 warstwę przez krótki czas.
PatFusty Level 4 Description,Zwiększona prędkość ataku.
PatFusty Level 5 Description,"Czasem dokonuje potężnego uderzenia, które odpycha blony od wyjścia."
PatFusty Level 6 Description,Blony trafione przez Pata są ogłuszone na krótką chwilę.
PatFusty Level 7 Description,Zwiększona siła przekłucia i obrażenia.
PatFusty Level 8 Description,Zwiększona prędkość ataku.
PatFusty Level 9 Description,Zwiększony zasięg ataku.
PatFusty Level 10 Description,"Wielki ścisk: chwyta blona MOAB, BLB, MST (jeśli jest widoczny) lub ZOMG i miażdży go na kawałki ponad 5 sekund."
PatFusty Level 11 Description,Atak przekłuwa więcej warstw.
PatFusty Level 12 Description,Zwiększona prędkość ataku.
PatFusty Level 13 Description,Atak ogłusza blony na dłużej i może ogłuszyć blony klasy MOAB na krótką chwilę.
PatFusty Level 14 Description,Zbiorowy ryk zwiększył promień i czas trwania oraz zadawane obrażenia przez zebrane małpki.
PatFusty Level 15 Description,Uderzenia mogą obejmować więcej blonów.
PatFusty Level 16 Description,Zwiększony zasięg ataku i bonusowe obrażenia dla ceramicznych blonów.
PatFusty Level 17 Description,Zwiększona prędkość ataku.
PatFusty Level 18 Description,Zwiększona moc przekłucia.
PatFusty Level 19 Description,Atak przekłuwa więcej warstw.
PatFusty Level 20 Description,Wielki ścisk może pochwycić kilka dużych blonów naraz.
,
ObynGreenfoot Level 1 Description,Wysyła wilcze duchy atakujące blony.
ObynGreenfoot Level 2 Description,Gniew natury – wszyscy druidzi w zasięgu otrzymują +1 do przebicia.
ObynGreenfoot Level 3 Description,"Jeżyny: tworzy na ścieżce kolczaste krzewy, które mogą przekłuć 50 blonów."
ObynGreenfoot Level 4 Description,"Co 18 sekund powstaje totem, który spowalnia wszystkie blony w pobliżu o 30%. Mniej efektywne wobec blonów klasy MOAB."
ObynGreenfoot Level 5 Description,Zwiększona prędkość ataku. Druidzi dżungli mają zwiększony zasięg.
ObynGreenfoot Level 6 Description,"Zwiększona moc przekłucia, a pociski poruszają się szybciej."
ObynGreenfoot Level 7 Description,Jeżyny mogą przekłuć 100 blonów.
ObynGreenfoot Level 8 Description,Totemy strażnika natury spowalniają blony o 40%.
ObynGreenfoot Level 9 Description,"Atak przekłuwa dodatkowe warstwy. Druidzi burzy wywołują większe burze, które zadają więcej obrażeń MOAB-om."
ObynGreenfoot Level 10 Description,"Ściana drzew: przyzywa w poprzek ścieżki ścianę drzew, która niszczy wszystkie przechodzące przez nią blony. Po zapełnieniu drzewa zamieniają się w gotówkę."
ObynGreenfoot Level 11 Description,"Jasność natury – wszystkie magiczne małpki w zasięgu otrzymują +5 do zasięgu i +2 do przebicia, a druidzi dostają dodatkowe +1 do przebicia."
ObynGreenfoot Level 12 Description,Zwiększona prędkość ataku i odnowienie magicznych małpek krótsze o 5%.
ObynGreenfoot Level 13 Description,Jeszcze większa moc przekłucia i prędkość pocisku.
ObynGreenfoot Level 14 Description,Atak przekłuwa dodatkowe warstwy.
ObynGreenfoot Level 15 Description,"Strażnik natury spowalnia blony o 60%, a jego odnowienie jest zredukowane."
ObynGreenfoot Level 16 Description,Jeżyny przekłuwają po 500 blonów i mogą zadawać obrażenia wszystkim typom blonów.
ObynGreenfoot Level 17 Description,Zwiększona prędkość ataku.
ObynGreenfoot Level 18 Description,Ulepszony gniew – w każdej rundzie liczba przekłuć druidów gniewu zaczyna się od 200.
ObynGreenfoot Level 19 Description,Atak przekłuwa dodatkowe warstwy.
ObynGreenfoot Level 20 Description,Ściana drzew może zatrzymać o wiele więcej blonów.
,
Ezili Level 1 Description,Ezili rzuca na blony klątwę za pomocą ciemnych mocy voodoo.
Ezili Level 2 Description,Zwiększony zasięg ataku.
Ezili Level 3 Description,"Zatrzymanie serca: spowalnia blony, pozwala przekłuwać fioletowy blony i zatrzymuje wszelkie odrastanie na 10 sekund."
Ezili Level 4 Description,Główny atak Ezili teraz nakłada klątwę na wiele blonów.
Ezili Level 5 Description,Zwiększona prędkość ataku.
Ezili Level 6 Description,Obrażenia z czasem trwają dłużej i działają szybciej.
Ezili Level 7 Description,"Totem ofiarny: totem, który pozwala wykrywać kamuflaż, zwiększa przebicie, zasięg ataku, prędkość i szybkość pocisków pobliskim małpkom, a zwłaszcza małpkom czarodziejom. Zabiera 10 żyć."
Ezili Level 8 Description,Atak Ezili zadaje znacznie większe obrażenia blonom klasy MOAB.
Ezili Level 9 Description,"Atak Ezili odbiera właściwości kamuflażu, odrastania i ufortyfikowania blonom poza klasą MOAB."
Ezili Level 10 Description,"Przekleństwo MOAB-ów: nakłada klątwę na blony klasy MOAB, zadaje obrażenia co sekundę, aż do zniszczenia."
Ezili Level 11 Description,Zwiększony zasięg ataku. Zwiększa przebicie reanimowanych blonów o 50%.
Ezili Level 12 Description,Zatrzymanie serca skraca odnowienie i wydłuża czas działania. Zadaje zwiększone obrażenia MOAB-om.
Ezili Level 13 Description,Podstawowy atak ma większy promień i zwiększone przebicie.
Ezili Level 14 Description,Obrażenia z czasem przyspieszają.
Ezili Level 15 Description,Zwiększony zasięg. Z czasem obrażenia działają dłużej.
Ezili Level 16 Description,Totem ofiarny działa dłużej i kosztuje tylko 1 życie.
Ezili Level 17 Description,Podstawowy atak ma większy promień i zwiększone przebicie.
Ezili Level 18 Description,Zwiększona prędkość ataku.
Ezili Level 19 Description,Każde obrażenie z ataku podstawowego przekłuwa 3 warstwy!
Ezili Level 20 Description,Przekleństwo MOAB-ów działa szybciej i może niszczyć blony WSZ.
,
//Hero Ability Names,
Rapid Shot Ability,Szybki strzał
Storm of Arrows Ability,Burza strzał
Concussive Shell Ability,Pocisk wstrząsowy
Artillery Command Ability,Dowództwo artyleryjskie
Armor Piercing Shells Ability,Pancerne pociski przekłuwające
MOAB Barrage Ability,Ogień zaporowy MOAB
Cocktail of Fire Ability,Ognisty koktajl
Firestorm Ability,Ognista burza
Biohack Ability,Biohack
Syphon Funding Ability,Wyprowadzanie środków
Rallying Roar Ability,Zbiorowy ryk
Big Squeeze Ability,Wielki ścisk
Brambles Ability,Jeżyny
Wall of Trees Ability,Ściana drzew
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,Potrójna prędkość ataku przez krótki czas.
Storm of Arrows Ability Description,Na duży obszar spada śmiertelny deszcz strzał.
Concussive Shell Ability Description,Strzela sterowanym pociskiem w największego blona na ekranie i go ogłusza.
Artillery Command Ability Description,Resetuje odnowienie dla wszystkich dział bombowych i małpek z moździerzami.
Armor Piercing Shells Ability Description,Strzały mogą przekłuwać czarne blony i zadawać dodatkowe obrażenia ceramicznym blonom. Czas działania rośnie wraz z poziomami Churchilla.
MOAB Barrage Ability Description,Strzela ogniem zaporowym pocisków do nawet 10 blonów klasy MOAB na ekranie i zadaje duże obrażenia.
Cocktail of Fire Ability Description,"Ciska butelką płonącego płynu i spala blony, które przejdą przez ogień."
Firestorm Ability Description,"Podpala cały ekran, pali wszystkie blony i dodaje wszystkim małpkom wzmocnienie daj do pieca."
Biohack Ability Description,4 najbliżej znajdujące się małpki przekłuwają dodatkową warstwę na każdy atak przez 6 sekund. Objęte małpki nie mogą atakować przez 2 sekundy po zakończeniu efektu.
Syphon Funding Ability Description,Obniża poziom nowo przywołanych blonów o 1. Kwota za przekłucie objętych blonów jest podwójna. Trwa przez 10 sekund.
Rallying Roar Ability Description,Wszystkie najbliższe małpki mogą przekłuwać +1 warstwę przez krótki czas.
Big Squeeze Ability Description,"Chwyta blona MOAB, BLB, MST (jeśli jest widoczny) lub ZOMG i miażdży go na kawałki przez 5 sekund."
Brambles Ability Description,"Tworzy na ścieżce kolczaste krzewy, które mogą przekłuć 50 blonów."
Wall of Trees Ability Description,"Przyzywa w poprzek ścieżki ścianę drzew, która niszczy wszystkie przechodzące przez nią blony. Po zapełnieniu drzewa zamieniają się w gotówkę."
Heartstopper Ability Description,Pozwala przekłuwać fioletowy blony i zatrzymuje wszelkie odrastanie na 10 sekund.
Sacrificial Totem Ability Description,"Totem, który pozwala wykrywać kamuflaż, zwiększa przebicie, zasięg ataku, prędkość i szybkość pocisków pobliskim małpkom, a zwłaszcza małpkom czarodziejom. Zabiera 10 żyć."
MOAB Hex Ability Description,"Nakłada klątwę na blony klasy MOAB, zadaje obrażenia co sekundę, aż do zniszczenia."
,
//Hero Misc,
Level,Poziom
,
//Upgrade Names,
Sharp Shots,Ostre strzały
Quick Shots,Szybkie strzały
Long Range Darts,Rzutki dalekiego zasięgu
Razor Sharp Shots,Ostre jak brzytwa strzały
Very Quick Shots,Bardzo szybkie strzały
Enhanced Eyesight,Lepszy wzrok
Spike-o-pult,Kolcopulta
Triple Shot,Potrójny strzał
Crossbow,Kusza
Juggernaut,Katapulta
Super Monkey Fan Club,Fanklub supermałpki
Sharp Shooter,Celny strzelec
Ultra-Juggernaut,Ultra katapulta
Plasma Monkey Fan Club,Fanklub plazmowej małpki
Crossbow Master,Mistrz kuszy
,
Improved Rangs,Lepsze rangi
Faster Throwing,Szybsze rzuty
Long Range Rangs,Rangi dalekiego zasięgu
Glaives,Glewie
Faster Rangs,Szybsze rangi
Red Hot Rangs,Gorące rangi
Glaive Ricochet,Glewie rykoszetowe
Bionc Boomerang,Bumerang bioniczny
Kylie Boomerang,Bumerang Kylie
M.O.A.R Glaives,Glewie W.O.Z.R
Turbo Charge,Turbodoładowanie
MOAB Press,MOAB presja
Glaive Lord,Lord glewii
Perma Charge,Trwałe doładowanie
MOAB Domination,MOAB dominacja
,
Bigger Bombs,Większe bomby
Faster Reload,Szybsze przeładowanie
Extra Range,Ekstra zasięg
Heavy Bombs,Ciężkie bomby
Missile Launcher,Wyrzutnia rakiet
Frag Bombs,Bomby odłamkowe
Really Big Bombs,Naprawdę wielkie bomby
MOAB Mauler,Zabijaka MOAB-ów
Cluster Bombs,Bomby kasetowe
Bloon Impact,Blonowy wstrząs
MOAB Assassin,Zabójca MOAB-ów
Recursive Cluster,Rekurencyjne kasetowe
Bloon Crush,Miażdżyciel blonów
MOAB Eliminator,Eliminator MOAB-ów
Bomb Blitz,Bombowa szarża
,
Faster Shooting,Szybsze strzelanie
Long Range Tacks,Gwoździe dalekiego zasięgu
More Tacks,Więcej gwoździ
Even Faster Shooting,Jeszcze szybsze strzelanie
Super Range Tacks,Gwoździe super zasięgu
Even More Tacks,Jeszcze więcej gwoździ
Hot Shots,Gorące strzały
Blade Shooter,Działo na ostrza
Tack Sprayer,Rozpylacz gwoździ
Ring of Fire,Ognisty pierścień
Blade Maelstrom,Wir ostrzy
Overdrive,Najwyższe obroty
Inferno Ring,Piekielny pierścień
Super Maelstrom,Super wir
The Tack Zone,Strefa gwoździa
,
Permafrost,Zmarzlina
Enhanced Freeze,Mocniejszy mróz
Larger Radius,Większy promień
Metal Freeze,Zimny trzask
Deep Freeze,Głęboki mróz
Re-Freeze,Drugie mrożenie
Ice Shards,Lodowe odłamki
Arctic Wind,Arktyczny wiatr
Cryo Cannon,Krio działo
Embrittlement,Krucho
Snowstorm,Śnieżna burza
Icicles,Sople
Super Brittle,Super krucho
Absolute Zero,Zero absolutne
Icicle Impale,Nabicie na sopel
,
Glue Soak,Zamoczenie w kleju
Bigger Globs,Większe krople
Stickier Glue,Lepszy klej
Corrosive Glue,Klej korozyjny
Glue Splatter,Kleisty rozbryzg
Stronger Glue,Mocniejszy klej
Bloon Dissolver,Rozpuszczalnik blonów
Glue Hose,Wąż na klej
MOAB Glue,Klej MOAB
Bloon Liquefier,Skraplacz blonów
Glue Strike,Kleiste uderzenie
Relentless Glue,Bezwzględny klej
The Bloon Solver,Znikacz blonów
Glue Storm,Burza kleju
Super Glue,Superklej
,
Full Metal Jacket,Full Metal Jacket
Night Vision Goggles,Noktowizor
Fast Firing,Szybkie strzelanie
Large Calibre,Wielki kaliber
Shrapnel Shot,Szrapnel
Even Faster Firing,Jeszcze szybsze strzelanie
Deadly Precision,Śmiertelna precyzja
Bouncing Bullet,Odbita kula
Semi-Automatic,Półautomat
Maim MOAB,Okaleczyć MOAB-y
Supply Drop,Zrzut zaopatrzenia
Full Auto Rifle,Karabin automatyczny
Cripple MOAB,Zniszczyć MOAB-y
Elite Sniper,Strzelec wyborowy
Elite Defender,Obrońca wyborowy
,
Longer Range,Dłuższy zasięg
Barbed Darts,Rzutki kolczaste
Twin Guns,Podwójne działo
Advanced Intel,Zaawansowany wywiad
Heat-tipped Darts,Gorące rzutki
Airburst Darts,Wybuchowe rzutki
Submerge and Support,Zanurzenie i wsparcie
Ballistic Missile,Rakieta balistyczna
Triple Guns,Potrójne działo
Bloontonium Reactor,Rekator blontonowy
First Strike Capability,Potencjał pierwszego ataku
Armor Piercing Darts,Rzutki przebijające pancerz
Energizer,Wzmacniacz
Pre-emptive Strike,Atak wyprzedzający
Sub Commander,Podwodny dowódca
,
Buccaneer-Faster Shooting,Szybsze strzelanie
