//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clique
CaptainChurchill Level 13 Description,Les obus perforants font éclater 2 couches de Bloon et infligent des dégâts supplémentaires sur les Bloons en céramique ou supérieurs.
CaptainChurchill Level 14 Description,La mitrailleuse et l'arme principale peuvent faire éclater 1 couche supplémentaire par balle.
CaptainChurchill Level 15 Description,Toutes les attaques infligent des dégâts supplémentaires sur les Bloons fortifiés.
CaptainChurchill Level 16 Description,Vitesse d'attaque augmentée.
CaptainChurchill Level 17 Description,Les obus perforants infligent encore plus de dégâts.
CaptainChurchill Level 18 Description,Tous les obus font éclater une couche supplémentaire de Bloon.
CaptainChurchill Level 19 Description,Les obus peuvent exploser 7 fois.
CaptainChurchill Level 20 Description,Les obus de barrage de MOAB et l'arme principale infligent des dégâts énormément accrus à chaque tir.
,
Gwendolin Level 1 Description,Élimine les Bloons par le feu avec son arme de pyromane.
Gwendolin Level 2 Description,Puissance d'éclatement par tir légèrement augmentée.
Gwendolin Level 3 Description,"Cocktail de flammes : lance violemment une flasque de liquide inflammable, brûlant les Bloons qui traversent le feu."
Gwendolin Level 4 Description,"Allumer le feu : à un intervalle régulier de quelques secondes, crée une explosion puissante, une vague de flammes qui fait éclater les Bloons et ajoute du feu dans les attaques des singes à proximité."
Gwendolin Level 5 Description,"Puissance d'éclatement augmentée. Vitesse d'attaque et rayon augmentés de 10 % pour Anneau de feu, Fusée éclairante et Souffle du dragon."
Gwendolin Level 6 Description,Les attaques infligent des brûlures au Bloon ciblé.
Gwendolin Level 7 Description,"Augmentation du rayon d'Allumer le feu, Cocktail de flammes est plus efficace."
Gwendolin Level 8 Description,Tire 2 explosions de flammes par tir.
Gwendolin Level 9 Description,La cible atteinte par l'explosion initiale fait éclater une couche de plus.
Gwendolin Level 10 Description,"Tempête de feu : Embrase la totalité de l'écran, brûlant tous les Bloons et conférant le bonus Allumer le feu à tous les singes."
Gwendolin Level 11 Description,Portée d'attaque augmentée.
Gwendolin Level 12 Description,Vitesse d'attaque augmentée.
Gwendolin Level 13 Description,Puissance d'éclatement considérablement augmentée et les projectiles se déplacent plus rapidement et durent plus longtemps.
Gwendolin Level 14 Description,Cocktail de flammes inflige plus de dégâts et embrase les Bloons de classe MOAB.
Gwendolin Level 15 Description,Vitesse d'attaque augmentée.
Gwendolin Level 16 Description,Tempête de feu dure plus longtemps et inflige plus de dégâts. Les Bloons violets ne sont plus immunisés contre les attaques de Gwendolin.
Gwendolin Level 17 Description,Allumer le feu permet aux singes affectés de faire éclater une couche de plus et d'infliger +2 dégâts aux Bloons en plomb.
Gwendolin Level 18 Description,"Vitesse d'attaque augmentée. Vitesse d'attaque et rayon augmentés de 20 % pour Anneau de feu, Fusée éclairante et Souffle du dragon."
Gwendolin Level 19 Description,Tire 3 explosions de flammes par tir.
Gwendolin Level 20 Description,La tempête de feu inflige des dégâts immensément supérieurs.
,
Benjamin Level 1 Description,Pirate 100 $ par manche.
Benjamin Level 2 Description,Génère 150 $ par manche au lieu de 100 $.
Benjamin Level 3 Description,Biohack : les 4 singes les plus proches font éclater une couche supplémentaire par attaque pendant 6 secondes. Les singes touchés ne peuvent plus attaquer pendant 2 secondes après la fin de l'effet.
Benjamin Level 4 Description,Écumage : gagne + 1 $ pour chaque nouveau Bloon ressuscité.
Benjamin Level 5 Description,Piratage de banque : toutes les banques reçoivent une augmentation de revenu de + 5 %.
Benjamin Level 6 Description,Cybersécurité : restaure 5 vies à la fin de chaque manche.
Benjamin Level 7 Description,"Cheval de Troie Bloon : à intervalles réguliers de quelques secondes, envoie un virus logiciel sur un Bloon aléatoire. Le Bloon touché n'engendre pas de petits quand il est détruit et génère 1 en argent de plus par couche."
Benjamin Level 8 Description,Revenu augmenté à 250 $ par manche.
Benjamin Level 9 Description,Piratage de banque augmenté à 12 %.
Benjamin Level 10 Description,Siphonage de fonds : rétrograde la plupart des nouveaux Bloons apparus d'un rang. Doublement de l'argent obtenu par l'éclatement des Bloons touchés. Dure 10 secondes.
Benjamin Level 11 Description,Revenu augmenté à 300 $ par manche.
Benjamin Level 12 Description,Écumage augmenté de 2 $ par Bloon.
Benjamin Level 13 Description,Le biohack augmente les dégâts bonus et affecte 6 singes pendant 8 secondes.
Benjamin Level 14 Description,La cybersécurité ajoute 10 vies par manche et peut accorder jusqu'à 100 nouvelles vies de plus qu'en début de jeu.
Benjamin Level 15 Description,Revenu augmenté à 500 $ par manche.
Benjamin Level 16 Description,Le cheval de Troie Bloon est envoyé plus souvent et gagne plus d'argent.
Benjamin Level 17 Description,Revenu augmenté de 800 $ par manche.
Benjamin Level 18 Description,Le cheval de Troie Bloon peut toucher les Bloons BFB et DDT.
Benjamin Level 19 Description,Le biohack dure pendant 9 secondes et les singes touchés font éclater 3 couches supplémentaires au lieu de 2.
Benjamin Level 20 Description,Le siphonage de fonds dure pendant 20 secondes et l'argent obtenu par éclatement est trois fois plus élevé que la normale pour les Bloons touchés.
,
PatFusty Level 1 Description,Pat écrase les Bloons dans le sol.
PatFusty Level 2 Description,Portée d'attaque de frappe augmentée.
PatFusty Level 3 Description,Rugissement de ralliement : tous les singes à proximité peuvent faire éclater une couche de plus pendant un bref laps de temps.
PatFusty Level 4 Description,Vitesse d'attaque augmentée.
PatFusty Level 5 Description,Donne parfois une gifle puissante qui repousse les Bloons loin de la sortie.
PatFusty Level 6 Description,Les Bloons frappés par Pat sont assommés pendant une courte durée.
PatFusty Level 7 Description,Puissance d'éclatement et dégâts augmentés.
PatFusty Level 8 Description,Vitesse d'attaque augmentée.
PatFusty Level 9 Description,Portée d'attaque augmentée.
PatFusty Level 10 Description,"Pression : attrape un Bloon de classe MOAB, BFB, DDT (s'il est visible) ou ZOMG, et l'écrase violemment pendant 5 secondes."
PatFusty Level 11 Description,L'attaque permet de faire éclater plus de couches.
PatFusty Level 12 Description,Vitesse d'attaque augmentée.
PatFusty Level 13 Description,L'attaque assomme les Bloons pendant plus longtemps et peut assommer les Bloons de classe MOAB très brièvement.
PatFusty Level 14 Description,"Rayon et durée du Rugissement de ralliement augmentés, dégâts des singes ralliés augmentés."
PatFusty Level 15 Description,L'attaque de gifle peut toucher plus de Bloons.
PatFusty Level 16 Description,Portée d'attaque augmentée et bonus de dégâts aux Bloons en céramique.
PatFusty Level 17 Description,Vitesse d'attaque augmentée.
PatFusty Level 18 Description,Puissance d'éclatement augmentée.
PatFusty Level 19 Description,L'attaque permet de faire éclater plus de couches.
PatFusty Level 20 Description,Pression permet d'attraper plusieurs larges Bloons simultanément.
,
ObynGreenfoot Level 1 Description,Envoie les esprits des loups attaquer les Bloons.
ObynGreenfoot Level 2 Description,Courroux de la nature : tous les druides à portée reçoivent + 1 en percée.
ObynGreenfoot Level 3 Description,Crée un buisson piquant sur le circuit qui peut faire éclater 50 Bloons.
ObynGreenfoot Level 4 Description,Crée toutes les 18 secondes un totem qui ralentit tous les Bloons près du totem de 30 %. Moins efficace contre les Bloons de classe MOAB.
ObynGreenfoot Level 5 Description,Vitesse d'attaque augmentée. Portée augmentée pour les Druides de la jungle.
ObynGreenfoot Level 6 Description,Puissance d'éclatement augmentée et les projectiles se déplacent plus rapidement.
ObynGreenfoot Level 7 Description,Les ronces peuvent faire éclater 100 Bloons.
ObynGreenfoot Level 8 Description,Les totems de gardien de la nature ralentissent les Bloons de 40 %.
ObynGreenfoot Level 9 Description,L'attaque fait éclater des couches supplémentaires. Les tempêtes de Druide de la tempête sont plus grandes et infligent plus de dégâts aux MOAB.
ObynGreenfoot Level 10 Description,"Mur d'arbres : invoque un mur d'arbres traversant le circuit pour détruire tout Bloon qui y entrera. Lorsque plein, les arbres se transforment en argent."
ObynGreenfoot Level 11 Description,Clarté de la nature : tous les singes magiques à portée reçoivent + 5 en portée et +1 en percée et les druides reçoivent +1 en percée en plus.
ObynGreenfoot Level 12 Description,Vitesse d'attaque augmentée et les temps de recharge des singes magiques sont réduits de 5 %.
ObynGreenfoot Level 13 Description,Puissance d'éclatement et vitesse des projectiles augmentées encore plus.
ObynGreenfoot Level 14 Description,Ton attaque permet d'éclater des couches supplémentaires.
ObynGreenfoot Level 15 Description,Le gardien de la nature ralentit les Bloons de 60 % et son temps de recharge est réduit.
ObynGreenfoot Level 16 Description,Les ronces font éclater 500 Bloons chacune et peuvent infliger des dégâts à tous les types de Bloons.
ObynGreenfoot Level 17 Description,Vitesse d'attaque augmentée.
ObynGreenfoot Level 18 Description,Courroux amélioré : le compteur d'éclatement des druides de courroux débute à 200 à chaque manche.
ObynGreenfoot Level 19 Description,Ton attaque permet d'éclater des couches supplémentaires.
ObynGreenfoot Level 20 Description,Le mur d'arbres peut retenir bien plus de Bloons.
,
Ezili Level 1 Description,Ezili maudit les Bloons avec son sombre pouvoir vaudou.
Ezili Level 2 Description,Portée d'attaque augmentée.
Ezili Level 3 Description,Coup de cœur : permet de faire éclater les violets et empêche tout regonflage pendant 10 secondes.
Ezili Level 4 Description,L'attaque principale d'Ezili maudit désormais plusieurs Bloons.
Ezili Level 5 Description,Vitesse d'attaque augmentée.
Ezili Level 6 Description,Les dégâts au fil du temps durent plus longtemps et sont infligés plus rapidement.
Ezili Level 7 Description,"Totem du sacrifice : totem qui accorde une détection des Bloons camouflés, et une augmentation du pouvoir perforant, de la portée d'attaque, de la vitesse d'attaque et de la vitesse de projectile aux singes à proximité, en particulier aux singes sorciers. Épuise 10 vies."
Ezili Level 8 Description,L'attaque d'Ezili inflige bien plus de dégâts aux Bloons de classe MOAB.
Ezili Level 9 Description,"L'attaque d'Ezili retire les propriétés de camouflage, de regonflage et de fortification de tous les Bloons, sauf pour ceux de classe MOAB."
Ezili Level 10 Description,"Sortilège MOAB : jette un sort sur un Bloon de classe MOAB, qui reçoit des dégâts toutes les secondes jusqu'à annihilation."
Ezili Level 11 Description,Portée d'attaque augmentée. Augmente de 50 % la percée des Bloons réanimés.
Ezili Level 12 Description,Temps de recharge réduit et augmentation de durée pour le Coup de cœur. Inflige des dégâts accrus aux MOAB.
Ezili Level 13 Description,L'attaque de base possède un rayon d'éclaboussement et un pouvoir perforant plus grands.
Ezili Level 14 Description,Dégâts plus rapides au fil du temps.
Ezili Level 15 Description,Portée augmentée. Les dégâts au fil du temps durent plus longtemps.
Ezili Level 16 Description,Le totem du sacrifice dure plus longtemps et coûte seulement 1 vie pour l'utiliser.
Ezili Level 17 Description,L'attaque de base possède un rayon d'éclaboussement et un pouvoir perforant plus grands.
Ezili Level 18 Description,Vitesse d'attaque augmentée.
Ezili Level 19 Description,Chaque dégât infligé par l'attaque de base fait éclater 3 couches !
Ezili Level 20 Description,Le sortilège MOAB fonctionne plus rapidement et peut détruire des Bloons BAD.
,
//Hero Ability Names,
Rapid Shot Ability,Décharge rapide
Storm of Arrows Ability,Tempête de flèches 
Concussive Shell Ability,Commotion explosive
Artillery Command Ability,Commandement d'artillerie
Armor Piercing Shells Ability,Obus perforants
MOAB Barrage Ability,Barrage de MOAB
Cocktail of Fire Ability,Cocktail de flammes
Firestorm Ability,Tempête de feu
Biohack Ability,Biohack
Syphon Funding Ability,Siphonage de fonds
Rallying Roar Ability,Rugissement de ralliement
Big Squeeze Ability,Pression
Brambles Ability,Ronces
Wall of Trees Ability,Mur d'arbres
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,Triple la vitesse d'attaque pendant une courte durée.
Storm of Arrows Ability Description,Couvre une vaste superficie d'une pluie mortelle de flèches.
Concussive Shell Ability Description,Tire un obus à tête chercheuse sur le plus gros Bloon à l'écran pour l'assommer.
Artillery Command Ability Description,Réinitialise le temps de recharge de tous les lanceurs de bombes et singes à mortier.
Armor Piercing Shells Ability Description,Les tirs peuvent faire éclater les Bloons noirs et infliger des dégâts supplémentaires aux Bloons en céramique. La durée augmente au fur et à mesure que Churchill monte de niveau.
MOAB Barrage Ability Description,"Lance un barrage d'obus sur un maximum de 10 Bloons de classe MOAB à l'écran, infligeant d'énormes dégâts à chaque fois."
Cocktail of Fire Ability Description,"Lance violemment une flasque de liquide inflammable, brûlant les Bloons qui traversent le feu."
Firestorm Ability Description,"Embrase la totalité de l'écran, brûlant tous les Bloons et conférant le bonus Allumer le feu à tous les singes."
Biohack Ability Description,Les 4 singes les plus proches font éclater une couche supplémentaire par attaque pendant 6 secondes. Les singes concernés ne peuvent plus attaquer pendant 2 secondes après la fin de l'effet.
Syphon Funding Ability Description,Rétrograde la plupart des nouveaux Bloons apparus d'un rang. Doublement de l'argent obtenu par l'éclatement des Bloons concernés. Dure 10 secondes.
Rallying Roar Ability Description,Tous les singes à proximité peuvent faire éclater une couche de plus pendant un bref laps de temps.
Big Squeeze Ability Description,"Attrape un MOAB, un BFB, un DDT (s'il est visible) ou un ZOMG et l'écrase violemment pendant 5 secondes."
Brambles Ability Description,Crée un buisson piquant sur le circuit qui peut faire éclater 50 Bloons.
Wall of Trees Ability Description,"Invoque un mur d'arbres traversant le circuit pour détruire tout Bloon qui y entrera. Lorsque plein, les arbres se transforment en argent."
Heartstopper Ability Description,Permet de faire éclater les violets et empêche tout regonflage pendant 10 secondes.
Sacrificial Totem Ability Description,"Totem qui accorde une détection des Bloons camouflés, et une augmentation du pouvoir perforant, de la portée d'attaque, de la vitesse d'attaque et de la vitesse de projectile aux singes à proximité, en particulier aux singes sorciers. Épuise 10 vies."
MOAB Hex Ability Description,"Jette un sort sur un Bloon de classe MOAB, qui reçoit des dégâts toutes les secondes jusqu'à annihilation."
,
//Hero Misc,
Level,Niveau
,
//Upgrade Names,
Sharp Shots,Tirs tranchants
Quick Shots,Tirs fulgurants
Long Range Darts,Fléchettes longue portée
Razor Sharp Shots,Tirs hyper tranchants
Very Quick Shots,Tirs super fulgurants
Enhanced Eyesight,Vision améliorée
Spike-o-pult,Herse-a-pulte
Triple Shot,Triple tir
Crossbow,Arbalète
Juggernaut,Force destructrice
Super Monkey Fan Club,Fan-club de super singes
Sharp Shooter,Tireur d'élite
Ultra-Juggernaut,Force mégadestructrice
Plasma Monkey Fan Club,Fan-club de singes de plasma
Crossbow Master,Expert arbalétrier
,
Improved Rangs,Boomerangs améliorés
Faster Throwing,Lancer plus rapide
Long Range Rangs,Boomerangs à longue portée
Glaives,Glaives
Faster Rangs,Boomerangs plus rapides
Red Hot Rangs,Boomerangs brûlants
Glaive Ricochet,Ricochet de glaive
Bionc Boomerang,Boomerang bionique
Kylie Boomerang,Boomerang Kylie
M.O.A.R Glaives,Glaives PLUS
Turbo Charge,Charge turbo
MOAB Press,Presse anti-MOAB
Glaive Lord,Seigneur des glaives
Perma Charge,Charge perma
MOAB Domination,Domination des MOAB
,
Bigger Bombs,Plus grosses bombes
Faster Reload,Rechargement plus rapide
Extra Range,Portée allongée
Heavy Bombs,Bombes lourdes
Missile Launcher,Lance-missiles
Frag Bombs,Bombes à fragmentation
Really Big Bombs,Très grosses bombes
MOAB Mauler,Cogneur de MOAB
Cluster Bombs,Bombes à sous-munitions
Bloon Impact,Impact Bloon
MOAB Assassin,Assassin de MOAB
Recursive Cluster,Sous-munitions récurrentes
Bloon Crush,Écraseur de Bloons
MOAB Eliminator,Éliminateur de MOAB
Bomb Blitz,Bombardement
,
Faster Shooting,Cadence de tir plus élevée
Long Range Tacks,Punaises longue portée
More Tacks,Plus de punaises
Even Faster Shooting,Cadence de tir ultra-rapide
Super Range Tacks,Punaises super portée
Even More Tacks,Encore plus de punaises
Hot Shots,Tirs brûlants
Blade Shooter,Tireur de lames
Tack Sprayer,Pulvérisateur de punaises
Ring of Fire,Anneau de feu
Blade Maelstrom,Maelström de lames
Overdrive,Survitesse
Inferno Ring,Cercle de l'enfer
Super Maelstrom,Super maelström
The Tack Zone,La zone des punaises
,
Permafrost,Permafrost
Enhanced Freeze,Gel amélioré
Larger Radius,Rayon plus large
Metal Freeze,Froid cassant
Deep Freeze,Gel profond
Re-Freeze,Regel
Ice Shards,Éclats de glace
Arctic Wind,Vent arctique
Cryo Cannon,Canon cryo
Embrittlement,Effritement
Snowstorm,Tempête de neige
Icicles,Stalactites
Super Brittle,Méga effritement
Absolute Zero,Zéro absolu
Icicle Impale,Empalement par stalactite
,
Glue Soak,Bain de colle
Bigger Globs,Plus grosses gouttes
Stickier Glue,Colle plus forte
Corrosive Glue,Colle corrosive
Glue Splatter,Éclaboussure de colle
Stronger Glue,Colle en béton
Bloon Dissolver,Dissolvant de Bloons
Glue Hose,Jet de colle
MOAB Glue,Colle anti-MOAB
Bloon Liquefier,Liquéfieur de Bloons
Glue Strike,Frappe de colle
Relentless Glue,Colle implacable
The Bloon Solver,Dissolveur de Bloons
Glue Storm,Tempête de colle
Super Glue,Superglue
,
Full Metal Jacket,Balle blindée
Night Vision Goggles,Lunettes de vision nocturne
Fast Firing,Fusillade rapide
Large Calibre,Gros calibre
Shrapnel Shot,Tir de shrapnel
Even Faster Firing,Fusillade encore plus rapide
Deadly Precision,Précision mortelle
Bouncing Bullet,Balle rebondissante
Semi-Automatic,Semi-automatique
Maim MOAB,Mutilateur de MOAB
Supply Drop,Caisse de ravitaillement
Full Auto Rifle,Fusil entièrement automatique
Cripple MOAB,Paralysie de MOAB
Elite Sniper,Sniper d'élite
Elite Defender,Défenseur d'élite
,
Longer Range,Plus longue portée
Barbed Darts,Fléchettes barbelées
Twin Guns,Doubles canons
Advanced Intel,Renseignements
Heat-tipped Darts,Fléchettes à pointes brûlantes
Airburst Darts,Fléchettes à air
Submerge and Support,Immersion et appui
Ballistic Missile,Missile balistique
Triple Guns,Canons triples
Bloontonium Reactor,Réacteur au bloontonium
First Strike Capability,Capacité de première frappe
Armor Piercing Darts,Fléchettes perforantes
Energizer,Énergisant
Pre-emptive Strike,Attaque préventive
Sub Commander,Commandant de sous-marin
,
Buccaneer-Faster Shooting,Cadence de tir plus élevée
Buccaneer-Grape Shot,Tir en grappe
Buccaneer-Long Range,Longue portée
Buccaneer-Double Shot,Double tir
Buccaneer-Hot Shot,Tir brûlant
Buccaneer-Crow's Nest,Nid de corbeau
Buccaneer-Destroyer,Contre-torpilleur
