//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klikk
EngineerMonkey Description,Holder en trofast spikerpistol til å poppe bloons. Kan oppgraderes til å lage sitt eget vakttårn.
SpikeFactory Description,Genererer automatisk bunker med veispikere på banen i nærheten. Utmerket som siste forsvarslinje.
MonkeyAcademy Description,"Et sted for ape-utdannelse og trening. Gir mektige goder for Magiske aper, Militær- og Helteaper. Genererer litt Helte-XP hver runde."
MonkeyVillage Description,Sentrum for ape-industrien har flere goder som kan hjelpe alle apene dine. Øker radiusen til alle aper innenfor radius med 15%.
,
//Hero Names,
Quincy,Quincy
StrikerJones,Striker Jones
CaptainChurchill,Kaptein Churchill
Gwendolin,Gwendolin
Benjamin,Benjamin
PatFusty,Pat Fusty
Ezili,Ezili
ObynGreenfoot,Obyn Grønnfot
,
//Hero Short Descriptions,
Quincy Short Description,Bueskytter
StrikerJones Short Description,Artillerikommandør
CaptainChurchill Short Description,Tank
Gwendolin Short Description,Pyroman
Benjamin Short Description,Kode Ape
PatFusty Short Description,Gigantisk Ape
Ezili Short Description,Voodoo-ape
ObynGreenfoot Short Description,Skogsvokter
,
//Hero Description,
Quincy Description,"Stolt, sterk, intelligent. Quincy bruker buen sin for å vise sine fantastiske evner."
StrikerJones Description,Striker Jones er en sterk kommandør som bruker sin kunnskap innen langdistansekamp for å øke kraften av eksplosiver.
CaptainChurchill Description,"I sin lille, pansrede tank er kapteinen en farlig krigskjempe ute på slagmarken."
Gwendolin Description,Gwendolin tror det enda ikke har dukket opp et bloon-problem som ikke kan løses med ild. Masse ild.
Benjamin Description,Med sine utmerkede hackeevner kan Benjamin generere ekstra penger for saken.
PatFusty Description,Pat er en svær ape med enorm styrke. Hans unike størrelse og kraft er en stor ressurs i krigen mot bloons.
Ezili Description,Ezili er en stor manipulator av bloons. Vær på vakt. 
ObynGreenfoot Description,Med naturens krefter kan Obyn skyte gjennom solide hinder med sitt åndelige ulveangrep.
,
//Hero Level Descriptions,
Quincy Level 1 Description,Quincys piler spretter videre på opptil 3 ulike mål.
Quincy Level 2 Description,Baseangrep spretter til opptil fire mål.
Quincy Level 3 Description,Hurtigskudd: Tredobbel angrepshastighet i en kort periode.
Quincy Level 4 Description,Noe mindre rekkevidde.
Quincy Level 5 Description,Bruker sitt skarpe syn for å skyte kamuflerte bloons.
Quincy Level 6 Description,Skyter 2 piler av gangen.
Quincy Level 7 Description,Skyter eksploderende piler hvert 3. skudd.
Quincy Level 8 Description,Piler gjør trippel skade på bloons av MOAB-klasse.
Quincy Level 9 Description,Baseangrep spretter til opptil 6 mål.
Quincy Level 10 Description,Storm av piler: Dekker et stort område med et dødelig pileregn.
Quincy Level 11 Description,Økt angrepshastighet.
Quincy Level 12 Description,Hver pil får mer poppekraft.
Quincy Level 13 Description,Noe økt rekkevidde.
Quincy Level 14 Description,Piler gjør firedobbel skade på bloons av MOAB-klasse.
Quincy Level 15 Description,Hurtigskudd får x4 angrepshastighet og nedkjølingen reduseres.
Quincy Level 16 Description,Enda mer økt angrepshastighet.
Quincy Level 17 Description,Piler varer 25 % lenger. Skyter eksploderende piler hvert andre skudd.
Quincy Level 18 Description,Quincy angriper raskere og Pilstorm har en redusert nedkjølingstid og inkluderer 50 % flere piler.
Quincy Level 19 Description,"Skyter 3 piler om gangen, og hver pil får enda mer poppekraft."
Quincy Level 20 Description,Quincy angriper enda raskere. Storm av piler påfører mer skade per pil og skyter flere piler.
,
StrikerJones Level 1 Description,Striker Jones skyter en kraftig bazooka for å sprenge bloons.
StrikerJones Level 2 Description,Økt smellradius
StrikerJones Level 3 Description,Rystende patron: Skyter en guidet patron på den største bloonen på skjermen og lammer den.
StrikerJones Level 4 Description,Alle bombeskytere og morter-aper på skjermen skyter 10% raskere.
StrikerJones Level 5 Description,Gjør alle svarte bloons mindre motstandsdyktige mot eksplosiver fra alle aper.
StrikerJones Level 6 Description,Smellradiusen og poppingen for Jones’ normale angrep øker kraftig.
StrikerJones Level 7 Description,"Popper 2 lag per skudd, og morter-apenes sprengradius økes med 10%."
StrikerJones Level 8 Description,Bombeskytere i nærheten av helten får +5% rekkevidde og +25% gjennomtrengning.
StrikerJones Level 9 Description,"Økt angrepshastighet og økt rystende granatgjennomtrengning, -skade og -lamslåelse."
StrikerJones Level 10 Description,Artillerikommando: Nullstiller nedkjøling for alle bombeskytere og morter-aper.
StrikerJones Level 11 Description,Økt angrepshastighet.
StrikerJones Level 12 Description,Angrepsrekkevidden øker litt og popper et ekstra lag.
StrikerJones Level 13 Description,Økt angrepshastighet.
StrikerJones Level 14 Description,Rystende patroner påvirker et større område med lenger varighet.
StrikerJones Level 15 Description,Rystende patron-nedkjølingen reduseres til 11 sekunder.
StrikerJones Level 16 Description,Økt angrepshastighet.
StrikerJones Level 17 Description,Øker rekkevidden og popper 4 lag per skudd.
StrikerJones Level 18 Description,Alle bombeskytere og morter-aper angriper 10% raskere.
StrikerJones Level 19 Description,Økt angrepshastighet og gjør alle svarte bloons sårbare for eksplosive skader.
StrikerJones Level 20 Description,Artillerikommando gir også dobbelt skade og poppinger per skudd for alle bombeskytere og morter-aper i 10 sekunder.
,
CaptainChurchill Level 1 Description,Gjennomtrengende bomber fra tanksen kan eksplodere opptil 3 ganger.
CaptainChurchill Level 2 Description,Økt poppekraft per skudd.
CaptainChurchill Level 3 Description,Panser-knusende patroner: Skudd kan poppe svarte bloons og gjøre ekstra skade på keramiske bloons. Varigheten økes når Churchill går opp i nivå.
CaptainChurchill Level 4 Description,Økt angrepsrekkevidde.
CaptainChurchill Level 5 Description,Legger til et hurtigskytende maskingeværangrep til tanksen.
CaptainChurchill Level 6 Description,Med kikkerten kan Churchill poppe kamuflerte bloons.
CaptainChurchill Level 7 Description,Granater gir mer skade og kan eksplodere 4 ganger i stedet for 3.
CaptainChurchill Level 8 Description,Økt angrepshastighet.
CaptainChurchill Level 9 Description,Patroner kan eksplodere 5 ganger.
CaptainChurchill Level 10 Description,MOAB-sperreild: Skyter en sperreild av patroner på opptil 10 bloons av MOAB-klasse på skjermen og gjør massiv skade hver gang.
CaptainChurchill Level 11 Description,Økt poppekraft per patron.
CaptainChurchill Level 12 Description,Granater får ekstra økt skade og kan eksplodere 6 ganger.
CaptainChurchill Level 13 Description,Panser-knusende patroner popper 2 lag med bloons og gjør ekstra skade på keramiske bloons og høyere.
CaptainChurchill Level 14 Description,Maskinpistol og Hovedpistol kan poppe 1 ekstra lag per skudd.
CaptainChurchill Level 15 Description,Alle angrep gjør ekstra skade mot forsterkede bloons.
CaptainChurchill Level 16 Description,Økt angrepshastighet.
CaptainChurchill Level 17 Description,Panser-knusende patroner gjør enda mer skade.
CaptainChurchill Level 18 Description,Alle patroner popper et ekstra lag med bloons.
CaptainChurchill Level 19 Description,Patroner kan eksplodere 7 ganger.
CaptainChurchill Level 20 Description,MOAB-sperreild og hovedgevær påfører massiv økt skade per treff.
,
Gwendolin Level 1 Description,Sprekk bloons med ild fra flammepistolen hennes.
Gwendolin Level 2 Description,Øker poppekraft litt per skudd.
Gwendolin Level 3 Description,Ild-cocktail: Kaster en flaske med brennbar væske og brenner bloons som passerer gjennom ilden.
Gwendolin Level 4 Description,Skru opp varmen – med sekunders mellomrom kommer kraftige ildbølger som popper bloons og tilfører ild til ape-angrep i nærheten.
Gwendolin Level 5 Description,"Økt poppekraft. 10 % forbedret angrepshastighet og radius for ildring, signalbluss og dragepust."
Gwendolin Level 6 Description,Angrep forårsaker en brenneffekt på mål-bloonen.
Gwendolin Level 7 Description,"Skru opp varmen har økt radius., Ild-cocktail er mer effektiv."
Gwendolin Level 8 Description,Skyter 2 skudd om gangen.
Gwendolin Level 9 Description,Det første treffet popper et ekstra lag.
Gwendolin Level 10 Description,"Ildstorm: Setter fyr på hele skjermen og brenner alle bloons, mens alle aper får Fyr og flamme-økningen."
Gwendolin Level 11 Description,Økt angrepsrekkevidde.
Gwendolin Level 12 Description,Økt angrepshastighet.
Gwendolin Level 13 Description,"Øker poppekraften dramatisk, og prosjektiler beveger seg raskere og varer lengre."
Gwendolin Level 14 Description,Flammecocktail gir ekstra skade og setter fyr på MOAB-klasse bloons.
Gwendolin Level 15 Description,Økt angrepshastighet.
Gwendolin Level 16 Description,Ildstorm har økt varighet og gjør mer skade. Lilla bloons er ikke lenger immune mot angrep fra Gwendolin.
Gwendolin Level 17 Description,Varm den opp gir berørte Aper muligheten til å poppe 1 ekstra lag og gjøre +2 skade på Bly-bloons.
Gwendolin Level 18 Description,"Økt angrepshastighet. 20 % forbedret angrepshastighet og radius for ildring, signalbluss og dragepust."
Gwendolin Level 19 Description,Skyter 3 skudd om gangen.
Gwendolin Level 20 Description,Ildstorm øker skade enormt.
,
Benjamin Level 1 Description,Hakker inn 100$ hver runde.
Benjamin Level 2 Description,Genererer 150$ hver runde i stedet for 100$.
Benjamin Level 3 Description,Biohacking: De 4 nærmeste apene popper et ekstra lag per angrep i 6 sekunder. Påvirkede aper kan ikke angripe på 2 sekunder etter effekten går over.
Benjamin Level 4 Description,Skimming – tjener +1$ for hver nye bloon.
Benjamin Level 5 Description,Bankhacking – alle banker får +5% inntekt.
Benjamin Level 6 Description,Cybersikkerhet – gjenoppretter 5 liv på slutten av hver runde.
Benjamin Level 7 Description,Bloon-trojaner - Hvert andre sekund sendes det ut et trojansk programvirus til vilkårlige bloons. Påvirkede bloons setter ingen flere bloons til live når de ødelegges og produserer 1 ekstra mynt for hvert lag.
Benjamin Level 8 Description,Inntekt økt til 250$ per runde.
Benjamin Level 9 Description,Bankhacking økt til 12%
Benjamin Level 10 Description,Sifong-finansiering: Nedgraderer nyeste bloons med 1 rang. Penger per popp fra påvirkede bloons dobles. Varer i 10 sekunder
Benjamin Level 11 Description,Inntekt økt til 300$ per runde.
Benjamin Level 12 Description,Skimming økt til 2$ per bloon.
Benjamin Level 13 Description,Biohacking øker bonusskaden og påvirker 6 aper i 8 sekunder.
Benjamin Level 14 Description,Cyber-sikkerhet gir 10 liv per runde og kan gå opptil 100 over startliv.
Benjamin Level 15 Description,Inntekt økt til 500$ per runde.
Benjamin Level 16 Description,Bloon-trojaner sendes ut oftere og tjener deg mer spenn.
Benjamin Level 17 Description,Inntekt økt til 800$ per runde.
Benjamin Level 18 Description,Bloon-trojaner kan påvirke BFB og DDT-bloons.
Benjamin Level 19 Description,biohacking varer i 9 sekunder og påvirkede aper popper 3 ekstra lag i stedet for 2.
Benjamin Level 20 Description,Sifong-finansiering varer i 20 sekunder og penger per popp tredobles for påvirkede bloons.
,
PatFusty Level 1 Description,Pat slamrer bloons i bakken.
PatFusty Level 2 Description,Øker radius for smellangrep.
PatFusty Level 3 Description,Kamprop: Alle aper i nærheten kan poppe +1 lag i en kort periode.
PatFusty Level 4 Description,Økt angrepshastighet.
PatFusty Level 5 Description,Kommer fra tid til annen med et kraftig dask som skyver bloons vekk fra utgangen.
PatFusty Level 6 Description,Bloons som treffes av Pat lamslås i en kort periode.
PatFusty Level 7 Description,Økt poppekraft og skade.
PatFusty Level 8 Description,Økt angrepshastighet.
PatFusty Level 9 Description,Økt angrepsrekkevidde.
PatFusty Level 10 Description,"Hard klem: Tar en MOAB, BFB, DDT (hvis synlig) eller ZOMG BFB og knuser den i biter i løpet av 5 sekunder."
PatFusty Level 11 Description,Angrep popper flere lag.
PatFusty Level 12 Description,Økt angrepshastighet.
PatFusty Level 13 Description,Angrep lammer bloons over lengre tid og kan lamme bloons av MOAB-klasses i kort tid.
PatFusty Level 14 Description,"Kamprop med økt radius og varighet, og gir økt skade for påvirkede aper."
PatFusty Level 15 Description,Dask kan påvirke flere bloons.
PatFusty Level 16 Description,Økt angrepsrekkevidde og bonusskade på keramiske bloons.
PatFusty Level 17 Description,Økt angrepshastighet.
PatFusty Level 18 Description,Økt poppekraft.
PatFusty Level 19 Description,Angrep popper flere lag.
PatFusty Level 20 Description,Hard klem kan ta flere store bloons samtidig.
,
ObynGreenfoot Level 1 Description,Sender ulveånder for å angripe bloons.
ObynGreenfoot Level 2 Description,Naturens vrede - alle druider innen rekkevidde får +1 gjennomtrengningskraft.
ObynGreenfoot Level 3 Description,Lager en piggete busk på banen som kan poppe 50 bloons.
ObynGreenfoot Level 4 Description,Hvert 18. sekund opprettes det et totem som bremser ned alle Bloons nær totemet med 30 %. Mindre effektive vs MOAB-klasse Bloons.
ObynGreenfoot Level 5 Description,Økt angrepshastighet. Druider av jungelen har økt rekkevidde.
ObynGreenfoot Level 6 Description,Økt poppekraft og prosjektiler beveger seg raskere.
ObynGreenfoot Level 7 Description,Tornegrener kan poppe 100 bloons.
ObynGreenfoot Level 8 Description,Naturens Bekytter-totem sakker ned bloons med 40%.
ObynGreenfoot Level 9 Description,Angrep popper ekstra lag. Druider av stormen har større stormer som påfører mer skade på MOAB-er.
ObynGreenfoot Level 10 Description,"Vegg av trær: tilkaller en vegg av trær på tvers av banen som ødelegger alle bloons som går inn. Når det er fullt, sprekker trærne og blir til penger."
ObynGreenfoot Level 11 Description,"Naturens klarhet - alle magiske aper får +5 rekkevidde og +2 gjennomtrengningskraft, mens druider får +1 ekstra gjennomtrengningskraft."
ObynGreenfoot Level 12 Description,Økt angrepshastighet: og nedkjøling for Magiske aper redusert med 5 %.
ObynGreenfoot Level 13 Description,Videre økt poppekraft og prosjektilhastighet.
ObynGreenfoot Level 14 Description,Popper ekstra lag.
ObynGreenfoot Level 15 Description,"Naturens beskytter sakker bloons med 60%, og har redusert nedkjøling."
ObynGreenfoot Level 16 Description,Busker popper 500 bloons hver og kan skade alle bloon-typer.
ObynGreenfoot Level 17 Description,Økt angrepshastighet.
ObynGreenfoot Level 18 Description,Økt Vrede - alle Druider av vrede popp starter på 200 i hver runde.
ObynGreenfoot Level 19 Description,Popper ekstra lag.
ObynGreenfoot Level 20 Description,Vegg av trær kan holde mange flere bloons.
,
Ezili Level 1 Description,Ezili forbanner bloons med mørke voodookrefter.
Ezili Level 2 Description,Økt angrepsrekkevidde.
Ezili Level 3 Description,"Hjertestopper: Sakker bloons, gjør det mulig å poppe lilla og hindrer eventuell gjenvoksing i 10 sekunder."
Ezili Level 4 Description,Ezilis hovedangrep forhekser nå flere bloons.
Ezili Level 5 Description,Økt angrepshastighet.
Ezili Level 6 Description,Skade over tid varer lenger og skader raskere.
Ezili Level 7 Description,"Ofringstotem: Et totem som gir kamuflasjeoppdagelse, ekstra gjennomtrengning, angrepsrekkevidde, angrepshastighet og prosjektilfart til aper i nærheten – spesielt trollmannaper. Tar 10 liv."
Ezili Level 8 Description,Ezilis angrep gjør mye mer skade på bloons av MOAB-klasse.
Ezili Level 9 Description,"Ezilis angrep fjerner kamuflasje, gjenvoksing og forsterkning fra bloons som ikke er av MOAB-klasse."
Ezili Level 10 Description,"MOAB-forhekselse: forhekser en bloon av MOAB-klasse, den tar i mot skade hvert sekund til den utslettes."
Ezili Level 11 Description,Økt angrepsrekkevidde. Øker gjennomtreningen av gjenopplivde bloons med 50 %.
Ezili Level 12 Description,Redusert nedkjøling og økt varighet for Hjertestopper. Påfører økt skade til MOAB-er.
Ezili Level 13 Description,Baseangrep får større sprutradius og økt gjennomtrengning.
Ezili Level 14 Description,Raskere skade over tid.
Ezili Level 15 Description,Økt rekkevidde. Skade over tid varer lengre.
Ezili Level 16 Description,Ofringstotem varer lenger og koster bare 1 liv å bruke.
Ezili Level 17 Description,Baseangrep får større sprutradius og økt gjennomtrengning.
Ezili Level 18 Description,Økt angrepshastighet.
Ezili Level 19 Description,Hver skadestift fra baseangrep popper 3 lag!
Ezili Level 20 Description,MOAB Hex funker raskere og kan ødelegge BAD Bloons.
,
//Hero Ability Names,
Rapid Shot Ability,Hurtigskudd
Storm of Arrows Ability,Storm av piler 
Concussive Shell Ability,Rystende patroner
Artillery Command Ability,Artillerikommando
Armor Piercing Shells Ability,Panser-knusende patroner
MOAB Barrage Ability,MOAB-sperreild
Cocktail of Fire Ability,Ild-cocktail
Firestorm Ability,Ildstorm
Biohack Ability,Biohacking
Syphon Funding Ability,Sifong-finansiering
Rallying Roar Ability,Kamprop
Big Squeeze Ability,Hard klem
Brambles Ability,Tornegrener
Wall of Trees Ability,Vegg av trær
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,Tredobbel angrepshastighet i en kort periode.
Storm of Arrows Ability Description,Dekker et stort område med dødelig pileregn.
Concussive Shell Ability Description,Skyter en guidet patron på den største bloonen på skjermen og lammer den.
Artillery Command Ability Description,Nullstiller nedkjøling for alle bombeskytere og morter-aper.
Armor Piercing Shells Ability Description,Skudd kan poppe svarte bloons og gjøre ekstra skade på keramiske bloons. Varigheten økes når Churchill går opp i nivå.
MOAB Barrage Ability Description,Skyter en sperreild av patroner på opptil 10 bloons av MOAB-klasse på skjermen og gjør massiv skade hver gang.
Cocktail of Fire Ability Description,Kaster en flaske med brennbar væske og brenner bloons som passerer gjennom ilden.
Firestorm Ability Description,"Setter fyr på hele skjermen og brenner alle bloons, mens alle aper får Fyr og flamme-økningen."
Biohack Ability Description,De 4 nærmeste apene popper 2 ekstra lag per angrep i 6 sekunder. Påvirkede aper kan ikke angripe på 2 sekunder etter effekten går over.
Syphon Funding Ability Description,Nedgraderer de fleste nye bloons med 1 rang. Penger per popp fra påvirkede bloons dobles. Varer i 10 sekunder
Rallying Roar Ability Description,Alle aper i nærheten kan poppe +1 lag i en kort periode.
Big Squeeze Ability Description,"Tar en MOAB, BFB, DDT (hvis synlig) eller ZOMG og knuser den i biter i løpet av 5 sekunder."
Brambles Ability Description,Lager en piggete busk på banen som kan poppe 50 bloons.
Wall of Trees Ability Description,"Tilkaller en mur av trær som dekker sporet og ødelegger alle bloons som kommer. Når de er fulle, forvandles trærne til penger."
Heartstopper Ability Description,Tillater popping av lilla og hindrer eventuell gjenvoksing i 10 sekunder.
Sacrificial Totem Ability Description,"Et totem som gir kamuflasjeoppdagelse, ekstra gjennomtrengning, angrepsrekkevidde, angrepshastighet og prosjektilfart til aper i nærheten – spesielt trollmannaper. Tar 10 liv."
MOAB Hex Ability Description,"Forhekser en bloon av MOAB-klasse, den tar i mot skade hvert sekund frem til den utslettes."
,
//Hero Misc,
Level,Nivå
,
//Upgrade Names,
Sharp Shots,Skarpskudd
Quick Shots,Raske skudd
Long Range Darts,Dartpiler med\nlang rekkevidde
Razor Sharp Shots,Sylskarpe skudd
Very Quick Shots,Veldig raske skudd
Enhanced Eyesight,Forbedret sikte
Spike-o-pult,Pigg-o-pult
Triple Shot,Trippeskudd
Crossbow,Armbrøst
Juggernaut,Juggernaut
Super Monkey Fan Club,Superape-fanklubb
Sharp Shooter,Skarpskytter
Ultra-Juggernaut,Ultra-Juggernaut
Plasma Monkey Fan Club,Plasma-ape-fanklubb
Crossbow Master,Armbrøstmester
,
Improved Rangs,Forsterkede 'ranger
Faster Throwing,Raskere kast
Long Range Rangs,Langkast 'ranger
Glaives,Lanser
Faster Rangs,Raskere ‘ranger
Red Hot Rangs,Glovarme 'ranger
Glaive Ricochet,Rikosjetterende glaive
Bionc Boomerang,Bionisk bumerang
Kylie Boomerang,Kylie bumerang
M.O.A.R Glaives,M.O.A.S-lanse
Turbo Charge,Turbolading
MOAB Press,MOAB-presse
Glaive Lord,Sverd-herre
Perma Charge,Permaladning
MOAB Domination,MOAB-dominering
,
Bigger Bombs,Større bomber
Faster Reload,Raskere omlading
Extra Range,Ekstra rekkevidde
Heavy Bombs,Tunge bomber
Missile Launcher,Rakettkaster
Frag Bombs,Granater
Really Big Bombs,Veldig store bomber
MOAB Mauler,MOAB-mishandler
Cluster Bombs,Klasebomber
Bloon Impact,Bloon-effekt
MOAB Assassin,MOAB-snikmorder
Recursive Cluster,Rekursiv klase
Bloon Crush,Bloon-knuser
MOAB Eliminator,MOAB-eliminator
Bomb Blitz,Bombeblitz
,
Faster Shooting,Raskere skuddveksling
Long Range Tacks,Stifter med lang rekkevidde
More Tacks,Flere stifter
Even Faster Shooting,Enda raskere skyting
Super Range Tacks,Stifter med\nsuper rekkevidde
Even More Tacks,Enda flere stifter
Hot Shots,Varmeskudd
Blade Shooter,Bladskyter
Tack Sprayer,Stiftsprøyter
Ring of Fire,Ring av ild
Blade Maelstrom,Bladmalstrøm
Overdrive,Høygir
Inferno Ring,Inferno-ring
Super Maelstrom,Super malstrøm
The Tack Zone,Stiftesonen
,
Permafrost,Permafrost
Enhanced Freeze,Forbedret frysing
Larger Radius,Større radius
Metal Freeze,Kuldebrekk
Deep Freeze,Dypfrysing
Re-Freeze,Gjenfrysing
Ice Shards,Isskår
Arctic Wind,Arktisk vind
Cryo Cannon,Kryokanon
Embrittlement,Skjørhet
Snowstorm,Snøstorm
Icicles,Istapper
Super Brittle,Superskjør
Absolute Zero,Absolutt nullpunkt
Icicle Impale,Istapp-spidding
,
Glue Soak,Limbløtlegging
Bigger Globs,Større klumper
Stickier Glue,Klebrigere lim
Corrosive Glue,Korrosivt lim
Glue Splatter,Limsprut
Stronger Glue,Sterkere lim
Bloon Dissolver,Bloon-oppløser
Glue Hose,Limslange
MOAB Glue,MOAB-lim
Bloon Liquefier,Bloon-væskeomgjører
Glue Strike,Limangrep
Relentless Glue,Nådeløst lim
The Bloon Solver,Bloonløsningen
Glue Storm,Limstorm
Super Glue,Superlim
,
Full Metal Jacket,Human kule
Night Vision Goggles,Nattsynbriller
Fast Firing,Kjapp avfyring
Large Calibre,Stort kaliber
Shrapnel Shot,Splinterskudd
Even Faster Firing,Enda raske avfyring
Deadly Precision,Dødlig presisjon
Bouncing Bullet,Sprettkule
Semi-Automatic,Halv-automatisk
Maim MOAB,MOAB-skadeskyter
Supply Drop,Forsyningsslipp
Full Auto Rifle,Helautomatisk gevær
Cripple MOAB,Vanføre MOAB
Elite Sniper,Elite-snikskytter
Elite Defender,Elite-forsvarer
,
Longer Range,Lenger rekkevidde
Barbed Darts,Piggete piler
Twin Guns,Dobbelkraft
Advanced Intel,Proff etterretning
Heat-tipped Darts,Piggtråd-dartpiler
Airburst Darts,Trippelangrep
Submerge and Support,Gå under vann
Ballistic Missile,Ballistisk missil
Triple Guns,Trippelkanoner
Bloontonium Reactor,Bloontonium-reaktor
First Strike Capability,Førsteangrepsevne
Armor Piercing Darts,Panser-knusende dartpiler
Energizer,Opplader
Pre-emptive Strike,Forhåndsangrep
Sub Commander,Underkommandør
,
Buccaneer-Faster Shooting,Raskere skuddveksling
Buccaneer-Grape Shot,Drueskudd
Buccaneer-Long Range,Lang rekkevidde
Buccaneer-Double Shot,Dobbelskudd
Buccaneer-Hot Shot,Varmeskudd
Buccaneer-Crow's Nest,Kråkerede
Buccaneer-Destroyer,Ødelegger
Buccaneer-Cannon Ship,Kanonskip
Buccaneer-Merchantman,Handelsmann
Buccaneer-Aircraft Carrier,Hangarskip
Buccaneer-Monkey Pirates,Apepirater
Buccaneer-Favored Trades,Foretrukne handelsvarer
Buccaneer-Carrier Flagship,Transport-flaggskip
Buccaneer-Pirate Lord,Piratherre
Buccaneer-Trade Empire,Handelsimperium
,
Rapid Fire,Rask skuddveksling
Exploding Pineapple,Eksploderende ananas
Sharper Darts,Skarpere dartpiler
Lots More Darts,Mange flere dartpiler
Spy Plane,Spionfly
Centered Path,Sentrert bane
Fighter Plane,Jagerfly
Bomber Ace,Bombe-ess
Neva-Miss Targeting,Aldri bom mållokalisering
Operation: Dart Storm,Operasjon: Dart-storm
Ground Zero,Angrepssted
Spectre,Spekter
Sky Shredder,Skykutter
Tsar Bomba,Tsar Bomba
Flying Fortress,Flyvende festning
,
Quad Darts,Kvadruple dartpiler
Bigger Jets,Større dyser
Faster Firing,Raskere skyting
Pursuit,Forfølg
IFR,IFR
Faster Darts,Raskere dartpiler
Razor Rotors,Skarpe rotorer
Downdraft,Trekkraft
MOAB Shove,MOAB-dytt
Apache Dartship,Apache-dartskip
Support Chinook,Støtte-Chinook
Comanche Defense,Comanche-forsvar
Apache Prime,Apache-prima
Special Poperations,Spesial-popperasjon
Comanche Commander,Comanche-kommandør
,
Bigger Blast,Større smell
Mortar Faster Reload,Raskere omlading
Increased Accuracy,Økt presisjon
Bloon Buster,Bloon-buster
Mortar Rapid Reload,Rask lading
Burny Stuff,Brennende saker
Shockwave,Granatsjokk
Heavy Shells,Tunge patroner
Signal Flare,Signalbluss
The Big One,Den store
Artillery Battery,Artilleribatteri
Shattering Shells,Knusende patroner
The Biggest One,Den aller største
Pop and Awe,Popp og ærefrykt
Blooncineration,Bloonsinerasjon
,
Focused Firing,Fokusert avfyring
Advanced Targeting,Avansert målretting
Powerful Darts,Kraftfulle dartpiler
Faster Swivel,Raskere snurring
Faster Barrel Spin,Raskere avfyring
Depleted Bloontonium,Utarmet bloontonium
Laser Shock,Lasersjokk
Laser Cannon,Laserkanon
Hydra Rocket Pods,Hydra-rakettutskyter
Buckshot,Haggel
Plasma Accelerator,Plasma-akselerator
Rocket Storm,Rakettstorm
Bloon Area Denial System,Bloon-områdenektingssystem
Ray of Doom,Dommedagsstråle
M.A.D,M.A.D
Bloon Exclusion Zone,Bloon-eksklusjonsområde
,
Guided Magic,Guidet magi
