//Input. Needs to be first e.g [I] replaced by click or tap,
Click,คลิก
MonkeyAce Description,บินเหนือพื้นดินและยิงลูกดอกที่โจมตีศัตรูได้หลายตัว
HeliPilot Description,สามารถลอยตัว ณ ตำแหน่งที่คุณสั่ง ยิงโจมตีด้วยปืนลูกดอกหนักแบบคู่
MortarMonkey Description,ยิงกระสุนปืนครกระเบิดไปยังตำแหน่งตายตัวที่กำหนดไว้บนหน้าจอ
WizardMonkey Description,ยิงพลังงานเวทมนตร์โจมตีลูกโป่ง อัปเกรดเพื่อใช้คาถาอันทรงพลังหลากหลายชนิด
DartlingGunner Description,ใช้ปืนกลยิงลูกดอก โจมตีตามตำแหน่งที่คุณชี้บนหน้าจอ
SuperMonkey Description,ขว้างลูกดอกนับร้อยด้วยความเร็วเหนือเสียง มีระยะโจมตีไกลมาก
NinjaMonkey Description,ลิงลอบเร้นผู้ว่องไว ขว้างชูริเคนแหลมคมเพื่อเจาะลูกโป่ง สามารถเล็งลูกโป่งลายพรางได้
Alchemist Description,ใช้พลังแห่งวิทยาศาสตร์และเวทมนตร์ สาดน้ำกรดใส่ลูกโป่ง นอกจากนี้ยังปรุงน้ำยาหลากชนิดที่ให้ผลแตกต่างกันไป
Druid Description,สร้างหนามจำนวนมากในการโจมตีแต่ละครั้ง เมื่ออัปเกรดแล้วสามารถใช้พลังผืนป่า วายุ หรือโทสะ
BananaFarm Description,สร้างกล้วยในแต่ละรอบ ซึ่งจะถูกแปลงเป็นเงินในเกมเพื่อนำไปซื้อสิ่งต่างๆ
EngineerMonkey Description,ใช้ปืนตะปูคู่ใจเจาะลูกโป่ง อัปเกรดเพื่อสร้างป้อมระวังภัยที่ยิงตะปูเองได้
SpikeFactory Description,สร้างกองตะปูถนนบนเส้นทางที่อยู่ใกล้เคียงโดยอัตโนมัติ เป็นแนวป้องกันสุดท้ายอันยอดเยี่ยม
MonkeyAcademy Description,สถานที่สำหรับการศึกษาและฝึกอบรมของชาวลิง มอบบัฟอันทรงพลังให้กับลิงทหาร ลิงเวทมนตร์ และลิงฮีโร่ สร้าง XP ฮีโร่ปริมาณเล็กน้อยในทุกๆ รอบ
MonkeyVillage Description,ศูนย์กลางอุตสาหกรรมของชาวลิง มีบัฟต่างๆ มากมายเอาไว้ช่วยลิงทุกชนิด เพิ่มระยะโจมตีให้กับลิงทุกตัวในรัศมี 10%
,
//Hero Names,
Quincy,ควินซี่
StrikerJones,สไตรเกอร์โจนส์
CaptainChurchill,กัปตันเชอร์ชิล
Gwendolin,เกว็นโดลิน
Benjamin,เบนจามิน
PatFusty,แพ็ท ฟัสตี้
Ezili,เอซิลี่
ObynGreenfoot,โอบีน กรีนฟุต
,
//Hero Short Descriptions,
Quincy Short Description,นักธนู
StrikerJones Short Description,ผู้บัญชาการปืนใหญ่
CaptainChurchill Short Description,ทหารรถถัง
Gwendolin Short Description,นักวางเพลิง
Benjamin Short Description,ลิงนักโค้ด
PatFusty Short Description,ลิงยักษ์
Ezili Short Description,ลิงวูดู
ObynGreenfoot Short Description,ผู้พิทักษ์ผืนป่า
,
//Hero Description,
Quincy Description,เปี่ยมด้วยความภาคภูมิ แข็งแกร่ง และเฉลียวฉลาด ควินซี่ใช้ธนูของเขาแสดงทักษะอันน่าทึ่งมากมาย
StrikerJones Description,สไตรเกอร์โจนส์เป็นผู้บัญชาการที่แข็งแกร่ง ใช้ความรู้เรื่องการรบพิสัยไกลเพื่อเพิ่มความรุนแรงของอาวุธระเบิดขึ้นอย่างมาก
CaptainChurchill Description,ด้วยรถถังหุ้มเกราะ กัปตันผู้นี้ไม่ได้มาสนามรบเล่นๆ
Gwendolin Description,เกว็นโดลินเชื่อว่าปัญหาเรื่องลูกโป่งทุกอย่างแก้ไขได้ด้วยไฟ ยิ่งแรงยิ่งดี
Benjamin Description,เบนจามินใช้ทักษะการแฮ็กชั้นยอดเพื่อหารายได้มาสนับสนุนอุดมการณ์ของชาวลิง
PatFusty Description,แพ็ทเป็นลิงตัวใหญ่ผู้มีพละกำลังมหาศาล ร่างกายกำยำและพลังที่ไม่เหมือนใครของเขาเป็นประโยชน์ในการทำสงครามกับลูกโป่งอย่างยิ่ง
Ezili Description,เอซิลี่เป็นผู้ใช้ศาสตร์มืดและมีพลังในการบงการลูกโป่ง จงระวังให้ดี
ObynGreenfoot Description,โอบีนบงการพลังแห่งธรรมชาติ เขาสามารถยิงทะลวงสิ่งกีดขวางอันแข็งแกร่งด้วยพลังวิญญาณหมาป่า
,
//Hero Level Descriptions,
Quincy Level 1 Description,ลูกธนูของควินซี่ชิ่งไปยังเป้าหมายอื่นสูงสุด 3 ตัว
Quincy Level 2 Description,การโจมตีพื้นฐานชิ่งไปยังเป้าหมายสูงสุด 4 ตัว
Quincy Level 3 Description,ยิงจู่โจมว่องไว: เพิ่มความเร็วโจมตีเป็น 3 เท่าเป็นระยะเวลาสั้นๆ
Quincy Level 4 Description,ระยะโจมตีไกลขึ้นเล็กน้อย
Quincy Level 5 Description,ใช้สายตาอันเฉียบคมเพื่อยิงลูกโป่งลายพราง
Quincy Level 6 Description,ยิงลูกศรคราวละ 2 ลูก
Quincy Level 7 Description,ยิงลูกศรระเบิดทุกการยิงครั้งที่ 3
Quincy Level 8 Description,ลูกศรทำดาเมจ 3 เท่ากับลูกโป่งคลาส MOAB
Quincy Level 9 Description,การโจมตีพื้นฐานชิ่งไปยังเป้าหมายสูงสุด 6 ตัว
Quincy Level 10 Description,พายุลูกศร: ยิงห่าฝนลูกธนูสังหารศัตรูเป็นบริเวณกว้าง
Quincy Level 11 Description,เพิ่มความเร็วโจมตี
Quincy Level 12 Description,ลูกศรแต่ละลูกมีพลังการเจาะมากขึ้น
Quincy Level 13 Description,เพิ่มระยะโจมตีไกลขึ้นเล็กน้อย
Quincy Level 14 Description,ลูกศรทำดาเมจ 4 เท่ากับลูกโป่งคลาส MOAB
Quincy Level 15 Description,"สกิล ""ยิงจู่โจมว่องไว"" มีความเร็วโจมตีเพิ่มเป็น 4 เท่า พร้อมลดคูลดาวน์"
Quincy Level 16 Description,เพิ่มความเร็วโจมตีขึ้นไปอีก
Quincy Level 17 Description,ลูกศรอยู่นานกว่าเดิม 25% ยิงลูกศรระเบิดทุกการยิงครั้งที่ 2
Quincy Level 18 Description,"ควินซี่โจมตีเร็วขึ้น และสกิล ""พายุลูกศร"" มีคูลดาวน์ลดลง พร้อมเพิ่มลูกศรอีก 50%"
Quincy Level 19 Description,ลูกศรแต่ละลูกมีพลังการเจาะมากขึ้นไปอีก
Quincy Level 20 Description,"ควินซี่โจมตีเร็วยิ่งขึ้นไปอีก ลูกศรแต่ละลูกของสกิล ""พายุลูกศร"" ทำดาเมจแรงขึ้น และยิงลูกศรเป็นจำนวนมากกว่าเดิม"
,
StrikerJones Level 1 Description,สไตรเกอร์โจนส์ยิงบาซูก้าอันทรงพลังเพื่อระเบิดลูกโป่ง
StrikerJones Level 2 Description,เพิ่มรัศมีระเบิด
StrikerJones Level 3 Description,กระสุนกระแทก: ยิงกระสุนติดตามเป้าหมายใส่ลูกโป่งที่ใหญ่สุดในจอและสตันลูกโป่งตัวนั้น
StrikerJones Level 4 Description,เครื่องยิงระเบิดและลิงปืนครกทั้งหมดในจอโจมตีเร็วขึ้น 10%
StrikerJones Level 5 Description,ทำให้ลูกโป่งสีดำทั้งหมดต้านดาเมจระเบิดจากลิงทุกชนิดได้น้อยลง
StrikerJones Level 6 Description,รัศมีระเบิดและพลังเจาะจากการโจมตีธรรมดาของโจนส์เพิ่มขึ้นอย่างมาก
StrikerJones Level 7 Description,เจาะลูกโป่ง 2 ชั้นต่อนัด และเพิ่มรัศมีระเบิดของลิงปืนครก 10%
StrikerJones Level 8 Description,เครื่องยิงระเบิดที่อยู่ใกล้ฮีโร่มีระยะโจมตีไกลขึ้น +5% และโจมตีศัตรูหลายตัวขึ้น +25%
StrikerJones Level 9 Description,"เพิ่มความเร็วโจมตี และทำให้สกิล ""กระสุนกระแทก"" โจมตีศัตรูได้หลายตัวขึ้น ดาเมจแรงขึ้น และสตันนานขึ้น"
StrikerJones Level 10 Description,บัญชาปืนใหญ่: รีเซ็ตคูลดาวน์ของเครื่องยิงระเบิดและลิงปืนครกทั้งหมด
StrikerJones Level 11 Description,เพิ่มความเร็วโจมตี
StrikerJones Level 12 Description,เพิ่มระยะโจมตีเล็กน้อย และเจาะชั้นลูกโป่งได้มากขึ้น
StrikerJones Level 13 Description,เพิ่มความเร็วโจมตี
StrikerJones Level 14 Description,"สกิล ""กระสุนกระแทก"" มีรัศมีกว้างขึ้นและทำงานนานขึ้น"
StrikerJones Level 15 Description,"คูลดาวน์ของสกิล ""กระสุนกระแทก"" ลดลงเป็น 11 วินาที"
StrikerJones Level 16 Description,เพิ่มความเร็วโจมตี
StrikerJones Level 17 Description,เพิ่มระยะและเจาะลูกโป่ง 4 ชั้นต่อนัด
StrikerJones Level 18 Description,เครื่องยิงระเบิดและลิงปืนครกทั้งหมดโจมตีเร็วขึ้นอีก 10%
StrikerJones Level 19 Description,เพิ่มความเร็วโจมตี และทำให้ลูกโป่งสีดำทั้งหมดอ่อนแอต่อดาเมจระเบิด
StrikerJones Level 20 Description,"สกิล ""บัญชาปืนใหญ่"" ยังทำให้เครื่องยิงระเบิดและลิงปืนครกทั้งหมดทำดาเมจและเจาะลูกโป่งเพิ่มเป็นสองเท่าต่อนัด นาน 10 วินาที"
,
CaptainChurchill Level 1 Description,กระสุนทะลวงจากรถถังสามารถระเบิดได้สูงสุด 3 ครั้ง
CaptainChurchill Level 2 Description,เพิ่มพลังการเจาะต่อนัด
CaptainChurchill Level 3 Description,กระสุนเจาะเกราะ: กระสุนสามารถเจาะลูกโป่งสีดำและทำดาเมจเพิ่มเติมกับลูกโป่งเซรามิก เพิ่มระยะเวลาตามเลเวลของเชอร์ชิล
CaptainChurchill Level 4 Description,เพิ่มระยะโจมตี
CaptainChurchill Level 5 Description,เพิ่มการโจมตีด้วยปืนกลยิงเร็วให้กับรถถัง
CaptainChurchill Level 6 Description,กล้องส่องทางไกลทำให้เชอร์ชิลเจาะลูกโป่งลายพรางได้
CaptainChurchill Level 7 Description,กระสุนทำดาเมจแรงขึ้น และระเบิดได้ 4 ครั้งจากเดิม 3 ครั้ง
CaptainChurchill Level 8 Description,เพิ่มความเร็วโจมตี
CaptainChurchill Level 9 Description,กระสุนระเบิดได้ 5 ครั้ง
CaptainChurchill Level 10 Description,กระหน่ำยิง MOAB: กระหน่ำยิงลูกโป่งคลาส MOAB สูงสุด 10 ลูกในจอ ทำดาเมจมหาศาลในแต่ละครั้ง
CaptainChurchill Level 11 Description,เพิ่มพลังการเจาะต่อนัด
CaptainChurchill Level 12 Description,กระสุนทำดาเมจแรงขึ้นอีก และระเบิดได้ 6 ครั้ง
CaptainChurchill Level 13 Description,"สกิล ""กระสุนเจาะเกราะ"" เจาะลูกโป่ง 2 ชั้น และทำดาเมจเพิ่มเติมกับลูกโป่งคลาสเซรามิกและคลาสสูงกว่า"
CaptainChurchill Level 14 Description,ปืนกลและปืนหลักเจาะได้เพิ่มเติมอีก 1 ชั้นต่อนัด
CaptainChurchill Level 15 Description,การโจมตีทั้งหมดทำดาเมจเพิ่มเติมกับลูกโป่งเสริมเกราะ
CaptainChurchill Level 16 Description,เพิ่มความเร็วโจมตี
CaptainChurchill Level 17 Description,"สกิล ""กระสุนเจาะเกราะ"" ทำดาเมจแรงขึ้นไปอีก"
CaptainChurchill Level 18 Description,กระสุนทุกชนิดเจาะลูกโป่งเพิ่มอีกหนึ่งชั้น
CaptainChurchill Level 19 Description,กระสุนระเบิดได้ 7 ครั้ง
CaptainChurchill Level 20 Description,"กระสุนของสกิล ""กระหน่ำยิง MOAB"" และปืนหลักทำดาเมจต่อนัดแรงขึ้นอย่างมาก"
,
Gwendolin Level 1 Description,ทำลายลูกโป่งด้วยไฟจากปืนไฟของเธอ
Gwendolin Level 2 Description,เพิ่มพลังการเจาะต่อนัดเล็กน้อย
Gwendolin Level 3 Description,ค็อกเทลเพลิง: โยนขวดสารไวไฟทำให้เกิดไฟไหม้ตรงจุดที่โยน เผาลูกโป่งที่เคลื่อนผ่าน
Gwendolin Level 4 Description,เติมความร้อน - ทุกสองสามวินาทีจะสร้างคลื่นไฟอันทรงพลังเพื่อเจาะลูกโป่ง และเพิ่มไฟให้กับการโจมตีของลิงที่อยู่ใกล้เคียง
Gwendolin Level 5 Description,"เพิ่มพลังการเจาะ เพิ่มความเร็วโจมตี 10% และเพิ่มรัศมีของสกิล ""วงแหวนเพลิง"", ""พลุสัญญาณ"" และ ""ลมหายใจมังกร"""
Gwendolin Level 6 Description,การโจมตีทำให้ลูกโป่งเป้าหมายติดสถานะเผาไหม้
Gwendolin Level 7 Description,"สกิล ""เติมความร้อน"" มีรัศมีกว้างขึ้น และสกิล ""ค็อกเทลเพลิง"" รุนแรงขึ้น"
Gwendolin Level 8 Description,ยิงไฟ 2 ลูกต่อนัด
Gwendolin Level 9 Description,เมื่อลูกไฟโดนเป้าหมายครั้งแรก จะเจาะลูกโป่งเพิ่มเติม 1 ชั้น
Gwendolin Level 10 Description,"พายุอัคคี: ทำให้หน้าจอลุกไหม้ เผาลูกโป่งทั้งหมดและมอบบัฟ ""เติมความร้อน"" ให้ลิงทุกตัว"
Gwendolin Level 11 Description,เพิ่มระยะโจมตี
Gwendolin Level 12 Description,เพิ่มความเร็วโจมตี
Gwendolin Level 13 Description,เพิ่มพลังการเจาะอย่างมาก กระสุนเคลื่อนไหวได้เร็วขึ้นและอยู่ได้นานขึ้น
Gwendolin Level 14 Description,"สกิล ""ค็อกเทลเพลิง"" ทำดาเมจเพิ่มเติม และทำให้ลูกโป่งคลาส MOAB ติดสถานะเผาไหม้"
Gwendolin Level 15 Description,เพิ่มความเร็วโจมตี
Gwendolin Level 16 Description,"สกิล ""พายุอัคคี"" มีระยะเวลานานขึ้นและทำดาเมจแรงขึ้น ลูกโป่งสีม่วงต้านทานการโจมตีของเกว็นโดนลินไม่ได้อีกต่อไป"
Gwendolin Level 17 Description,"สกิล ""เติมความร้อน"" ทำให้ลิงเจาะลูกโป่งเพิ่มเติมอีก 1 ชั้น และทำดาเมจ +2 กับลูกโป่งตะกั่ว"
Gwendolin Level 18 Description,"เพิ่มความเร็วโจมตี เพิ่มความเร็วโจมตี 20% และเพิ่มรัศมีของสกิล ""วงแหวนเพลิง"", ""พลุสัญญาณ"" และ ""ลมหายใจมังกร"""
Gwendolin Level 19 Description,ยิงไฟ 3 ลูกต่อนัด
Gwendolin Level 20 Description,"สกิล ""พายุอัคคี"" ทำดาเมจแรงขึ้นอย่างมาก"
,
Benjamin Level 1 Description,แฮ็กเงิน $100 ต่อรอบ
Benjamin Level 2 Description,รายรับเพิ่มเป็น $150 ต่อรอบ จากเดิม $100
Benjamin Level 3 Description,ไบโอแฮ็ก: ลิงที่อยู่ใกล้สุด 4 ตัวเจาะลูกโป่งเพิ่มเติม 1 ชั้นต่อการโจมตีแต่ละครั้ง มีผลนาน 6 วินาที ลิงที่ได้รับเอฟเฟกต์นี้จะโจมตีไม่ได้ 2 วินาทีหลังจากเอฟเฟกต์จบลง
Benjamin Level 4 Description,ขโมยข้อมูล - ได้รับ +$1 ทุกครั้งที่มีลูกโป่งเกิดใหม่
Benjamin Level 5 Description,แฮ็กธนาคาร - ธนาคารทั้งหมดมีรายรับเพิ่มขึ้น +5%
Benjamin Level 6 Description,สกัดภัยไซเบอร์ - ฟื้นฟู 5 ชีวิตเมื่อจบแต่ละรอบ
Benjamin Level 7 Description,ลูกโป่งโทรจัน - ทุกสองสามวินาทีจะส่งไวรัสซอฟต์แวร์โทรจันไปยังลูกโป่งแบบสุ่ม ลูกโป่งที่โดนไวรัสจะไม่สร้างลูกโป่งลูกออกมาเมื่อถูกทำลาย และให้เงินเพิ่ม $1 ต่อชั้น
Benjamin Level 8 Description,รายรับเพิ่มเป็น $250 ต่อรอบ
Benjamin Level 9 Description,"สกิล ""แฮ็กธนาคาร"" เพิ่มรายรับเป็น 12%"
Benjamin Level 10 Description,ยักยอกเงิน: ลดเกรดลูกโป่งตัวล่าสุดที่เกิดใหม่ 1 ขั้น ลูกโป่งที่โดนสกิลนี้จะให้เงินเมื่อถูกเจาะมากขึ้นเป็น 2 เท่า มีผลนาน 10 วินาที
Benjamin Level 11 Description,รายรับเพิ่มเป็น $300 ต่อรอบ
Benjamin Level 12 Description,"สกิล ""ขโมยข้อมูล"" เพิ่มเงินเป็น $2 ต่อลูกโป่งหนึ่งลูก"
Benjamin Level 13 Description,"สกิล ""ไบโอแฮ็ก"" เพิ่มดาเมจโบนัส และส่งผลกับลิง 6 ตัว นาน 8 วินาที"
Benjamin Level 14 Description,"สกิล ""สกัดภัยไซเบอร์"" เพิ่ม 10 ชีวิตต่อรอบ และเพิ่มเกินจากชีวิตเริ่มต้นได้อีกสูงสุด 100 ชีวิต"
Benjamin Level 15 Description,รายรับเพิ่มเป็น $500 ต่อรอบ
Benjamin Level 16 Description,ส่งลูกโป่งโทรจันบ่อยขึ้นและรับเงินมากขึ้น
Benjamin Level 17 Description,รายรับเพิ่มเป็น $800 ต่อรอบ
Benjamin Level 18 Description,ลูกโป่งโทรจันส่งผลกับลูกโป่งคลาส BFB และ DDT ได้
Benjamin Level 19 Description,"สกิล ""ไบโอแฮ็ก"" มีผลนาน 9 วินาที และลิงที่ได้รับเอฟเฟกต์เจาะได้เพิ่มเติม 3 ชั้น จากเดิม 2 ชั้น"
Benjamin Level 20 Description,"สกิล ""ยักยอกเงิน"" มีผลนาน 20 วินาที และเงินที่ได้ต่อการเจาะลูกโป่งที่โดนสกิลจะเพิ่มเป็น 3 เท่า"
,
PatFusty Level 1 Description,แพ็ททุบลูกโป่งให้จนดิน
PatFusty Level 2 Description,เพิ่มรัศมีการทุบ
PatFusty Level 3 Description,คำรามรวมพล: ลิงใกล้เคียงทั้งหมดเจาะลูกโป่งได้เพิ่มเติม +1 ชั้นเป็นเวลาสั้นๆ
PatFusty Level 4 Description,เพิ่มความเร็วโจมตี
PatFusty Level 5 Description,บางครั้งจะโจมตีด้วยท่าตบอันรุนแรง ผลักลูกโป่งให้ห่างจากทางออก
PatFusty Level 6 Description,ลูกโป่งที่ถูกแพ็ทโจมตีจะสตันเป็นระยะเวลาสั้นๆ
PatFusty Level 7 Description,เพิ่มพลังการเจาะและดาเมจ
PatFusty Level 8 Description,เพิ่มความเร็วโจมตี
PatFusty Level 9 Description,เพิ่มระยะโจมตี
PatFusty Level 10 Description,"เต็มไม้เต็มมือ: คว้าลูกโป่งคลาส MOAB, BFB, DDT (ถ้ามองเห็น) หรือ ZOMG และขยี้ให้แหลกโดยใช้เวลา 5 วินาที"
PatFusty Level 11 Description,การโจมตีจะเจาะได้หลายชั้นมากขึ้น
PatFusty Level 12 Description,เพิ่มความเร็วโจมตี
PatFusty Level 13 Description,การโจมตีสตันลูกโป่งนานขึ้น และสามารถสตันลูกโป่งคลาส MOAB ได้ชั่วครู่
PatFusty Level 14 Description,"สกิล ""คำรามรวมพล"" มีรัศมีกว้างขึ้น เวลาทำงานนานขึ้น และลิงที่ได้รับเอฟเฟกต์เรียกรวมพลจะทำดาเมจแรงขึ้น"
PatFusty Level 15 Description,การโจมตีท่าตบโดนลูกโป่งเป็นจำนวนมากขึ้น
PatFusty Level 16 Description,เพิ่มระยะโจมตีและทำดาเมจโบนัสกับลูกโป่งเซรามิก
PatFusty Level 17 Description,เพิ่มความเร็วโจมตี
PatFusty Level 18 Description,เพิ่มพลังการเจาะ
PatFusty Level 19 Description,การโจมตีจะเจาะได้หลายชั้นมากขึ้น
PatFusty Level 20 Description,"สกิล ""เต็มไม้เต็มมือ"" จับลูกโป่งขนาดใหญ่ได้หลายลูกในคราวเดียว"
,
ObynGreenfoot Level 1 Description,ส่งวิญญาณหมาป่าไปโจมตีลูกโป่ง
ObynGreenfoot Level 2 Description,ธรรมชาติพิโรธ - ดรูอิดทั้งหมดในระยะโจมตีศัตรูเพิ่ม +1 ตัว
ObynGreenfoot Level 3 Description,เถาไม้หนาม: สร้างเถาไม้หนามบนเส้นทาง สามารถเจาะลูกโป่งได้ 50 ลูก
ObynGreenfoot Level 4 Description,ทุก 18 วินาทีจะสร้างโทเท็มที่ลดความเร็วลูกโป่งทั้งหมดที่เข้าใกล้โทเท็ม 30% เอฟเฟกต์จะลดลงถ้าเป็นลูกโป่งคลาส MOAB
ObynGreenfoot Level 5 Description,เพิ่มความเร็วโจมตี ดรูอิดแห่งผืนป่ามีระยะโจมตีไกลขึ้น
ObynGreenfoot Level 6 Description,เพิ่มพลังการเจาะ และกระสุนเคลื่อนที่เร็วขึ้น
ObynGreenfoot Level 7 Description,"สกิล ""เถาไม้หนาม"" เจาะลูกโป่งได้ 100 ลูก"
ObynGreenfoot Level 8 Description,โทเท็มธรรมชาติคุ้มภัยลดความเร็วลูกโป่งลง 40%
ObynGreenfoot Level 9 Description,การโจมตีจะเจาะได้หลายชั้นมากขึ้น ดรูอิดแห่งวายุสร้างพายุลูกใหญ่ขึ้น ทำดาเมจกับ MOAB แรงขึ้น
ObynGreenfoot Level 10 Description,กำแพงพฤกษา: เรียกกำแพงต้นไม้มาขวางเส้นทาง ทำลายลูกโป่งทั้งหมดที่เข้าไป เมื่อเต็มความจุแล้ว กำแพงต้นไม้จะระเบิดออกเป็นเงิน
ObynGreenfoot Level 11 Description,"ความกระจ่างแห่งธรรมชาติ - ลิงเวทมนตร์ทุกตัวในระยะมีระยะโจมตีไกลขึ้น +5, โจมตีศัตรูเพิ่ม +2 ตัว และดรูอิดโจมตีศัตรูเพิ่ม +1 ตัว"
ObynGreenfoot Level 12 Description,เพิ่มความเร็วโจมตี และคูลดาวน์ของลิงเวทมนตร์ลดลง 5%
ObynGreenfoot Level 13 Description,เพิ่มพลังการเจาะและความเร็วกระสุนขึ้นไปอีก
ObynGreenfoot Level 14 Description,การโจมตีจะเจาะได้หลายชั้นมากขึ้น
ObynGreenfoot Level 15 Description,โทเท็มธรรมชาติคุ้มภัยลดความเร็วลูกโป่งลง 60% และมีคูลดาวน์น้อยลง
ObynGreenfoot Level 16 Description,"สกิล ""เถาไม้หนาม"" เจาะลูกโป่งได้เถาละ 500 ลูก และทำดาเมจกับลูกโป่งได้ทุกประเภท"
ObynGreenfoot Level 17 Description,เพิ่มความเร็วโจมตี
ObynGreenfoot Level 18 Description,เสริมพลังโทสะ - ดรูอิดแห่งโทสะทุกตัวมีพลังการเจาะเริ่มต้นในแต่ละยกที่ 200
ObynGreenfoot Level 19 Description,การโจมตีจะเจาะได้หลายชั้นมากขึ้น
ObynGreenfoot Level 20 Description,"สกิล ""กำแพงพฤกษา"" บรรจุลูกโป่งได้เยอะขึ้นมาก"
,
Ezili Level 1 Description,เอซิลี่สาปลูกโป่งด้วยพลังวูดูแห่งความมืด
Ezili Level 2 Description,เพิ่มระยะโจมตี
Ezili Level 3 Description,หยุดหัวใจ: ทำให้บลูนเคลื่อนที่ช้าลง ทำให้สามารถทำลายบลูนสีม่วงได้ และหยุดการฟื้นฟูของบลูน 10 วินาที
Ezili Level 4 Description,การโจมตีหลักของเอซิลี่จะสาปลูกโป่งหลายลูก
Ezili Level 5 Description,เพิ่มความเร็วโจมตี
Ezili Level 6 Description,ดาเมจต่อเนื่องนานขึ้นและทำดาเมจเร็วขึ้น
Ezili Level 7 Description,"โทเท็มสังเวย: โทเท็มที่ให้บัฟตรวจจับบลูนพรางตัว, เพิ่มจำนวนศัตรูที่โจมตีได้, เพิ่มระยะโจมตี, เพิ่มความเร็วโจมตี และเพิ่มความเร็วกระสุนกับลิงที่อยู่ใกล้เคียง โดยเฉพาะลิงผู้วิเศษ แต่ต้องเสีย 10 ชีวิต"
Ezili Level 8 Description,การโจมตีของเอซิลี่ทำดาเมจกับลูกโป่งคลาส MOAB รุนแรงขึ้นอย่างมาก
Ezili Level 9 Description,การโจมตีของเอซิลี่ทำให้ลูกโป่งที่ไม่ใช่คลาส MOAB สูญเสียสถานะพรางตัว ฟื้นฟู และเสริมเกราะ
Ezili Level 10 Description,คำสาป MOAB: สาปลูกโป่งคลาส MOAB ทำให้ได้รับดาเมจทุกวินาทีจนกว่าจะถูกทำลาย
Ezili Level 11 Description,เพิ่มระยะโจมตี ลูกโป่งผีดิบโจมตีศัตรูได้หลายตัวขึ้น 50%
Ezili Level 12 Description,"สกิล ""หยุดหัวใจ"" มีคูลดาวน์ลดลง และระยะเวลาทำงานนานขึ้น ทำดาเมจแรงขึ้นกับ MOAB"
Ezili Level 13 Description,การโจมตีพื้นฐานมีรัศมีกว้างขึ้น และโจมตีศัตรูได้หลายตัวขึ้น
Ezili Level 14 Description,ทำดาเมจต่อเนื่องเร็วขึ้น
Ezili Level 15 Description,เพิ่มระยะ ดาเมจต่อเนื่องเกิดนานขึ้น
Ezili Level 16 Description,"สกิล ""โทเท็มสังเวย"" ทำงานนานขึ้น และเสียเพียง 1 ชีวิตในการใช้"
Ezili Level 17 Description,การโจมตีพื้นฐานมีรัศมีกว้างขึ้น และโจมตีศัตรูได้หลายตัวขึ้น
Ezili Level 18 Description,เพิ่มความเร็วโจมตี
