//Input. Needs to be first e.g [I] replaced by click or tap,
Click,クリック
Quincy Description,自尊心が高く、強く、そして聡明なクインシーは、弓を使って離れ業をやってのける。
StrikerJones Description,ストライカー・ジョーンズは長距離戦の知識を駆使し、爆破力に輪をかける力強い司令官。
CaptainChurchill Description,武装した戦車の中にいるこの大佐には、戦場でのナンセンスは一切通用しない。
Gwendolin Description,グウェンドリンは、炎で解決できないブルーン問題は、これまでに存在しないと信じている。たくさんの火炎で。
Benjamin Description,ベンジャミンは、エリート級ハッカー技術を使い、目的のために追加のお金を作り出す。
PatFusty Description,パットはものすごい力を備えた巨大モンキー。彼のユニークな大きさとパワーは、ブルーン戦争では素晴らしい資産だ。
Ezili Description,エジーリは闇の術の使い手でブルーンを操ることができる。気を付けろ。 
ObynGreenfoot Description,自然の指令権力を持つオービンは、オオカミの精の攻撃で堅い障害物も打ち抜くことができる。
,
//Hero Level Descriptions,
Quincy Level 1 Description,クインシーの弓矢は、最大3つのターゲットにバウンスする。
Quincy Level 2 Description,基本攻撃が最大4つのターゲットにバウンスする。
Quincy Level 3 Description,急速ショット：短期間の間、三倍速で攻撃。
Quincy Level 4 Description,もう少し長い距離。
Quincy Level 5 Description,鋭い視力を使ってカモフラージュブルーンを撃ち落とす。
Quincy Level 6 Description,一度に2本の弓を撃つ。
Quincy Level 7 Description,3発ごとに爆破する矢を撃つ。
Quincy Level 8 Description,弓矢がMOAB級ブルーンに3倍ダメージを与える。
Quincy Level 9 Description,基本攻撃が最大6つのターゲットにバウンスする。
Quincy Level 10 Description,矢の嵐：広い地域に致命的な弓矢の雨をふらす。
Quincy Level 11 Description,攻撃速度が増加。
Quincy Level 12 Description,弓矢ごとの破裂パワーが強くなる。
Quincy Level 13 Description,少し距離が増える。
Quincy Level 14 Description,弓矢がMOAB級ブルーンに4倍ダメージを与える。
Quincy Level 15 Description,急速ショットの攻撃速度が4倍になり、クールダウン期間が短縮する。
Quincy Level 16 Description,攻撃速度がさらに増加。
Quincy Level 17 Description,弓矢の持続時間が25％延長。
Quincy Level 18 Description,クインシーがより素早く攻撃し、矢の嵐のクールダウン時間が短縮され、矢の数が50％増える。
Quincy Level 19 Description,弓ごとの破裂パワーがさらに強くなる。
Quincy Level 20 Description,クインシー攻撃はさらに速くなる。 矢の嵐の、弓ごとの破壊力と弓の数が増加し、さらに矢を撃つ。
,
StrikerJones Level 1 Description,ストライカー・ジョーンズ強力なバズーカでブルーンを爆破する。
StrikerJones Level 2 Description,爆破半径が増加。
StrikerJones Level 3 Description,ブルブル炸裂弾：自動誘導の炸裂弾を画面上の最も大きいブルーンに撃ち、マヒさせる。
StrikerJones Level 4 Description,画面上のすべての爆弾シューターと迫撃砲モンキーは10％速く撃ちます。
StrikerJones Level 5 Description,全てのモンキーからの爆破ダメージに対する、全ての黒いブルーンの耐性が減少。
StrikerJones Level 6 Description,爆破半径とジョーンズの普通攻撃の破裂が大幅にアップ。
StrikerJones Level 7 Description,撃つごとに2層を割り、迫撃砲モンキーの爆発半径が10％増加します。
StrikerJones Level 8 Description,ヒーローの近くの爆弾シューターの範囲が+5％、貫通が+25％アップ。
StrikerJones Level 9 Description,攻撃速度とが増加、ブルブル炸裂弾の貫通度、ダメージ、マヒもアップ。
StrikerJones Level 10 Description,砲兵コマンド：すべての爆弾シューターと迫撃砲モンキーのクールダウンをリセットします。
StrikerJones Level 11 Description,攻撃速度が増加。
StrikerJones Level 12 Description,攻撃範囲が少し増え、もう一つの層を割ることができる。
StrikerJones Level 13 Description,攻撃速度が増加。
StrikerJones Level 14 Description,ブルブル炸裂弾が、より広い地域により長い期間影響を与える。
StrikerJones Level 15 Description,ブルブル炸裂弾のクールダウンが11秒まで減少。
StrikerJones Level 16 Description,攻撃速度が増加。
StrikerJones Level 17 Description,範囲が増え、発射ごとに4層を割る。
StrikerJones Level 18 Description,すべての爆弾シューターと迫撃砲モンキーはさらに10％速く攻撃します。
StrikerJones Level 19 Description,加速された攻撃スピードで、全ての黒ブルーンの爆破ダメージに対する耐性を下げる。
StrikerJones Level 20 Description,砲兵コマンドはまた、爆弾シューターと迫撃砲モンキーの両方に2秒間のダメージとポップを10秒間与えます。
,
CaptainChurchill Level 1 Description,戦車から撃ち放った爆弾が、最高で3回爆発する。
CaptainChurchill Level 2 Description,発射ごとの割る力が増加。
CaptainChurchill Level 3 Description,武装貫通炸裂爆弾：黒ブルーンを割ることができ、陶器ブルーンに追加ダメージを与える。チャーチルのレベルが上がるにつれ、時間も増える。
CaptainChurchill Level 4 Description,攻撃範囲が拡大。
CaptainChurchill Level 5 Description,戦車攻撃用の早撃ちマシンガンを追加する。
CaptainChurchill Level 6 Description,双眼鏡により、チャーチルがカモフラージュブルーンを割れるようになる。
CaptainChurchill Level 7 Description,炸裂弾の与えるダメージが増え、爆発回数が3回でなく4回になる。
CaptainChurchill Level 8 Description,攻撃速度が増加。
CaptainChurchill Level 9 Description,炸裂弾が5回爆発できる。
CaptainChurchill Level 10 Description,MOAB一斉攻撃：画面上の10個までのMOAB級ブルーンに炸裂弾の一斉攻撃をあびせ、命中するごとに巨大なダメージを与える。
CaptainChurchill Level 11 Description,炸裂弾ごとの破裂パワーが増加。
CaptainChurchill Level 12 Description,炸裂弾のダメージが増え、6回爆発できるようになる。
CaptainChurchill Level 13 Description,武装貫通炸裂弾が、ブルーンを2層分割り、陶器以上の物に対し追加ダメージを与える。
CaptainChurchill Level 14 Description,マシンガンとメインの銃が、ショットごとに追加で1つの層を割る。
CaptainChurchill Level 15 Description,全ての攻撃が強化ブルーンに対し追加ダメージを与える。
CaptainChurchill Level 16 Description,攻撃速度が増加。
CaptainChurchill Level 17 Description,武装貫通炸裂弾が、さらにダメージ与えるようになる。
CaptainChurchill Level 18 Description,全ての炸裂弾が、ブルーンの層をもう一層割るようになる。
CaptainChurchill Level 19 Description,炸裂弾が6回爆発できる。
CaptainChurchill Level 20 Description,MOAB射撃砲弾とメインのガンは、命中するとダメージを大幅に増加させる。
,
Gwendolin Level 1 Description,放火銃からの火でブルーンを爆破する。
Gwendolin Level 2 Description,発射ごとの割る力が、少し増加。
Gwendolin Level 3 Description,炎のカクテル：引火性の液体のフラスクを投げつけ、炎を通過するブルーンを燃やす。
Gwendolin Level 4 Description,ヒートアップ：数秒ごとに強力な炎の爆風を作りだしてブルーンを割り、付近のモンキー攻撃に炎を加える。
Gwendolin Level 5 Description,破裂パワーが増加。
Gwendolin Level 6 Description,攻撃すると、狙ったブルーンに燃焼効果を起こす。
Gwendolin Level 7 Description,ヒートアップの半径が増加し、炎のカクテルがより効果的になった。
Gwendolin Level 8 Description,発射ごとに、2個の火炎弾を撃つ。
Gwendolin Level 9 Description,爆破ごとの初回の命中で破裂させる層が一層増える。
Gwendolin Level 10 Description,火の嵐：画面全体に火をつけ全てのブルーンを燃やし、全てのモンキーにヒートアップのバフを与える。
Gwendolin Level 11 Description,攻撃範囲が拡大。
Gwendolin Level 12 Description,攻撃速度が増加。
Gwendolin Level 13 Description,破裂パワーが増加するほか、投射物が高速で移動し長もちするようになる。
Gwendolin Level 14 Description,炎のカクテルが追加ダメージを与え、MOAB級のブルーンに着火する。
Gwendolin Level 15 Description,攻撃速度が増加。
Gwendolin Level 16 Description,火の嵐の期間が増加。紫のブルーンのグウェンドリンの攻撃に対する体制がなくなる。
Gwendolin Level 17 Description,ヒートアップの影響を受けたモンキーは、追加で一層割れるようになり、また鉛ブルーンに対し+2のダメージを与えられるようになる。
Gwendolin Level 18 Description,攻撃速度が増加。
Gwendolin Level 19 Description,発射ごとに、3個の火炎弾を撃つ。
Gwendolin Level 20 Description,火の嵐の与えるダメージが大幅に増加。
,
Benjamin Level 1 Description,ラウンドごとに$100をハッキングで入手。
Benjamin Level 2 Description,ラウンドごとに$100ではなく、$150の利益をもたらす
Benjamin Level 3 Description,バイオハック：4つの最も近いモンキーが攻撃ごとに追加の層を6秒間割る。影響を受けたモンキーは効果終了後2秒間攻撃できない。
Benjamin Level 4 Description,スキミング - 新しいブルーンがスポーンするたびに、+$1獲得する。
Benjamin Level 5 Description,銀行ハッキング - 全ての銀行が+5％の収入を獲得する。
Benjamin Level 6 Description,サイバーセキュリティ- 各ラウンドの終わりに、5個のライフを回復する。
Benjamin Level 7 Description,ブルーントロイの木馬 – 数秒ごとにトロイの木馬のウィルスを無作為にブルーンに送る。感染したブルーンが破壊されると子ブルーンをスポーンせず、一層ごとに追加で1キャッシュ産出する。
Benjamin Level 8 Description,ラウンドごとの収入が$250に増加。
Benjamin Level 9 Description,銀行ハッキングが12％に増加。
Benjamin Level 10 Description,サイホン資金：新しく生まれたブルーンを1ランク下げる。影響を受けるブルーンからは、1ポットあたりの現金は2倍。
Benjamin Level 11 Description,ラウンドごとの収入が$300に増加。
Benjamin Level 12 Description,スキミングがブルーンごとに＄2に増加。
Benjamin Level 13 Description,バイオハックは、ボーナスダメージを増やしてくれる。6匹のモンキーに対し8秒間有効。
Benjamin Level 14 Description,サイバーセキュリティが、ラウンドごとに10個のライフを追加し、スタート時のライフの100を超えることもある。
Benjamin Level 15 Description,ラウンドごとの収入が$500に増加。
Benjamin Level 16 Description,トロイのブルーンでは、もっと多くのブルーンが送り出され、もっと現金を獲得できる。
Benjamin Level 17 Description,ラウンドごとの収入が$800に増加。
Benjamin Level 18 Description,ブルーンのトロイの木馬はBFBとDDTブルーンに影響する。
Benjamin Level 19 Description,バイオハックは9秒間続き、影響を受けたモンキーは2の代わりに3つの追加の層を割る。
Benjamin Level 20 Description,吸い上げ式資金調達が20秒間続き、影響を受けているブルーンがごとの破裂時のキャッシュが、通常の三倍になる。
,
PatFusty Level 1 Description,パットはブルーンを地面へ叩き付ける。
PatFusty Level 2 Description,スラム攻撃の半径が増加。
PatFusty Level 3 Description,叫びのスローガン：短時間の間、付近のモンキー全員がもう一層割れるようになる。
PatFusty Level 4 Description,攻撃速度が増加。
PatFusty Level 5 Description,ブルーンを出口から遠ざけるパワフルな打撃を与えることがある。
PatFusty Level 6 Description,パットに攻撃されたブルーンは、短時間マヒする。
PatFusty Level 7 Description,破裂パワーとダメージが増加。
PatFusty Level 8 Description,攻撃速度が増加。
PatFusty Level 9 Description,攻撃範囲が拡大。
PatFusty Level 10 Description,ビッグスクイーズ：MOAB、BFB、DDT（見える場合）またはZOMGを掴み、5秒間粉々に砕く。
PatFusty Level 11 Description,攻撃でより多くの層を割れるようになる。
PatFusty Level 12 Description,攻撃速度が増加。
PatFusty Level 13 Description,攻撃すると、ブルーンをより長い時間マヒさせ、とても短い間だがMOAB級ブルーンをマヒさせる。
PatFusty Level 14 Description,叫びのスローガンの半径と期間が増え、影響下にあるモンキーのダメージが増える。
PatFusty Level 15 Description,スラップ攻撃が、より多くのブルーンに影響を及ぼす。
PatFusty Level 16 Description,攻撃範囲が増え、陶器にボーナスダメージを与える。
PatFusty Level 17 Description,攻撃速度が増加。
PatFusty Level 18 Description,破裂パワーが増加。
PatFusty Level 19 Description,攻撃でより多くの層を割れるようになる。
PatFusty Level 20 Description,ビッグスクイーズは、一度に複数の大型ブルーンを掴むことができる。
,
ObynGreenfoot Level 1 Description,オオカミの精でブルーンを攻撃。
ObynGreenfoot Level 2 Description,自然の怒り―範囲内の全てのドルイドの貫通がプラス1に。
ObynGreenfoot Level 3 Description,トラック上に、一度の50個のブルーンを割れるトゲの茂みを作り出す。
ObynGreenfoot Level 4 Description,付近の全てのブルーンを30％遅延させるトーテムを、18秒に1回作る。MOAB級ブルーンに対する効果は薄い。
ObynGreenfoot Level 5 Description,攻撃速度が大幅に増加。ジャングルのドルイドの射程距離がアップした。
ObynGreenfoot Level 6 Description,破裂パワーが増え、投射物がもっと高速で移動する。
ObynGreenfoot Level 7 Description,ブランブルは100個のブルーンを割ることができる。
ObynGreenfoot Level 8 Description,自然区域のトーテムが、ブルーンを40％遅らせる。
ObynGreenfoot Level 9 Description,攻撃すると余分な層を割れる。嵐のドルイドに、MOABに対しもっとたくさんのダメージを与えるより大きな嵐が備わっている。
ObynGreenfoot Level 10 Description,木の壁：通過する全てのブルーンを破壊してくれる木の壁をトラック上に召喚する。一杯になると、木々は破裂してお金になる。
ObynGreenfoot Level 11 Description,自然の明晰－範囲内の全ての魔法モンキーの範囲がプラス5、貫通がプラス2、そしてドルイドの貫通が追加でプラス1になる。
ObynGreenfoot Level 12 Description,攻撃速度が増加し、マジックモンキーのクールダウンが5％減少した。
ObynGreenfoot Level 13 Description,破裂パワーと投射物の速度がさらにアップ。
ObynGreenfoot Level 14 Description,攻撃すると余分な層を割れる。
ObynGreenfoot Level 15 Description,自然区域が、ブルーンを60％遅らせる。クールダウンが短縮。
ObynGreenfoot Level 16 Description,ブランブルはそれぞれ500個のブルーンを割り、全種類のブルーンにダメージを与えられる。
ObynGreenfoot Level 17 Description,攻撃速度が増加。
ObynGreenfoot Level 18 Description,怒りの改善-怒りのドルイド全てが、各ラウンド開始時の割り数が200になる。
ObynGreenfoot Level 19 Description,攻撃すると余分な層を割れる。
ObynGreenfoot Level 20 Description,木の壁が、もっとたくさんのブルーンを収容できるようになる。
,
Ezili Level 1 Description,エジーリが、闇のブードゥーパワーでブルーンに呪いをかける。
Ezili Level 2 Description,攻撃範囲が拡大。
Ezili Level 3 Description,ハートストッパー：6秒の間、再増殖型の発生を防ぐ。
Ezili Level 4 Description,エジーリのメイン攻撃が、複数のブルーンを呪うようになる。
Ezili Level 5 Description,攻撃速度が増加。
Ezili Level 6 Description,時間経過ダメージの期間とダメージ持続時間が増える。
Ezili Level 7 Description,いけにえのトーテム：付近のモンキーに、カモフラージュ検知、さらなる貫通、攻撃範囲、攻撃スピードを与えるトーテム。10個のライフを消費する。
Ezili Level 8 Description,エジーリの攻撃はMOAB級ブルーンよりはるかに大きなダメージを与える。
Ezili Level 9 Description,イージーリの攻撃は、迷彩、再増殖型、および非MOABクラスのブルーンからの武装プロパティを取り除きます。
Ezili Level 10 Description,MOABヘックス：MOAB級ブルーンの一つに呪いをかけ、全滅するまで一秒ごとにダメージを与える。
Ezili Level 11 Description,攻撃範囲を増やす。蘇生ブルーンに対する貫通度が50％アップ。
Ezili Level 12 Description,ハートストッパーのクールダウンが短縮し、期間が増加。MOABへのダメージが増加。
Ezili Level 13 Description,基本攻撃のスプラッシュ範囲が広がり、貫通も増加。
Ezili Level 14 Description,時間経過ダメージがよりスピーディーに。
Ezili Level 15 Description,範囲が拡大。時間経過ダメージの期間が増える。
Ezili Level 16 Description,いけにえのトーテムが長持ちし、使用に必要なのは1ライフのみ。
Ezili Level 17 Description,基本攻撃のスプラッシュ範囲が広がり、貫通も増加。
Ezili Level 18 Description,攻撃速度が増加。
Ezili Level 19 Description,基本攻撃からの各ダメージ数が、3層分割る！
Ezili Level 20 Description,MOABヘックスはよりスピーディーに働くので、BADブルーンを破壊できる。
,
//Hero Ability Names,
Rapid Shot Ability,急速ショット
Storm of Arrows Ability,矢の嵐 
Concussive Shell Ability,ブルブル炸裂弾
Artillery Command Ability,砲兵コマンド
Armor Piercing Shells Ability,武装貫通炸裂弾
MOAB Barrage Ability,MOAB一斉攻撃
Cocktail of Fire Ability,炎のカクテル
Firestorm Ability,火の嵐
Biohack Ability,バイオハッキング
Syphon Funding Ability,吸い上げ式資金調達
Rallying Roar Ability,叫びのスローガン
Big Squeeze Ability,ビッグスクイーズ
Brambles Ability,イバラ
Wall of Trees Ability,木の壁
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,短期間の間、攻撃スピードが三倍。
Storm of Arrows Ability Description,広い地域に致命的な弓矢の雨をふらす。
Concussive Shell Ability Description,誘導炸裂弾を画面上の一番大きなブルーンに向けて撃ち、マヒさせる。
Artillery Command Ability Description,すべての爆弾シューターとモルタルモンキーのクールダウンを短縮する。
Armor Piercing Shells Ability Description,黒ブルーンを割ることができ、陶器ブルーンに追加ダメージを与える。チャーチルのレベルが上がるにつれ、時間も増える。
MOAB Barrage Ability Description,画面上の10個までのMOAB級ブルーンに炸裂弾の一斉攻撃をあびせ、命中するごとに巨大なダメージを与える。
Cocktail of Fire Ability Description,引火性の液体のフラスクを投げつけ、炎を通過するブルーンを燃やす。
Firestorm Ability Description,画面全体に着火し全てのブルーンを燃やし、ヒートアップのバフを全てのモンキーに与える。
Biohack Ability Description,一番近くの4匹のモンキーが、6秒間追加の層を割る。影響を受けたモンキーは、効果が切れたあと2秒間攻撃できない。
Syphon Funding Ability Description,一番新しくスポーンしたブルーンを1ランク分ダウングレードさせる。影響を受けたブルーンを割った時に得られるキャッシュは二倍になる。10秒間有効。
Rallying Roar Ability Description,短時間の間、付近のモンキー全員がもう一層割れるようになる。
Big Squeeze Ability Description,MOAB、BFB、DDT（見える場合）またはZOMGをつかみ、5秒間粉々に砕いてしまう。
Brambles Ability Description,50個のブルーンを割れるトゲの茂みをトラック上に作り出す。
Wall of Trees Ability Description,通過する全てのブルーンを破壊してくれる木の壁をトラック上に召喚する。一杯になると、木々は破裂してお金になる。
Heartstopper Ability Description,6秒間に再増殖型が起こらないようにします。
Sacrificial Totem Ability Description,迷彩の検出、さらなる貫通度、攻撃範囲、攻撃速度、発射速度を近くのモンキーに与えるトーテム。 10ライフ減少。
MOAB Hex Ability Description,MOAB級ブルーンに呪いをかけると、消滅するまで毎秒ダメージを受ける。
,
//Hero Misc,
Level,レベル
,
//Upgrade Names,
Sharp Shots,シャープショット
Quick Shots,クイックショット
Long Range Darts,長距離ダーツ
Razor Sharp Shots,上級シャープショット
Very Quick Shots,超クイックショット
Enhanced Eyesight,アイサイト
Spike-o-pult,スパイクでつぶせ！
Triple Shot,トリプルショット
Crossbow,クロスボウ
Juggernaut,巨人
Super Monkey Fan Club,スーパーモンキー\nファンクラブ
Sharp Shooter,シャープシューター
Ultra-Juggernaut,巨大ジャガーノート
Plasma Monkey Fan Club,プラズマモンキー・ファンクラブ
Crossbow Master,クロスボウ・エキスパート
,
Improved Rangs,改良ブーメラン
Faster Throwing,高速投げ
Long Range Rangs,長距離ブーメラン
Glaives,剣
Faster Rangs,高速ブーメラン
Red Hot Rangs,炎のブーメラン
Glaive Ricochet,グレイヴ・リコシェット
Bionc Boomerang,人工ブーメラン
Kylie Boomerang,カイリー・ブーメラン
M.O.A.R Glaives,M.O.A.R剣
Turbo Charge,ターボチャージ
MOAB Press,MOABプレス
Glaive Lord,剣の天王
Perma Charge,永久チャージ
MOAB Domination,MOAB天下
,
Bigger Bombs,ビッグボム
Faster Reload,迅速リロード
Extra Range,射程距離プラス
Heavy Bombs,巨大ボム
Missile Launcher,ミサイルランチャー
Frag Bombs,フラッグ爆弾
Really Big Bombs,超巨大ボム
MOAB Mauler,MOAB\nモーラー
Cluster Bombs,クラスター爆弾
Bloon Impact,ブルーンインパクト
MOAB Assassin,MOAB刺客
Recursive Cluster,再帰的クラスター
Bloon Crush,ブルーンクラッシュ
MOAB Eliminator,MOABエリミネーター
Bomb Blitz,爆弾ブリッツ
,
Faster Shooting,高速射撃
Long Range Tacks,長距離びょう
More Tacks,もっとびょう
Even Faster Shooting,超高速射撃
Super Range Tacks,スーパー長距離びょう
Even More Tacks,もっともっとびょう
Hot Shots,ホットショット
Blade Shooter,ブレードシューター
Tack Sprayer,びょうスプリンクラー
Ring of Fire,火の輪
Blade Maelstrom,ブレード大混乱
Overdrive,オーバードライブ
Inferno Ring,猛火の輪
Super Maelstrom,スーパー大混乱
The Tack Zone,びょうゾーン
,
Permafrost,パーマフロスト
Enhanced Freeze,強化フリーズ
Larger Radius,大きな半径
Metal Freeze,凍結スナップ
Deep Freeze,ディープフリーズ
Re-Freeze,再フリーズ
Ice Shards,氷の破片
Arctic Wind,北極風
Cryo Cannon,低温大砲
Embrittlement,脆化
Snowstorm,雪嵐
Icicles,つらら
Super Brittle,超脆化
Absolute Zero,絶対零度
Icicle Impale,つらら貫通
,
Glue Soak,グルー漬け
Bigger Globs,大きなネバネバ塊
Stickier Glue,粘着グルー
Corrosive Glue,腐敗性グルー
Glue Splatter,グルースプリンクラー
Stronger Glue,強力グルー
Bloon Dissolver,ブルーン溶解機
Glue Hose,グルーホース
MOAB Glue,MOABグルー
Bloon Liquefier,ブルーン液化機
Glue Strike,グルー攻撃
Relentless Glue,苛酷なグルー
The Bloon Solver,ブルーン溶解剤
Glue Storm,グルーストーム
Super Glue,スーパー接着剤
,
Full Metal Jacket,弾丸
Night Vision Goggles,暗視ゴーグル
Fast Firing,早撃ち
Large Calibre,大口径
Shrapnel Shot,散弾銃ショット
Even Faster Firing,超早撃ち
Deadly Precision,恐るべき正確さ
Bouncing Bullet,跳ね返る銃弾
Semi-Automatic,セミオートマチック
Maim MOAB,マイムMOAB
Supply Drop,供給品ドロップ
Full Auto Rifle,完全自動ライフル
Cripple MOAB,MOAB不能化
Elite Sniper,エリートスナイパー
Elite Defender,エリートディフェンダー
,
Longer Range,長射程距離
Barbed Darts,とげダーツ
Twin Guns,ツインガン
Advanced Intel,上級諜報
Heat-tipped Darts,加熱性ダーツ
Airburst Darts,エアバースト・ダーツ
Submerge and Support,潜水サポート
Ballistic Missile,弾道ミサイル
Triple Guns,トリプル銃
Bloontonium Reactor,ブルーントニウム炉
First Strike Capability,先制攻撃能力
Armor Piercing Darts,武装貫通ダーツ
Energizer,エナジャイザー
Pre-emptive Strike,先手攻撃
Sub Commander,潜水艦司令官
,
Buccaneer-Faster Shooting,高速射撃
Buccaneer-Grape Shot,ブドウショット
Buccaneer-Long Range,長距離
Buccaneer-Double Shot,ダブルショット
Buccaneer-Hot Shot,ホットショット
Buccaneer-Crow's Nest,カラスの巣
Buccaneer-Destroyer,デストロイヤー
Buccaneer-Cannon Ship,大砲船
Buccaneer-Merchantman,商人
Buccaneer-Aircraft Carrier,空母
Buccaneer-Monkey Pirates,モンキーパイレーツ
Buccaneer-Favored Trades,好まれる取引
Buccaneer-Carrier Flagship,キャリヤー旗船
Buccaneer-Pirate Lord,海賊の王
Buccaneer-Trade Empire,貿易帝国
,
Rapid Fire,急速発射
Exploding Pineapple,パイナップル爆弾
Sharper Darts,シャーパーダーツ
Lots More Darts,もっとダーツ
Spy Plane,スパイ航空機
Centered Path,中央の経路
Fighter Plane,戦闘機
Bomber Ace,爆撃エース
Neva-Miss Targeting,標的ネバ－ミス
Operation: Dart Storm,オペレーション：ダートストーム
Ground Zero,爆心地
Spectre,スペクター
Sky Shredder,スカイシュレッド
Tsar Bomba,ツァーボンバー
Flying Fortress,空飛ぶ要塞
,
Quad Darts,クワッドダーツ
Bigger Jets,大型ジェット
Faster Firing,高速射撃
Pursuit,追求する
IFR,IFR
Faster Darts,高速ダーツ
Razor Rotors,回転剃刀
Downdraft,ダウンドラフト
MOAB Shove,MOAB押しつけ
Apache Dartship,アパッチダーツ機
Support Chinook,チヌーク補佐
Comanche Defense,コマンチ防衛
Apache Prime,アパッチプライム
Special Poperations,特別破裂準備
Comanche Commander,コマンチ司令官
,
Bigger Blast,ビッグブラスト
Mortar Faster Reload,迅速リロード
Increased Accuracy,正確さアップ
Bloon Buster,ブルーンバスター
Mortar Rapid Reload,高速リロード
Burny Stuff,バーニースタッフ
Shockwave,炸裂弾ショック
Heavy Shells,重装備炸裂弾
Signal Flare,信号弾
The Big One,ザ・ビッグ
Artillery Battery,集中砲火
Shattering Shells,散弾炸裂弾
The Biggest One,ザ・ビッグ・プラス
Pop and Awe,割ってびっくり
Blooncineration,ブルーン転生
,
Focused Firing,照準ファイア
Advanced Targeting,アドバンス・ターゲティング
Powerful Darts,強力ダーツ
Faster Swivel,高速回転
Faster Barrel Spin,高速銃身スピン
Depleted Bloontonium,劣化ブルーントニウム
Laser Shock,レーザーショック
Laser Cannon,レーザー砲
Hydra Rocket Pods,ハイドラ･ロケットポッド
Buckshot,バックショット
Plasma Accelerator,プラズマアクセル
Rocket Storm,ロケットストーム
Bloon Area Denial System,ブルーン地域行動制止システム
Ray of Doom,ドゥーム光線
