//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicka
PatFusty,Pat Fusty
Ezili,Ezili
ObynGreenfoot,Obyn Grönfot
,
//Hero Short Descriptions,
Quincy Short Description,Bågskytt
StrikerJones Short Description,Artillerichef
CaptainChurchill Short Description,Stridsvagn
Gwendolin Short Description,Pyroman
Benjamin Short Description,Kodapa
PatFusty Short Description,Jätteapa
Ezili Short Description,Voodooapa
ObynGreenfoot Short Description,Skogsvaktare
,
//Hero Description,
Quincy Description,"Med stolthet, styrka och intelligens använder Quincy sin båge för att utföra stordåd."
StrikerJones Description,Striker Jones är en stark kommendant som använder sin kunskap om långdistansstrid för att öka kraften hos sprängmedel betydligt.
CaptainChurchill Description,I sin stridsvagn är kaptenen en klippa som absolut inte skämtar på slagfältet.
Gwendolin Description,Gwendolin är övertygad om att det inte har förekommit något Bloon-problem som inte kan lösas med eld. Massor med eld.
Benjamin Description,"Med hjälp av sina enastående hackerkunskaper, kan Benjamin få ihop extra pengar för saken."
PatFusty Description,Pat är en stor apa med enorm styrka. Hans unika storlek och kraft är en stor tillgång i kriget mot Bloons.
Ezili Description,Ezili är en mästare i de mörka krafterna och kan manipulera Bloons. Var försiktig.  
ObynGreenfoot Description,Obyn hanterar naturkrafterna och kan skjuta genom fasta hinder med sin vargandeattack.
,
//Hero Level Descriptions,
Quincy Level 1 Description,Quincys pilar studsar till upp till 3 olika mål.
Quincy Level 2 Description,Grundattacken studsar till upp till 4 mål.
Quincy Level 3 Description,Snabbeld: Tre gånger så hög attackhastighet under kort tid.
Quincy Level 4 Description,Något längre räckvidd.
Quincy Level 5 Description,Använder sitt skarpa öga för att skjuta Kamo-Bloons.
Quincy Level 6 Description,Skjuter 2 pilar i taget.
Quincy Level 7 Description,Avfyrar exploderande pilar var 3:e skott.
Quincy Level 8 Description,Pilar åsamkar tre gånger så hög skada på MOAB-klass-Bloons.
Quincy Level 9 Description,Grundattacken studsar till upp till 6 mål.
Quincy Level 10 Description,Pilstorm: Täcker ett stort område med ett dödligt pilregn.
Quincy Level 11 Description,Ökad attackhastighet.
Quincy Level 12 Description,Varje pil får högre smällkraft.
Quincy Level 13 Description,Liten ökning av räckvidd.
Quincy Level 14 Description,Pilar åsamkar fyra gånger så hög skada på MOAB-klass-Bloons.
Quincy Level 15 Description,Snabbeld får x4 attackhastighet och nedkylningen minskas.
Quincy Level 16 Description,Ännu högre attackhastighet.
Quincy Level 17 Description,Pilarna räcker 25 % längre.
Quincy Level 18 Description,Quincy attackerar snabbare och Pilstormen har minskad nedkylningstid och 50 % fler pilar.
Quincy Level 19 Description,Varje pil får ännu högre smällkraft.
Quincy Level 20 Description,Quincy attackerar ännu snabbare. Pilstorm ökar skadan per pil och avfyrar ännu fler pilar.
,
StrikerJones Level 1 Description,Striker Jones skjuter en kraftfull bazooka som spränger Bloons.
StrikerJones Level 2 Description,Ökad sprängradie.
StrikerJones Level 3 Description,Bedövningsgranat: Skjuter en målsökande granat mot skärmens största Bloon och bedövar den.
StrikerJones Level 4 Description,Alla bombskyttar och granatkastarapor på skärmen skjuter 10 % snabbare.
StrikerJones Level 5 Description,Gör alla svarta Bloons mindre motståndskraftiga mot explosiv skada från alla apor.
StrikerJones Level 6 Description,Sprängradien och smällningarna för Jones normala attacker ökar markant.
StrikerJones Level 7 Description,Smäller 2 lager per skott och granatkastarapornas sprängradie ökar med 10 %.
StrikerJones Level 8 Description,Bombskyttar nära hjälten får +5 % räckvidd och +25 % genomslagskraft.
StrikerJones Level 9 Description,"Ökad attackhastighet och ökad genomslagskraft, skada och bedövning för Hjärnskakande granat."
StrikerJones Level 10 Description,Artillerikommandopost: Återställer nedkylningen för alla bombskyttar och granatkastarapor.
StrikerJones Level 11 Description,Ökad attackhastighet.
StrikerJones Level 12 Description,Något ökad attackräckvidd och smällning av extra lager.
StrikerJones Level 13 Description,Ökad attackhastighet.
StrikerJones Level 14 Description,Bedövningsgranaten påverkar ett större område och under längre tid.
StrikerJones Level 15 Description,Nedkylningen för bedövningsgranat minskas till 11 sekunder.
StrikerJones Level 16 Description,Ökad attackhastighet.
StrikerJones Level 17 Description,Ökad räckvidd och smäller 4 lager per skott.
StrikerJones Level 18 Description,Alla bombskyttar och granatkastarapor attackerar ytterligare 10 % snabbare.
StrikerJones Level 19 Description,Ökad attackhastighet och gör alla svarta Bloons sårbara för explosiv skada.
StrikerJones Level 20 Description,Artillerikommandoposten ger även dubbel skada och smällningar per skott för alla bombskyttar och granatkastarapor under 10 sekunder.
,
CaptainChurchill Level 1 Description,Bombskott med högt genomslag från stridsvagnen kan explodera upp till 3 gånger.
CaptainChurchill Level 2 Description,Ökad smällkraft per skott.
CaptainChurchill Level 3 Description,Pansarbrytande granater: Skotten kan smälla Svarta Bloons och ger extra skada på Keramikbloons. Varaktigheten ökar i takt med att Churchill når högre nivå.
CaptainChurchill Level 4 Description,Ökad attackräckvidd.
CaptainChurchill Level 5 Description,Lägger till en snabbskjutande kulspruteattack till stridvagnen.
CaptainChurchill Level 6 Description,Kikare tillåter Churchill att smälla Kamo-Bloons.
CaptainChurchill Level 7 Description,Granaterna ger större skada och kan explodera 4 gånger istället för 3.
CaptainChurchill Level 8 Description,Ökad attackhastighet.
CaptainChurchill Level 9 Description,Granaterna kan explodera 5 gånger.
CaptainChurchill Level 10 Description,MOAB-spärreld: Avfyrar en granatspärreld mot upp till 10 MOAB-klass-Bloons på skärmen och åsamkar massiva skador varje gång.
CaptainChurchill Level 11 Description,Ökad smällkraft per granat.
CaptainChurchill Level 12 Description,Granaterna ger ännu större skada och kan explodera 6 gånger.
CaptainChurchill Level 13 Description,Pansarbrytande granater smäller 2 lager Bloon och kan orsaka extra skada på Keramik-Bloons eller högre.
CaptainChurchill Level 14 Description,Maskingeväret och Huvudgeväret kan smälla 1 ytterligare lager per skott.
CaptainChurchill Level 15 Description,Alla attacker orsakar extra skada mot förstärkta Bloons.
CaptainChurchill Level 16 Description,Ökad attackhastighet.
CaptainChurchill Level 17 Description,Pansarbrytande granater orsakar ännu större skada.
CaptainChurchill Level 18 Description,Alla granater smäller ett extra lager Bloon.
CaptainChurchill Level 19 Description,Granaterna kan explodera 7 gånger.
CaptainChurchill Level 20 Description,MOAB-spärreldsgranater och huvudkanonen får massivt ökad skada per träff.
,
Gwendolin Level 1 Description,Spränger Bloons med eld från hennes pyrokanon.
Gwendolin Level 2 Description,Något ökad smällkraft per skott.
Gwendolin Level 3 Description,Eldcocktail: Slungar en flaska med brandfarlig vätska och bränner Bloons som passerar genom elden.
Gwendolin Level 4 Description,Värm upp det - Med några sekunders mellanrum skapas en kraftfull sprängvåg med eld som smäller Bloons och lägger till eld till apattacker i närheten.
Gwendolin Level 5 Description,Ökad smällkraft.
Gwendolin Level 6 Description,Attackerna orsakar brännskador på Bloons.
Gwendolin Level 7 Description,"Värm upp det har större radie, Eldcocktail är mera effektiv."
Gwendolin Level 8 Description,Skjuter 2 eldvågor per skott.
Gwendolin Level 9 Description,Den första träffen i varje våg smäller 1 extra lager.
Gwendolin Level 10 Description,"Eldstorm: Sätter eld på hela skärmen, bränner alla Bloons och ger Höj värmen-effekt till alla apor."
Gwendolin Level 11 Description,Ökad attackräckvidd.
Gwendolin Level 12 Description,Ökad attackhastighet.
Gwendolin Level 13 Description,"Mycket högre smällkraft, plus att projektiler rör sig snabbare och räcker längre."
Gwendolin Level 14 Description,Eldcocktail ger extra skada och sätter eld på Bloons i MOAB-klassen.
Gwendolin Level 15 Description,Ökad attackhastighet.
Gwendolin Level 16 Description,Eldstorm har ökad varaktighet. Rosa Bloons är inte längre immuna mot Gwendolins attacker.
Gwendolin Level 17 Description,Värm upp det gör det möjligt för de påverkade aporna att smälla 1 extra lager och åsamka +2 skada på Blybloons.
Gwendolin Level 18 Description,Ökad attackhastighet.
Gwendolin Level 19 Description,Skjuter 3 eldvågor per skott.
Gwendolin Level 20 Description,Eldstorm ger kraftigt ökad skada.
,
Benjamin Level 1 Description,Hackar in $100 varje runda.
Benjamin Level 2 Description,Ger $150 per runda istället för $100.
Benjamin Level 3 Description,Biohack: De 4 närmsta aporna smäller ett extra lager per attack i 6 sekunder. Påverkade apor kan inte attackera i 2 sekunder efter att effekten upphör.
Benjamin Level 4 Description,Skimning - ger +$1 för varje ny Bloon som dyker upp.
Benjamin Level 5 Description,Bankhack - alla banker tjänar +5 %.
Benjamin Level 6 Description,Cybersäkerhet - Återställer 5 liv vid slutet av varje runda.
Benjamin Level 7 Description,Bloontrojan - Med några sekunders mellanrum skickas en trojan till en slumpmässigt vald Bloon. Påverkade Bloons skapar inga barn när de förstörs och ger 1 extra pengar för varje lager.
Benjamin Level 8 Description,Inkomsten ökar till $250 per runda.
Benjamin Level 9 Description,Bankhack ökar till 12 %.
Benjamin Level 10 Description,Sifonfinansiering: Nedgraderar alla nyfödda Bloons med 1 nivå. Pengar per smäll från påverkade Bloons fördubblas. Varar i 10 sekunder.
Benjamin Level 11 Description,Inkomsten ökar till $300 per runda.
Benjamin Level 12 Description,Skimningen ökar till $2 per Bloon.
Benjamin Level 13 Description,Biohack ökar bonusskada och påverkar 6 Apor i 8 sekunder..
Benjamin Level 14 Description,Cybersäkerheten lägger till 10 liv per runda och kan gå upp till 100 över antalet startliv.
Benjamin Level 15 Description,Inkomsten ökar till $500 per runda.
Benjamin Level 16 Description,Bloontrojanen skickas ut oftare och tjänar mer pengar.
Benjamin Level 17 Description,Inkomsten ökar till $800 per runda.
Benjamin Level 18 Description,Bloontrojan kan påverka BFB- och DDT-Bloons.
Benjamin Level 19 Description,Biohack varar i 9 sekunder och påverkade apor smäller 3 extra lager istället för 2.
Benjamin Level 20 Description,Sifonfinansiering varar i 20 sekunder och pengar per smäll är tre gånger det normala för påverkade Bloons.
,
PatFusty Level 1 Description,Pat dunkar ner Bloons i marken.
PatFusty Level 2 Description,Ökad räckvidd för smällattack.
PatFusty Level 3 Description,Stridsvrål: Alla apor i närheten kan smälla +1 lager extra under en kort stund.
PatFusty Level 4 Description,Ökad attackhastighet.
PatFusty Level 5 Description,Utdelar ibland ett kraftfullt slag som knuffar bort Bloons från utgången.
PatFusty Level 6 Description,Bloons som träffas av Pat bedövas under en kort stund.
PatFusty Level 7 Description,Ökad smällkraft och skada.
PatFusty Level 8 Description,Ökad attackhastighet.
PatFusty Level 9 Description,Ökad attackräckvidd.
PatFusty Level 10 Description,"Jätteklämning: Greppar en MOAB, BFB, DDT (om den är synlig) eller ZOMG och krossar den under 5 sekunder."
PatFusty Level 11 Description,Attacken smäller fler lager.
PatFusty Level 12 Description,Ökad attackhastighet.
PatFusty Level 13 Description,Attacken bedövar Bloons längre och kan bedöva MOAB-klass-Bloons i en kort stund.
PatFusty Level 14 Description,Stridsropet har ökad radie och varar längre och ger större skada för påverkade apor.
PatFusty Level 15 Description,Smällattacken kan påverka fler Bloons.
PatFusty Level 16 Description,Ökar attackräckvidden och ger bonusskada på Keramikbloons.
PatFusty Level 17 Description,Ökad attackhastighet.
PatFusty Level 18 Description,Ökad smällkraft.
PatFusty Level 19 Description,Attacken smäller fler lager.
PatFusty Level 20 Description,Jätteklämningen kan greppa flera stora Bloons samtidigt.
,
ObynGreenfoot Level 1 Description,Skickar vargandar som attackerar Bloons.
ObynGreenfoot Level 2 Description,Naturens vrede - Alla Druider i närheten får +1 genomslag.
ObynGreenfoot Level 3 Description,Skapar en taggbuske på vägen som kan smälla 50 Bloons.
ObynGreenfoot Level 4 Description,Var 18 sekund skapas en totem som gör alla Bloons i närheten av totempålen 30 % långsammare. Mindre effektiv mot Bloons i MOAB-klassen.
ObynGreenfoot Level 5 Description,Ökad attackhastighet. Djungeldruider har längre räckvidd.
ObynGreenfoot Level 6 Description,Ökad smällkraft och projektilerna rör sig snabbare.
ObynGreenfoot Level 7 Description,Björnbärsbuskar kan smälla 100 Bloons.
ObynGreenfoot Level 8 Description,Naturtempelpålar gör Bloons 40 % långsammare.
ObynGreenfoot Level 9 Description,Attacken smäller extra lager. Stormdruider har större stormar som ger mer skada på MOAB:er.
ObynGreenfoot Level 10 Description,"Trädvägg: Frammanar en trädvägg på vägen som förstör alla Bloons som kommer dit. När väggen är full, förvandlas träden till pengar."
ObynGreenfoot Level 11 Description,Naturens klarhet - Alla magikerapor i närheten får +5 räckvidd och +2 genomslag och Druiderna får ytterligare +1 genomslag.
ObynGreenfoot Level 12 Description,Ökad attackhastighet och nedkylningen för magikerapor minskas med 5 %.
ObynGreenfoot Level 13 Description,Ytterligare ökad smällkraft och projektilhastighet.
ObynGreenfoot Level 14 Description,Attacken smäller extra lager.
ObynGreenfoot Level 15 Description,Naturtemplet gör Bloons 60 % långsammare och har minskad nedkylningstid.
ObynGreenfoot Level 16 Description,Björnbärsbuskar smäller 500 Bloons vardera och kan skada alla Bloontyper.
ObynGreenfoot Level 17 Description,Ökad attackhastighet.
ObynGreenfoot Level 18 Description,Förbättrad vrede - Alla Vredens Druid-smällningar börjar varje runda på 200.
ObynGreenfoot Level 19 Description,Attacken smäller extra lager.
ObynGreenfoot Level 20 Description,Trädväggen har plats för många fler Bloons.
,
Ezili Level 1 Description,Ezili förbannar Bloons med mörk voodookraft.
Ezili Level 2 Description,Ökad attackräckvidd.
Ezili Level 3 Description,Hjärtstoppare: Förhindrar alla återväxt under 6 sekunder.
Ezili Level 4 Description,Ezilis huvudattack förbannar nu flera Bloons.
Ezili Level 5 Description,Ökad attackhastighet.
Ezili Level 6 Description,Skada över tid varar längre och skadar snabbare.
Ezili Level 7 Description,"Offertotem: En totem som ger kamo-detektering, extra genomslag, attackräckvidd, attackhastighet och projektilhastighet till apor i närheten. Kostar 10 liv."
Ezili Level 8 Description,Ezilis attack åsamkar mycket större skada för MOAB-klass-Bloons.
Ezili Level 9 Description,"Ezilis attack tar bort kamo, återväxt och förstärkningsegenskaper från Bloons som inte tillhör MOAB-klassen."
Ezili Level 10 Description,"MOAB-förbannelse: kastar en förbannelse över en MOAB-klass-Bloon, som tar skada varje sekund tills den förintas."
Ezili Level 11 Description,Ökad attackräckvidd. Ökat genomslag för återupplivade Bloons med 50 %.
Ezili Level 12 Description,Minskad nedkylning och ökad varaktighet för hjärtstoppare. Ger ökad skada på MOAB:er.
Ezili Level 13 Description,Större stänkradie och ökat genomslag för grundattack.
Ezili Level 14 Description,Snabbare skada över tid.
Ezili Level 15 Description,Ökad räckvidd. Skada över tid räcker längre.
Ezili Level 16 Description,Offertotempålen räcker längre och kostar bara 1 liv att använda.
Ezili Level 17 Description,Större stänkradie och ökat genomslag för grundattack.
Ezili Level 18 Description,Ökad attackhastighet.
Ezili Level 19 Description,Varje skada från grundattacken smäller 3 lager!
Ezili Level 20 Description,MOAB Hex arbetar snabbare och kan förstöra BAD Bloons.
,
//Hero Ability Names,
Rapid Shot Ability,Snabbeld
Storm of Arrows Ability,Pilstorm  
Concussive Shell Ability,Bedövningsgranat
Artillery Command Ability,Artillerikommandopost
Armor Piercing Shells Ability,Pansarbrytande granater
MOAB Barrage Ability,MOAB-spärreld
Cocktail of Fire Ability,Eldcocktail
Firestorm Ability,Eldstorm
Biohack Ability,Biohack
Syphon Funding Ability,Sifonfinansiering
Rallying Roar Ability,Stridsvrål
Big Squeeze Ability,Jätteklämning
Brambles Ability,Björnbärsbuske
Wall of Trees Ability,Trädvägg
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,Tre gånger så hög attackhastighet under kort tid.
Storm of Arrows Ability Description,Täcker ett stort område med ett dödligt pilregn.
Concussive Shell Ability Description,Skjuter en målsökande granat mot skärmens största Bloon och bedövar den.
Artillery Command Ability Description,Återställer nedkylningen för alla bombskyttar och granatkastarapor.
Armor Piercing Shells Ability Description,Skotten kan smälla Svarta Bloons och ger extra skada på Keramikbloons. Varaktigheten ökar i takt med att Churchill når högre nivå.
MOAB Barrage Ability Description,Avfyrar en granatspärreld mot upp till 10 MOAB-klass-Bloons på skärmen och åsamkar massiva skador varje gång.
Cocktail of Fire Ability Description,Slungar en flaska med brandfarlig vätska och bränner Bloons som passerar genom elden.
Firestorm Ability Description,"Sätter eld på hela skärmen, bränner alla Bloons och ger Höj värmen-effekt till alla apor."
Biohack Ability Description,De 4 närmsta aporna smäller ett extra lager per attack i 6 sekunder. Påverkade apor kan inte attackera i 2 sekunder efter att effekten upphör.
Syphon Funding Ability Description,Nedgraderar alla nyfödda Bloons med 1 nivå. Pengar per smäll från påverkade Bloons fördubblas. Varar i 10 sekunder.
Rallying Roar Ability Description,Alla apor i närheten kan smälla +1 lager extra under en kort stund.
Big Squeeze Ability Description,"Greppar en MOAB, BFB, DDT (om den är synlig) eller ZOMG och krossar den under 5 sekunder."
Brambles Ability Description,Skapar en taggbuske på vägen som kan smälla 50 Bloons.
Wall of Trees Ability Description,"Frammanar en trädvägg på vägen som förstör alla Bloons som kommer dit. När väggen är full, förvandlas träden till pengar."
Heartstopper Ability Description,Förhindrar all återväxt under 6 sekunder.
Sacrificial Totem Ability Description,"En totem som ger kamo-detektering, extra genomslag, attackräckvidd, attackhastighet och projektilhastighet till apor i närheten. Kostar 10 liv."
MOAB Hex Ability Description,"kastar en förbannelse över en MOAB-klass-Bloon, som tar skada varje sekund tills den förintas."
,
//Hero Misc,
Level,Nivå
,
//Upgrade Names,
Sharp Shots,Vassa Skott
Quick Shots,Snabbskott
Long Range Darts,Pilar med lång räckvidd
Razor Sharp Shots,Rakbladsvassa Skott
Very Quick Shots,Väldigt snabba skott
Enhanced Eyesight,Förstärkt Syn
Spike-o-pult,Spikopult
Triple Shot,Trippelskott
Crossbow,Armborst
Juggernaut,Vidunder
Super Monkey Fan Club,Stålapans Fanklubb
Sharp Shooter,Prickskytt
Ultra-Juggernaut,Ultravidunder
Plasma Monkey Fan Club,Plasmaapans fan club
Crossbow Master,Armborstmästare
,
Improved Rangs,Förbättrade bumeranger
Faster Throwing,Snabbare kast
Long Range Rangs,Långdistansbumeranger
Glaives,Glavar
Faster Rangs,Snabbare bumeranger
Red Hot Rangs,Glödheta Bumeranger
Glaive Ricochet,Glavrikoschett
Bionc Boomerang,Bionisk bumerang
Kylie Boomerang,Kylie-bumerang
M.O.A.R Glaives,M.O.A.R-glavar
Turbo Charge,Turboladdning
MOAB Press,MOAB-press
Glaive Lord,Svärdherre
Perma Charge,Permaladdning
MOAB Domination,MOAB-dominans
,
Bigger Bombs,Större Bomber
Faster Reload,Snabbare omladdning
Extra Range,Extra Räckvidd
Heavy Bombs,Tunga bomber
Missile Launcher,Missilavfyrare
Frag Bombs,Fragmentations\nbomber
Really Big Bombs,Riktigt stora bomber
MOAB Mauler,MOAB-Misshandlare
Cluster Bombs,Splitterbomber
Bloon Impact,Bloonpåverkan
MOAB Assassin,MOAB-Lönnmördare
Recursive Cluster,Bedövande kluster
Bloon Crush,Bloonkross
MOAB Eliminator,MOAB-eliminator
Bomb Blitz,Bomb Blitz
,
Faster Shooting,Snabbare Eldgivning
Long Range Tacks,Långdistansnubb
More Tacks,Fler nubb
Even Faster Shooting,Ännu Snabbare Eldgivning
Super Range Tacks,Stift Med Superräckvidd
Even More Tacks,Ännu fler nubb
Hot Shots,Hot Shots
Blade Shooter,Rakbladskjutare
Tack Sprayer,Stiftsprejare
Ring of Fire,Eldringen
Blade Maelstrom,Rakbladmalström
Overdrive,Overdrive
Inferno Ring,Infernalisk ring
Super Maelstrom,Supermalström
The Tack Zone,Nubbzonen
,
Permafrost,Permafrost
Enhanced Freeze,Förstärkt Frysning
Larger Radius,Större radie
Metal Freeze,Köldknäpp
Deep Freeze,Djupfrysning
Re-Freeze,Omfrysning
Ice Shards,Isskärvor
Arctic Wind,Arktisk Vind
Cryo Cannon,Kryokanon
Embrittlement,Försprödning
Snowstorm,Snöstorm
Icicles,Istappar
Super Brittle,Superspröd
Absolute Zero,Absolut Nollpunkt
Icicle Impale,Istappsspetsning
,
Glue Soak,Klisterregn
Bigger Globs,Större klickar
Stickier Glue,Klistrigare Klister
Corrosive Glue,Frätande Klister
Glue Splatter,Klisterstänk
Stronger Glue,Starkare klister
Bloon Dissolver,Bloonupplösare
Glue Hose,Klisterslang
MOAB Glue,MOAB-klister
Bloon Liquefier,Bloonsmältare
Glue Strike,Klisterattack
Relentless Glue,Obevekligt klister
The Bloon Solver,Bloonlösaren
Glue Storm,Klisterstorm
Super Glue,Superklister
,
Full Metal Jacket,Helmantlad
Night Vision Goggles,Mörkerglasögon
Fast Firing,Snabbeld
Large Calibre,Stor kaliber
Shrapnel Shot,Splitterskott
Even Faster Firing,Ännu snabbare eldgivning
Deadly Precision,Dödlig Precision
Bouncing Bullet,Studsande skott
Semi-Automatic,Halvautomatisk
Maim MOAB,Lemlästa MOAB
Supply Drop,Fraktsläppning
Full Auto Rifle,Helautomatiskt gevär
Cripple MOAB,MOAB-Krymplare
Elite Sniper,Elitprickskytt
Elite Defender,Elitförsvarare
,
Longer Range,Längre räckvidd
Barbed Darts,Hullingförsedda pilar
Twin Guns,Dubbelkanoner
Advanced Intel,Avancerad underrättelsetjänst
Heat-tipped Darts,Värmespetsade pilar
Airburst Darts,Luftexploderande pilar
Submerge and Support,Undervattensläge och Stöd
Ballistic Missile,Ballistisk missil
Triple Guns,Trippelkanoner
Bloontonium Reactor,Bloontoniumreaktor
First Strike Capability,Första insats-förmåga
Armor Piercing Darts,Pansarbrytande pilar
Energizer,Energigivare
Pre-emptive Strike,Förebyggande angrepp
Sub Commander,Ubåtskapten
,
Buccaneer-Faster Shooting,Snabbare Eldgivning
Buccaneer-Grape Shot,Hagelskott
Buccaneer-Long Range,Lång räckvidd
Buccaneer-Double Shot,Dubbelskott
Buccaneer-Hot Shot,Hot Shot
Buccaneer-Crow's Nest,Kråknäste
Buccaneer-Destroyer,Förstörare
Buccaneer-Cannon Ship,Kanonskepp
Buccaneer-Merchantman,Handelsfartyg
Buccaneer-Aircraft Carrier,Hangarfartyg
Buccaneer-Monkey Pirates,Piratapor
Buccaneer-Favored Trades,Gynnande handel
Buccaneer-Carrier Flagship,Hangarfartygsflaggskepp
Buccaneer-Pirate Lord,Piratherre
Buccaneer-Trade Empire,Handelsimperium
,
Rapid Fire,Snabbeld
Exploding Pineapple,Exploderande Ananas
Sharper Darts,Vassare Pilar
Lots More Darts,Massor av fler pilar
Spy Plane,Spionplan
Centered Path,Centrerad väg
Fighter Plane,Jaktplan
Bomber Ace,Bombaräss
Neva-Miss Targeting,Missa-Inte-Målsökning
Operation: Dart Storm,Operation: Pilstorm
Ground Zero,Ground Zero
Spectre,Spöke
Sky Shredder,Himmelsförstörare
Tsar Bomba,Tsarbomb
Flying Fortress,Flygande fästning
,
Quad Darts,Fyrdubbla Pilar
Bigger Jets,Större Jetstrålar
Faster Firing,Snabbare Eldgivning
Pursuit,Följ
IFR,IFR
Faster Darts,Snabbare pilar
Razor Rotors,Rakbladsvassa Rotorblad
Downdraft,Nedåtsug
MOAB Shove,MOAB-knuff
Apache Dartship,Apache-pilskepp
Support Chinook,Hjälp-Chinook
Comanche Defense,Comanche-försvar
Apache Prime,Apache Prime
Special Poperations,Hemliga smälltjänsten
Comanche Commander,Comanche-befälhavare
,
Bigger Blast,Större Explosion
Mortar Faster Reload,Snabbare omladdning
Increased Accuracy,Ökad Träffsäkerhet
Bloon Buster,Bloondödare
Mortar Rapid Reload,Snabb Omladdning
Burny Stuff,Brännbart Material
Shockwave,Granatchock
Heavy Shells,Tunga granater
Signal Flare,Signalraket
The Big One,Den Största
Artillery Battery,Artilleribatteri
Shattering Shells,Öronbedövande granater
The Biggest One,Den Allra Största
Pop and Awe,Smäll och beundra
Blooncineration,Bloonbränning
,
Focused Firing,Fokuserad Eldgivning
Advanced Targeting,Avancerad målsökning
Powerful Darts,Kraftfulla Pilar
Faster Swivel,Snabbare virvel
Faster Barrel Spin,Snabbare Tunnrotation
Depleted Bloontonium,Urladdad Bloontonium
Laser Shock,Laserchock
Laser Cannon,Laserkanon
Hydra Rocket Pods,Hydroraketskott
Buckshot,Hagel
Plasma Accelerator,Plasmaaccelerator
Rocket Storm,Raketstorm
Bloon Area Denial System,Bloonutrotnings\nsystem
Ray of Doom,Domedagsstråle
M.A.D,M.A.D
Bloon Exclusion Zone,Bloonsäkerhetszon
,
Guided Magic,Målsökande magi
Fireball,Eldklot
Intense Magic,Intensiv Magi
Arcane Blast,Hemlig explosion
Wall of Fire,Eldvägg
Monkey Sense,Apsinne
