//Input. Needs to be first e.g [I] replaced by click or tap,
Click,点击
Benjamin Level 3 Description,生物黑客：最近的4只猴子每次攻击时会额外增加1层穿透，持续6秒。受影响的猴子在效果结束后2秒之内不能发起进攻。
Benjamin Level 4 Description,抽成 - 每产生一个新的气球，就能获得1块收入。
Benjamin Level 5 Description,银行黑客 - 所有银行获得的收入+ 5％。
Benjamin Level 6 Description,网络安全 - 每回合结束后恢复5条生命。
Benjamin Level 7 Description,气球木马 – 每隔几秒钟随机向气球发送木马病毒。受影响的气球在被干掉时不再生成子气球，并且每击破一层额外产生1块现金。
Benjamin Level 8 Description,每回合的收入增加到250块。
Benjamin Level 9 Description,银行黑客增加到12％
Benjamin Level 10 Description,虹吸基金：使大多数新产生的气球降级1级。爆破受影响的气球获得的收入翻倍。持续10秒。
Benjamin Level 11 Description,每回合的收入增加到300块。
Benjamin Level 12 Description,抽成增加到每个气球2块。
Benjamin Level 13 Description,生物黑客增加作用范围内6只猴子的奖励伤害，持续8秒。
Benjamin Level 14 Description,网络安全每回合增加10条生命，最多可比初始时增加100条生命。
Benjamin Level 15 Description,每回合的收入增加到500块。
Benjamin Level 16 Description,气球木马更频繁地发送并且能够赚更多的收入。
Benjamin Level 17 Description,收入增加到每回合800块。
Benjamin Level 18 Description,气球木马会影响BFB和DDT气球。
Benjamin Level 19 Description,生物黑客持续9秒，受影响的猴子每次攻击时会额外增加3层穿透而不是2层。
Benjamin Level 20 Description,虹吸基金持续20秒，击破受到影响的气球获得三倍收入。
,
PatFusty Level 1 Description,帕特可将气球猛击到地下。
PatFusty Level 2 Description,增加猛烈攻击的半径。
PatFusty Level 3 Description,集结咆哮：短时间内附近所有猴子的爆破力+1层。
PatFusty Level 4 Description,提高攻击速度。
PatFusty Level 5 Description,有时会将气球从出口处强力拍打推开。
PatFusty Level 6 Description,被帕特击中的气球短暂眩晕。
PatFusty Level 7 Description,击破力和伤害增加。
PatFusty Level 8 Description,提高攻击速度。
PatFusty Level 9 Description,攻击范围增加。
PatFusty Level 10 Description,强力挤压：抓住一个MOAB级、BFB级、DDT级（如果可见）或ZOMG级气球，并在5秒内将其压碎。
PatFusty Level 11 Description,攻击可击破更多层气球。
PatFusty Level 12 Description,提高攻击速度。
PatFusty Level 13 Description,攻击使气球眩晕时间更长，并且可以非常短暂地击晕MOAB级气球。
PatFusty Level 14 Description,集结咆哮作用范围和持续时间增加，并使集结的猴子造成的伤害增加。
PatFusty Level 15 Description,拍打攻击可以覆盖更多气球。
PatFusty Level 16 Description,攻击范围增加，并且对陶瓷气球造成额外伤害。
PatFusty Level 17 Description,提高攻击速度。
PatFusty Level 18 Description,爆破力增加。
PatFusty Level 19 Description,攻击可击破更多层气球。
PatFusty Level 20 Description,强力挤压可同时抓住多个大型气球。
,
ObynGreenfoot Level 1 Description,放出幽魂之狼攻击气球。
ObynGreenfoot Level 2 Description,自然之怒 – 范围内的所有德鲁伊获得穿刺+1。
ObynGreenfoot Level 3 Description,在路径上生成尖刺灌木，可击破50个气球。
ObynGreenfoot Level 4 Description,每18秒创建一个图腾，使该图腾附近的所有气球减速30％。与MOAB级气球相比效果较差。
ObynGreenfoot Level 5 Description,攻击速度加快。丛林德鲁伊攻击范围增加。
ObynGreenfoot Level 6 Description,击破力增加，射弹飞行速度加快。
ObynGreenfoot Level 7 Description,荆棘可击破100个气球。
ObynGreenfoot Level 8 Description,大自然的守护图腾使气球减速40％。
ObynGreenfoot Level 9 Description,攻击可额外击破数层气球。风暴德鲁伊释放更大的风暴，可对MOAB级气球造成更大伤害。
ObynGreenfoot Level 10 Description,树木之墙：在路径上召唤一堵破坏入侵气球的树木墙。结满的时候，树木绽放出金钱。
ObynGreenfoot Level 11 Description,自然明澈 – 范围内的所有魔法猴子获得攻击范围+5和穿刺+2，德鲁伊额外获得穿刺+1。
ObynGreenfoot Level 12 Description,攻击速度加快，并且魔法猴子冷却时间缩短5%。
ObynGreenfoot Level 13 Description,进一步增加击破力和加快射弹速度。
ObynGreenfoot Level 14 Description,攻擊更多層的爆炸
ObynGreenfoot Level 15 Description,大自然的守护使气球减速60％，并减少冷却时间。
ObynGreenfoot Level 16 Description,荆棘每次可击破500个气球，可对所有类型的气球造成伤害。
ObynGreenfoot Level 17 Description,提高攻击速度。
ObynGreenfoot Level 18 Description,愤怒强化 - 所有愤怒的德鲁伊每回合初始值为200。
ObynGreenfoot Level 19 Description,攻击可额外击破一层气球。
ObynGreenfoot Level 20 Description,树木之墙可拦截更多气球。
,
Ezili Level 1 Description,艾泽里使用黑暗巫毒力量诅咒气球。
Ezili Level 2 Description,攻击范围增加。
Ezili Level 3 Description,心脏止博器：减缓气球移动速度，允许击破紫气球，并防止任何气球再生，效果持续10秒。
Ezili Level 4 Description,艾泽里的主要攻击现在可诅咒多个气球。
Ezili Level 5 Description,提高攻击速度。
Ezili Level 6 Description,随着时间的推移，伤害持续时间更长，伤害更快。
Ezili Level 7 Description,牺牲图腾：一种图腾，能够为附近的猴子（尤其是法师猴）提供迷彩探测、额外的穿透力、攻击范围、攻击速度和射弹速度。吸取10点生命。
Ezili Level 8 Description,艾泽里的攻击对MOAB级气球造成的伤害更大。
Ezili Level 9 Description,艾泽里的攻击可消除非MOAB级气球的迷彩、重生和强化属性。
Ezili Level 10 Description,MOAB妖术：诅咒MOAB级气球，每秒造成一次伤害，直至其被歼灭。
Ezili Level 11 Description,增加攻击范围。对复活的气球的穿透力增加50%。
Ezili Level 12 Description,心脏止博器冷却时间减少，持续时间增加。对MOAB级气球造成的伤害增加。
Ezili Level 13 Description,基础攻击造成更大的溅射范围和更高的穿刺。
Ezili Level 14 Description,随着时间的推移造成更快的伤害。
Ezili Level 15 Description,攻击范围增加。周期性伤害持续时间更长。
Ezili Level 16 Description,牺牲图腾持续时间更长，不再需要消耗生命。
Ezili Level 17 Description,基础攻击造成更大的溅射范围和更高的穿刺。
Ezili Level 18 Description,提高攻击速度。
Ezili Level 19 Description,基础攻击的每次伤害击破3层气球！
Ezili Level 20 Description,MOAB巫术生效速度更快，并且可摧毁BAD气球。
,
//Hero Ability Names,
Rapid Shot Ability,快速射击
Storm of Arrows Ability,箭矢风暴
Concussive Shell Ability,震荡弹
Artillery Command Ability,炮火指挥官
Armor Piercing Shells Ability,穿甲弹
MOAB Barrage Ability,MOAB密集攻击
Cocktail of Fire Ability,火焰鸡尾酒
Firestorm Ability,火焰风暴
Biohack Ability,生物黑客
Syphon Funding Ability,虹吸基金
Rallying Roar Ability,集结咆哮
Big Squeeze Ability,强力挤压
Brambles Ability,荆棘
Wall of Trees Ability,树木之墙
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,短时间内获得三倍攻击速度。
Storm of Arrows Ability Description,对大片区域进行致命的箭雨攻击。
Concussive Shell Ability Description,向屏幕上最大的气球发射制导炮弹并将其击晕。
Artillery Command Ability Description,重置大炮和迫击炮猴的冷却时间。
Armor Piercing Shells Ability Description,发射可以击破黑气球的炮弹，并对陶瓷或更高级别气球造成额外伤害。持续时间随丘吉尔等级的提升而增加。
MOAB Barrage Ability Description,最多可向屏幕上的10个MOAB级气球发射大量炮弹，每次造成大量伤害。
Cocktail of Fire Ability Description,掷出一瓶易燃液体，烧毁通过火径的气球。
Firestorm Ability Description,全屏攻击，燃烧所有气球，并为所有猴子提供烈焰攻击增益。
Biohack Ability Description,距离最近的4只猴子每次攻击可额外击破1层气球，持续6秒。受影响的猴子在效果结束后的2秒内无法攻击。
Syphon Funding Ability Description,使最新生成的气球降低1级。击破受影响的气球获得的收入翻倍，持续10秒。
Rallying Roar Ability Description,短时间内附近所有猴子的爆破力+1层。
Big Squeeze Ability Description,抓住一个MOAB、BFB、DDT（如果可见）或ZOMG级气球，并在5秒后使其粉碎。
Brambles Ability Description,在路径上生成尖刺灌木，可击破20个气球。
Wall of Trees Ability Description,在路径上召唤一堵破坏入侵气球的树木墙。结满的时候，树木绽放出金钱。
Heartstopper Ability Description,允许击破紫气球，并防止任何气球再生，效果持续10秒。
Sacrificial Totem Ability Description,一种图腾，能够为附近的猴子（尤其是法师猴）提供迷彩探测、额外的穿透力、攻击范围、攻击速度和射弹速度。吸取10点生命。
MOAB Hex Ability Description,对MOAB级气球施加诅咒，每秒造成一次伤害，直至将其歼灭。
,
//Hero Misc,
Level,等级
,
//Upgrade Names,
Sharp Shots,犀利射击
Quick Shots,快速射击
Long Range Darts,远程飞镖
Razor Sharp Shots,锋利射击
Very Quick Shots,急速射击
Enhanced Eyesight,增强视力
Spike-o-pult,刺钉球投石机
Triple Shot,三重射击
Crossbow,十字弩
Juggernaut,巨型刺钉球投石机
Super Monkey Fan Club,超猴侠粉丝会
Sharp Shooter,犀利射手
Ultra-Juggernaut,超大巨型刺钉球投石机
Plasma Monkey Fan Club,等离子猴粉丝会
Crossbow Master,十字弩神射手
,
Improved Rangs,强化回旋镖
Faster Throwing,加速投掷
Long Range Rangs,长距攻击
Glaives,利刃
Faster Rangs,快速覆盖
Red Hot Rangs,炽热覆盖
Glaive Ricochet,利刃弹射
Bionc Boomerang,仿生飞旋镖
Kylie Boomerang,凯莉回旋镖
M.O.A.R Glaives,M.O.A.R利刃
Turbo Charge,涡轮充能
MOAB Press,MOAB压制
Glaive Lord,利刃之王
Perma Charge,永久强化
MOAB Domination,MOAB主宰
,
Bigger Bombs,大号炮弹
Faster Reload,快速装填
Extra Range,额外射程
Heavy Bombs,重型炮弹
Missile Launcher,导弹发射器
Frag Bombs,碎片炸弹
Really Big Bombs,超大炮弹
MOAB Mauler,MOAB重锤
Cluster Bombs,集束炸弹
Bloon Impact,气球影响
MOAB Assassin,MOAB刺客
Recursive Cluster,循环集束
Bloon Crush,气球粉碎
MOAB Eliminator,MOAB消除器
Bomb Blitz,炸弹突击
,
Faster Shooting,快速发射
Long Range Tacks,远程刺钉
More Tacks,更多刺钉
Even Faster Shooting,急速发射
Super Range Tacks,超远刺钉
Even More Tacks,超多刺钉
Hot Shots,激射
Blade Shooter,利刃射手
Tack Sprayer,刺钉炮
Ring of Fire,环射火焰
Blade Maelstrom,利刃漩涡
Overdrive,超速
Inferno Ring,地狱戒指
Super Maelstrom,超级漩涡
The Tack Zone,刺钉区域
,
Permafrost,永久冻结
Enhanced Freeze,强化冻结
Larger Radius,半径加大
Metal Freeze,寒潮
Deep Freeze,深度冻结
Re-Freeze,再次冻结
Ice Shards,冰片
Arctic Wind,北极风
Cryo Cannon,冷冻大炮
Embrittlement,脆变
Snowstorm,暴风雪
Icicles,冰柱
Super Brittle,超级脆弱
Absolute Zero,绝对零度
Icicle Impale,冰柱穿刺
,
Glue Soak,胶水浸泡
Bigger Globs,大块胶水
Stickier Glue,超粘胶水
Corrosive Glue,腐蚀胶水
Glue Splatter,胶水喷射器
Stronger Glue,强力胶水
Bloon Dissolver,气球溶解器
Glue Hose,胶管
MOAB Glue,MOAB胶水
Bloon Liquefier,气球液化器
Glue Strike,胶水打击
Relentless Glue,残暴胶水
The Bloon Solver,气球终结者
Glue Storm,胶水风暴
Super Glue,超级胶水
,
Full Metal Jacket,全金属外壳
Night Vision Goggles,夜视镜
Fast Firing,快速射击
Large Calibre,大口径
Shrapnel Shot,弹片射击
Even Faster Firing,急速射击
Deadly Precision,一击毙命
Bouncing Bullet,子弹弹弹乐
Semi-Automatic,半自动
Maim MOAB,MOAB致残
Supply Drop,空投补给
Full Auto Rifle,全自动步枪
Cripple MOAB,MOAB残废
Elite Sniper,精英狙击手
Elite Defender,精英防御者
,
Longer Range,射程增加
Barbed Darts,带刺飞镖
Twin Guns,双枪
Advanced Intel,先进情报
Heat-tipped Darts,热刺飞镖
Airburst Darts,空炸飞镖
Submerge and Support,潜望支持
Ballistic Missile,弹道式导弹
Triple Guns,三枪
Bloontonium Reactor,气球反应堆
First Strike Capability,先发制人能力
Armor Piercing Darts,穿甲飞镖
Energizer,增能器
Pre-emptive Strike,先发制人式出击
Sub Commander,潜艇指挥官
,
Buccaneer-Faster Shooting,快速射击
Buccaneer-Grape Shot,散弹
Buccaneer-Long Range,远程
Buccaneer-Double Shot,双重攻击
Buccaneer-Hot Shot,激射
Buccaneer-Crow's Nest,乌鸦巢
Buccaneer-Destroyer,驱逐舰
Buccaneer-Cannon Ship,炮船
Buccaneer-Merchantman,商船
Buccaneer-Aircraft Carrier,航空母舰
Buccaneer-Monkey Pirates,猴子海盗
Buccaneer-Favored Trades,精明交易
Buccaneer-Carrier Flagship,航母旗舰
Buccaneer-Pirate Lord,海盗之王
Buccaneer-Trade Empire,贸易帝国
,
Rapid Fire,速射
Exploding Pineapple,爆炸菠萝
Sharper Darts,锐利飞镖
Lots More Darts,更多飞镖
Spy Plane,间谍飞机
Centered Path,中央路线
Fighter Plane,战斗机
Bomber Ace,王牌轰炸机
Neva-Miss Targeting,精准锁定
Operation: Dart Storm,飞镖风暴行动
Ground Zero,夷为平地
Spectre,幽灵
Sky Shredder,长空卫士
Tsar Bomba,沙皇邦巴
Flying Fortress,飞行堡垒
,
Quad Darts,四重飞镖
Bigger Jets,大型喷气机
Faster Firing,快速射击
Pursuit,追求
IFR,IFR
Faster Darts,急速飞镖
Razor Rotors,锋利旋翼
Downdraft,下冲流
MOAB Shove,MOAB撞击
Apache Dartship,阿帕奇飞镖舰
Support Chinook,支持切努克
Comanche Defense,科曼奇防御
Apache Prime,阿帕奇精英
Special Poperations,特种作战
Comanche Commander,科曼奇指挥官
,
Bigger Blast,大爆炸
Mortar Faster Reload,急速装填
Increased Accuracy,精度提高
Bloon Buster,气球粉碎机
Mortar Rapid Reload,快速装填
Burny Stuff,燃烧器
Shockwave,炮弹冲击
Heavy Shells,重型炮弹
Signal Flare,照明弹
The Big One,大家伙
Artillery Battery,炮台
Shattering Shells,碎甲弹
The Biggest One,最大的家伙
Pop and Awe,击破震慑
Blooncineration,气球火葬场
,
Focused Firing,集火攻击
Advanced Targeting,高级目标定位
Powerful Darts,强力飞镖
Faster Swivel,快速回旋
Faster Barrel Spin,极速回旋
Depleted Bloontonium,枯竭的气球
Laser Shock,雷射冲击
Laser Cannon,激光炮
Hydra Rocket Pods,九头蛇火箭舱
Buckshot,大型铅弹
Plasma Accelerator,等离子加速器
Rocket Storm,火箭风暴
Bloon Area Denial System,区域气球防御系统
Ray of Doom,毁灭之光
M.A.D,M.A.D
Bloon Exclusion Zone,气球禁区
,
Guided Magic,制导魔法
Fireball,火球之术
Intense Magic,强化魔法
Arcane Blast,奥术冲击
Wall of Fire,火墙
Monkey Sense,猴感
Arcane Mastery,奥术精通
Dragon's Breath,龙之吐息
Shimmer,微光
Arcane Spike,奥术尖刺
Summon Phoenix,召唤凤凰
Necromancer: Unpopped Army,死灵法师：重生之军
Archmage,大法师
Wizard Lord Phoenix,高阶法师菲尼克斯
Soulbind,黑暗王子
,
Laser Blasts,激光爆破
Super Range,超长射程
Knockback,击退
Plasma Blasts,等离子爆炸
Epic Range,史诗射程
Ultravision,超级视距
Sun Avatar,太阳化身
Robo Monkey,机器猴子
Dark Knight,黑暗骑士
Sun Temple,太阳神庙
Tech Terror,科技恐怖
Dark Champion,黑暗冠军
True Sun God,真太阳神
The Anti-Bloon,反气球
Legend of the Night,黑夜传说
,
Ninja Discipline,忍者戒律
Distraction,干扰
Seeking Shuriken,手里剑出击
Sharp Shurikens,锋利的手里剑
Counter-Espionage,反间谍
Caltrops,三角钉
Double Shot,双重攻击
Shinobi Tactics,忍者战术
Flash Bomb,闪光弹
Bloonjitsu,气球柔道
Bloon Sabotage,气球破坏
Sticky Bomb,粘性炸弹
Grandmaster Ninja,大师忍者
Grand Saboteur,大破坏者
Master Bomber,主轰炸机
,
Larger Potions,大量药剂
Stronger Acid,强酸
Acid Pool,酸池
Acidic Mixture Dip,酸性混合物浸渍
Perishing Potions,死亡药剂
Alchemist Faster Throwing,快速投掷
Berserker Brew,狂暴啤酒
Unstable Concoction,不稳定混合物
Lead to Gold,点铅成金
Stronger Stimulant,强效兴奋剂
Transforming Tonic,变身药水
Rubber to Gold,点胶成金
Permanent Brew,永久啤酒
Total Transformation,完全转化
Bloon Master Alchemist,气球大师炼金术士
,
Hard Thorns,硬荆棘
Thorn Swarm,刺群
Druidic Reach,德鲁伊到达
Heart of Thunder,雷霆之心
Heart of Oak,橡树之心
Heart of Vengeance,复仇之心
Druid of the Storm,风暴德鲁伊
Druid of the Jungle,丛林德鲁伊
Druid of Wrath,愤怒的德鲁伊
Ball Lightning,球状闪电
Jungle's Bounty,丛林的赏金
Poplust,嗜杀
Superstorm,超级风暴
Spirit of the Forest,森林精神
Avatar of Wrath,愤怒的化身
,
Increased Production,产量提升
Long Life Bananas,长寿香蕉
EZ Collect,EZ收集
Greater Production,产量飙升
Valuable Bananas,珍贵香蕉
Banana Salvage,香蕉抢收
Banana Plantation,香蕉种植园
Monkey Bank,猴子银行
Marketplace,市场
Banana Research Facility,香蕉研究所
IMF loan,IMF贷款
Central Market,中央市场
Banana Central,香蕉中心
Monkey-Nomics,猴子经济政策
Monkey Wall Street,猴子华尔街
,
Sentry Gun,哨兵枪
Larger Service Area,更大的覆盖区域
Oversize Nails,超大钉子
Faster Engineering,更快的工程
Deconstruction,解构
Pin,大头针
Sprockets,飞轮
Cleansing Foam,洁面泡沫
Double Gun,双枪
Sentry Expert,哨兵专家
Overclock,超频
Bloon Trap,气球陷阱
Sentry Paragon,哨兵冠军
Ultraboost,超级强化
XXXL Trap,特大陷阱
,
Bigger Stacks,更大的刺钉堆
Faster Production,快速生产
Long Reach,远程覆盖
