//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicken
Alchemist Description,"Nutzt die Kräfte von Wissenschaft und Zauberei, bespritzt Bloons mit Säure und braut diverse Tränke mit verschiedenen Effekten."
Druid Description,"Verursacht bei jedem Angriff einen Dornensturm. Verbesserungen können die Kräfte des Dschungels, Sturms oder Zorns herbeirufen."
BananaFarm Description,"Erzeugt bei jeder Runde Bananen, die sich in Spielwährung verwandeln, damit du noch mehr kaufen kannst."
EngineerMonkey Description,Besitzt ein verlässliches Bolzenschussgerät zum Platzen von Bloons. Kann für das Errichten von nagelverschießenden Wachtürmen verbessert werden.
SpikeFactory Description,Erzeugt automatisch haufenweise Nagelsperren auf der Strecke nebenan. Eine exzellente letzte Verteidigungslinie.
MonkeyAcademy Description,"Hier werden Affen ausgebildet und trainiert. Verleiht Militär-, Zauber- und Heldenaffen mächtige Vorteile. Erzeugt jede Runde eine kleine Menge Helden-XP."
MonkeyVillage Description,"Ein Schwerpunkt der Affenindustrie, der diverse Vorteile zur Hilfe für alle deine Affen ermöglicht. Erhöht den Radius aller Affen innerhalb seines Radius um 15 %."
,
//Hero Names,
Quincy,Quincy
StrikerJones,Striker Jones
CaptainChurchill,Hauptmann Churchill
Gwendolin,Gwendolin
Benjamin,Benjamin
PatFusty,Pat Fusty
Ezili,Ezili
ObynGreenfoot,Obyn Greenfoot
,
//Hero Short Descriptions,
Quincy Short Description,Schütze
StrikerJones Short Description,Artillerist
CaptainChurchill Short Description,Panzer
Gwendolin Short Description,Pyromane
Benjamin Short Description,Codeaffe
PatFusty Short Description,Riesenaffe
Ezili Short Description,Voodooaffe
ObynGreenfoot Short Description,Waldwächter
,
//Hero Description,
Quincy Description,"Quincy ist stolz, stark und intelligent und vollbringt mit seinem Bogen große Taten mit einer erstaunlichen Behändigkeit."
StrikerJones Description,"Striker Jones ist ein starker Kommandant, der mit seinem Wissen über den Fernkampf die Kraft seiner Bomben deutlich erhöht."
CaptainChurchill Description,In seinem Kampfpanzer ist der Hauptmann ein totales Kraftpaket auf dem Schlachtfeld.
Gwendolin Description,"Gwendolin ist davon überzeugt, dass es keinerlei Bloonproblem gibt, das nicht mit Feuer gelöst werden kann. Mit einer Menge Feuer ..."
Benjamin Description,Mit seinen überragenden Hacking-Fähigkeiten kann Benjamin Extrageld für den guten Zweck generieren.
PatFusty Description,Pat ist ein großer Affe mit enormen Kräften. Seine einzigartige Größe und seine Stärke sind ein großer Gewinn im Kampf gegen die Bloons.
Ezili Description,Ezili beherrscht die dunklen Künste und kann Bloons manipulieren. Pass bloß auf.  
ObynGreenfoot Description,Obyn beherrscht die Kräfte der Natur und kann mit seinem Geisterwolfangriff durch feste Hindernisse hindurchschießen.
,
//Hero Level Descriptions,
Quincy Level 1 Description,Quincys Pfeile prallen von bis zu drei unterschiedlichen Zielen ab.
Quincy Level 2 Description,Der Basisangriff prallt auf bis zu 4 Ziele ab.
Quincy Level 3 Description,Schnellschuss: Für kurze Zeit dreifache Angriffsgeschwindigkeit.
Quincy Level 4 Description,Etwas größere Reichweite.
Quincy Level 5 Description,Kann dank seiner scharfen Augen auf Tarn-Bloons schießen.
Quincy Level 6 Description,Verschießt gleichzeitig 2 Pfeile.
Quincy Level 7 Description,Feuert bei jedem 3. Schuss Explosionspfeile ab.
Quincy Level 8 Description,Die Pfeile verursachen dreifachen Schaden bei Bloons der MOAB-Klasse.
Quincy Level 9 Description,Der Basisangriff prallt auf bis zu 6 Ziele ab.
Quincy Level 10 Description,Pfeilsturm: Deckt ein großes Gebiet mit einem tödlichen Pfeilregen ab.
Quincy Level 11 Description,Erhöhte Angriffsgeschwindigkeit.
Quincy Level 12 Description,Jeder Pfeil verfügt über mehr Kraft zum Platzen lassen.
Quincy Level 13 Description,Geringe Erhöhung der Reichweite.
Quincy Level 14 Description,Die Pfeile verursachen vierfachen Schaden bei Bloons der MOAB-Klasse.
Quincy Level 15 Description,"Schnellschuss verfügt über die vierfache Angriffsgeschwindigkeit, die Abkühlphase ist verkürzt."
Quincy Level 16 Description,Noch mehr erhöhte Angriffsgeschwindigkeit
Quincy Level 17 Description,Pfeile halten 25 % länger. Feuert explodierende Pfeile bei jedem zweiten Schuss.
Quincy Level 18 Description,Quincy greift schneller an und Pfeilsturm hat eine verkürzte Abkühlphase und 50 % mehr Pfeile.
Quincy Level 19 Description,Jeder Pfeil verfügt über noch mehr Kraft zum Platzen lassen.
Quincy Level 20 Description,Quincy greift noch schneller an. Pfeilsturm teilt noch mehr Schaden pro Pfeil aus und feuert noch mehr Pfeile ab.
,
StrikerJones Level 1 Description,"Striker Jones feuert eine starke Bazooka ab, die die Bloons explodieren lässt."
StrikerJones Level 2 Description,Vergrößerter Explosionsradius.
StrikerJones Level 3 Description,Erschütterungsgranate: Verschießt eine gelenkte Granate auf den größten Bloon auf dem Bildschirm und betäubt ihn.
StrikerJones Level 4 Description,Alle Bombenwerfer und Mörseraffen auf dem Bildschirm feuern 10 % schneller.
StrikerJones Level 5 Description,Macht alle Schwarzen Bloons weniger widerstandsfähig gegenüber Explosivschaden von allen Affen.
StrikerJones Level 6 Description,Explosionsradius und Platzenlassen sind für Jones‘ normale Angriffe enorm erhöht.
StrikerJones Level 7 Description,Lässt zwei Schichten pro Schuss platzen und der Explosionsradius der Mörseraffen wird zum 10 % erhöht.
StrikerJones Level 8 Description,Bombenwerfer in der Nähe des Helden erhalten +5 % Reichweite und +25 % Durchschlagskraft.
StrikerJones Level 9 Description,"Erhöhte Angriffsgeschwindigkeit und Durchschlagskraft der Erschütterungsgranate, erhöhter Schaden und erhöhtes Betäuben."
StrikerJones Level 10 Description,Artilleriekommando: Setzt Abkühlung bei allen Bombenwerfern und Mörseraffen zurück.
StrikerJones Level 11 Description,Erhöhte Angriffsgeschwindigkeit.
StrikerJones Level 12 Description,Erhöht leicht die Angriffsreichweite und lässt eine Extraschicht platzen.
StrikerJones Level 13 Description,Erhöhte Angriffsgeschwindigkeit.
StrikerJones Level 14 Description,Die Erschütterungsgranate trifft einen größeren Bereich für längere Dauer.
StrikerJones Level 15 Description,Die Abkühlphase der Erschütterungsgranate ist auf 11 Sekunden verringert.
StrikerJones Level 16 Description,Erhöhte Angriffsgeschwindigkeit.
StrikerJones Level 17 Description,Erhöhte Reichweite und Platzenlassen von 4 Schichten pro Wurf.
StrikerJones Level 18 Description,Alle Bombenwerfer und Mörseraffen auf dem Bildschirm greifen zusätzliche 10 % schneller an.
StrikerJones Level 19 Description,Erhöhte Angriffsgeschwindigkeit und macht alle schwarzen Bloons verwundbar durch Explosivschaden.
StrikerJones Level 20 Description,Artilleriekommando verleiht außerdem allen Bombenwerfern und Mörseraffen 10 Sekunden lang Doppelschaden und Doppelplatzen pro Schuss.
,
CaptainChurchill Level 1 Description,Von einem Panzer abgeschossene panzerbrechende Bomben können bis zu 3 Mal explodieren.
CaptainChurchill Level 2 Description,Erhöhte Kraft zum Platzenlassen pro Wurf.
CaptainChurchill Level 3 Description,"Panzerbrechende Granaten: Schüsse können Schwarze Bloons platzen lassen und Extraschaden bei Keramik-Bloons verursachen. Die Dauer verlängert sich, wenn Churchill aufsteigt."
CaptainChurchill Level 4 Description,Erhöhte Angriffsreichweite.
CaptainChurchill Level 5 Description,Fügt dem Panzer ein Schnellfeuer-Maschinengewehr hinzu.
CaptainChurchill Level 6 Description,"Das Fernglas ermöglicht es Churchill, Tarn-Bloons platzen zu lassen."
CaptainChurchill Level 7 Description,Granaten fügen mehr Schaden zu und können 4 Mal statt nur 3 Mal explodieren.
CaptainChurchill Level 8 Description,Erhöhte Angriffsgeschwindigkeit.
CaptainChurchill Level 9 Description,Granaten können 5-mal explodieren.
CaptainChurchill Level 10 Description,MOAB-Sperrfeuer: Startet ein Granaten-Sperrfeuer auf bis zu 10 Bloons der MOAB-Klasse und verursacht jedes Mal schweren Schaden.
CaptainChurchill Level 11 Description,Erhöhte Kraft zum Platzenlassen pro Granate.
CaptainChurchill Level 12 Description,Granaten richten zusätzlichen erhöhten Schaden an und können 6 Mal explodieren.
CaptainChurchill Level 13 Description,Panzerbrechende Granaten lassen 2 Schichten Bloons platzen und verursachen bei Keramik-Bloons oder höher Extraschaden.
CaptainChurchill Level 14 Description,Maschinengewehr und Hauptgewehr lassen pro Schuss 1 zusätzliche Schicht platzen.
CaptainChurchill Level 15 Description,Sämtliche Angriffe verursachen Extraschaden bei Wehrbloons.
CaptainChurchill Level 16 Description,Erhöhte Angriffsgeschwindigkeit.
CaptainChurchill Level 17 Description,Panzerbrechende Granaten verursachen noch mehr Schaden.
CaptainChurchill Level 18 Description,Alle Granaten lassen eine Extraschicht Bloons platzen.
CaptainChurchill Level 19 Description,Granaten können 7-mal explodieren.
CaptainChurchill Level 20 Description,MOAB-Sperrfeuer und Hauptgewehr richten pro Treffer enorm mehr Schaden an. 
,
Gwendolin Level 1 Description,Lässt mit ihrer Pyro-Pistole Bloons platzen.
Gwendolin Level 2 Description,Leicht erhöhte Kraft zum Platzenlassen pro Schuss.
Gwendolin Level 3 Description,"Feuercocktail: Wirft eine Flasche mit einer brennenden Flüssigkeit, welche Bloons verbrennt, die hindurchfliegen."
Gwendolin Level 4 Description,"„Es ist angeheizt“ – erzeugt alle paar Sekunden einen mächtigen Feuerstoß, der Bloons platzen lässt und Affenangriffe in der Nähe verstärkt."
Gwendolin Level 5 Description,Erhöhte Kraft zum Platzenlassen.
Gwendolin Level 6 Description,Angriffe verursachen Verbrennungseffekte bei anvisierten Bloons.
Gwendolin Level 7 Description,"„Es ist angeheizt“ verfügt über einen größeren Radius, Feuercocktail ist effektiver."
Gwendolin Level 8 Description,Verschießt 2 Feuerstöße pro Schuss.
Gwendolin Level 9 Description,Der erste Treffer lässt eine Extraschicht platzen.
Gwendolin Level 10 Description,Feuersturm: Setzt den ganzen Bildschirm in Brand und verbrennt alle Bloons und gewährt allen Affen den „Es ist angeheizt“-Vorteil.
Gwendolin Level 11 Description,Erhöhte Angriffsreichweite.
Gwendolin Level 12 Description,Erhöhte Angriffsgeschwindigkeit.
Gwendolin Level 13 Description,Stark erhöhte Kraft zum Platzenlassen und Projektile bewegen sich schneller und halten länger.
Gwendolin Level 14 Description,Feuercocktail verursacht Extraschaden und setzt Bloons der MOAB-Klasse in Brand.
Gwendolin Level 15 Description,Erhöhte Angriffsgeschwindigkeit.
Gwendolin Level 16 Description,Feuersturm ist von längerer Dauer und richtet mehr Schaden an. Violette Bloons sind nicht mehr gegen Gwendolins Angriffe immun.
Gwendolin Level 17 Description,"Es ist angeheizt verstärkt alle betroffenen Affen und ermöglicht ihnen, 1 Extraschicht platzen zu lassen und Blei-Bloons +2 Schaden zuzufügen."
Gwendolin Level 18 Description,Erhöhte Angriffsgeschwindigkeit.
Gwendolin Level 19 Description,Verschießt 3 Feuerstöße pro Schuss.
Gwendolin Level 20 Description,Feuersturm verursacht deutlich erhöhten Schaden.
,
Benjamin Level 1 Description,Hackt in jeder Runde $100.
Benjamin Level 2 Description,Generiert in jeder Runde $150 statt $100.
Benjamin Level 3 Description,Biohack: die vier nächsten Affen lassen 6 Sekunden lang eine extra Schicht pro Angriff platzen. Nach Ende der Wirkung können die jeweiligen Affen 2 Sekunden lang nicht angreifen.
Benjamin Level 4 Description,Skimming – bringt +1 $  für jeden neu erschienenen Bloon.
Benjamin Level 5 Description,Bank-Hack – alle Banken bringen +5 % Einnahmen.
Benjamin Level 6 Description,Cyber-Security – stellt zum Ende einer jeden Runde 5 Leben wieder her.
Benjamin Level 7 Description,"Bloon-Trojaner – sendet alle paar Sekunden einen Trojaner an einen zufälligen Bloon. Der betroffene Bloon bekommt keine Ableger, wenn er zerstört wird und erzeugt 1x Geld für jede Schicht."
Benjamin Level 8 Description,Einkommen pro Runde auf $250 erhöht.
Benjamin Level 9 Description,Der Bank-Hack ist auf 12 % erhöht.
Benjamin Level 10 Description,Siphon-Funding: Degradiert alle neue gespawnten Bloons um einen Rang. Doppeltes Geld mit jedem Bloon der platzt. Hält 10 Sekunden lang an.
Benjamin Level 11 Description,Einkommen pro Runde auf $300 erhöht.
Benjamin Level 12 Description,Das Skimming ist auf 2 $ pro Bloon erhöht.
Benjamin Level 13 Description,Biohack erhöht den Bonusschaden und betrifft 8 Sekunden lang 6 Affen.
Benjamin Level 14 Description,Cyber-Security fügt 10 Leben pro Runde hinzu und kann bis zu 100 Startleben bringen.
Benjamin Level 15 Description,Einkommen pro Runde auf $500 erhöht.
Benjamin Level 16 Description,Der Bloon-Trojaner wird öfter gesendet und bringt mehr Geld ein.
Benjamin Level 17 Description,Das Einkommen ist auf 800 $ pro Runde erhöht.
Benjamin Level 18 Description,Bloon-Trojaner kann sich auf BFB- und DDT-Bloons auswirken.
Benjamin Level 19 Description,Biohack hält 9 Sekunden lang an und betroffene Affen lassen anstelle 2 Schicht 3 extra Schichten platzen.
Benjamin Level 20 Description,Siphon-Funding dauert 20 Sekunden und die Einnahmen pro Platzenlassen sind bei betroffenen Bloons verdreifacht.
,
PatFusty Level 1 Description,Pat knallt Bloons in den Boden.
PatFusty Level 2 Description,Erhöht den Radius eines Schlagangriffs.
PatFusty Level 3 Description,Schlachtruf: Alle Affen in der Nähe können für kurze Zeit +1 Schicht platzen lassen.
PatFusty Level 4 Description,Erhöhte Angriffsgeschwindigkeit.
PatFusty Level 5 Description,Manchmal treibt ein mächtiger Schlag die Bloons vom Ausgang weg.
PatFusty Level 6 Description,Von Pat getroffene Bloons werden kurzzeitig betäubt.
PatFusty Level 7 Description,Erhöhte Kraft zum Platzenlassen und mehr Schaden.
PatFusty Level 8 Description,Erhöhte Angriffsgeschwindigkeit.
PatFusty Level 9 Description,Erhöhte Angriffsreichweite.
PatFusty Level 10 Description,"Großklemme: Schnappt sich einen MOAB, BFB, DDT (falls sichtbar) oder ZOMG und zerfetzt ihn 5 Sekunden lang in Stücke."
PatFusty Level 11 Description,Angriff lässt mehr Schichten platzen.
PatFusty Level 12 Description,Erhöhte Angriffsgeschwindigkeit.
PatFusty Level 13 Description,Der Angriff betäubt Bloons der MOAB-Klasse kurzzeitig und andere Bloons länger.
PatFusty Level 14 Description,"Schlachtruf erhöht Radius und Dauer, plus erhöhter Schaden bei Schlachtruf-Affen."
PatFusty Level 15 Description,Ein Patschangriff betrifft mehr Bloons.
PatFusty Level 16 Description,Erhöhte Angriffsreichweite und Extraschaden bei Keramik-Bloons.
PatFusty Level 17 Description,Erhöhte Angriffsgeschwindigkeit.
PatFusty Level 18 Description,Erhöhte Kraft zum Platzenlassen.
PatFusty Level 19 Description,Angriff lässt mehr Schichten platzen.
PatFusty Level 20 Description,Großklemme kann mehrere große Bloons auf einmal packen.
,
ObynGreenfoot Level 1 Description,"Sendet Wolfgeister, um die Bloons anzugreifen."
ObynGreenfoot Level 2 Description,Zorn der Natur – alle Druiden in Reichweite erhalten +1 Durchschlagskraft.
ObynGreenfoot Level 3 Description,"Erstellt einen stacheligen Busch, an dem 50 Bloons platzen können."
ObynGreenfoot Level 4 Description,"Erschafft alle 18 Sekunden ein Totem, das alle Bloons in der Nähe des Totems um 30 % verlangsamt. Weniger effektiv gegen Bloons der MOAB-Klasse."
ObynGreenfoot Level 5 Description,Erhöhte Angriffsgeschwindigkeit. Druiden des Dschungels verfügen über einen größeren Radius.
ObynGreenfoot Level 6 Description,Erhöhte Kraft zum Platzenlassen und  Projektile bewegen sich schneller.
ObynGreenfoot Level 7 Description,Bromberen können 100 Bloons platzen lassen.
ObynGreenfoot Level 8 Description,Naturschutztotems verlangsamen Bloons um 40 %.
ObynGreenfoot Level 9 Description,"Angriff lässt mehr Schichten platzen. Druiden des Sturms haben größere Stürme, die MOABs mehr Schaden zufügen."
ObynGreenfoot Level 10 Description,"Baumwall: Ruft einen Baumwall auf die Strecke, der alle Bloons vernichtet, die sie betreten. Ist er voll, bersten die Bäume zu Geld."
ObynGreenfoot Level 11 Description,"Klarheit der Natur – alle Zauberaffen in Reichweite erhalten +5 Reichweite +2 Durchschlagskraft, und Druiden erhalten zusätzlich +1 Durchschlagskraft."
ObynGreenfoot Level 12 Description,Erhöhte Angriffsgeschwindigkeit und Abkühlphasen der Zauberaffen um 5 % reduziert.
ObynGreenfoot Level 13 Description,Noch stärker erhöhte Kraft zum Platzenlassen und Projektilgeschwindigkeit.
ObynGreenfoot Level 14 Description,Angriff lässt mehr Schichten platzen.
ObynGreenfoot Level 15 Description,Der Naturschutz verlangsamt Bloons um 60 % und verkürzt die Abkühlphase.
ObynGreenfoot Level 16 Description,Brombeeren können jeweils 500 Bloons platzen lassen und können allen Bloons-Arten Schaden zufügen.
ObynGreenfoot Level 17 Description,Erhöhte Angriffsgeschwindigkeit.
ObynGreenfoot Level 18 Description,Verbesserter Zorn – alle Zorndruiden starten jede Runde mit 200.
ObynGreenfoot Level 19 Description,Angriff lässt mehr Schichten platzen.
ObynGreenfoot Level 20 Description,Baumwall hält eine Menge weiterer Bloons auf.
,
Ezili Level 1 Description,Ezili verflucht Bloons mit Schwarzen Voodoozaubern.
Ezili Level 2 Description,Erhöhte Angriffsreichweite.
Ezili Level 3 Description,Herzstopper: Verhindert Runderneuern für 6 Sekunden.
Ezili Level 4 Description,Ezilis Hauptangriff verflucht jetzt mehrere Bloons.
Ezili Level 5 Description,Erhöhte Angriffsgeschwindigkeit.
Ezili Level 6 Description,Schaden über Zeit dauert länger und verursacht schneller Schäden.
Ezili Level 7 Description,"Opfertotem: Ein Totem, das Affen in der Nähe Enttarnungsfähigkeit sowie zusätzliche Durchschlagskraft, Angriffsreichweite, Angriffsgeschwindigkeit und Geschossgeschwindigkeit verleiht. Zieht 10 Leben ab."
Ezili Level 8 Description,Ezilis Angriff verursacht weitaus mehr Schaden bei Bloons der MOAB-Klasse.
Ezili Level 9 Description,"Ezilis Angriff entzieht Bloons, die nicht der MOAB-Klasse angehören, Tarnung, Runderneuern und Befestigungen."
Ezili Level 10 Description,"MOAB-Zauber: Verpasst Bloons der MOAB-Klasse einen Fluch, sodass sie jede Sekunde bis zur Vernichtung Schaden erleiden."
Ezili Level 11 Description,Erhöhte Angriffsreichweite. Erhöht die Durchschlagskraft von wiederbelebten Bloons um 50 %
Ezili Level 12 Description,Herzstopper verkürzt die Abkühlphase und verlängert die Wirkdauer. Teilt erhöhten Schaden an MOABs aus.
Ezili Level 13 Description,Der Basisangriff hat einen größeren Wirkradius und erhöhte Durchschlagskraft.
Ezili Level 14 Description,Schnellerer Schaden über Zeit.
Ezili Level 15 Description,Erhöhte Reichweite. Schaden im Laufe der Zeit dauert länger.
Ezili Level 16 Description,Das Opfertotem dauert länger und seine Verwendung kostet nur 1 Leben.
Ezili Level 17 Description,Der Basisangriff hat einen größeren Wirkradius und erhöhte Durchschlagskraft.
Ezili Level 18 Description,Erhöhte Angriffsgeschwindigkeit.
Ezili Level 19 Description,Jeder Schaden abgesehen vom Basisschaden lässt 3 Schichten platzen!
Ezili Level 20 Description,MOAB-Zauber wirkt schneller und kann BAD-Bloons zerstören.
,
//Hero Ability Names,
Rapid Shot Ability,Schnellschuss
Storm of Arrows Ability,Pfeilsturm  
Concussive Shell Ability,Erschütterungsgranate
Artillery Command Ability,Artillerist
Armor Piercing Shells Ability,Panzerbrechende Granate
MOAB Barrage Ability,MOAB-Sperrfeuer
Cocktail of Fire Ability,Feuercocktail
Firestorm Ability,Feuersturm
Biohack Ability,Biohack
Syphon Funding Ability,Siphon-Funding
Rallying Roar Ability,Schlachtruf
Big Squeeze Ability,Großklemme
Brambles Ability,Brombeere
Wall of Trees Ability,Baumwall
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,Für kurze Zeit dreifache Angriffsgeschwindigkeit.
Storm of Arrows Ability Description,Deckt ein großes Gebiet mit einem tödlichen Pfeilregen ab.
Concussive Shell Ability Description,Verschießt eine gelenkte Granate auf den größten Bloon auf dem Bildschirm und betäubt ihn.
Artillery Command Ability Description,Setzt Abkühlung bei allen bombenfeuernden und Mörseraffen zurück.
Armor Piercing Shells Ability Description,"Schüsse können Schwarze Bloons platzen lassen und Extraschaden bei Keramik-Bloons verursachen. Die Dauer verlängert sich, wenn Churchill aufsteigt."
MOAB Barrage Ability Description,Feuert Granaten auf bis zu 10 Bloons der MOAB-Klasse auf dem Bildschirm und fügt jedes Mal massiven Schaden zu.
Cocktail of Fire Ability Description,"Schleudert Gefäß mit brennbarer Flüssigkeit auf brennende Bloons, die durch das Feuer gehen."
Firestorm Ability Description,Setzt den ganzen Bildschirm in Brand und verbrennt alle Bloons und gewährt allen Affen den „Es ist angeheizt“-Vorteil.
Biohack Ability Description,Die 4 nächstgelegenen Affen lassen 6 Sekunden lang eine extra Schicht pro Angriff platzen. Betroffene Affen können nach Ablauf der Wirkung zwei Sekunden lang nicht angreifen.
Syphon Funding Ability Description,Stuft die meisten neu gespawnten Bloons um einen Rang ab. Geld pro Platzen von betroffenen Bloons verdoppelt. Hält 10 Sekunden lang an.
Rallying Roar Ability Description,Alle Affen in der Nähe können für kurze Zeit +1 Schicht platzen lassen.
Big Squeeze Ability Description,"Packt einen Bloon der Klasse MOAB, BFB, DDT (sofern sichtbar) oder ZOMG und zerdrückt ihn für 5 Sekunden."
Brambles Ability Description,"Erstellt einen stacheligen Busch auf der Strecke, an dem bis zu 50 Bloons zerplatzen."
Wall of Trees Ability Description,"Ruft eine Baummauer über die Strecke herbei, die alle eindringenden Bloons vernichtet. Wenn sie voll ist, explodieren die Bäume in Geld."
Heartstopper Ability Description,Verhindert Runderneuern für 6 Sekunden.
Sacrificial Totem Ability Description,"Ein Totem, das Affen in der Nähe Enttarnungsfähigkeit sowie zusätzliche Durchschlagskraft, Angriffsreichweite, Angriffsgeschwindigkeit und Geschossgeschwindigkeit verleiht. Zieht 10 Leben ab."
MOAB Hex Ability Description,"Verpasst Bloons der MOAB-Klasse einen Fluch, sodass sie jede Sekunde bis zur Vernichtung Schaden erleiden."
,
//Hero Misc,
Level,Stufe
,
//Upgrade Names,
Sharp Shots,Scharfe Schüsse
Quick Shots,Schnelle Schüsse
Long Range Darts,Langstrecken-Wurfpfeile
Razor Sharp Shots,Messerscharfe Schüsse
Very Quick Shots,Ganz schnelle Schüsse
Enhanced Eyesight,Verbesserte Sicht
Spike-o-pult,Nagelkatapult
Triple Shot,Dreifachschuss
Crossbow,Armbrust
Juggernaut,Moloch
Super Monkey Fan Club,Superaffen-Fanclub
Sharp Shooter,Scharfschütze
Ultra-Juggernaut,Ultra-Moloch
Plasma Monkey Fan Club,Plasmaaffen-Fanclub
Crossbow Master,Armbrust-Meister
,
Improved Rangs,Verbesserte Bumerange
Faster Throwing,Schneller Werfen
Long Range Rangs,Langstrecken-Bumerange
Glaives,Gleven
Faster Rangs,Schnellere Bumerange
Red Hot Rangs,Glühend heiße Bumerange
Glaive Ricochet,Gleven-Ricochet
Bionc Boomerang,Bionik-Bumerang
Kylie Boomerang,Kylie-Bumerang
M.O.A.R Glaives,M.O.A.R.-Gleven
Turbo Charge,Turboladung
MOAB Press,MOAB-Druck
Glaive Lord,Glevenführer
Perma Charge,Permaladung
MOAB Domination,MOAB-Beherrschung
,
Bigger Bombs,Größere Bomben
Faster Reload,Schnelleres Nachladen
Extra Range,Extrareichweite
Heavy Bombs,Schwere Bomben
Missile Launcher,Raketenwerfer
Frag Bombs,Splitterbomben
Really Big Bombs,Richtig große Bomben
MOAB Mauler,MOAB-Schläger
Cluster Bombs,Streubomben
Bloon Impact,Bloon-Aufschlag
MOAB Assassin,MOAB-Killer
Recursive Cluster,Rekursiv-Cluster
Bloon Crush,Bloon-Vernichter
MOAB Eliminator,MOAB-Eliminator
Bomb Blitz,Bombenblitz
,
Faster Shooting,Schneller Schießen
Long Range Tacks,Langstrecken-Reißnägel
More Tacks,Mehr Reißnägel
Even Faster Shooting,Noch schnelleres Schießen
Super Range Tacks,Super-Langstrecken-Reißnägel
Even More Tacks,Noch mehr Reißnägel
Hot Shots,Hot-Shots
Blade Shooter,Klingenwerfer
Tack Sprayer,Reißnagel-Sprüher
Ring of Fire,Feuerring
Blade Maelstrom,Klingeninferno
Overdrive,Schnellgang
Inferno Ring,Inferno-Ring
Super Maelstrom,Super-Inferno
The Tack Zone,Die Reißnagelzone
,
Permafrost,Dauerfrost
Enhanced Freeze,Verbesserte Gefrierfunktion
Larger Radius,Größerer Radius
Metal Freeze,Kältewelle
Deep Freeze,Tiefgefrieren
Re-Freeze,Regefrieren
Ice Shards,Eisbrocken
Arctic Wind,Arktischer Wind
Cryo Cannon,Cryo-Kanone
Embrittlement,Versprödung
Snowstorm,Schneesturm
Icicles,Eiszapfen
Super Brittle,Superbröckeln
Absolute Zero,Absolut Null
Icicle Impale,Eiszapfenpfahl
,
Glue Soak,Klebstoff-Tränke
Bigger Globs,Großtropfen
Stickier Glue,Klebrigerer Klebstoff
Corrosive Glue,Ätzender Klebstoff
Glue Splatter,Klebstoffkleckse
Stronger Glue,Stärkerer Klebstoff
