//Input. Needs to be first e.g [I] replaced by click or tap,
Click,클릭
//Hero Short Descriptions,
Quincy Short Description,궁수
StrikerJones Short Description,포병대 사령관
CaptainChurchill Short Description,탱크
Gwendolin Short Description,방화광
Benjamin Short Description,프로그래머 원숭이
PatFusty Short Description,거대 원숭이
Ezili Short Description,부두 원숭이
ObynGreenfoot Short Description,숲의 지킴이
,
//Hero Description,
Quincy Description,"자존감이 높고, 힘세며 영리한 퀸시는 엄청난 활 솜씨를 뽐내며 활약합니다."
StrikerJones Description,"스트라이커 존스는 원거리 전투에 해박하며, 특히 폭발물을 제대로 활용하는 법을 압니다."
CaptainChurchill Description,전용 중장갑 전투 탱크에 타면 전장에서 감히 캡틴을 막을 수 있는 자는 아무도 없습니다.
Gwendolin Description,그웬돌린은 불로 처리하지 못할 풍선 문제는 존재하지 않는다고 믿습니다. 더 큰 불을 내면 되니까요.
Benjamin Description,벤자민은 고급 해킹 기술을 사용해 자금에 보탤 머니를 추가로 생산할 수 있습니다.
PatFusty Description,팻은 어마어마한 힘을 가진 거대한 원숭이입니다. 팻의 독보적인 체구와 근력은 풍선과의 싸움에서 큰 도움이 되지요.
Ezili Description,이질리는 흑마법을 부리며 풍선을 조종합니다. 조심하세요.  
ObynGreenfoot Description,자연의 힘을 부리는 오빈은 늑대 정령으로 물리적 장애물을 뚫고 공격할 수 있습니다.
,
//Hero Level Descriptions,
Quincy Level 1 Description,퀸시의 기본 공격이 최대 3개의 대상으로 튑니다.
Quincy Level 2 Description,기본 공격이 최대 4개의 대상으로 튑니다.
Quincy Level 3 Description,속사: 잠시 동안 공격 속도가 세 배가 됩니다.
Quincy Level 4 Description,사정거리가 약간 증가합니다.
Quincy Level 5 Description,매의 눈으로 캐모 풍선을 발견하여 쏩니다.
Quincy Level 6 Description,한꺼번에 2개의 화살을 쏩니다.
Quincy Level 7 Description,공격 3번마다 한 번은 폭발성 화살을 발사합니다.
Quincy Level 8 Description,MOAB급 풍선에 화살이 주는 피해가 세 배가 됩니다.
Quincy Level 9 Description,기본 공격이 최대 6개의 대상으로 튑니다.
Quincy Level 10 Description,화살 폭풍: 넓은 영역에 무시무시한 화살 비를 내립니다.
Quincy Level 11 Description,공격 속도가 증가합니다.
Quincy Level 12 Description,각 화살의 터트리는 힘이 증가합니다.
Quincy Level 13 Description,사정거리가 조금 증가합니다.
Quincy Level 14 Description,MOAB급 풍선에 화살이 주는 피해가 네 배가 됩니다.
Quincy Level 15 Description,"속사의 효과가 공격 속도 4배로 증가하며, 쿨다운이 감소합니다."
Quincy Level 16 Description,공격 속도가 더욱 증가합니다.
Quincy Level 17 Description,화살이 25% 더 오래갑니다. 공격 2번마다 한 번은 폭발성 화살을 발사합니다.
Quincy Level 18 Description,퀸시의 공격 속도가 빨라지고 화살 폭풍의 쿨다운이 줄어들며 화살의 개수가 50% 증가합니다.
Quincy Level 19 Description,각 화살의 터트리는 힘이 더욱 증가합니다.
Quincy Level 20 Description,"퀸시의 공격 속도가 더 빨라집니다. 화살 폭풍이 화살당 주는 피해가 증가하며, 발사하는 화살 수도 더욱 증가합니다."
,
StrikerJones Level 1 Description,스트라이커 존스가 강력한 바주카포를 발사해 풍선을 터트립니다.
StrikerJones Level 2 Description,폭발 반경이 증가합니다.
StrikerJones Level 3 Description,뇌진탕 포탄: 화면 내 가장 큰 풍선을 향해 유도 포탄을 발사하여 기절시킵니다.
StrikerJones Level 4 Description,화면 내의 모든 폭탄 슈터와 박격포 원숭이의 공격 속도가 10% 빨라집니다.
StrikerJones Level 5 Description,모든 원숭이의 폭발성 공격에 대한 모든 검은 풍선의 저항력이 감소합니다.
StrikerJones Level 6 Description,존스의 기본 공격의 폭발 반경과 터트리는 힘이 상당히 증가합니다.
StrikerJones Level 7 Description,"공격당 2겹을 터트리며, 박격포 원숭이의 폭발 반경이 10% 증가합니다."
StrikerJones Level 8 Description,영웅 주변의 폭탄 슈터의 사정거리가 5% 증가하고 관통력이 25% 증가합니다.
StrikerJones Level 9 Description,"공격 속도가 빨라지고 뇌진탕 포탄의 관통력, 공격력, 기절 효과를 증가합니다."
StrikerJones Level 10 Description,포병대 지휘: 모든 폭탄 슈터와 박격포 원숭이의 쿨다운을 초기화합니다.
StrikerJones Level 11 Description,공격 속도가 증가합니다.
StrikerJones Level 12 Description,"공격 사정거리가 약간 증가하며, 추가로 풍선을 한 겹 더 터트리게 됩니다."
StrikerJones Level 13 Description,공격 속도가 증가합니다.
StrikerJones Level 14 Description,뇌진탕 포탄이 영향을 미치는 영역과 지속 시간이 증가합니다.
StrikerJones Level 15 Description,뇌진탕 포탄의 쿨다운이 11초로 감소합니다.
StrikerJones Level 16 Description,공격 속도가 증가합니다.
StrikerJones Level 17 Description,"사정거리가 증가하며, 공격당 4겹을 터트립니다."
StrikerJones Level 18 Description,모든 폭탄 슈터와 박격포 원숭이의 공격 속도가 10% 더 빨라집니다.
StrikerJones Level 19 Description,공격 속도가 증가하며 모든 검은 풍선이 폭발성 공격에 취약해집니다.
StrikerJones Level 20 Description,포병대 지휘를 사용하면 10초 동안 폭탄 슈터와 박격포 원숭이가 주는 피해와 공격당 터트리는 힘이 두 배가 됩니다.
,
CaptainChurchill Level 1 Description,탱크에서 발사하는 관통 폭탄은 최대 3번까지 폭발합니다.
CaptainChurchill Level 2 Description,공격당 터트리는 힘이 증가합니다.
CaptainChurchill Level 3 Description,"철갑탄: 검은 풍선을 터트릴 수 있으며, 세라믹 풍선에 추가 피해를 줍니다. 지속 시간은 처칠의 레벨이 오를수록 증가합니다."
CaptainChurchill Level 4 Description,공격 사정거리가 증가합니다.
CaptainChurchill Level 5 Description,탱크에 고속 사격 기관총 공격을 추가합니다.
CaptainChurchill Level 6 Description,쌍안경을 쓰면 처칠이 캐모 풍선을 터트릴 수 있습니다.
CaptainChurchill Level 7 Description,포탄의 공격력이 증가하며 3번이 아니라 4번 폭발합니다.
CaptainChurchill Level 8 Description,공격 속도가 증가합니다.
CaptainChurchill Level 9 Description,포탄이 5번 폭발합니다.
CaptainChurchill Level 10 Description,"MOAB 포화: 화면 내 최대 10개의 MOAB급 풍선을 향해 포탄 세례를 발사하여, 각각 막대한 피해를 줍니다."
CaptainChurchill Level 11 Description,포탄당 터트리는 힘이 증가합니다.
CaptainChurchill Level 12 Description,포탄의 공격력이 추가로 증가하며 6번 폭발합니다.
CaptainChurchill Level 13 Description,"철갑탄: 풍선을 2겹 터트리며, 세라믹 이상의 풍선에 추가 피해를 줍니다."
CaptainChurchill Level 14 Description,기관총과 주 무기가 한 발당 추가로 한 겹 더 터트립니다.
CaptainChurchill Level 15 Description,모든 공격이 강화 풍선에 추가 피해를 줍니다.
CaptainChurchill Level 16 Description,공격 속도가 증가합니다.
CaptainChurchill Level 17 Description,철갑탄이 주는 피해가 더욱 증가합니다.
CaptainChurchill Level 18 Description,모든 포탄이 풍선을 한 겹 더 터트립니다.
CaptainChurchill Level 19 Description,포탄이 7번 폭발합니다.
CaptainChurchill Level 20 Description,MOAB 포화 포탄과 주 무기의 명중당 피해가 어마어마하게 증가합니다.
,
Gwendolin Level 1 Description,방화총으로 풍선에 불을 내뿜습니다.
Gwendolin Level 2 Description,공격당 터트리는 힘이 약간 증가합니다.
Gwendolin Level 3 Description,"불의 칵테일: 불에 잘 타는 액체가 든 플라스크를 던져, 불을 통과하는 풍선을 태웁니다."
Gwendolin Level 4 Description,"후끈후끈 - 몇 초마다 위력적인 불길의 파도를 방출합니다. 불길은 풍선을 터트리고, 주변 원숭이의 공격에 불을 추가합니다."
Gwendolin Level 5 Description,터트리는 힘이 증가합니다.
Gwendolin Level 6 Description,공격 시 대상 풍선에 불타는 효과를 부여합니다.
Gwendolin Level 7 Description,"후끈후끈의 반경이 증가하고, 불의 칵테일의 위력이 증가합니다."
Gwendolin Level 8 Description,공격당 2개의 불길을 방출합니다.
Gwendolin Level 9 Description,각각의 불길이 처음 명중할 때 풍선을 추가로 1겹 더 터트립니다.
Gwendolin Level 10 Description,불기둥: 화면 전체를 화염으로 휩싸 모든 풍선을 태우며 후끈후끈 버프를 모든 원숭이에게 부여합니다.
Gwendolin Level 11 Description,공격 사정거리가 증가합니다.
Gwendolin Level 12 Description,공격 속도가 증가합니다.
Gwendolin Level 13 Description,"터트리는 힘이 상당히 증가하며, 발사무기의 이동 속도와 지속시간이 증가합니다."
Gwendolin Level 14 Description,불의 칵테일이 추가 피해를 주며 MOAB급 풍선을 태웁니다.
Gwendolin Level 15 Description,공격 속도가 증가합니다.
Gwendolin Level 16 Description,불기둥의 지속시간과 피해가 증가합니다. 보라 풍선이 그웬돌린의 공격에 면역이 아니게 됩니다.
Gwendolin Level 17 Description,후끈후끈의 영향을 받는 원숭이가 풍선을 추가로 1겹 더 터트리며납 풍선에 대한 공격력이 2 증가합니다.
Gwendolin Level 18 Description,공격 속도가 증가합니다.
Gwendolin Level 19 Description,공격당 3개의 불길을 방출합니다.
Gwendolin Level 20 Description,불기둥이 주는 피해가 어마어마하게 증가합니다.
,
Benjamin Level 1 Description,라운드마다 해킹으로 $100를 생성합니다.
Benjamin Level 2 Description,라운드마다 $100 대신 $150를 생성합니다.
Benjamin Level 3 Description,바이오핵: 가장 가까운 4마리의 원숭이가 6초 동안 공격당 풍선을 추가로 1겹 더 터트립니다. 해당 원숭이는 효과가 끝난 후 2초 동안 공격할 수 없습니다.
Benjamin Level 4 Description,좀도둑질 - 새로운 풍선이 생성될 때마다 추가로 $1를 법니다.
Benjamin Level 5 Description,은행 해킹 - 모든 은행의 수입이 5% 증가합니다.
Benjamin Level 6 Description,사이버 보안 - 라운드가 끝날 때마다 목숨 5개를 회복합니다.
Benjamin Level 7 Description,"트로이 풍선 - 몇 초마다 무작위 풍선에 트로이 소프트웨어 바이러스를 보냅니다. 해당 풍선은 파괴 시 다른 풍선을 남기지 않으며, 터진 겹마다 보너스 캐시를 1씩 생산합니다."
Benjamin Level 8 Description,라운드당 수입이 $250로 증가합니다.
Benjamin Level 9 Description,은행 해킹의 효과가 12%로 증가합니다.
Benjamin Level 10 Description,사이펀 펀딩: 새로 생성되는 풍선 대부분의 계급을 1씩 강등합니다. 해당 풍선을 터뜨릴 때마다 받는 캐시 수입이 두 배가 됩니다. 10초 동안 지속됩니다.
Benjamin Level 11 Description,라운드당 수입이 $300로 증가합니다.
Benjamin Level 12 Description,좀도둑질의 추가 수입이 풍선당 $2로 증가합니다.
Benjamin Level 13 Description,"바이오핵의 추가 피해가 증가하며, 8초 동안 6마리의 원숭이에게 효과가 적용됩니다."
Benjamin Level 14 Description,"사이버 보안이 라운드마다 목숨 10개를 추가하며, 시작 시 목숨보다 최대 100개까지 추가합니다."
Benjamin Level 15 Description,라운드당 수입이 $500로 증가합니다.
Benjamin Level 16 Description,"트로이 풍선이 더 자주 나오며, 더 많은 캐시를 줍니다."
Benjamin Level 17 Description,라운드당 수입이 $800로 증가합니다.
Benjamin Level 18 Description,트로이 풍선이 BFB와 DDT 풍선에게 영향을 미칠 수 있습니다.
Benjamin Level 19 Description,"바이오핵의 효과가 9초 동안 지속되며, 해당 원숭이는 추가로 2겹 대신 3겹을 더 터트립니다."
Benjamin Level 20 Description,"사이펀 펀딩이 20초 동안 지속되며, 영향을 받는 풍선을 터뜨릴 때마다 받는 캐시 수입이 평소의 세 배가 됩니다."
,
PatFusty Level 1 Description,팻이 풍선을 바닥으로 내리칩니다.
PatFusty Level 2 Description,슬램 공격의 반경이 증가합니다.
PatFusty Level 3 Description,응원의 함성: 잠시 동안 주변의 모든 원숭이가 풍선을 1겹 더 터트릴 수 있게 됩니다.
PatFusty Level 4 Description,공격 속도가 증가합니다.
PatFusty Level 5 Description,가끔 무시무시한 힘으로 손바닥을 날려 풍선들을 출구로부터 밀쳐냅니다.
PatFusty Level 6 Description,팻에게 맞은 풍선은 잠시 동안 기절합니다.
PatFusty Level 7 Description,터트리는 힘과 공격력이 증가합니다.
PatFusty Level 8 Description,공격 속도가 증가합니다.
PatFusty Level 9 Description,공격 사정거리가 증가합니다.
PatFusty Level 10 Description,"우악스러운 손길: MOAB, BFB, DDT (보일 경우) 또는 ZOMG을 잡아서 5초 동안 산산이 박살내 버립니다."
PatFusty Level 11 Description,공격이 레이어를 더 많이 생성합니다.
PatFusty Level 12 Description,공격 속도가 증가합니다.
PatFusty Level 13 Description,공격 시 풍선의 기절 시간이 더 길어지며 MOAB급 풍선도 아주 잠깐 기절시킬 수 있습니다.
PatFusty Level 14 Description,"응원의 함성의 반경과 지속 시간이 증가하며, 응원받은 원숭이들의 공격력이 증가합니다."
PatFusty Level 15 Description,손바닥 공격이 더 많은 풍선에게 적용됩니다.
PatFusty Level 16 Description,공격 범위가 증가하며 세라믹 풍선에 추가 피해를 줍니다.
PatFusty Level 17 Description,공격 속도가 증가합니다.
PatFusty Level 18 Description,터트리는 힘이 증가합니다.
PatFusty Level 19 Description,공격이 레이어를 더 많이 생성합니다.
PatFusty Level 20 Description,한 번에 거대 풍선 여러 개를 잡을 수 있습니다.
,
ObynGreenfoot Level 1 Description,늑대 정령을 보내 풍선을 공격합니다.
ObynGreenfoot Level 2 Description,자연의 분노 - 사정거리 내의 모든 드루이드의 관통력에 +1 효과를 줍니다.
ObynGreenfoot Level 3 Description,트랙에 풍선 50개를 터트릴 수 있는 가시덤불을 만듭니다.
ObynGreenfoot Level 4 Description,18초마다 주변 풍선의 이동 속도를 30% 감소하는 토템을 만듭니다. MOAB급 풍선을 상대로는 효과가 떨어집니다.
ObynGreenfoot Level 5 Description,공격 속도가 증가합니다. 정글의 드루이드의 사정거리가 증가합니다.
ObynGreenfoot Level 6 Description,터트리는 힘과 발사무기의 이동 속도가 증가합니다.
ObynGreenfoot Level 7 Description,가시덤불이 풍선 100개를 터트립니다.
ObynGreenfoot Level 8 Description,자연의 수호자 토템이 풍선의 속도를 40% 감소시킵니다.
ObynGreenfoot Level 9 Description,공격 시 추가 겹을 터트립니다. 폭풍의 드루이드의 폭풍이 더 커져 MOAB 풍선에 더 많은 피해를 줍니다.
ObynGreenfoot Level 10 Description,나무벽: 트랙을 가로지르는 나무의 벽을 소환하여 들어오는 풍선을 모두 파괴합니다. 나무가 가득 차면 머니로 변하며 터집니다.
ObynGreenfoot Level 11 Description,"자연의 청명함 - 사정거리 내의 모든 마법 원숭이의 사정거리가 +5, 관통력이 +2 증가하고 드루이드의 관통력이 추가로 +1이 됩니다."
ObynGreenfoot Level 12 Description,공격 속도가 증가하고 마법 원숭이의 쿨다운이 5% 감소합니다.
ObynGreenfoot Level 13 Description,터트리는 힘과 발사무기의 이동 속도가 더욱더 증가합니다.
ObynGreenfoot Level 14 Description,공격 시 추가 겹을 터트립니다.
ObynGreenfoot Level 15 Description,"자연의 수호자가 풍선의 속도를 60% 감소하며, 쿨다운도 감소합니다."
ObynGreenfoot Level 16 Description,"가시덤불이 각각 풍선 500개를 터트리고, 모든 유형의 풍선을 공격할 수 있게 됩니다."
ObynGreenfoot Level 17 Description,공격 속도가 증가합니다.
ObynGreenfoot Level 18 Description,개선된 분노 - 모든 분노의 드루이드의 터트린 수가 라운드마다 200에서 시작합니다.
ObynGreenfoot Level 19 Description,공격 시 추가 겹을 터트립니다.
ObynGreenfoot Level 20 Description,나무벽이 더 많은 풍선을 수용할 수 있습니다.
,
Ezili Level 1 Description,이질리가 부두 흑마법으로 풍선에 저주를 겁니다.
Ezili Level 2 Description,공격 사정거리가 증가합니다.
Ezili Level 3 Description,심장정지기: 6초 동안 재생이 전혀 없도록 합니다.
Ezili Level 4 Description,이질리의 기본 공격이 이제부터 다수의 풍선에게 저주를 겁니다.
Ezili Level 5 Description,공격 속도가 증가합니다.
Ezili Level 6 Description,지속 피해의 지속 시간이 길어지며 피해 간격은 짧아집니다.
Ezili Level 7 Description,"제물 토템: 주변의 원숭이에게 캐모 감지력을 부여하고 관통력, 공격 사정거리, 공격 속도, 발사무기 속도를 추가로 증가시키는 토템입니다. 목숨 10개를 소모합니다."
Ezili Level 8 Description,이질리의 공격이 MOAB급 풍선에 훨씬 더 많은 피해를 줍니다.  
Ezili Level 9 Description,"이질리의 공격이 비MOAB급 풍선에게서 캐모, 재생, 강화 속성을 해제합니다."
Ezili Level 10 Description,MOAB 저주: MOAB급 풍선에 저주를 걸어 파멸할 때까지 매 초마다 피해를 줍니다.
Ezili Level 11 Description,공격 사정거리가 증가합니다. 되살아난 풍선을 상대로 관통력이 50% 증가합니다.
Ezili Level 12 Description,심장정지기의 쿨다운이 감소하며 지속 시간이 증가합니다. MOAB 풍선에 추가 피해를 줍니다.
Ezili Level 13 Description,기본 공격의 방사 피해 반경과 관통력이 증가합니다.
Ezili Level 14 Description,지속 피해의 피해 간격이 짧아집니다.
Ezili Level 15 Description,사정거리가 증가합니다. 지속 피해의 지속 시간이 길어집니다.
Ezili Level 16 Description,"제물 토템의 지속 시간이 증가하며, 사용할 때 목숨을 1개만 소모합니다."
Ezili Level 17 Description,기본 공격의 방사 피해 반경과 관통력이 증가합니다.
Ezili Level 18 Description,공격 속도가 증가합니다.
Ezili Level 19 Description,기본 공격의 피해가 발생할 때마다 풍선을 3겹 터트립니다!
Ezili Level 20 Description,"MOAB 저주 속도가 빨라지며, BAD 풍선도 파괴합니다."
,
//Hero Ability Names,
Rapid Shot Ability,속사
Storm of Arrows Ability,화살 폭풍  
Concussive Shell Ability,뇌진탕 포탄
Artillery Command Ability,포병대 지휘
Armor Piercing Shells Ability,철갑탄
MOAB Barrage Ability,MOAB 포화
Cocktail of Fire Ability,불의 칵테일
Firestorm Ability,불기둥
Biohack Ability,바이오핵
Syphon Funding Ability,사이펀 펀딩
Rallying Roar Ability,응원의 함성
Big Squeeze Ability,우악스러운 손길
Brambles Ability,가시덤불
Wall of Trees Ability,나무벽
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,잠시 동안 공격 속도가 세 배가 됩니다.
Storm of Arrows Ability Description,넓은 영역에 무시무시한 화살 비를 내립니다.
Concussive Shell Ability Description,화면 내 가장 큰 풍선을 향해 유도 포탄을 발사하여 기절시킵니다.
Artillery Command Ability Description,모든 폭탄 슈터와 박격포 원숭이의 쿨다운을 초기화합니다.
Armor Piercing Shells Ability Description,"검은 풍선을 터트릴 수 있으며, 세라믹 풍선에 추가 피해를 줍니다. 지속 시간은 처칠의 레벨이 오를수록 증가합니다."
MOAB Barrage Ability Description,"화면 내 최대 10개의 MOAB급 풍선을 향해 포탄 세례를 발사하여, 각각 막대한 피해를 줍니다."
Cocktail of Fire Ability Description,"불에 잘 타는 액체가 든 플라스크를 던져, 불을 통과하는 풍선을 태웁니다."
Firestorm Ability Description,화면 전체를 화염으로 휩싸 모든 풍선을 태우며 후끈후끈 버프를 모든 원숭이에게 부여합니다.
Biohack Ability Description,가장 가까운 4마리의 원숭이가 6초 동안 공격당 풍선을 추가로 1겹 더 터트립니다. 해당 원숭이는 효과가 끝난 후 2초 동안 공격할 수 없습니다.
Syphon Funding Ability Description,새로 생성되는 풍선 대부분의 계급을 1씩 강등합니다. 해당 풍선을 터뜨릴 때마다 받는 캐시 수입이 두 배가 됩니다. 10초 동안 지속됩니다.
Rallying Roar Ability Description,잠시 동안 주변의 모든 원숭이가 풍선을 1겹 더 터트릴 수 있게 됩니다.
Big Squeeze Ability Description,"MOAB, BFB, (보이는 상태의) DDT 또는 ZOMG 풍선을 잡아서 5초 동안 꽉 움켜쥐어 산산조각을 냅니다."
Brambles Ability Description,트랙에 풍선 50개를 터트릴 수 있는 가시덤불을 만듭니다.
Wall of Trees Ability Description,트랙을 가로지르는 나무의 벽을 소환하여 들어오는 풍선을 모두 파괴합니다. 나무가 가득 차면 머니로 변하며 터집니다.
Heartstopper Ability Description,6초 동안 재생이 전혀 없도록 합니다.
Sacrificial Totem Ability Description,"주변 원숭이에게 캐모 감지력을 부여하고 관통력, 공격 사정거리, 공격 속도, 발사무기 속도를 추가로 증가시키는 토템입니다. 목숨 10개를 소모합니다."
MOAB Hex Ability Description,MOAB급 풍선에 저주를 걸어 파괴될 때까지 매초 피해를 줍니다.
,
//Hero Misc,
Level,레벨
,
//Upgrade Names,
Sharp Shots,정확한 사격
Quick Shots,빠른 사격
Long Range Darts,장거리 다트
Razor Sharp Shots,정밀한 사격
Very Quick Shots,매우 빠른 사격
Enhanced Eyesight,강화된 시력
Spike-o-pult,스파이크 투석기
Triple Shot,삼중 공격
Crossbow,석궁
Juggernaut,저거노트
Super Monkey Fan Club,슈퍼 원숭이 팬클럽
Sharp Shooter,정확한 슈터
Ultra-Juggernaut,울트라 저거너트
Plasma Monkey Fan Club,플라스마 원숭이 팬클럽
Crossbow Master,석궁의 대가
,
Improved Rangs,개량형 부메랑
Faster Throwing,투척 속도 증가
Long Range Rangs,원거리 부메랑
Glaives,글레이브
Faster Rangs,부메랑 속도 증가
Red Hot Rangs,레드 핫 부메랑
Glaive Ricochet,글레이브 도탄
Bionc Boomerang,생체공학 부메랑
Kylie Boomerang,킬리 부메랑
M.O.A.R Glaives,M.O.A.R 글레이브
Turbo Charge,터보 과급기
MOAB Press,MOAB 진압
Glaive Lord,글레이브 군주
Perma Charge,영구 충전
MOAB Domination,MOAB 제압
,
Bigger Bombs,더 큰 폭탄
Faster Reload,재장전 속도 증가
Extra Range,추가 사정거리
Heavy Bombs,중량 폭탄
Missile Launcher,미사일 발사대
Frag Bombs,파편 폭탄
Really Big Bombs,초대형 폭탄
MOAB Mauler,MOAB 격투자
Cluster Bombs,집속탄
Bloon Impact,풍선 충격
MOAB Assassin,MOAB 암살자
Recursive Cluster,순환 집속탄
Bloon Crush,풍선 크러시
MOAB Eliminator,MOAB 제거기
Bomb Blitz,폭탄 블리츠
,
Faster Shooting,더 빠른 발사
Long Range Tacks,원거리 압정
More Tacks,압정 수 증가
Even Faster Shooting,심지어 더 빠른 발사
Super Range Tacks,슈퍼 사정거리 압정
Even More Tacks,압정 수 더욱 증가
Hot Shots,뜨거운 사격
Blade Shooter,칼날 슈터
Tack Sprayer,압정 뿌리개
Ring of Fire,불의 고리
Blade Maelstrom,칼날 소용돌이
Overdrive,오버드라이브
Inferno Ring,지옥의 링
Super Maelstrom,슈퍼 소용돌이
The Tack Zone,압정 구역
,
Permafrost,영구 동토층
Enhanced Freeze,강화된 냉각
Larger Radius,반경 증가
Metal Freeze,강추위
Deep Freeze,깊은 냉각
Re-Freeze,다시 얼리기
Ice Shards,얼음 조각
Arctic Wind,북극 풍
Cryo Cannon,냉동 대포
Embrittlement,유리멘탈화
Snowstorm,눈폭풍
Icicles,고드름
Super Brittle,슈퍼 유리멘탈
Absolute Zero,절대 영도
Icicle Impale,고드름 관통
,
Glue Soak,글루 담그기
Bigger Globs,방울 크기 증가
Stickier Glue,더 끈적이는 글루
Corrosive Glue,부식성 글루
Glue Splatter,글루 튀기기
Stronger Glue,글루 위력 증가
Bloon Dissolver,풍선 용해기
Glue Hose,글루 호스
MOAB Glue,MOAB 글루
Bloon Liquefier,풍선 액화기
Glue Strike,글루 스트라이크
Relentless Glue,맹렬한 글루
The Bloon Solver,풍선 해결사
Glue Storm,글루 폭풍
Super Glue,슈퍼 글루
,
Full Metal Jacket,풀 메탈 재킷
Night Vision Goggles,야간 투시경
Fast Firing,고속 사격
Large Calibre,큰 구경
Shrapnel Shot,파편탄
Even Faster Firing,사격 속도 더욱 증가
Deadly Precision,치명적 정밀함
Bouncing Bullet,튀는 탄환
Semi-Automatic,반자동
Maim MOAB,MOAB 부상
Supply Drop,물품 드롭
Full Auto Rifle,자동소총
Cripple MOAB,MOAB 손상
Elite Sniper,엘리트 저격수
Elite Defender,엘리트 수비수
,
Longer Range,사정거리 증가
Barbed Darts,가시 다트
Twin Guns,트윈 건
