//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clique
ObynGreenfoot Description,"Comandando os poderes da natureza, Obyn pode disparar através de obstáculos sólidos com seu ataque de espírito lobo."
,
//Hero Level Descriptions,
Quincy Level 1 Description,Os ataques de Quincy ricocheteiam em até 3 alvos diferentes.
Quincy Level 2 Description,Ataque básico ricocheteia em até 4 alvos.
Quincy Level 3 Description,Disparo Rápido: Velocidade de ataque tripla por pouco tempo.
Quincy Level 4 Description,Alcance ligeiramente maior.
Quincy Level 5 Description,Usa sua visão aguçada para atingir Bloons Camuflados.
Quincy Level 6 Description,Dispara duas flechas de vez.
Quincy Level 7 Description,Dispara flechas explosivas a cada três tiros.
Quincy Level 8 Description,Flechas causam o triplo do dano a Bloons Classe MOAB.
Quincy Level 9 Description,Ataque básico ricocheteia em até 6 alvos.
Quincy Level 10 Description,Tempestade de Flechas: Cobre uma ampla área com uma mortal chuva de flechas.
Quincy Level 11 Description,Velocidade de ataque aumentada.
Quincy Level 12 Description,Cada flecha tem maior poder de estouro.
Quincy Level 13 Description,Pequeno aumento no alcance.
Quincy Level 14 Description,Flechas causam o quádruplo do dano a Bloons Classe MOAB.
Quincy Level 15 Description,O disparo rápido se torna x4 e a recarga é reduzida.
Quincy Level 16 Description,Mais velocidade de ataque aumentada.
Quincy Level 17 Description,Flechas duram 25% mais. Dispara flechas explosivas a cada 2 tiros.
Quincy Level 18 Description,Quincy ataca mais rápido e a recarga da Tempestade de Flechas é reduzida e tem 50% mais flechas.
Quincy Level 19 Description,Cada flecha tem ainda mais poder de estouro.
Quincy Level 20 Description,Quincy ataca ainda mais rápido. Tempestade de Flechas causa mais dano por flecha e dispara ainda mais flechas.
,
StrikerJones Level 1 Description,Striker Jones dispara uma poderosa bazuca que explode os Bloons.
StrikerJones Level 2 Description,Raio de explosão aumentado.
StrikerJones Level 3 Description,"Cápsula Concussiva: Dispara uma cápsula guiada para o maior Bloon na tela, atordoando-o."
StrikerJones Level 4 Description,Todos os Bombardeiros e Macacos Morteiros na tela disparam 10% mais rápido.
StrikerJones Level 5 Description,Deixa todos os Bloons Pretos menos resistente a danos explosivos de todos os Macacos.
StrikerJones Level 6 Description,Grande aumento do raio de explosão e do estouro dos ataques normais de Jones.
StrikerJones Level 7 Description,Estoura 2 camadas por tiro e a área de explosão dos Macacos Morteiros aumenta em 10%.
StrikerJones Level 8 Description,Bombardeiros próximos ao herói recebem +5% de alcance e +25% de perfuração.
StrikerJones Level 9 Description,"Aumenta a velocidade de ataque e aumenta a perfuração, dano e atordoamento da Cápsula Concussiva."
StrikerJones Level 10 Description,Comando de Artilharia: Zera a recarga de todos os Bombardeiros e Macacos Morteiros.
StrikerJones Level 11 Description,Velocidade de ataque aumentada.
StrikerJones Level 12 Description,Ligeiro aumento do alcance e estouro de mais uma camada.
StrikerJones Level 13 Description,Velocidade de ataque aumentada.
StrikerJones Level 14 Description,"A Cápsula Concussiva afeta uma área maior, durante maior duração."
StrikerJones Level 15 Description,Recarga da Cápsula Concussiva reduzida para 11 segundos.
StrikerJones Level 16 Description,Velocidade de ataque aumentada.
StrikerJones Level 17 Description,Alcance aumentado e estoura 4 camadas por disparo.
StrikerJones Level 18 Description,Todos os Bombardeiros e Macacos Morteiros na tela disparam 10% mais rápido.
StrikerJones Level 19 Description,Aumenta a velocidade de ataque e torna todos os Bloons Pretos vulneráveis a dano explosivo.
StrikerJones Level 20 Description,Comando de Artilharia também dá dano e estouro dobrado a todos os Bombardeiros e Macacos Morteiros por 10 segundos.
,
CaptainChurchill Level 1 Description,Bombas perfurantes disparadas pelo tanque podem explodir até 3 vezes.
CaptainChurchill Level 2 Description,Poder de estouro por tiro aumentado.
CaptainChurchill Level 3 Description,Cartuchos Perfurantes: Disparos podem estourar Bloons Pretos e causam dano extra a Bloons de Cerâmica. A duração aumenta conforme Churchill sobe de nível.
CaptainChurchill Level 4 Description,Alcance aumentado.
CaptainChurchill Level 5 Description,Adiciona uma metralhadora rápida ao tanque.
CaptainChurchill Level 6 Description,Binóculos permitem que Churchill estoure Camuflados.
CaptainChurchill Level 7 Description,Cápsulas causam mais dano e podem explodir 4 vezes ao invés de 3.
CaptainChurchill Level 8 Description,Velocidade de ataque aumentada.
CaptainChurchill Level 9 Description,Cápsulas explodem 5 vezes.
CaptainChurchill Level 10 Description,"Barragem MOAB: Lança uma barragem de cápsulas contra até 10 Bloons Classe MOAB na tela, causando dano massivo com cada uma."
CaptainChurchill Level 11 Description,Poder de estouro por cápsula aumentado.
CaptainChurchill Level 12 Description,Cápsulas ganham um aumento adicional no dano e podem explodir 6 vezes.
CaptainChurchill Level 13 Description,Cápsulas Perfurantes estouram 2 camadas de Bloons e causam dano extra a Cerâmica e superiores.
CaptainChurchill Level 14 Description,A metralhadora e a arma principal podem estourar 1 camada adicional por tiro.
CaptainChurchill Level 15 Description,Todos os ataques causam dano extra contra Bloons Fortificados.
CaptainChurchill Level 16 Description,Velocidade de ataque aumentada.
CaptainChurchill Level 17 Description,Cápsulas perfurantes causam ainda mais dano.
CaptainChurchill Level 18 Description,Todas as cápsulas estouram uma camada extra de Bloons.
CaptainChurchill Level 19 Description,Cápsulas explodem 7 vezes.
CaptainChurchill Level 20 Description,Barragem MOAB e arma principal causam dano aumentado massivamente por acerto.
,
Gwendolin Level 1 Description,Estoure Bloons com o fogo da sua arma pirotécnica.
Gwendolin Level 2 Description,Poder de estouro ligeiramente aumentado por disparo.
Gwendolin Level 3 Description,"Coquetel de Fogo: Lança um frasco de líquido inflamável, queimando Bloons que passem pela chama."
Gwendolin Level 4 Description,Esquenta Aí - A cada segundo cria uma onda de jato de chamas que estoura Bloons e adiciona chamas aos ataques dos Macacos próximos.
Gwendolin Level 5 Description,"Poder de estouro aumentado. 10% de aumento na velocidade de ataque e no raio de Anel de Fogo, Sinalizador e Sopro do Dragão."
Gwendolin Level 6 Description,Ataques causam um efeito de queima no Bloon alvo.
Gwendolin Level 7 Description,Esquenta Aí tem raio aumentado. Coquetel de Fogo é mais eficiente.
Gwendolin Level 8 Description,Atira duas rajadas de fogo por disparo.
Gwendolin Level 9 Description,Acerto inicial por rajada estoura 1 camada extra.
Gwendolin Level 10 Description,"Tempestade de Fogo: Incendeia toda a tela, queimando todos os Bloons e concedendo a vantagem Esquenta Aí a todos os macacos."
Gwendolin Level 11 Description,Alcance aumentado.
Gwendolin Level 12 Description,Velocidade de ataque aumentada.
Gwendolin Level 13 Description,"Poder de estouro bastante elevado e, projéteis se movem mais rápido e duram mais tempo."
Gwendolin Level 14 Description,Coquetel de Fogo causa dano extra e incendeia Bloons classe MOAB.
Gwendolin Level 15 Description,Velocidade de ataque aumentada.
Gwendolin Level 16 Description,A Tempestade de Fogo tem duração aumentada e causa mais dano. Bloons Roxos não são mais imunes aos ataques de Gwendolin.
Gwendolin Level 17 Description,Aquecer fortalece os macacos afetados para estourar 1 camada extra e causar +2 de dano a Bloons de Chumbo.
Gwendolin Level 18 Description,"Velocidade de ataque aumentada. 20% de aumento na velocidade de ataque e no raio de Anel de Fogo, Sinalizador e Sopro do Dragão."
Gwendolin Level 19 Description,Atira 3 rajadas de fogo por disparo.
Gwendolin Level 20 Description,Tempestade de Fogo causa dano imensamente aumentado.
,
Benjamin Level 1 Description,Ganha $100 toda rodada.
Benjamin Level 2 Description,Gera $150 por rodada ao invés de $100.
Benjamin Level 3 Description,Biohack: Os 4 Macacos mais próximo estouram uma camada extra por ataque por 6 segundos. Macacos afetados não poderão atacar por 2 segundos após o final do efeito.
Benjamin Level 4 Description,Golpe Virtual - Ganha +$1 para cada Bloon lançado.
Benjamin Level 5 Description,Golpe Bancário - todos os bancos ganham +5% de receita.
Benjamin Level 6 Description,Segurança Cibernética - Restaura 5 vidas ao final de cada rodada.
Benjamin Level 7 Description,"Cavalo de Troia Bloon - A cada segundo, lança um vírus a um Bloon aleatório. O Bloon afetado não gera outros ao estourar e produz 1 dinheiro extra por cada camada."
Benjamin Level 8 Description,Receita aumentada para $250 por rodada.
Benjamin Level 9 Description,Golpe Bancário aumentado para 12%.
Benjamin Level 10 Description,Desvio de Fundos: Rebaixa a maioria dos Bloons lançados em 1 nível. O dinheiro por estouro dos Bloons afetados é dobrado. Dura 10 segundos.
Benjamin Level 11 Description,Receita aumentada para $300 por rodada.
Benjamin Level 12 Description,Golpe Virtual aumentado para $2 por Bloon.
Benjamin Level 13 Description,O Golpe Bancário aumenta o bônus de dano e afeta 6 macacos por 8 segundos.
Benjamin Level 14 Description,A Segurança Cibernética adiciona 10 vidas por rodada e pode chegar até 100 além das vidas iniciais.
Benjamin Level 15 Description,Receita aumentada para $500 por rodada.
Benjamin Level 16 Description,O Cavalo de Troia Bloon é lançado mais frequentemente e rende mais dinheiro.
Benjamin Level 17 Description,Receita aumentada para $800 por rodada.
Benjamin Level 18 Description,O Cavalo de Troia Bloon pode afetar Bloons BFB e DDT.
Benjamin Level 19 Description,Golpe Bancário dura 9 segundos e os macacos afetados estouram 3 cadas extras em vez de 2.
Benjamin Level 20 Description,O Desvio de Fundos dura 20 segundos e o dinheiro por estouro é o triplo do normal para Bloons afetados.
,
PatFusty Level 1 Description,Pat esmaga Bloons no chão.
PatFusty Level 2 Description,Aumenta o raio do ataque de estrondo.
PatFusty Level 3 Description,Rugido de Guerra: Todos os Macacos próximos estouram +1 camada por um curto período.
PatFusty Level 4 Description,Velocidade de ataque aumentada.
PatFusty Level 5 Description,Às vezes dá um tapa poderoso que afasta os Bloons da saída.
PatFusty Level 6 Description,Bloons atingidos por Pat são atordoados por um pequeno tempo.
PatFusty Level 7 Description,Poder de estouro e dano aumentados.
PatFusty Level 8 Description,Velocidade de ataque aumentada.
PatFusty Level 9 Description,Alcance aumentado.
PatFusty Level 10 Description,"Abração: Pega um MOAB, BFB, DDT (se visível) ou ZOMG e o esmaga em 5 segundos."
PatFusty Level 11 Description,Ataques estouram mais camadas.
PatFusty Level 12 Description,Velocidade de ataque aumentada.
PatFusty Level 13 Description,Ataques atordoam Bloons por mais tempo e podem atordoar Bloons Classe MOAB por pouco tempo.
PatFusty Level 14 Description,Aumenta o raio e a duração do Rugido de Guerra e aumenta o dano dos macacos chamados.
PatFusty Level 15 Description,O ataque de Tapa pode afetar mais Bloons.
PatFusty Level 16 Description,Aumenta o alcance e o bônus de dano contra cerâmicas.
PatFusty Level 17 Description,Velocidade de ataque aumentada.
PatFusty Level 18 Description,Poder de estouro aumentado.
PatFusty Level 19 Description,Ataques estouram mais camadas.
PatFusty Level 20 Description,Abração pode agarrar vários Bloons grandes de uma vez.
,
ObynGreenfoot Level 1 Description,Envia espíritos lobos para atacar os Bloons.
ObynGreenfoot Level 2 Description,Fúria da Natureza - Todos os Druidas no alcance recebem +1 de perfuração.
ObynGreenfoot Level 3 Description,Cria um arbusto espinhoso na pista que pode estourar 50 Bloons.
ObynGreenfoot Level 4 Description,A cada 18 segundos cria um totem que reduz o movimento de todos os Bloons próximos em 30%. Menos eficiente contra Bloons de classe MOAB.
ObynGreenfoot Level 5 Description,Velocidade de ataque aumentada. Druidas da Selva têm maior alcance.
ObynGreenfoot Level 6 Description,Aumenta o poder de estouro e os projéteis se movem mais rápido.
ObynGreenfoot Level 7 Description,Espinheiros podem estourar 80 Bloons.
ObynGreenfoot Level 8 Description,Totens da Natureza desaceleram Bloons em 40%.
ObynGreenfoot Level 9 Description,Ataques estouram camadas extras. Druidas da Tempestade têm tempestades maiores que causam mais dano a MOABs.
ObynGreenfoot Level 10 Description,"Muralha de Árvores: Invoca uma muralha de árvores na pista que destrói todos os Bloons que entram. Quando enchem, as árvores estouram dinheiro."
ObynGreenfoot Level 11 Description,"Clareza da Natureza - Todos os Macacos Mágicos no alcance recebem +2 de perfuração e +5 de alcance, e os Druidas recebem +1 de perfuração adicional."
ObynGreenfoot Level 12 Description,Velocidade de ataque aumentada e recarga de Macacos Mágicos reduzida em 5%.
ObynGreenfoot Level 13 Description,Aumenta ainda mais o poder de estouro e a velocidade dos projéteis.
ObynGreenfoot Level 14 Description,Ataques estouram camadas extras.
ObynGreenfoot Level 15 Description,Totens da natureza desaceleram Bloons em 60% e têm recarga reduzida.
ObynGreenfoot Level 16 Description,Espinheiros estouram 500 Bloons cada e podem danificar todo tipo de Bloon.
ObynGreenfoot Level 17 Description,Velocidade de ataque aumentada.
ObynGreenfoot Level 18 Description,Fúria Aumentada - Todos os estouros do Druida da Fúria começam cada rodada em 200.
ObynGreenfoot Level 19 Description,Ataques estouram camadas extras.
ObynGreenfoot Level 20 Description,Muralha de Árvores aguenta muito mais Bloons.
,
Ezili Level 1 Description,Ezili amaldiçoa Bloons com magia vodu obscura.
Ezili Level 2 Description,Alcance aumentado.
Ezili Level 3 Description,"Parar o Coração: desacelera Bloons, permite estourar Roxos e impede qualquer regeneração por 10 segundos."
Ezili Level 4 Description,O ataque principal de Ezili agora amaldiçoa múltiplos Bloons.
Ezili Level 5 Description,Velocidade de ataque aumentada.
Ezili Level 6 Description,O dano por tempo dura mais tempo e causa dano mais rápido.
Ezili Level 7 Description,"Totem de Sacrifício: Um totem que dá detecção de Camuflagem, perfuração, velocidade de ataque e velocidade de projétil extras para Macacos próximos, especialmente Macacos Magos. Drena 10 vidas."
Ezili Level 8 Description,Os ataques de Ezili causam muito mais dano a Bloons Classe MOAB.
Ezili Level 9 Description,"Os ataques de Ezili retiram as propriedades de Camuflagem, Regeneração e Fortificação dos Bloons não MOAB."
Ezili Level 10 Description,Maldição MOAB: amaldiçoa um Bloon Classe MOAB que tomará dano por segundo até ser aniquilado.
Ezili Level 11 Description,Alcance aumentado. Aumenta a perfuração de Bloons reanimados em 50%.
Ezili Level 12 Description,Parada Cardíaca tem a duração aumentada e a recarga reduzida. Causa dano aumentado a MOABs.
Ezili Level 13 Description,O ataque básico tem área e perfuração aumentadas.
Ezili Level 14 Description,Dano por tempo mais rápido.
Ezili Level 15 Description,Alcance aumentado. O dano por tempo dura mais tempo.
Ezili Level 16 Description,O Totem de Sacrifício dura mais e custa apenas uma vida para usar.
Ezili Level 17 Description,O ataque básico tem área e perfuração aumentadas.
Ezili Level 18 Description,Velocidade de ataque aumentada.
Ezili Level 19 Description,Cada dano do ataque básico retira 3 camadas!
Ezili Level 20 Description,Feitiço MOAB funciona mais rápido e pode destruir Bloons BAD.
,
//Hero Ability Names,
Rapid Shot Ability,Tiro Rápido
Storm of Arrows Ability,Tempestade de Flechas 
Concussive Shell Ability,Cápsula Concussiva
Artillery Command Ability,Comando de Artilharia
Armor Piercing Shells Ability,Cápsulas Perfurantes
MOAB Barrage Ability,Barragem MOAB
Cocktail of Fire Ability,Coquetel de Fogo
Firestorm Ability,Tempestade de Fogo
Biohack Ability,Biohack
Syphon Funding Ability,Desvio de Fundos
Rallying Roar Ability,Rugido de Guerra
Big Squeeze Ability,Abração
Brambles Ability,Espinheiros
Wall of Trees Ability,Muralha de Árvores
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,Velocidade de ataque triplicada por um momento.
Storm of Arrows Ability Description,Cobre uma ampla área com uma mortal chuva de flechas.
Concussive Shell Ability Description,"Dispara uma cápsula guiada para o maior Bloon na tela, atordoando-o."
Artillery Command Ability Description,Zera a recarga de todos os Bombardeiros e Macacos Morteiros.
Armor Piercing Shells Ability Description,Disparos podem estourar Bloons Pretos e causam dano extra a Bloons de Cerâmica. A duração aumenta conforme Churchill sobe de nível.
MOAB Barrage Ability Description,"Lança uma barragem de cápsulas contra até 10 Bloons Classe MOAB na tela, causando dano massivo com cada uma."
Cocktail of Fire Ability Description,"Lança um frasco de líquido inflamável, queimando Bloons que passem pela chama."
Firestorm Ability Description,"Incendeia toda a tela, queimando todos os Bloons e concedendo a vantagem Esquenta Aí a todos os macacos."
Biohack Ability Description,Os 4 Macacos mais próximo estouram uma camada extra por ataque por 6 segundos. Macacos afetados não poderão atacar por 2 segundos após o final do efeito.
Syphon Funding Ability Description,Rebaixa a maioria dos Bloons lançados em 1 nível. O dinheiro por estouro dos Bloons afetados é dobrado. Dura 10 segundos.
Rallying Roar Ability Description,Todos os Macacos próximos estouram +1 camada por um curto período.
Big Squeeze Ability Description,"Pega um MOAB, BFB, DDT (se visível), ou ZOMG e o esmaga por 5 segundos."
Brambles Ability Description,Cria um arbusto espinhoso na pista que pode estourar 50 Bloons.
Wall of Trees Ability Description,"Invoca uma muralha de árvores na pista que destrói todos os Bloons que entram. Quando enchem, as árvores estouram dinheiro."
Heartstopper Ability Description,Permite estourar Roxos e impede qualquer regeneração por 10 segundos.
Sacrificial Totem Ability Description,"Um totem que dá detecção de Camuflagem, perfuração, velocidade de ataque e velocidade de projétil extras para Macacos próximos, especialmente Macacos Magos. Drena 10 vidas."
MOAB Hex Ability Description,Coloca uma maldição em um Bloon Classe MOAB que tomará dano por segundo até ser aniquilado.
,
//Hero Misc,
Level,Nível
,
//Upgrade Names,
Sharp Shots,Tiro Certo
Quick Shots,Disparos Rápidos
Long Range Darts,Dardos de Longa Distância
Razor Sharp Shots,Tiro Certo de Lâminas
Very Quick Shots,Disparos Muito Rápidos
Enhanced Eyesight,Mira Melhorada
Spike-o-pult,Catapulta de Espinhos
Triple Shot,Tiro Triplo
Crossbow,Besta
Juggernaut,Jamanta
Super Monkey Fan Club,Fã Clube do Super Macaco
Sharp Shooter,Atirador Afiado
Ultra-Juggernaut,Ultrajamanta
Plasma Monkey Fan Club,Fã Clube do Macaco Plasma
Crossbow Master,Mestre da Besta
,
Improved Rangs,Bumerangues Melhorados
Faster Throwing,Disparos Mais Rápidos
Long Range Rangs,Bumerangues de Longo Alcance
Glaives,Lâminas
Faster Rangs,Bumerangues Mais Rápidos
Red Hot Rangs,Bumerangues Ardentes
Glaive Ricochet,Ricochete Gládio
Bionc Boomerang,Bumerangue Biônico
Kylie Boomerang,Bumerangue Kylie
M.O.A.R Glaives,Gládios M.O.A.R
Turbo Charge,Turbo
MOAB Press,Prensa MOAB
Glaive Lord,Senhor das Lâminas
Perma Charge,Carga Permanente
MOAB Domination,Dominação MOAB
,
Bigger Bombs,Bombas Maiores
Faster Reload,Recarga Mais Rápida
Extra Range,Alcance Extra
Heavy Bombs,Bombas Pesadas
Missile Launcher,Lança Mísseis
Frag Bombs,Bombas de Fragmentação
Really Big Bombs,Bombas Bem Grandes
MOAB Mauler,Esmaga MOAB
Cluster Bombs,Bombas Múltiplas
Bloon Impact,Impacto Bloon
MOAB Assassin,Assassino de MOAB
Recursive Cluster,Fragmentação Recursiva
Bloon Crush,Tritura Bloon
MOAB Eliminator,Elimina MOAB
Bomb Blitz,Blitz de Bombas
,
Faster Shooting,Disparos Mais Rápidos
Long Range Tacks,Tachinhas de Longo Alcance
More Tacks,Mais Tachinhas
Even Faster Shooting,Dispara Ainda Mais Rápido
Super Range Tacks,Tachinhas Super Alcance
Even More Tacks,Ainda Mais Tachinhas
Hot Shots,Disparos Quentes
Blade Shooter,Disparador de Lâminas
Tack Sprayer,Spray de Tachinhas
Ring of Fire,Anel de Fogo
Blade Maelstrom,Tempestade de Lâminas
Overdrive,Sobrecarga
Inferno Ring,Anel Infernal
Super Maelstrom,Supertempestade
The Tack Zone,Zona das Tachinhas
,
Permafrost,Gelo Permanente
Enhanced Freeze,Congelamento Melhorado
Larger Radius,Raio Aumentado
Metal Freeze,Frio Súbito
Deep Freeze,Congelamento Profundo
Re-Freeze,Recongelamento
Ice Shards,Fragmentos de Gelo
Arctic Wind,Vento Ártico
Cryo Cannon,Canhão Criogênico
Embrittlement,Fragilização
Snowstorm,Nevasca
Icicles,Espinhos de Gelo
Super Brittle,Fragilização Superior
Absolute Zero,Zero Absoluto
Icicle Impale,Lança de Gelo
,
Glue Soak,Encharca de Cola
Bigger Globs,Bolhas Maiores
Stickier Glue,Cola Mais Forte
Corrosive Glue,Cola Corrosiva
Glue Splatter,Salpica Cola
Stronger Glue,Cola Ainda Mais Forte
Bloon Dissolver,Solvente de Bloons
Glue Hose,Mangueira de Cola
MOAB Glue,Cola MOAB
Bloon Liquefier,Liquidifica Bloons
Glue Strike,Ataque Colante
Relentless Glue,Cola Incansável
The Bloon Solver,Dissolve Bloon
Glue Storm,Tempestade de Cola
Super Glue,Supercola
,
Full Metal Jacket,Munição Recoberta
Night Vision Goggles,Visão Noturna
Fast Firing,Disparos Rápidos
Large Calibre,Alto Calibre
Shrapnel Shot,Tiro Estilhaçante
Even Faster Firing,Disparos Ainda Mais Rápidos
Deadly Precision,Precisão Mortal
Bouncing Bullet,Bala Ricochete
Semi-Automatic,Semiautomática
Maim MOAB,Esmaga MOAB
Supply Drop,Descarga de Suprimentos
Full Auto Rifle,Rifle Automático
Cripple MOAB,Incapacita MOAB
Elite Sniper,Atirador de Elite
Elite Defender,Defensor de Elite
,
Longer Range,Alcance Maior
Barbed Darts,Dardos Espinhados
Twin Guns,Arma Dupla
Advanced Intel,Inteligência Avançada
Heat-tipped Darts,Dardos de Ponta Quente
Airburst Darts,Dardos de Ar
Submerge and Support,Submersão e Suporte
Ballistic Missile,Míssil Balístico
Triple Guns,Arma Tripla
Bloontonium Reactor,Reator de Bloontônio
First Strike Capability,Capacidade de Iniciativa
Armor Piercing Darts,Dardos Perfurantes
Energizer,Energizador
Pre-emptive Strike,Ataque Preventivo
Sub Commander,Subcomandante
,
Buccaneer-Faster Shooting,Disparos Mais Rápidos
Buccaneer-Grape Shot,Disparo de Uvas
Buccaneer-Long Range,Longa Distância
Buccaneer-Double Shot,Tiro Duplo
Buccaneer-Hot Shot,Tiro Quente
Buccaneer-Crow's Nest,Ninho do Corvo
Buccaneer-Destroyer,Destruidor
Buccaneer-Cannon Ship,Navio  Canhão
Buccaneer-Merchantman,Navio Mercante
Buccaneer-Aircraft Carrier,Porta Avião
Buccaneer-Monkey Pirates,Piratas-Macaco
Buccaneer-Favored Trades,Comércio Preferencial
Buccaneer-Carrier Flagship,Nave Mãe
Buccaneer-Pirate Lord,Lorde Pirata
Buccaneer-Trade Empire,Império Comercial
,
Rapid Fire,Disparo Rápido
Exploding Pineapple,Abacaxi Explosivo
Sharper Darts,Dardos mais afiados
Lots More Darts,Muito Mais Dardos
Spy Plane,Avião Espião
Centered Path,Caminho Centrado
Fighter Plane,Caça
Bomber Ace,Bombardeiro Ás
Neva-Miss Targeting,Mira Perfeita
Operation: Dart Storm,Operação: Tempestade de Dardos
Ground Zero,Ponto Inicial
Spectre,Espectro
Sky Shredder,Rasga Céus
Tsar Bomba,Bomba Tsar
Flying Fortress,Fortaleza Voadora
,
Quad Darts,Dardos Quádruplos
Bigger Jets,Jatos Maiores
Faster Firing,Disparos Mais Rápidos
Pursuit,Perseguição
IFR,Relatório de Voo
Faster Darts,Dardos Mais Rápidos
Razor Rotors,Lâminas Rotoras
Downdraft,Repelente
MOAB Shove,Sucção MOAB
Apache Dartship,Nave Lança-Dardos Apache
Support Chinook,Helicóptero de Suporte
Comanche Defense,Defesa Comanche
Apache Prime,Apache Prime
Special Poperations,Operações Estouradoras
Comanche Commander,Comandante Comanche
,
Bigger Blast,Explosão Maior
Mortar Faster Reload,Recarga Mais Rápida
Increased Accuracy,Precisão Melhorada
Bloon Buster,Detona Bloons
Mortar Rapid Reload,Recarga Rápida
Burny Stuff,Parada Queimante
