//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Haz clic en
Ezili Level 15 Description,Alcance aumentado. El daño por tiempo dura más.
Ezili Level 16 Description,Tótem sacrificial dura más y solo gasta 1 vida.
Ezili Level 17 Description,El ataque básico tiene un daño de proximidad de radio mayor y una perforación aumentada.
Ezili Level 18 Description,Velocidad de ataque aumentada.
Ezili Level 19 Description,Cada daño mínimo del ataque básico revienta 3 capas.
Ezili Level 20 Description,Maleficio de MOAB funciona más rápido y puede destruir bloons BAD.
,
//Hero Ability Names,
Rapid Shot Ability,Tiro rápido
Storm of Arrows Ability,Tormenta de flechas  
Concussive Shell Ability,Proyectil Aturdidor
Artillery Command Ability,Orden de artillería
Armor Piercing Shells Ability,Proyectiles antiblindaje
MOAB Barrage Ability,AntiMOAB
Cocktail of Fire Ability,Cóctel de fuego
Firestorm Ability,Tormenta de fuego
Biohack Ability,Biohackeo
Syphon Funding Ability,Desvío de fondos
Rallying Roar Ability,Rugido arengador
Big Squeeze Ability,Apretón
Brambles Ability,Zarzales
Wall of Trees Ability,Pared de árboles
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,Velocidad de ataque triple durante poco tiempo.
Storm of Arrows Ability Description,Cubre una área grande con una lluvia de flechas mortíferas.
Concussive Shell Ability Description,Dispara un proyectil guiado al bloon más grande de la pantalla y lo aturde.
Artillery Command Ability Description,Reinicia los tiempos de recuperación de todos los tirabombas y monos morteros.
Armor Piercing Shells Ability Description,Los disparos revientan bloons negros y hacen más daño a los cerámicos. La duración aumenta con el nivel de Churchill.
MOAB Barrage Ability Description,Dispara una ráfaga de proyectiles a un máximo de 10 bloons clase MOAB en pantalla y hace mucho daño en cada oportunidad.
Cocktail of Fire Ability Description,Lanza un frasco de líquido inflamable. Los bloons que atraviesan el fuego se queman.
Firestorm Ability Description,"Le da lumbre a toda la pantalla, quemando a todos los Bloons y otorgando la potenciación Caliéntalo a todos los Monos."
Biohack Ability Description,Los 4 monos más cercanos revientan una capa más por ataque durante 6 segundos. Los monos afectados no pueden atacar durante 2 segundos cuando termina el efecto.
Syphon Funding Ability Description,Degrada 1 rango a la mayoría de los bloons recién generados y duplica el dinero por cada bloon afectado que se revienta. Dura 10 segundos.
Rallying Roar Ability Description,Todos los monos cercanos revientan +1 capa durante poco tiempo.
Big Squeeze Ability Description,"Agarra un bloon MOAB, BFB, DDT (si es visible) o ZOMG y lo aplasta hasta hacerlo añicos durante 5 segundos."
Brambles Ability Description,Crea un arbusto espinoso en el camino que puede reventar 50 bloons.
Wall of Trees Ability Description,"Invoca una pared de árboles que atraviesa el camino y destruye a todos los bloons que entran. Cuando se llena, los árboles estallan y arrojan dinero."
Heartstopper Ability Description,Impide cualquier regeneración durante 6 segundos.
Sacrificial Totem Ability Description,"Tótem que otorga detección de camuflaje y aumento de perforación, alcance de ataque, velocidad de ataque y velocidad de proyectiles a los Monos cercanos. Gasta 10 vidas."
MOAB Hex Ability Description,"Maldice a un bloon clase MOAB, que recibe daño por segundo hasta quedar eliminado."
,
//Hero Misc,
Level,Nivel
,
//Upgrade Names,
Sharp Shots,Tiros afilados
Quick Shots,Tiros rápidos
Long Range Darts,Dardos de largo alcance
Razor Sharp Shots,Tiros afiladísimos
Very Quick Shots,Tiros rapidísimos
Enhanced Eyesight,Visión mejorada
Spike-o-pult,Clavopulta
Triple Shot,Tiro triple
Crossbow,Ballesta
Juggernaut,Leviatán
Super Monkey Fan Club,Club de fans del supermono
Sharp Shooter,Tirador afilado
Ultra-Juggernaut,Ultraleviatán
Plasma Monkey Fan Club,Club de fans del mono plasmático
Crossbow Master,Amo ballestero
,
Improved Rangs,Bumeranes mejorados
Faster Throwing,Lanzamiento acelerado
Long Range Rangs,Bumeranes de largo alcance
Glaives,Gujas
Faster Rangs,Bumeranes acelerados
Red Hot Rangs,Bumeranes ardientes
Glaive Ricochet,Rebote de gujas
Bionc Boomerang,Búmeran biónico
Kylie Boomerang,Búmeran Kylie
M.O.A.R Glaives,Gujas con R.A.O.M.
Turbo Charge,Turbocarga
MOAB Press,Presión de MOAB
Glaive Lord,Señor de las gujas
Perma Charge,Permacarga
MOAB Domination,Dominación de MOAB
,
Bigger Bombs,Bombas mayores
Faster Reload,Recarga acelerada
Extra Range,Alcance adicional
Heavy Bombs,Bombas pesadas
Missile Launcher,Lanzamisiles
Frag Bombs,Bombas de fragmentación
Really Big Bombs,Bombas bien grandes
MOAB Mauler,Golpeador de MOAB
Cluster Bombs,Bombas de racimo
Bloon Impact,Impacto bloon
MOAB Assassin,Asesino de MOAB
Recursive Cluster,Racimo recursivo
Bloon Crush,Aplastabloons
MOAB Eliminator,Eliminador de MOAB
Bomb Blitz,Bombardeo
,
Faster Shooting,Tiro acelerado
Long Range Tacks,Tachuelas de largo alcance
More Tacks,Más tachuelas
Even Faster Shooting,Tiro rapidísimo
Super Range Tacks,Tachuelas de superalcance
Even More Tacks,Más tachuelas aún
Hot Shots,Tiros calientes
Blade Shooter,Lanzacuchillas
Tack Sprayer,Rociador de tachuelas
Ring of Fire,Anillo de fuego
Blade Maelstrom,Vorágine de cuchillas
Overdrive,Saturación
Inferno Ring,Anillo infernal
Super Maelstrom,Supervorágine
The Tack Zone,La zona tachuelada
,
Permafrost,Permahielo
Enhanced Freeze,Congelamiento mejorado
Larger Radius,Radio mayor
Metal Freeze,Ola de frío
Deep Freeze,Congelamiento profundo
Re-Freeze,Recongelamiento
Ice Shards,Esquirlas de hielo
Arctic Wind,Viento ártico
Cryo Cannon,Criocañón
Embrittlement,Resquebrajamiento
Snowstorm,Tormenta de nieve
Icicles,Estalactitas
Super Brittle,Superquebradizo
Absolute Zero,Cero absoluto
Icicle Impale,Empalactita
,
Glue Soak,Baño pegajoso
Bigger Globs,Bolas mayores
Stickier Glue,Pegamento más pegajoso
Corrosive Glue,Pegamento corrosivo
Glue Splatter,Salpicadura de pegamento
Stronger Glue,Pegamento más fuerte
Bloon Dissolver,Disolvente de bloons
Glue Hose,Manguera de pegamento
MOAB Glue,Pegamento de MOAB
Bloon Liquefier,Licuador de bloons
Glue Strike,Ataque pegajoso
Relentless Glue,Pegamento firme
The Bloon Solver,Solucionador de bloons
Glue Storm,Tormenta de pegamento
Super Glue,Superpegamento
,
Full Metal Jacket,Bala encamisada
Night Vision Goggles,Gafas de visión nocturna
Fast Firing,Disparo rápido
Large Calibre,Calibre grande
Shrapnel Shot,Tiro de esquirlas
Even Faster Firing,Disparo rapidísimo
Deadly Precision,Precisión letal
Bouncing Bullet,Bala rebotadora
Semi-Automatic,Semiautomática
Maim MOAB,Mutilador de MOAB
Supply Drop,Entrega de provisiones
Full Auto Rifle,Rifle automático
Cripple MOAB,Paralizador de MOAB
Elite Sniper,Francotirador de élite
Elite Defender,Defensor de élite
,
Longer Range,Mayor alcance
Barbed Darts,Dardos con púas
Twin Guns,Armas gemelas
Advanced Intel,Inteligencia avanzada
Heat-tipped Darts,Dardos de punta caliente
Airburst Darts,Dardos de detonación aérea
Submerge and Support,Inmersión y apoyo
Ballistic Missile,Misil balístico
Triple Guns,Cañones triples
Bloontonium Reactor,Reactor de bloontonio
First Strike Capability,Capacidad de primer ataque
Armor Piercing Darts,Dardos antiblindaje
Energizer,Energizador
Pre-emptive Strike,Ataque preventivo
Sub Commander,Subcomandante
,
Buccaneer-Faster Shooting,Tiro acelerado
Buccaneer-Grape Shot,Metralla de uvas
Buccaneer-Long Range,Largo alcance
Buccaneer-Double Shot,Tiro doble
Buccaneer-Hot Shot,Tiro caliente
Buccaneer-Crow's Nest,Cofa de vigía
Buccaneer-Destroyer,Destructor
Buccaneer-Cannon Ship,Barco cañonero
Buccaneer-Merchantman,Buque mercante
Buccaneer-Aircraft Carrier,Portaaviones
Buccaneer-Monkey Pirates,Monos piratas
Buccaneer-Favored Trades,Comercio preferido
Buccaneer-Carrier Flagship,Portaviones insignia
Buccaneer-Pirate Lord,Señor de los piratas
Buccaneer-Trade Empire,Imperio comercial
,
Rapid Fire,Fuego rápido
Exploding Pineapple,Piña explosiva
Sharper Darts,Dardos más afilados
Lots More Darts,Muchísimos más dardos
Spy Plane,Avión espía
Centered Path,Sendero centrado
Fighter Plane,Avión caza
Bomber Ace,As bombardero
Neva-Miss Targeting,Puntería infalible
Operation: Dart Storm,Operación Tormenta de Dardos
Ground Zero,Zona cero
Spectre,Espectro
Sky Shredder,Trituracielos
Tsar Bomba,Bomba zar
Flying Fortress,Fortaleza voladora
,
Quad Darts,Cuatridardos
Bigger Jets,Turbinas mayores
Faster Firing,Tiro acelerado
Pursuit,Persecución
IFR,IFR
Faster Darts,Dardos acelerados
Razor Rotors,Rotores filosos
Downdraft,Corriente de aire
MOAB Shove,Empujón de MOAB
Apache Dartship,Dardicóptero Apache
Support Chinook,Chinook de apoyo
Comanche Defense,Defensor Comanche
Apache Prime,Apache principal
Special Poperations,Reventaduras especiales
Comanche Commander,Comandante Comanche
,
Bigger Blast,Estallido mayor
Mortar Faster Reload,Recarga acelerada
Increased Accuracy,Mayor precisión
Bloon Buster,Destructor de bloons
Mortar Rapid Reload,Recarga rápida
Burny Stuff,Cosa quemadora
Shockwave,Aturdimiento
Heavy Shells,Proyectiles pesados
Signal Flare,Bengala
The Big One,La grande
Artillery Battery,Batería de artillería
Shattering Shells,Proyectiles devastadores
The Biggest One,La más grande
Pop and Awe,Dominio total
Blooncineration,Blooncineración
,
Focused Firing,Fuego enfocado
Advanced Targeting,Puntería avanzada
Powerful Darts,Dardos poderosos
Faster Swivel,Pivote acelerado
Faster Barrel Spin,Giro de cañón acelerado
Depleted Bloontonium,Bloontonio agotado
