//Input. Needs to be first e.g [I] replaced by click or tap,
Click,انقر
Benjamin Description,عن طريق الاستعانة بمهارات النخبة في القرصنة، يستطيع بنيامين أن يجني أموالاً إضافية من أجل القضية.
PatFusty Description,بات هو قرد ضخم يتمتع بقوة هائلة. يتميز حجمه وقوته الفريدان من نوعهما بأنهما ميزة كبيرة في الحرب على البالونات.
Ezili Description,إيزيلي هو حارس فنون الظلام الذي يتلاعب بالبالونات. احذر.
ObynGreenfoot Description,قائد قوى الطبيعة، يمكن لأوبين إطلاق النار من خلال الحواجز الصلبة بفضل ميزة هجوم الذئب الروحي.
,
//Hero Level Descriptions,
Quincy Level 1 Description,ترتد أسهم كوينسي إلى ما يصل إلى 3 أهداف مختلفة.
Quincy Level 2 Description,يرتد الهجوم الأساسي لما يصل إلى 4 أهداف.
Quincy Level 3 Description,لقطة سريعة: سرعة هجوم مضاعفة ثلاث مرات لفترة زمنية قصيرة.
Quincy Level 4 Description,مدى أطول قليلا.
Quincy Level 5 Description,يستخدم بصره الحاد لتصوير بالونات الكامو.
Quincy Level 6 Description,يقوم بإطلاق سهمين في وقت واحد.
Quincy Level 7 Description,يطلق السهام المتفجرة كل طلقة ثالثة.
Quincy Level 8 Description,السهام تسبب ضررًا ثلاثيًا للبالونات من فئة مووب.
Quincy Level 9 Description,يرتد الهجوم الأساسي لما يصل إلى 6 أهداف.
Quincy Level 10 Description,عاصفة من الأسهم: تغطي الأسهم مساحة كبيرة في أمطار قاتلة من السهام.
Quincy Level 11 Description,زيادة سرعة الهجوم.
Quincy Level 12 Description,يحظى كل سهم بقوة أكبر عند التفقيع.
Quincy Level 13 Description,زيادة النطاق الصغير.
Quincy Level 14 Description,السهام تسبب ضررًا رباعيًا لبالونات فئة مووب.
Quincy Level 15 Description,تزيد سرعة طلقات الهجوم 4 أضعاف ومن ثم تقليل فترة التهدئة.
Quincy Level 16 Description,زيادة سرعة الهجوم.
Quincy Level 17 Description,الأسهم تدوم أطول 25٪ من ذي قبل. يقوم بإطلاق سهام متفجرة كل طلقة ثانية.
Quincy Level 18 Description,يقوم كوينسي بالهجوم بشكل أسرع ويحدث تباطؤ لسرعة عاصفة الأسهم وتزيد الأسهم بنسبة 50٪.
Quincy Level 19 Description,يحصل كل سهم على قوة تفقيع أكبر.
Quincy Level 20 Description,هجمات كوينسي أسرع من ذي قبل. يتسبب كل سهم من عاصفة الأسهم في إنزال مزيد من الأضرار ومن ثم إطلاق المزيد من الأسهم.
,
StrikerJones Level 1 Description,جونز المهاجم يقوم بإطلاق قذيفة بازوكا قوية لتفجير البالونات.
StrikerJones Level 2 Description,زيادة نصف قطر الانفجار.
StrikerJones Level 3 Description,قذيفة ارتجاجية: إطلاق قذيفة موجهة على أكبر بالون موجود على الشاشة، مما يصيبك بالذهول.
StrikerJones Level 4 Description,تزيد سرعة جميع قاذفات القنابل وقرود مدفع الهاون الموجودين على الشاشة بمقدار 10٪.
StrikerJones Level 5 Description,يتسبب في تقليل مقاومة البالونات السوداء للضرر المتفجرة من جميع القرود.
StrikerJones Level 6 Description,يزداد معدل الفرقعة في نصف قطر الانفجار والفرقعات بسبب هجمات جونز العادية إلى حدٍ كبير.
StrikerJones Level 7 Description,تفقيع طبقتين لكل طلقة وزيادة نصف قطر التفجير لدى قرود مدفع الهاون بنسبة 10٪.
StrikerJones Level 8 Description,يزيد مدى قاذفات القنابل بالقرب من البطل عن 5٪ وقدرة الاختراق عن 25٪.
StrikerJones Level 9 Description,زيادة سرعة الهجوم وقدرة قذيفة الارتجاج على الاختراق وإحداث الضرر والصعق.
StrikerJones Level 10 Description,قيادة المدفعية: إعادة ضبط فترة التهدئة لجميع قاذفات القنابل وقرود مدفع الهاون.
StrikerJones Level 11 Description,زيادة سرعة الهجوم.
StrikerJones Level 12 Description,زيادة طفيفة في نطاق الهجوم وفرقعة طبقة إضافية.
StrikerJones Level 13 Description,زيادة سرعة الهجوم.
StrikerJones Level 14 Description,تؤثر القذيفة الارتجاجية على مساحة أكبر ولمدة أطول.
StrikerJones Level 15 Description,تم تقليل تباطؤ القذيفة الارتجاجية إلى 11 ثانية.
StrikerJones Level 16 Description,زيادة سرعة الهجوم.
StrikerJones Level 17 Description,زيادة المدى وفرقعة 4 طبقات لكل طلقة.
StrikerJones Level 18 Description,تزيد سرعة هجوم جميع قاذفات القنابل وقرود مدفع الهاون بنسبة 10٪.
StrikerJones Level 19 Description,زيادة سرعة الهجوم وتعريض جميع البالونات السوداء للضرر الانفجار.
StrikerJones Level 20 Description,تقوم قيادة المدفعية أيضًا بإنزال أضرار مضاعفة وتفقيع لكل طلقة لجميع قاذفي القنابل وقرود مدفع الهاون لمدة 10 ثوانٍ.
,
CaptainChurchill Level 1 Description,يمكن أن تنفجر القنابل الخارقة التي يتم إطلاقها من الدبابة حتى 3 مرات.
CaptainChurchill Level 2 Description,زيادة قوة الفرقعة لكل طلقة.
CaptainChurchill Level 3 Description,قذائف خارقة للدروع: يمكن أن تؤدي الطلقات إلى فرقعة البالونات السوداء وإلحاق أضرار إضافية بالبالونات السيراميك. تزداد المدة الزمنية بارتفاع مستويات تشرشل.
CaptainChurchill Level 4 Description,زيادة مدى الهجوم.
CaptainChurchill Level 5 Description,إضافة هجوم سريع بالمدفع الرشاش على الدبابة.
CaptainChurchill Level 6 Description,المناظير تتيح لتشرشل فرقعة البالونات المموهة.
CaptainChurchill Level 7 Description,القذائف تتسبب في إحداث مزيد من الضرر بالإضافة إلى إمكانية الانفجار بمعدل 4 مرات بدلاً من 3.
CaptainChurchill Level 8 Description,زيادة سرعة الهجوم.
CaptainChurchill Level 9 Description,يمكن أن تنفجر القذائف 5 مرات.
CaptainChurchill Level 10 Description,وابل موآب: يطلق وابلًا من القذائف يصل إلى 10 بالونات من الفئة موآب على الشاشة، ويُحدث أضرارًا جسيمة في كل مرة.
CaptainChurchill Level 11 Description,زيادة قوة الفرقعة لكل قذيفة.
CaptainChurchill Level 12 Description,تتعرض القذائف لضرر إضافي متزايد ويمكن أن تنفجر 6 مرات.
CaptainChurchill Level 13 Description,قذائف خارقة للدروع تنفجر من شأنها فرقعة طبقتين من البالونات والتسبب في إحداث أضرارًا إضافية للسيراميك وما فوقه
CaptainChurchill Level 14 Description,يمكن للمدفعين الرشاش والرئيسي فرقعة طبقة واحدة أخرى في كل طلقة.
CaptainChurchill Level 15 Description,جميع الهجمات تتسبب في إحداث ضرر إضافي ضد البالونات المحصنة.
CaptainChurchill Level 16 Description,زيادة سرعة الهجوم.
CaptainChurchill Level 17 Description,تتسبب القذائف الخارقة للدروع في إحداث مزيد من الضرر.
CaptainChurchill Level 18 Description,تعمل جميع القذائف على فرقعة طبقة إضافية من البالونات.
CaptainChurchill Level 19 Description,يمكن أن تنفجر القذائف 7 مرات.
CaptainChurchill Level 20 Description,تتسبب قذائف وابل موآب والمدفع الرئيسي في إحداث ضرر متزايد لكل ضربة.
,
Gwendolin Level 1 Description,تفجير البالونات بنيران بندقية بايرو.
Gwendolin Level 2 Description,زيادة طفيفة في قوة الفرقعة لكل طلقة.
Gwendolin Level 3 Description,كوكتيل النيران: إلقاء قارورة من سائل قابل للاشتعال، وحرق البالونات التي تمر عبر النيران.
Gwendolin Level 4 Description,مزيد من السخونة - كل بضع ثوانٍ تُطلق موجة انفجار قوية من النيران التي تفرقع البالونات وتضيف نيران إلى هجمات القرود القريبة.
Gwendolin Level 5 Description,زيادة قوة الفرقعة. زيادة سرعة الهجوم بنسبة 10% ونصف قطر حلقة النيران، وتوهج الإشارة ونفس التنين.
Gwendolin Level 6 Description,تتسبب الهجمات في إحداث آثار حروق مترتبة على البالون المستهدف.
Gwendolin Level 7 Description,المزيد من التسخين يؤدي إلى زيادة نصف قطر النيران، ومن ثم تزداد فعالية كوكتيل النيران.
Gwendolin Level 8 Description,إطلاق اثنين من دوي انفجارات النيران في كل مرة.
Gwendolin Level 9 Description,الضربة الأولية لكل انفجار تؤدي إلى فرقعة طبقة واحدة إضافية.
Gwendolin Level 10 Description,العاصفة النارية: إضاءة الشاشة بالكامل، ومن ثم حرق جميع البالونات وبالتالي منح درجة حرارة التسخين لجميع القرود.
Gwendolin Level 11 Description,زيادة مدى الهجوم.
Gwendolin Level 12 Description,زيادة سرعة الهجوم.
Gwendolin Level 13 Description,قوة فرقعة متزايدة إلى حدٍ كبير، بالإضافة إلى تحرك المقذوفات على نحو أسرع واستمرارها لفترة أطول.
Gwendolin Level 14 Description,يتسبب كوكتيل النيران في إحداث ضرر إضافي وإشعال النيران في البالونات من فئة موآب.
Gwendolin Level 15 Description,زيادة سرعة الهجوم.
Gwendolin Level 16 Description,تؤدي العاصفة النارية إلى زيادة المدة الزمنية والتسبب في إحداث المزيد من الضرر. لم تعد البالونات الأرجوانية محصنة ضد هجمات جويندولين.
Gwendolin Level 17 Description,يعمل التسخين على تمكين القرود المتضررة من تفجير طبقة إضافية واحدة، وإحداث ضرر أكثر بمرتين على البالونات المصنوعة من الرصاص.
Gwendolin Level 18 Description,زيادة سرعة الهجوم. زيادة سرعة الهجوم بنسبة 20% ونصف قطر حلقة النيران، وتوهج الإشارة ونفس التنين.
Gwendolin Level 19 Description,يقوم بإطلاق 3 انفجارات نيران في كل ضربة.
Gwendolin Level 20 Description,تتسبب العاصفة النارية في إحداث أضرار متزايدة إلى حد كبير.
,
Benjamin Level 1 Description,اختراقات بمبلغ 100 دولار في كل جولة.
Benjamin Level 2 Description,تحقيق 150 دولارًا لكل جولة بدلاً من 100 دولار.
Benjamin Level 3 Description,الاختراقات الحيوية: يقوم 4 من أقرب القرود بفرقعة طبقة إضافية في كل هجوم لمدة 6 ثوانٍ، حيث يتعذر على القرود المتضررة الهجوم لمدة ثانيتين بعد انتهاء الضرر.
Benjamin Level 4 Description,القشط - اكسب أكثر من 1 دولار عن كل بالون جديد يتم إنتاجه.
Benjamin Level 5 Description,الاختراق البنكي - اكسب أكثر من 5٪ من الدخل.
Benjamin Level 6 Description,الأمن السيبراني - استعادة 5 نقاط حياة في نهاية كل جولة.
Benjamin Level 7 Description,بالونات حصان طروادة - إرسال فيروس حصان طروادة كل بضع ثوانٍ إلى البالونات عشوائيًا. البالون المتضرر لا ينتج أي أطفال عند تدميره وينتج نقودًا إضافية لكل طبقة.
Benjamin Level 8 Description,زيادة الدخل إلى 250 دولارًا لكل جولة.
Benjamin Level 9 Description,زيادة الاختراق البنكي إلى 12٪
Benjamin Level 10 Description,تمويل السيفون: خفض تصنيف معظم البالونات التي تم إنتاجها حديثًا بمقدار رتبة واحدة. يتضاعف النقد لكل فرقعة من البالونات المتضررة. الاستمرار 10 ثوان.
Benjamin Level 11 Description,زيادة الدخل إلى 300 دولار لكل جولة.
Benjamin Level 12 Description,زيادة الكشط إلى 2 دولار لكل بالون.
Benjamin Level 13 Description,زيادة الاختراق الحيوي من الضرر الإضافي والتأثير على 6 قرود لمدة 8 ثوانٍ.
Benjamin Level 14 Description,يضيف الأمن السيبراني 10 أرواح في كل جولة ويمكن أن يصل إلى 100 حياة في بداية الحياة.
Benjamin Level 15 Description,زيادة الدخل إلى 500 دولار لكل جولة.
Benjamin Level 16 Description,إرسال بالون حصان طروادة في كثير من الأحيان وكسب المزيد من الأموال.
Benjamin Level 17 Description,زيادة الدخل إلى 800 دولار لكل جولة.
Benjamin Level 18 Description,يمكن أن يؤثر بالون حصان طروادة على بالونات بي إف بي و دي دي تي.
Benjamin Level 19 Description,استمرار الاختراق الحيوي مدة 9 ثوانٍ حيث تقوم القرود المتضررة بفرقعة 3 طبقات إضافية بدلاً من 2.
Benjamin Level 20 Description,استمرار تمويل سيفون مدة 20 ثانية، أما النقد لكل فرقعة طبيعية فيكون ثلاث مرات للبالونات المتضررة.
,
PatFusty Level 1 Description,بات يضرب البالونات في الأرض.
PatFusty Level 2 Description,زيادة نطاق الهجوم الشديد.
PatFusty Level 3 Description,هدير صاخب: يمكن لجميع القرود القريبة فرقعة أكثر من طبقة واحدة لفترة زمنية قصيرة.
PatFusty Level 4 Description,زيادة سرعة الهجوم.
PatFusty Level 5 Description,أحيانًا ما يقوم بصفعة قوية تدفع البالونات بعيدًا عن المخرج.
PatFusty Level 6 Description,البالونات التي يضربها بات تتوقف مؤقتًا لفترة زمنية قصيرة.
PatFusty Level 7 Description,زيادة قوة الفرقعة والضرر.
PatFusty Level 8 Description,زيادة سرعة الهجوم.
PatFusty Level 9 Description,زيادة مدى الهجوم.
PatFusty Level 10 Description,"ضغط كبير: الإمساك بموآب أو ""بي إف بي"" أو ""دي دي تي"" (إذا كان مرئيًا) أو ""زد أو إم جي"" وسحقها إلى أجزاء صغيرة خلال 5 ثوانٍ."
PatFusty Level 11 Description,الهجوم يؤدي إلى فرقعة المزيد من الطبقات.
PatFusty Level 12 Description,زيادة سرعة الهجوم.
PatFusty Level 13 Description,يعمل الهجوم على إيقاف البالونات مؤقتًا لفترة أطول ومن الممكن أن يوقف البالونات فئة موآب مؤقتًا لفترة وجيزة.
PatFusty Level 14 Description,الهدير الصاخب يعمل على زيادة نصف القطر والمدة الزمنية ومن زيادة ضرر القرود المحتشدة.
PatFusty Level 15 Description,يمكن أن يؤثر هجوم الصفعة على المزيد من البالونات.
PatFusty Level 16 Description,زيادة مدى الهجوم والضرر الإضافي للبالونات السيراميكية.
PatFusty Level 17 Description,زيادة سرعة الهجوم.
PatFusty Level 18 Description,زيادة قوة الفرقعة.
PatFusty Level 19 Description,الهجوم يؤدي إلى فرقعة المزيد من الطبقات.
PatFusty Level 20 Description,يمكن للضغط الكبير الإمساك بعدة بالونات كبيرة في وقت واحد.
,
ObynGreenfoot Level 1 Description,يرسل أرواح الذئب لمهاجمة البالونات.
ObynGreenfoot Level 2 Description,غضب الطبيعة - جميع الدرويد/تلاميذ الكاهن الموجودين في النطاق أكثر من طلقة واحدة خارقة.
ObynGreenfoot Level 3 Description,برامبلز: إنشاء شجيرة مسننة على المسار بإمكانها فرقعة 50 بالونة.
ObynGreenfoot Level 4 Description,"كل 18 ثانية ينشأ طوطم من شأنه إبطاء كل بالونة بالقرب من الطوطم بنسبة 30٪. أقل فعالية مقارنة بالبالونات فئة ""موآب""."
ObynGreenfoot Level 5 Description,زيادة سرعة الهجوم. زيادة مدى درويد/تلميذ كاهن الغابة.
ObynGreenfoot Level 6 Description,زيادة قوة فرقعة البالونات وسرعة القذائف التي تتحرك.
ObynGreenfoot Level 7 Description,يمكن للبرامبلز فرقعة 100 بالونة.
ObynGreenfoot Level 8 Description,تعمل طواطم جناح الطبيعة على إبطاء البالونات بنسبة 40٪.
ObynGreenfoot Level 9 Description,يؤدي الهجوم إلى فرقعة طبقات إضافية. درويد العاصفة لها عواصف أكبر تتسبب في المزيد من الضرر للموآب.
ObynGreenfoot Level 10 Description,حائط شجري: استدعاء حائط من الأشجار عبر المسار والذي من شأنه تدمير جميع البالونات التي تعبر. عند امتلاء المسار بالأشجار، تنفجر متحولة إلى أموال.
ObynGreenfoot Level 11 Description,وضوح الطبيعة - تحصل جميع القرود السحرية الموجودة في النطاق على نطاق + 5 وأكثر من طلقتين خارقتين، كما يحصل قرود درويد على +1 طلقة خارقة.
ObynGreenfoot Level 12 Description,زيادة سرعة الهجوم وتقليل فترات الهدوء للقردة السحرية بنسبة 5٪.
ObynGreenfoot Level 13 Description,زيادة قوة الفرقعة وسرعة القذيفة.
ObynGreenfoot Level 14 Description,يؤدي الهجوم إلى فرقعة طبقات إضافية.
ObynGreenfoot Level 15 Description,"يعمل ""جناح الطبيعة"" على إبطاء البالونات بنسبة 60٪، والتقليل من فترة الإبطاء."
ObynGreenfoot Level 16 Description,تعمل برامبلز على فرقعة 500 بالونة مرة واحدة ومن الممكن أن تتسبب في إلحاق الضرر بجميع أنواع البالونات.
ObynGreenfoot Level 17 Description,زيادة سرعة الهجوم.
ObynGreenfoot Level 18 Description,غضب على مستوى أعلى - تبدأ جميع فرقعات كاهن الغضب كل جولة عند 200.
ObynGreenfoot Level 19 Description,يؤدي الهجوم إلى فرقعة طبقات إضافية.
ObynGreenfoot Level 20 Description,يمكن للحائط الشجري استيعاب الكثير من البالونات.
,
Ezili Level 1 Description,إيزيلي يلعن البالونات بقوة الشعوذة المظلمة.
Ezili Level 2 Description,زيادة نطاق الهجوم.
Ezili Level 3 Description,مُوقِف القلب: إبطاء البالونات، والسماح بفرقعة البالونات الوردية ومنع حدوث أي إعادة نمو لمدة 10 ثوانٍ.
Ezili Level 4 Description,يؤدي الهجوم الرئيسي لإيزيلي الآن إلى إلحاق اللعنات بالكثير من البالونات.
Ezili Level 5 Description,زيادة سرعة الهجوم.
Ezili Level 6 Description,استمرار الضرر مع مرور الوقت لفترة أطول والتلف بوتيرة أسرع.
Ezili Level 7 Description,الطوطم القرباني: طوطم من شأنه منح القرود القريبة وخصوصًا القرد الساحر القدرة على الكشف عن البالونات المموهة، وقدرة أكبر على الاختراق، وزيادة نطاق الهجوم وسرعته، وزيادة سرعة المقذوف. استنزاف 10 أرواح.
Ezili Level 8 Description,"يتسبب هجوم إيزيلي في إلحاق ضرر أكبر بكثير من البالونات من فئة منطاد ""موآب""."
Ezili Level 9 Description,"هجوم إيزيلي يعمل على تمزيق المباني المموهة والتي أعيد إنمائها والمحصنة من البالونات من فئة غير تابعة لمنطاد ""موآب""."
Ezili Level 10 Description,"موآب هيكس: يلقي لعنة على بالون من فئة منطاد ""موآب""، ويأخذ في التلف كل ثانية حتى يتم القضاء عليها."
Ezili Level 11 Description,Increased attack range. زيادة قدرة الاختراق لدى البالونات التي أعيد تنشيطها بنسبة 50٪.
Ezili Level 12 Description,"يعمل هارتستوبر على التقليل من فترة التباطؤ وزيادة المدة الزمنية. زيادة الضرر الذي يلحق بمناطيد ""موآب""."
Ezili Level 13 Description,هجوم قاعدي بنصف قطر رشاش أكبر وقدرة اختراق متزايدة.
Ezili Level 14 Description,ضرر أسرع مع مرور الوقت.
Ezili Level 15 Description,زيادة المدى. استمرار الضرر بمرور الوقت لفترة أطول.
Ezili Level 16 Description,استمرار الطوطم القرباني لفترة أطول ولا تتجاوز التكلفة سوى حياة واحدة فقط.
Ezili Level 17 Description,هجوم قاعدي بنصف قطر رشاش أكبر وقدرة اختراق متزايدة.
Ezili Level 18 Description,زيادة سرعة الهجوم.
Ezili Level 19 Description,كل علامة ضرر من الهجوم القاعدي يعمل على فرقعة 3 طبقات!
Ezili Level 20 Description,"يعمل موآب هيكس بشكل أسرع ويمكنه تدمير بالونات منطاد ""باد""."
,
//Hero Ability Names,
Rapid Shot Ability,طلقة سريعة
Storm of Arrows Ability,عاصفة الأسهم
Concussive Shell Ability,قذيفة ارتجاجية
Artillery Command Ability,قيادة سلاح المدفعية
Armor Piercing Shells Ability,قذائف خارقة للدروع
MOAB Barrage Ability,"وابل من منطاد ""مواب"""
Cocktail of Fire Ability,كوكتيل النيران
Firestorm Ability,العاصفة النارية:
Biohack Ability,اختراق حيوي
Syphon Funding Ability,تمويل السيفون
Rallying Roar Ability,هدير صاخب
Big Squeeze Ability,ضغط كبير
Brambles Ability,برامبلز
Wall of Trees Ability,حائط شجري
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,سرعة هجوم مضاعفة ثلاث مرات لفترة زمنية قصيرة.
Storm of Arrows Ability Description,تغطي الأسهم مساحة كبيرة في أمطار قاتلة من السهام.
Concussive Shell Ability Description,إطلاق قذيفة موجهة على أكبر بالون موجود على الشاشة، مما يصيبك بالذهول.
Artillery Command Ability Description,إعادة ضبط فترة التهدئة لجميع قاذفات القنابل وقرود مدفع الهاون.
Armor Piercing Shells Ability Description,يمكن أن تؤدي الطلقات إلى فرقعة البالونات السوداء وإلحاق أضرار إضافية بالبالونات السيراميك. تزداد المدة الزمنية بارتفاع مستويات تشرشل.
MOAB Barrage Ability Description,يطلق وابلًا من القذائف يصل إلى 10 بالونات من الفئة موآب على الشاشة، ويُحدث أضرارًا جسيمة في كل مرة.
Cocktail of Fire Ability Description,إلقاء قارورة من سائل قابل للاشتعال، وحرق البالونات التي تمر عبر النيران.
Firestorm Ability Description,إضاءة الشاشة بالكامل، ومن ثم حرق جميع البالونات وبالتالي منح درجة حرارة التسخين لجميع القرود.
Biohack Ability Description,يقوم 4 من أقرب القرود بفرقعة طبقة إضافية في كل هجوم لمدة 6 ثوانٍ، حيث يتعذر على القرود المتضررة الهجوم لمدة ثانيتين بعد انتهاء الضرر.
Syphon Funding Ability Description,خفض تصنيف معظم البالونات التي تم إنتاجها حديثًا بمقدار رتبة واحدة. يتضاعف النقد لكل فرقعة من البالونات المتضررة. الاستمرار 10 ثوان.
Rallying Roar Ability Description,يمكن لجميع القرود القريبة فرقعة أكثر من طبقة واحدة لفترة زمنية قصيرة.
Big Squeeze Ability Description,"الإمساك بموآب أو ""بي إف بي"" أو ""دي دي تي"" (إذا كان مرئيًا) أو ""زد أو إم جي"" وسحقها إلى أجزاء صغيرة خلال 5 ثوانٍ."
Brambles Ability Description,إنشاء شجيرة مسننة على المسار بإمكانها فرقعة 50 بالونة.
Wall of Trees Ability Description,استدعاء حائط من الأشجار عبر المسار والذي من شأنه تدمير جميع البالونات التي تعبر. عند امتلاء المسار بالأشجار، تنفجر متحولة إلى أموال.
Heartstopper Ability Description,إبطاء البالونات، والسماح بفرقعة البالونات الوردية ومنع حدوث أي إعادة نمو لمدة 10 ثوانٍ.
Sacrificial Totem Ability Description,طوطم من شأنه منح القرود القريبة وخصوصًا القرد الساحر القدرة على الكشف عن البالونات المموهة، وقدرة أكبر على الاختراق، وزيادة نطاق الهجوم وسرعته، وزيادة سرعة المقذوف. استنزاف 10 أرواح.
MOAB Hex Ability Description,"إلقاء لعنة على بالونات من طراز منطاد ""موآب""، فإنه يأخذ الضرر كل ثانية لحين القضاء عليه."
,
//Hero Misc,
Level,المستوى
,
//Upgrade Names,
Sharp Shots,طلقات حادة
Quick Shots,طلقات سريعة
Long Range Darts,تصويبات طويلة المدى
Razor Sharp Shots,طلقات حلاقة حادة
Very Quick Shots,طلقات سريعة جدًا
Enhanced Eyesight,منظار مُحسَّن
Spike-o-pult,سبايك أو بولت
Triple Shot,ضربة ثلاثية
Crossbow,النشَّاب
Juggernaut,الطاغوت
Super Monkey Fan Club,نادي المعجبين بالقرد الخارق
Sharp Shooter,قناص
Ultra-Juggernaut,الطاغوت الفائق
Plasma Monkey Fan Club,نادي المعجبين بقرد البلازما
Crossbow Master,سيد النشابين
,
