//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Tıkla
ObynGreenfoot Description,"Doğa güçlerini kontrol eden Obyn, ruhani kurt saldırısıyla katı cisimlerin içinden geçen atışlar yapabilir."
,
//Hero Level Descriptions,
Quincy Level 1 Description,Quincy’nin okları 3 farklı hedefe kadar seker.
Quincy Level 2 Description,Temel saldırı 4 hedefe kadar geri döner.
Quincy Level 3 Description,Seri Atış: Kısa süreliğine üç kat saldırı hızı.
Quincy Level 4 Description,Biraz daha uzun menzil.
Quincy Level 5 Description,Kamuflajlı Bloon’ları vurmak için keskin görüş yeteneğini kullanır.
Quincy Level 6 Description,Tek seferde 2 ok fırlatır.
Quincy Level 7 Description,Her 3. Vuruşta patlayan oklar fırlatır.
Quincy Level 8 Description,Oklar MOAB Sınıfı Bloon’lara üç kat hasar verir.
Quincy Level 9 Description,Temel saldırı 6 hedefe kadar geri döner.
Quincy Level 10 Description,Ok Fırtınası: Geniş bir alanı ölümcül ok yağmuruna tutar.
Quincy Level 11 Description,Yüksek saldırı hızı.
Quincy Level 12 Description,Her ok daha fazla patlatma gücü kazanır.
Quincy Level 13 Description,Az bir menzil artışı.
Quincy Level 14 Description,Oklar MOAB Sınıfı Bloon’lara dört kat hasar verir.
Quincy Level 15 Description,Seri Atış 4 kat saldırı hızına ulaşır ve gecikme süresi kısalır.
Quincy Level 16 Description,Daha yüksek saldırı hızı.
Quincy Level 17 Description,Oklar %25 daha uzun menzile sahip olur. Her 2. vuruşta patlayan oklar fırlatır.
Quincy Level 18 Description,Quincy daha hızlı saldırır ve Ok Fırtınası gecikme süresi azalır ve %50 daha fazla ok fırlatır.
Quincy Level 19 Description,Tek seferde 3 ok fırlatır ve her ok çok daha fazla patlatma gücü kazanır.
Quincy Level 20 Description,"Quincy çok daha hızlı saldırır. Ok Fırtınası, ok başına daha fazla hasar verir ve çok daha fazla ok fırlatır."
,
StrikerJones Level 1 Description,"Vurucu Jones, Bloon’ları patlatmak için güçlü bir bazuka kullanır."
StrikerJones Level 2 Description,Ağır patlama yarıçapı.
StrikerJones Level 3 Description,Şok Edici Mermi: Güdümlü bir mermi fırlatarak ekrandaki en büyük Bloon’u sersemletir.
StrikerJones Level 4 Description,Ekrandaki tüm Bomba Fırlatıcılar ve Havancı Maymunlar %10 daha hızlı fırlatır.
StrikerJones Level 5 Description,"Tüm Siyah Bloon’ların, tüm Maymunlardan gelen patlayıcı hasarına karşı dayanma gücünü azaltır."
StrikerJones Level 6 Description,Patlama yarıçapı ve Jones’un normal saldırılarındaki patlatma oranı önemli ölçüde artar.
StrikerJones Level 7 Description,Her atışta 2 katman patlatır ve Havancı Maymunlar patlama yarıçapı %10 artırılır.
StrikerJones Level 8 Description,Kahramanın yakınındaki Bomba Fırlatıcılar +%5 menzil ve +%25 delme kazanır.
StrikerJones Level 9 Description,"Saldırı hızı artırılır ve Şok Edici Mermi, hasar ve sersemletme artar."
StrikerJones Level 10 Description,Topçu Komutu: Tüm Bomba Fırlatıcıların ve Havancı Maymunların gecikme süresini sıfırlar.
StrikerJones Level 11 Description,Yüksek saldırı hızı.
StrikerJones Level 12 Description,Biraz artmış saldırı menzili ve ekstra katman patlatma.
StrikerJones Level 13 Description,Yüksek saldırı hızı.
StrikerJones Level 14 Description,"Şok Edici Mermi, daha büyük bir alana daha uzun süre etki eder."
StrikerJones Level 15 Description,Şok Edici Mermi gecikme süresi 11 saniye kısaldı.
StrikerJones Level 16 Description,Yüksek saldırı hızı.
StrikerJones Level 17 Description,Artırılmış menzil ve atış başına 4 katman patlatır.
StrikerJones Level 18 Description,Tüm Bomba Fırlatıcıların ve Havancı Maymunların saldırısı ek %10 daha hızlıdır.
StrikerJones Level 19 Description,Yüksek saldırı hızı tüm Siyah Bloon'ları patlayıcı hasarına açık hale getirir.
StrikerJones Level 20 Description,Topçu Komutu 10 saniye boyunca tüm Bomba Fırlatıcılara ve Havancı Maymunlara atış başına çifte hasar ve patlatma verir.
,
CaptainChurchill Level 1 Description,Tanktan ateşlenen delici bombalar 3 kereye kadar patlayabilir.
CaptainChurchill Level 2 Description,Atış başına yüksek patlatma gücü.
CaptainChurchill Level 3 Description,Zırh Delici Mermiler: Atışlar Siyah Bloon’ları patlatabilir ve Seramik Bloon’lara ekstra hasar verir. Churchill seviye atladıkça süre uzar.
CaptainChurchill Level 4 Description,Yüksek saldırı menzili.
CaptainChurchill Level 5 Description,"Tanka, hızlı ateşleme yapan bir makineli tüfek ekler."
CaptainChurchill Level 6 Description,"Dürbünler, Churchill’in Kamuflajlı Bloon’ları patlatmasına olanak tanır."
CaptainChurchill Level 7 Description,Mermiler daha fazla hasar verir ve 3 yerine 4 kez patlayabilir.
CaptainChurchill Level 8 Description,Yüksek saldırı hızı.
CaptainChurchill Level 9 Description,Mermiler 5 kez patlayabilir.
CaptainChurchill Level 10 Description,"MOAB Yaylım Ateşi: Her seferinde toplu hasar vererek, ekrandaki en fazla 10 MOAB Sınıfı Bloon’a yaylım ateşi açar."
CaptainChurchill Level 11 Description,Mermi başına yüksek patlatma gücü.
CaptainChurchill Level 12 Description,Mermiler ek yüksek hasar kazanır ve 6 kez patlayabilir.
CaptainChurchill Level 13 Description,"Zırh Delici Mermiler, Bloon’un 2 katmanını patlatır ve Seramik ya da daha yüksek sınıflı Bloon’lara ekstra hasar verir."
CaptainChurchill Level 14 Description,Makineli Tüfek ve Ana Silah atış başına ek 1 katman patlatabilir.
CaptainChurchill Level 15 Description,Tüm saldırılar Güçlendirilmiş Bloon’lara ekstra hasar verir.
CaptainChurchill Level 16 Description,Yüksek saldırı hızı.
CaptainChurchill Level 17 Description,Zırh Delici Mermiler çok daha fazla hasar verir.
CaptainChurchill Level 18 Description,Tüm mermiler bir Bloon’un ekstra katmanını patlatır.
CaptainChurchill Level 19 Description,Mermiler 7 kez patlayabilir.
CaptainChurchill Level 20 Description,MOAB Yaylım Ateşi kabukları ve Ana Silah her vuruşta büyük artırılmış hasar verir.
,
Gwendolin Level 1 Description,Piro silahıyla Bloon’ları patlatır.
Gwendolin Level 2 Description,Atış başına biraz daha yüksek patlatma gücü.
Gwendolin Level 3 Description,Ateş Kokteyli: Yanıcı bir sıvı fırlatarak ateşin içinden geçen Bloon’ları yakar.
Gwendolin Level 4 Description,Biberleyelim - Her birkaç saniyede bir Bloon’ları patlatan ve yakındaki Maymun saldırılarına ateş ekleyen güçlü bir ateş patlaması dalgası oluşturur.
Gwendolin Level 5 Description,"Yüksek patlatma gücü. Ateş Halkası, İşaret Fişeği ve Ejderha Nefesi için %10 gelişmiş saldırı hızı ve yarıçap."
Gwendolin Level 6 Description,"Saldırılar, hedef Bloon üzerinde bir yanma etkisine yol açar."
Gwendolin Level 7 Description,"Biberleyelim etkisinin yarıçapı artar, Ateş Kokteyli daha etkilidir."
Gwendolin Level 8 Description,Atış başına 2 ateş patlaması fırlatır.
Gwendolin Level 9 Description,Patlama başına ilk vuruş 1 ekstra katman patlatır.
Gwendolin Level 10 Description,Ateş Fırtınası: Tüm Bloon’ları yakarak ekranın tamamını tutuşturur ve tüm Maymunlara Biberleyelim güçlendirmesi kazandırır.
Gwendolin Level 11 Description,Yüksek saldırı menzili.
Gwendolin Level 12 Description,Yüksek saldırı hızı.
Gwendolin Level 13 Description,"Son derece yüksek patlatma gücü, ayrıca, fırlatıcılar daha hızlı hareket eder ve daha uzun süre kalır."
Gwendolin Level 14 Description,Ateş Kokteyli ekstra hasar verir ve MOAB sınıfı Bloon’ları tutuşturur.
Gwendolin Level 15 Description,Yüksek saldırı hızı.
Gwendolin Level 16 Description,Ateş Fırtınasının süresi uzar ve daha fazla hasar verir. Mor Bloon’lar artık Gwendolin’in saldırılarına karşı dayanıklı değil.
Gwendolin Level 17 Description,"Biberleyelim, etkilenen Maymunlara 1 ekstra katman patlatmaları ve Kurşun Bloon’lara +2 hasar vermeleri için güç verir."
Gwendolin Level 18 Description,"Yüksek saldırı hızı. Ateş Halkası, İşaret Fişeği ve Ejderha Nefesi için %20 gelişmiş saldırı hızı ve yarıçap."
Gwendolin Level 19 Description,Atış başına 3 ateş patlaması fırlatır.
Gwendolin Level 20 Description,Ateş Fırtınası son derece yüksek hasar verir.
,
Benjamin Level 1 Description,Her turda 100 Dolar çalar.
Benjamin Level 2 Description,Tur başına 100 Dolar yerine 150 Dolar oluşturur.
Benjamin Level 3 Description,Biyokorsanlık: 4 en yakın Maymun her 6 saniyede bir her saldırıda bir ekstra katman patlatır. Etki sona erdikten sonra Etkilenen Maymunlar 2 saniye boyunca saldıramaz.
Benjamin Level 4 Description,Kaymağını Yeme - Canlanan her yeni Bloon için +1 Dolar kazanır.
Benjamin Level 5 Description,Banka Korsanlığı - tüm bankalar +%5 gelir elde eder.
Benjamin Level 6 Description,Siber Güvenlik - Her turun sonunda 5 can geri yükler.
Benjamin Level 7 Description,Bloon Truva Atı - Her birkaç saniyede bir rasgele Bloon’a bir Truva Atı yazılım virüsü gönderir. Etkilenen Bloon yok edildiğinde başka bloon’lar canlanmaz ve her katman için 1 ekstra nakit oluşturur.
Benjamin Level 8 Description,Gelir tur başına 250 Dolar artar.
Benjamin Level 9 Description,Banka korsanlığı %12 artar
Benjamin Level 10 Description,Sifon Fonlama: En yeni dirilen Bloon’ları 1 derece aşağı düşürür. Etkilenen Bloon’ların patlatılmasından elde edilen para iki katına çıkar. 10 saniye sürer.
Benjamin Level 11 Description,Gelir tur başına 300 Dolar artar.
Benjamin Level 12 Description,Kaymağını Yeme Bloon başına 2 Dolar artar.
Benjamin Level 13 Description,"Biyokorsanlık, bonus hasarı artırır ve 8 saniye boyunca 6 maymunu etkiler."
Benjamin Level 14 Description,Siber Güvenlik tur başına 10 can ekler ve başlangıç canlarına 100 cana kadar eklenebilir.
Benjamin Level 15 Description,Gelir tur başına 500 Dolar artar.
Benjamin Level 16 Description,Bloon Truva Atı daha sık gönderilir ve daha fazla nakit kazandırır.
Benjamin Level 17 Description,Gelir tur başına 800 Dolar artar.
Benjamin Level 18 Description,Bloon Truva Atı BFB ve DDT Bloon’ları etkileyebilir.
Benjamin Level 19 Description,Biyokorsanlık 9 saniye sürer ve etkilenen Maymunlar 2 yerine 3 ekstra katman patlatır.
Benjamin Level 20 Description,Sifon Fonlama 20 saniye sürer ve etkilenen Bloon’lar için patlatma başına nakit normalin üç katına çıkar.
,
PatFusty Level 1 Description,Pat Bloon’ları yere çarpar.
PatFusty Level 2 Description,Çarpma saldırısının yarıçapı artar.
PatFusty Level 3 Description,Toplanmış Gürleme: Yakındaki tüm Maymunlar kısa süreliğine +1 katman patlatabilir.
PatFusty Level 4 Description,Yüksek saldırı hızı.
PatFusty Level 5 Description,Bazen Bloon’ları çıkıştan uzaklaştıran güçlü bir şaplak gerçekleştirir.
PatFusty Level 6 Description,Pat tarafından vurulan Bloon’lar kısa süreliğine sersemler.
PatFusty Level 7 Description,Yüksek patlatma gücü ve hasarı.
PatFusty Level 8 Description,Yüksek saldırı hızı.
PatFusty Level 9 Description,Yüksek saldırı menzili.
PatFusty Level 10 Description,"Büyük Sıkıştırma: Bir MOAB, BFB, DDT (görünürse) ya da ZOMG yakalar ve 5 saniye içinde paramparça eder."
PatFusty Level 11 Description,Saldırı daha fazla katman patlatır.
PatFusty Level 12 Description,Yüksek saldırı hızı.
PatFusty Level 13 Description,"Saldırı, Bloon’ları daha uzun sersemletir ve MOAB Sınıfı Bloon’ları kısa süreliğine sersemletebilir."
PatFusty Level 14 Description,"Toplanmış Gürleme yarıçapı ve süresi uzar,  toplanan maymunların hasarı artar."
PatFusty Level 15 Description,Şaplak saldırısı daha fazla Bloon’u etkileyebilir.
PatFusty Level 16 Description,Yüksek saldırı menzili ve seramiklere bonus hasarı.
PatFusty Level 17 Description,Yüksek saldırı hızı.
PatFusty Level 18 Description,Yüksek patlatma gücü.
PatFusty Level 19 Description,Saldırı daha fazla katman patlatır.
PatFusty Level 20 Description,Büyük Sıkıştırma tek seferde birkaç büyük Bloon yakalayabilir.
,
ObynGreenfoot Level 1 Description,Bloon’lara saldırmak için kurt ruhları gönderir.
ObynGreenfoot Level 2 Description,Doğanın Gazabı - Menzildeki tüm Medyumlar +1 delme kazanır.
ObynGreenfoot Level 3 Description,Parkur üzerinde 50 bloon patlatabilen dikenli bir tuzak oluşturur.
ObynGreenfoot Level 4 Description,Her 18 saniyede bir totemin yakınındaki tüm Bloon’ları %30 yavaşlatan bir totem oluşturur. Daha az etkili vs MOAB sınıfı Bloon’lar.
ObynGreenfoot Level 5 Description,Yüksek saldırı hızı. Orman Medyumunun menzili artar.
ObynGreenfoot Level 6 Description,Yüksek patlatma gücü ve fırlatıcılar daha hızlı hareket eder.
ObynGreenfoot Level 7 Description,Dikenli Bitkiler 100 Bloon patlatabilir.
ObynGreenfoot Level 8 Description,Doğanın koruyucu totemleri Bloon’ları %40 yavaşlatır.
ObynGreenfoot Level 9 Description,"Saldırı ekstra katmanlar patlatır. Fırtına Medyumu, MOAB’lara daha fazla hasar veren daha büyük fırtınalara sahiptir."
ObynGreenfoot Level 10 Description,Ağaç Duvarı: Giriş yapan tüm Bloon’ları yok eden bir ağaç duvarını parkura çağırır. Dolduğunda ağaçlar patlayarak paraya dönüşür.
ObynGreenfoot Level 11 Description,"Doğanın Belirginliği - menzildeki tüm Sihirli Maymunlar +5 menzil ve +2 delme, Medyumlar ek +1 delme kazanır."
ObynGreenfoot Level 12 Description,Saldırı hızı artırılır ve Sihirli Maymunların gecikme süreleri %5 azalır.
ObynGreenfoot Level 13 Description,Daha yüksek patlatma gücü ve fırlatıcı hızı.
ObynGreenfoot Level 14 Description,"Saldırı, ekstra katmanları patlatır."
ObynGreenfoot Level 15 Description,Doğanın koruyucu totemi Bloon’ları %60 yavaşlatır ve gecikme süresini azaltır.
ObynGreenfoot Level 16 Description,Dikenli Bitkilerin her biri 500 Bloon patlatır ve tüm Bloon türlerine hasar verebilir.
ObynGreenfoot Level 17 Description,Yüksek saldırı hızı.
ObynGreenfoot Level 18 Description,Gelişmiş Gazap - Tüm Gazap Medyumları her turda 200’de patlatmaya başlar.
ObynGreenfoot Level 19 Description,"Saldırı, ekstra katmanları patlatır."
ObynGreenfoot Level 20 Description,Ağaç Duvarı çok daha fazla Bloon’u tutabilir.
,
Ezili Level 1 Description,"Ezili, karanlık vudu gücü ile Bloon’ları lanetler."
Ezili Level 2 Description,Yüksek saldırı menzili.
Ezili Level 3 Description,Yürek Hoplatan: Mor bloon patlatmayı sağlar ve 10 saniye boyunca herhangi bir yeniden şişme etkinliğini engeller.
Ezili Level 4 Description,Ezili’nin ana saldırısı artık birden fazla Bloon’u lanetler.
Ezili Level 5 Description,Yüksek saldırı hızı.
Ezili Level 6 Description,Zamanla oluşan hasar daha uzun sürer ve daha hızlı hasar verir.
Ezili Level 7 Description,"Kurban Totemi: Kamuflajlı tespiti, ekstra delme, saldırı menzili, saldırı hızı ve yakındaki Maymunlara, özellikle Sihirbaz Maymunlara fırlatıcı hızı sağlayan bir totemdir. 10 can tüketir."
Ezili Level 8 Description,Ezili’nin saldırısı MOAB Sınıfı Bloon’lara çok daha fazla hasar verir.
Ezili Level 9 Description,"Ezili’nin saldırısı, MOAB olmayan Bloon’ların Kamuflaj, Yeniden Şişme ve Güçlendirilme özelliklerini kaldırır."
Ezili Level 10 Description,"MOAB Büyüsü: MOAB Sınıfı Bloon’lara bir lanet salar, söz konusu bloon yok edilene kadar her saniyede bir hasar alır."
Ezili Level 11 Description,Yüksek saldırı menzili. Canlandırılmış Bloon’ların delinme oranını %50 artırır.
Ezili Level 12 Description,Yürek Hoplatanda gecikme süresini kısalır ve süre artar. MOAB’lara yüksek hasar verir.
Ezili Level 13 Description,Temel saldırıda daha geniş yarıçap ve yüksek delme.
Ezili Level 14 Description,Zaman geçtikçe daha hızlı hasar verir.
Ezili Level 15 Description,Artırılmış menzil. Zaman geçtikçe hasar daha uzun sürer.
Ezili Level 16 Description,Kurban Totemi daha uzun sürer ve yalnızca 1 cana mal olur.
Ezili Level 17 Description,Temel saldırıda daha geniş yarıçap ve yüksek delme.
Ezili Level 18 Description,Yüksek saldırı hızı.
Ezili Level 19 Description,Temel saldırıdan gelen her hasar 3 katman patlatır!
Ezili Level 20 Description,MOAB Hex daha hızlı çalışır ve BAD Bloon'ları yok edebilir.
,
//Hero Ability Names,
Rapid Shot Ability,Seri Atış
Storm of Arrows Ability,Ok Fırtınası  
Concussive Shell Ability,Şok Edici Mermi
Artillery Command Ability,Topçu Komutu
Armor Piercing Shells Ability,Zırh Delici Mermiler
MOAB Barrage Ability,MOAB Yaylım Ateşi
Cocktail of Fire Ability,Ateş Kokteyli
Firestorm Ability,Ateş Fırtınası
Biohack Ability,Biyokorsanlık
Syphon Funding Ability,Sifon Fonlama
Rallying Roar Ability,Toplanmış Gürleme
Big Squeeze Ability,Büyük Sıkıştırma
Brambles Ability,Dikenli Bitkiler
Wall of Trees Ability,Ağaç Duvarı
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,Kısa süreliğine üç kat saldırı hızı.
Storm of Arrows Ability Description,Geniş bir alanı ölümcül ok yağmuruna tutar.
Concussive Shell Ability Description,Güdümlü bir mermi fırlatarak ekrandaki en büyük Bloon’u sersemletir.
Artillery Command Ability Description,Tüm Bomba Fırlatıcıların ve Havancı Maymunların gecikme süresini sıfırlar.
Armor Piercing Shells Ability Description,Atışlar Siyah Bloon’ları patlatabilir ve Seramik Bloon’lara ekstra hasar verir. Churchill seviye atladıkça süre uzar.
MOAB Barrage Ability Description,"Her seferinde toplu hasar vererek, ekrandaki en fazla 10 MOAB Sınıfı Bloon’a yaylım ateşi açar."
Cocktail of Fire Ability Description,Yanıcı bir sıvı fırlatarak ateşin içinden geçen Bloon’ları yakar.
Firestorm Ability Description,Tüm Bloon’ları yakarak ekranın tamamını tutuşturur ve tüm Maymunlara Biberleyelim güçlendirmesi kazandırır.
Biohack Ability Description,En yakın 7 Maymun 2 saniye boyunca saldırı başına ekstra bir katman patlatır. Etkilenen Maymunlar etki sona erdikten sonra 2 saniye boyunca saldıramaz.
Syphon Funding Ability Description,En yeni canlanan tüm Bloon’ları 1 derece düşürür. Etkilenen Bloon’lardan gelen patlatma başına nakit ikiye katlanır. 10 saniye sürer.
Rallying Roar Ability Description,Yakındaki tüm Maymunlar kısa süreliğine +1 katman patlatabilir.
Big Squeeze Ability Description,"Bir MOAB, BFB, DDT (görünürse) veya ZOMG yakalar ve 5 saniye içinde parçalara ayırır."
Brambles Ability Description,Parkur üzerinde 50 bloon patlatabilen dikenli bir tuzak oluşturur.
Wall of Trees Ability Description,Giriş yapan tüm Bloon’ları yok eden bir ağaç duvarını parkura çağırır. Dolduğunda ağaçlar patlayarak paraya dönüşür.
Heartstopper Ability Description,Mor bloon patlatmayı sağlar ve 10 saniye boyunca herhangi bir Yeniden Şişme etkinliğini engeller.
Sacrificial Totem Ability Description,"Kamuflajlı tespiti, ekstra delme, saldırı menzili, saldırı hızı ve yakındaki Maymunlara, özellikle Sihirbaz Maymunlara fırlatıcı hızı sağlayan bir totemdir. 10 can tüketir."
MOAB Hex Ability Description,"MOAB Sınıfı Bloon’lara bir lanet salar, söz konusu bloon yok edilene kadar her saniyede bir hasar alır."
,
//Hero Misc,
Level,Seviye
,
//Upgrade Names,
Sharp Shots,Keskin Atışlar
Quick Shots,Hızlı Atışlar
Long Range Darts,Uzun Menzilli Oklar
Razor Sharp Shots,Jilet Keskini Atışlar
Very Quick Shots,Çok Hızlı Atışlar
Enhanced Eyesight,Gelişmiş Görüş
Spike-o-pult,Çivili Top Mancınığı
Triple Shot,Üçlü Atış
Crossbow,Arbalet
Juggernaut,Ezici Güç
Super Monkey Fan Club,Süper Maymun Hayran Kulübü
Sharp Shooter,Keskin Nişancı
Ultra-Juggernaut,Ultra Ezici Güç
Plasma Monkey Fan Club,Plazma Maymun Hayran Kulübü
Crossbow Master,Arbalet Ustası
,
Improved Rangs,Gelişmiş Halkalar
Faster Throwing,Daha Hızlı Fırlatma
Long Range Rangs,Uzun Menzilli Halkalar
Glaives,Yıldız Bıçaklar
Faster Rangs,Daha Hızlı Halkalar
Red Hot Rangs,Kızgın Halkalar
Glaive Ricochet,Yıldız Bıçak Sekmesi
Bionc Boomerang,Biyonik Bumerang
Kylie Boomerang,Kylie Bumerang
M.O.A.R Glaives,M.O.A.R Yıldız Bıçakları
Turbo Charge,Turbo Yük
MOAB Press,MOAB Presi
Glaive Lord,Yıldız Bıçak Lordu
Perma Charge,Kalıcı Yük
MOAB Domination,MOAB Hakimiyeti
,
Bigger Bombs,Daha Büyük Bombalar
Faster Reload,Daha Hızlı Yükleme
Extra Range,Ekstra Menzil
Heavy Bombs,Ağır Bombalar
Missile Launcher,Füze Rampası
Frag Bombs,Bomba Parçası
Really Big Bombs,Gerçekten Büyük Bombalar
MOAB Mauler,MOAB Hırpalayıcı
Cluster Bombs,Misket Bombası
Bloon Impact,Bloon Darbesi
MOAB Assassin,MOAB Suikastçısı
Recursive Cluster,Tekrarlı Yığın
Bloon Crush,Bloon Çarpması
MOAB Eliminator,MOAB Giderici
Bomb Blitz,Bomba Baskını
,
Faster Shooting,Daha Hızlı Atış
Long Range Tacks,Uzun Menzilli Çiviler
More Tacks,Daha Fazla Çivi
Even Faster Shooting,Çok Daha Hızlı Atış
Super Range Tacks,Süper Menzilli Çiviler
Even More Tacks,Çok Daha Fazla Çivi
Hot Shots,Sıcak Atışlar
Blade Shooter,Bıçak Atıcı
Tack Sprayer,Çivi Püskürtücü
Ring of Fire,Ateş Halkası
Blade Maelstrom,Bıçak Girdabı
Overdrive,Aşırı Hız
Inferno Ring,Cehennem Halkası
Super Maelstrom,Süper Girdap
The Tack Zone,Çivi Bölgesi
,
Permafrost,Donmuş Tabaka
Enhanced Freeze,Gelişmiş Dondurcu
Larger Radius,Daha Geniş Yarıçap
Metal Freeze,Soğuk Isırığı
Deep Freeze,Derin Dondurucu
Re-Freeze,Tekrar Dondurma
Ice Shards,Buz Parçaları
Arctic Wind,Arktik Rüzgâr
Cryo Cannon,Dondurucu Top
Embrittlement,Kırılganlaşma
Snowstorm,Kar Fırtınası
Icicles,Sarkıtlar
Super Brittle,Süper Kırılgan
Absolute Zero,Mutlak Sıfır
Icicle Impale,Sarkıtla Delme
,
Glue Soak,Yapışkan Yayma
Bigger Globs,Daha Büyük Topaklar
Stickier Glue,Daha Da Yapışkan
