//Input. Needs to be first e.g [I] replaced by click or tap,
Click,點擊
NinjaMonkey Description,隱身快猴拋出開刃手裡劍來打破氣球。可以瞄準偽裝氣球。
Alchemist Description,利用科學和魔法的力量，向氣球噴射腐蝕酸，也釀造各種不同效果的藥水。
Druid Description,為每次攻擊增加一波荊棘。升級可召喚叢林、風暴或憤怒的力量。
BananaFarm Description,每回合都生成香蕉，香蕉轉換成遊戲幣，可用來購買更多東西。
EngineerMonkey Description,拿著一把可靠的釘槍打破氣球。可以升級以創建自己的射釘哨塔。
SpikeFactory Description,在附近的路徑上自動生成一堆路刺。優秀的最后防線。
MonkeyAcademy Description,猴子接受教育和培訓的地方。為士兵、魔法和英雄猴子提供強大的福利。每一回合生成少量的英雄XP。
MonkeyVillage Description,猴產業樞紐，可為你的猴子提供各種福利。半徑範圍內的所有猴子攻擊距離增加 10%。
,
//Hero Names,
Quincy,Quincy
StrikerJones,攻擊者Jones
CaptainChurchill,上尉Churchill
Gwendolin,Gwendolin
Benjamin,Benjamin
PatFusty,Pat Fusty
Ezili,Ezili
ObynGreenfoot,Obyn Greenfoot
,
//Hero Short Descriptions,
Quincy Short Description,弓箭手
StrikerJones Short Description,砲兵指揮官
CaptainChurchill Short Description,坦克
Gwendolin Short Description,縱火狂
Benjamin Short Description,代碼猴子
PatFusty Short Description,巨猴
Ezili Short Description,巫毒猴
ObynGreenfoot Short Description,森林衛士
,
//Hero Description,
Quincy Description,驕傲、堅強而聰明，Quincy把弓用得出神入化。
StrikerJones Description,攻擊者Jones是一名強大的指揮官，他熟知遠距作戰的奧義，可大大提升炸彈的爆炸力。
CaptainChurchill Description,在作戰坦克的裝甲之下，上尉是戰場上悍將，絕不拖泥帶水。
Gwendolin Description,Gwendolin認為沒有火不能解決的氣球問題。火炎焱。
Benjamin Description,使用他的精英駭客技能，Benjamin可以為事業生成額外的錢財。
PatFusty Description,Pat是一隻巨猴，擁有巨大力量。他獨特個頭和力量是我們對氣球之戰的巨大財富。
Ezili Description,Ezili是暗黑藝術家和氣球的操縱者。當心。 
ObynGreenfoot Description,Obyn擁有指揮大自然的力量，他的靈狼攻擊可穿過固體障礙。
,
//Hero Level Descriptions,
Quincy Level 1 Description,Quincy的箭矢最多可彈射 3 個目標。
Quincy Level 2 Description,基本攻擊反彈最多可攻擊4個目標。
Quincy Level 3 Description,快速射擊：在短時間內攻擊速度變成三倍。
Quincy Level 4 Description,稍長射程。
Quincy Level 5 Description,用他的尖銳視力射擊偽裝氣球。
Quincy Level 6 Description,一次射2支箭。
Quincy Level 7 Description,每3次射擊發射一次爆裂之箭。
Quincy Level 8 Description,弓箭對MOAB級氣球產生三倍傷害。
Quincy Level 9 Description,基本攻擊反彈最多可攻擊6個目標。
Quincy Level 10 Description,箭之暴：致命的箭雨覆蓋大片區域。
Quincy Level 11 Description,攻速提升。
Quincy Level 12 Description,每支箭都獲得更大的擊破力。
Quincy Level 13 Description,小量射程增加。
Quincy Level 14 Description,弓箭對MOAB級氣球產生四倍傷害。
Quincy Level 15 Description,快速射擊變為x4攻擊速度，冷卻時間縮短。
Quincy Level 16 Description,攻速進一步提升。
Quincy Level 17 Description,箭矢存在時間延長25％。每隔一次射擊就會射出爆炸箭矢。
Quincy Level 18 Description,Quincy的擊速度加快，并且箭之暴減少冷卻時間，箭矢增加50%。
Quincy Level 19 Description,每支箭都獲得還要更大的擊破力。
Quincy Level 20 Description,Quincy的擊速度进一步加快。箭之暴每箭傷害力增加，並且射出更多箭。
,
StrikerJones Level 1 Description,先鋒瓊斯可發射強力巴祖卡火箭彈轟炸氣球。
StrikerJones Level 2 Description,爆炸半徑增加。
StrikerJones Level 3 Description,震蕩彈：向螢幕上最大的氣球射出制导炸彈，將它擊暈。
StrikerJones Level 4 Description,熒幕上的所有炸彈射手與迫擊砲猴的射擊速度增加10%。
StrikerJones Level 5 Description,使所有黑色氣球對所有猴子的爆炸性傷害抵抗力減弱。
StrikerJones Level 6 Description,Jones普通攻擊的爆炸半徑和擊破力大量增加。
StrikerJones Level 7 Description,迫擊砲猴每次攻擊可擊破2層氣球，並且爆破半徑擴大10%。
StrikerJones Level 8 Description,英雄附近的炸彈射手獲得+5%射程和+25%穿透力。
StrikerJones Level 9 Description,攻擊速度加快，并且震蕩彈的穿透、傷害和造成的眩暈得到增強。
StrikerJones Level 10 Description,砲兵指揮：重置所有炸彈射手與迫擊砲猴的技能冷卻時間。
StrikerJones Level 11 Description,攻速提升。
StrikerJones Level 12 Description,略微增加攻擊射程和額外的層擊破力。
StrikerJones Level 13 Description,攻速提升。
StrikerJones Level 14 Description,震蕩彈影響面積更大，持續時間更長。
StrikerJones Level 15 Description,震蕩彈冷却时间减少到11秒。
StrikerJones Level 16 Description,攻速提升。
StrikerJones Level 17 Description,射程增加，每次射擊擊破4層。
StrikerJones Level 18 Description,所有炸彈射手與迫擊砲猴的攻擊速度額外增加10%。
StrikerJones Level 19 Description,攻速提升，並使所有黑色氣球受到的爆炸傷害增加。
StrikerJones Level 20 Description,砲兵指揮還能在10秒內對炸彈射手與迫擊砲猴造成雙倍傷害，並且向其射出雙倍砲彈。
,
CaptainChurchill Level 1 Description,坦克射出的穿甲彈爆炸次數可達三次。
CaptainChurchill Level 2 Description,增加每次射擊的擊破力。
CaptainChurchill Level 3 Description,穿甲砲彈：射擊可以擊破黑色氣球，並且對陶瓷氣球造成額外傷害。持續時間隨著Churchill等級升高而延長。
CaptainChurchill Level 4 Description,攻擊範圍增大。
CaptainChurchill Level 5 Description,在坦克上增加快速發射機槍攻擊。
CaptainChurchill Level 6 Description,雙筒望遠鏡允許Churchill擊破偽裝氣球。
CaptainChurchill Level 7 Description,炮彈造成的傷害增加，并且爆炸次數從3次增加到4次。
CaptainChurchill Level 8 Description,攻速提升。
CaptainChurchill Level 9 Description,砲彈可爆炸5次。
CaptainChurchill Level 10 Description,MOAB齊射：向螢幕上至多10艘MOAB級氣球齊射一大批砲彈，每次都能造成巨大傷害。
CaptainChurchill Level 11 Description,增加每次射擊的擊破力。
CaptainChurchill Level 12 Description,炮彈造成的傷害額外增加，並且可爆炸6次。
CaptainChurchill Level 13 Description,裝甲穿甲彈擊破氣球兩層，對陶瓷和更高級別的氣球造成額外傷害。
CaptainChurchill Level 14 Description,機槍和主炮每次射擊可擊破額外1層氣球。
CaptainChurchill Level 15 Description,所有攻擊都會對強化的氣球造成額外的傷害。
CaptainChurchill Level 16 Description,攻速提升。
CaptainChurchill Level 17 Description,穿甲彈造成還要更多的傷害。
CaptainChurchill Level 18 Description,所有砲彈都會額外擊破一層氣球。
CaptainChurchill Level 19 Description,砲彈可以爆7次。
CaptainChurchill Level 20 Description,MOAB彈幕砲彈和主砲每次擊中造成的傷害大幅增加。
,
Gwendolin Level 1 Description,可使用她的噴火槍打爆氣球。
Gwendolin Level 2 Description,稍微增加每次射擊的擊破力。
Gwendolin Level 3 Description,火焰雞尾酒：投擲一瓶易燃液體，燒掉穿過火的氣球。
Gwendolin Level 4 Description,燒起來 - 每隔幾秒鐘就會產生強大的火力衝擊波，可擊破氣球並給周圍的 Monkeysâ€™攻擊增加火攻。
Gwendolin Level 5 Description,增加擊破力。
Gwendolin Level 6 Description,攻擊對目標氣球有燃燒效果。
Gwendolin Level 7 Description,燒起來攻擊範圍增大，火焰鷄尾酒傷害增加。
Gwendolin Level 8 Description,每次射擊射出2顆燃燒彈。
Gwendolin Level 9 Description,每彈初始打擊額外擊破1層。
Gwendolin Level 10 Description,烈焰暴：整個螢幕被點燃，燒掉所有氣球，並為所有猴子提供燒起來增益。
Gwendolin Level 11 Description,攻擊範圍增大。
Gwendolin Level 12 Description,攻速提升。
Gwendolin Level 13 Description,大幅增加擊破力，並且射彈的飛行速度更快，持續時間更長。
Gwendolin Level 14 Description,火焰雞尾酒造成額外傷害，並使MOAB級氣球燃燒。
Gwendolin Level 15 Description,攻速提升。
Gwendolin Level 16 Description,烈焰暴的持續時間延長，並且可以造成更高傷害。紫氣球不再對Gwendolin的攻擊免疫。
Gwendolin Level 17 Description,燒起來，使受影響的猴子可額外擊破1層，並對鉛氣球造成的傷害+2。
Gwendolin Level 18 Description,攻速提升。
Gwendolin Level 19 Description,每次射擊射出3顆燃燒彈。
Gwendolin Level 20 Description,烈焰爆會造成巨大的傷害。
,
Benjamin Level 1 Description,每回合額外獲取$100。
Benjamin Level 2 Description,每回合得到$150，而非$100。
Benjamin Level 3 Description,生物黑客: 4個最近的猴子每次攻擊會額外擊發一層子彈，持續6秒。受影響的猴子在效果結束後2秒內無法攻擊。
Benjamin Level 4 Description,抽成 - 每生成一個氣球，掙+$1。
Benjamin Level 5 Description,銀行駭客 - 所有银行赚 +5%的收入。
Benjamin Level 6 Description,網路安全 - 在每回合結束時恢復5條生命。
Benjamin Level 7 Description,氣球木馬 – 每隔幾秒鐘隨機向氣球發送木馬病毒。受影響的氣球在被幹掉時不再生成子氣球，並且每擊破一層額外產生1塊現金。
Benjamin Level 8 Description,每回合收入提高至$250。
Benjamin Level 9 Description,銀行駭客增加到12%
Benjamin Level 10 Description,虹吸資金：將大部分新產生的氣球降1級。受影響的氣球每次擊發現金翻倍。持續10秒。
Benjamin Level 11 Description,每回合收入提高至$300。
Benjamin Level 12 Description,抽成增加到每個氣球$2。
Benjamin Level 13 Description,生物黑客能夠造成傷害加成，並且影響6隻猴子，持續8秒鐘。
Benjamin Level 14 Description,網路安全每回合增加10條命，初始可達100條命。
Benjamin Level 15 Description,每回合收入提高至$500。
Benjamin Level 16 Description,氣球木馬發送得更頻繁，並獲得更多現金。
Benjamin Level 17 Description,每回合收入提高到$800。
Benjamin Level 18 Description,氣球木馬會影響BFB和DDT氣球。
Benjamin Level 19 Description,生物黑客持續9秒，受影響的猴子格外發射3層而非2層子彈。
Benjamin Level 20 Description,虹吸資金持續20秒，受影響的氣球被擊破時掉正常現金的三倍。
,
PatFusty Level 1 Description,Pat能將氣球砸在地上。
PatFusty Level 2 Description,增大暴擊半徑。
PatFusty Level 3 Description,集結咆哮：短時間內使附近所有猴子的爆破力+1層。
PatFusty Level 4 Description,攻速提升。
PatFusty Level 5 Description,有時候能打出強大拍擊，將氣球從出口推開。
PatFusty Level 6 Description,被Pat擊中的氣球被短時擊暈。
PatFusty Level 7 Description,擊破力和傷害增加。
PatFusty Level 8 Description,攻速提升。
PatFusty Level 9 Description,攻擊範圍增大。
PatFusty Level 10 Description,大擠壓：抓住一個MOAB級、BFB級、DDT級（如果可見）或ZOMG級氣球，並在5秒內將其壓碎。
PatFusty Level 11 Description,攻擊可擊破更多層氣球。
PatFusty Level 12 Description,攻速提升。
PatFusty Level 13 Description,攻擊擊暈氣球時間更長，並可簡短地擊暈MOAB級氣球。
PatFusty Level 14 Description,集結咆哮作用範圍和持續時間增加，並使集結的猴子造成的傷害增加。
PatFusty Level 15 Description,拍擊攻擊可影響更多氣球。
PatFusty Level 16 Description,攻擊範圍增加，並且對陶瓷氣球造成額外傷害。
PatFusty Level 17 Description,攻速提升。
PatFusty Level 18 Description,增加擊破力。
PatFusty Level 19 Description,攻擊更多層的爆炸。
PatFusty Level 20 Description,大擠壓能夠一下抓住多個大氣球。
,
ObynGreenfoot Level 1 Description,派遣狼魂攻擊氣球。
ObynGreenfoot Level 2 Description,自然之怒 – 範圍內的所有督伊德獲得穿刺+1。
ObynGreenfoot Level 3 Description,在路徑上生成尖刺灌木，可擊破50個氣球。
ObynGreenfoot Level 4 Description,每隔18秒生成一個圖騰，使附近氣球的移動速度減慢30%。對MOAB級氣球的減速效果降低。
ObynGreenfoot Level 5 Description,攻擊速度加快。叢林督伊德作用範圍增大。
ObynGreenfoot Level 6 Description,擊破力增加，射彈飛行速度加快。
ObynGreenfoot Level 7 Description,荊棘可擊破100個氣球。
ObynGreenfoot Level 8 Description,自然守護圖騰減慢氣球40%。
ObynGreenfoot Level 9 Description,攻擊可擊破多層氣球。風暴督伊德可釋放更大的風暴，對MOAB級氣球造成更高傷害。
ObynGreenfoot Level 10 Description,樹牆：在路徑上樹牆，可摧毀進入的所有氣球。滿了之後樹即爆成錢。
ObynGreenfoot Level 11 Description,自然明澈 – 範圍內的所有魔法猴子獲得攻擊範圍+5和穿刺+2，督伊德額外獲得穿刺+1。
ObynGreenfoot Level 12 Description,攻擊速度加快，魔法猴子的冷卻時間縮短5%。
ObynGreenfoot Level 13 Description,進一步增加擊破力和加快射彈速度。
ObynGreenfoot Level 14 Description,攻擊可額外擊破一層氣球。
ObynGreenfoot Level 15 Description,自然守護減慢氣球60%，且冷卻時間減少。
ObynGreenfoot Level 16 Description,荊棘每次可擊破500個氣球，可對所有類型的氣球造成傷害。
ObynGreenfoot Level 17 Description,攻速提升。
ObynGreenfoot Level 18 Description,愤怒強化 - 所有愤怒督伊德擊破每回合從200開始。
ObynGreenfoot Level 19 Description,攻擊可額外擊破一層氣球。
ObynGreenfoot Level 20 Description,樹牆現可阻止更多的氣球。
,
Ezili Level 1 Description,Ezili使用巫毒力量詛咒氣球。
Ezili Level 2 Description,攻擊範圍增大。
Ezili Level 3 Description,心跳終止：6秒內防止重生髮生。
Ezili Level 4 Description,Ezili的主要攻擊現在可詛咒多個氣球。
Ezili Level 5 Description,攻速提升。
Ezili Level 6 Description,持續傷害持續時間更長，傷害更快。
Ezili Level 7 Description,獻祭圖騰:一種圖騰，可給周圍的猴子提供偽裝偵測、額外穿透力、攻擊範圍、攻擊速度和射彈速度。吸掉10條性命。
Ezili Level 8 Description,Ezili的攻擊對MOAB級氣球產生更多傷害。
Ezili Level 9 Description,Ezili 的攻擊去除了非 MOAB 級氣球的偽裝、重生與強化屬性。
Ezili Level 10 Description,MOAB詛咒：對MOAB級氣球實施詛咒，在被摧毀之前每秒都造成傷害。
Ezili Level 11 Description,攻擊範圍增加。對復活氣球的穿透增加50%。
Ezili Level 12 Description,心跳終止冷卻時間縮短，持續時間增加。對MOAB級氣球造成的傷害增加。
Ezili Level 13 Description,基本攻擊獲得更大的飛濺半徑和穿透力。
Ezili Level 14 Description,持續傷害的速度更快。
Ezili Level 15 Description,攻擊範圍增大。周期性傷害持續時間更長。
Ezili Level 16 Description,祭祀圖騰持續時間更長，且使用時只花費1個性命。
Ezili Level 17 Description,基本攻擊獲得更大的飛濺半徑和穿透力。
Ezili Level 18 Description,攻速提升。
Ezili Level 19 Description,基本攻擊的每跳一次傷害擊破3層！
Ezili Level 20 Description,MOAB巫術生效速度更快，並且可摧毀BAD氣球。
,
//Hero Ability Names,
Rapid Shot Ability,快速射擊
Storm of Arrows Ability,箭之暴 
Concussive Shell Ability,震蕩彈
Artillery Command Ability,砲兵指揮
Armor Piercing Shells Ability,穿甲彈
MOAB Barrage Ability,MOAB齊射
Cocktail of Fire Ability,火焰雞尾酒
Firestorm Ability,烈焰暴
Biohack Ability,生物駭客
Syphon Funding Ability,虹吸資金
Rallying Roar Ability,集結咆哮
Big Squeeze Ability,大擠壓
Brambles Ability,荊棘
Wall of Trees Ability,樹牆
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,在短時間內攻擊速度變成三倍。
Storm of Arrows Ability Description,致命的箭雨覆蓋大片區域。
Concussive Shell Ability Description,向螢幕上最大的氣球射出制导炸彈，將它擊暈。
Artillery Command Ability Description,重置所有炸彈射手與迫擊砲猴的冷卻時間。
Armor Piercing Shells Ability Description,射擊可以擊破黑色氣球，並且對陶瓷氣球造成額外傷害。持續時間隨著Churchill等級升高而延長。
MOAB Barrage Ability Description,最多可向螢幕上的 10個 MOAB 級氣球發射大量炮彈，每次造成巨大傷害。
Cocktail of Fire Ability Description,擲出一瓶易燃液體，燃燒經過火焰的氣球。
Firestorm Ability Description,整個螢幕被點燃，燒掉所有氣球，並為所有猴子提供燒起來增益。
Biohack Ability Description,最近的 4 隻猴子每次攻擊時會額外增加 2 層穿透，持續 6 秒。受影響的猴子在效果結束後 2 秒之內不能進行攻擊。
Syphon Funding Ability Description,使大部分新產生的氣球降級 1 級。擊破受影響的氣球獲得的收入翻倍。持續 10 秒。
Rallying Roar Ability Description,短時間內使附近所有猴子的爆破力+1層。
Big Squeeze Ability Description,抓取MOAB、BFB、DDT（如果可見）或ZOMG，並在5秒內將其壓碎。
Brambles Ability Description,在路徑上生成尖刺灌木，可擊破 20 個氣球。
Wall of Trees Ability Description,在路徑上召喚一堵破壞入侵氣球的樹木牆。結滿的時候，樹木綻放出金錢。
Heartstopper Ability Description,避免在 6 秒鐘內再生。
Sacrificial Totem Ability Description,向周圍的猴子提供偽裝探測功能、額外刺穿效果、提高攻擊範圍、攻擊速度以及射擊速度。消耗 10 條命。
MOAB Hex Ability Description,向 MOAB 級氣球添加詛咒，每秒都發出傷害，直到最後被消滅。
,
//Hero Misc,
Level,級別
,
//Upgrade Names,
Sharp Shots,尖銳射擊
Quick Shots,快速射擊
Long Range Darts,長射程飛鏢
Razor Sharp Shots,剃刀尖銳射擊
Very Quick Shots,急速射擊
Enhanced Eyesight,增強視力
Spike-o-pult,針刺投石機
Triple Shot,三倍射擊
Crossbow,弩車
Juggernaut,巨型刺釘球投石車
Super Monkey Fan Club,超猴粉絲團
Sharp Shooter,尖銳槍手
Ultra-Juggernaut,超級巨型刺釘球投石車
Plasma Monkey Fan Club,電漿猴粉絲團
Crossbow Master,弩車大師
,
Improved Rangs,增強迴旋鏢
Faster Throwing,更快投擲
Long Range Rangs,長射程迴旋鏢
Glaives,大刀
Faster Rangs,更快迴旋鏢
Red Hot Rangs,紅火迴旋鏢
Glaive Ricochet,反彈大刀
Bionc Boomerang,仿生迴旋鏢
Kylie Boomerang,凱莉迴旋鏢
M.O.A.R Glaives,M.O.A.R大刀
Turbo Charge,渦輪充能
MOAB Press,MOAB壓制
Glaive Lord,大刀王
Perma Charge,永久充電
MOAB Domination,MOAB主宰
,
Bigger Bombs,更大炸彈
Faster Reload,更快裝彈
Extra Range,更大範圍
Heavy Bombs,重型炸彈
Missile Launcher,飛彈發射器
Frag Bombs,碎片炸彈
Really Big Bombs,真大炸彈
MOAB Mauler,MOAB重鎚
Cluster Bombs,群集炸彈
Bloon Impact,氣球衝擊
MOAB Assassin,MOAB殺手
Recursive Cluster,遞迴群集
Bloon Crush,氣球粉碎機
MOAB Eliminator,MOAB終結者
Bomb Blitz,炸彈閃電戰
,
Faster Shooting,更快射擊
Long Range Tacks,長射程釘子
More Tacks,更多釘子
Even Faster Shooting,還要更快的射擊
Super Range Tacks,超長射程釘子
Even More Tacks,還要更多的釘子
Hot Shots,火熱射擊
Blade Shooter,刀刃射手
Tack Sprayer,撒釘人
Ring of Fire,火環
Blade Maelstrom,刀刃漩渦
Overdrive,超速度
Inferno Ring,地獄戒指
Super Maelstrom,超級漩渦
The Tack Zone,釘子地帶
,
Permafrost,永久凍結
Enhanced Freeze,增強凍結
Larger Radius,更大半徑
Metal Freeze,寒流
Deep Freeze,深層凍結
Re-Freeze,再凍結
Ice Shards,冰刃
Arctic Wind,北極風
Cryo Cannon,冷凍砲
Embrittlement,脆化
Snowstorm,暴風雪
Icicles,冰柱
Super Brittle,超級脆弱
Absolute Zero,絕對零度
Icicle Impale,冰柱穿刺
,
Glue Soak,膠浸
Bigger Globs,更大球珠
Stickier Glue,更粘的膠
Corrosive Glue,腐蝕膠
Glue Splatter,撒膠者
Stronger Glue,更強的膠
Bloon Dissolver,氣球溶解者
Glue Hose,膠管
MOAB Glue,MOAB膠
Bloon Liquefier,氣球液化器
Glue Strike,粘膠打擊
Relentless Glue,無情膠
The Bloon Solver,氣球解決者
Glue Storm,粘膠風暴
Super Glue,超級粘膠
,
Full Metal Jacket,全金屬外殼
Night Vision Goggles,夜視鏡
Fast Firing,快速射擊
Large Calibre,大口徑
Shrapnel Shot,彈片射擊
Even Faster Firing,還要更快的射擊
Deadly Precision,致命精度
Bouncing Bullet,彈跳彈
Semi-Automatic,半自動
Maim MOAB,致殘MOAB
Supply Drop,搖錢樹
Full Auto Rifle,全自動步槍
Cripple MOAB,殘廢MOAB
Elite Sniper,精英狙擊手
Elite Defender,精英防禦者
,
Longer Range,更長射程
Barbed Darts,帶刺飛鏢
Twin Guns,雙槍
Advanced Intel,高級情報
Heat-tipped Darts,熱尖飛鏢
Airburst Darts,空爆飛鏢
Submerge and Support,潛入和支援
Ballistic Missile,彈道飛彈
Triple Guns,三槍
Bloontonium Reactor,氣球素反應器
First Strike Capability,第一擊能力
Armor Piercing Darts,穿甲飛鏢
Energizer,增能器
Pre-emptive Strike,先發製人
Sub Commander,潛艇指揮官
,
Buccaneer-Faster Shooting,更快射擊
Buccaneer-Grape Shot,葡萄彈
Buccaneer-Long Range,長射程
Buccaneer-Double Shot,雙倍射擊
Buccaneer-Hot Shot,火熱射擊
Buccaneer-Crow's Nest,烏鴉巢
Buccaneer-Destroyer,毀滅者
Buccaneer-Cannon Ship,大砲船
Buccaneer-Merchantman,商船
Buccaneer-Aircraft Carrier,航空母艦
Buccaneer-Monkey Pirates,猴子海盜
Buccaneer-Favored Trades,有利交易
Buccaneer-Carrier Flagship,航母旗艦
Buccaneer-Pirate Lord,海盜王
Buccaneer-Trade Empire,貿易帝國
,
Rapid Fire,快速射擊
Exploding Pineapple,爆炸鳳梨
Sharper Darts,更鋒利飛鏢
Lots More Darts,更多飛鏢
Spy Plane,間諜飛機
Centered Path,中心路徑
Fighter Plane,戰鬥機
Bomber Ace,王牌轟炸機
Neva-Miss Targeting,百發百中
Operation: Dart Storm,任務：飛鏢風暴
Ground Zero,寸草不生
Spectre,幽靈
Sky Shredder,天空撕烈機
Tsar Bomba,沙皇邦巴
Flying Fortress,飛行堡壘
,
Quad Darts,四鏢
Bigger Jets,更大噴氣機
Faster Firing,更快射擊
Pursuit,尋踪
IFR,IFR
Faster Darts,更快飛鏢
Razor Rotors,剃刀轉子
Downdraft,气流向下
MOAB Shove,MOAB猛撞
Apache Dartship,阿帕奇飛鏢機
Support Chinook,支援奇努克
Comanche Defense,科曼奇防禦
Apache Prime,阿帕奇主戰機
Special Poperations,特別擊破
Comanche Commander,科曼奇指揮官
,
Bigger Blast,更大爆炸
Mortar Faster Reload,更快裝彈
Increased Accuracy,提高了準確性
Bloon Buster,氣球巴斯特
Mortar Rapid Reload,快速重新加載
Burny Stuff,燃燒的東西
Shockwave,震蕩彈
Heavy Shells,重型炸彈
Signal Flare,信號彈
The Big One,大傢伙
Artillery Battery,火砲臺
Shattering Shells,粉碎砲彈
The Biggest One,最大的傢伙
Pop and Awe,爆炸中，請仰視
Blooncineration,化為灰燼
,
Focused Firing,集中射擊
Advanced Targeting,高級瞄準
Powerful Darts,強大飛鏢
Faster Swivel,更快旋轉
Faster Barrel Spin,更快槍管旋轉
Depleted Bloontonium,枯竭的氣球素
Laser Shock,鐳射衝擊
Laser Cannon,鐳射砲
Hydra Rocket Pods,水壓火箭莢
Buckshot,鉛彈
Plasma Accelerator,電漿加速器
Rocket Storm,火箭風暴
Bloon Area Denial System,氣球區域拒絕系統
Ray of Doom,毀滅射線
M.A.D,MOAB篤定毀滅者
Bloon Exclusion Zone,氣球禁區
,
Guided Magic,制導魔法
Fireball,火球
Intense Magic,激烈魔法
Arcane Blast,奧術衝擊
Wall of Fire,火之牆
Monkey Sense,猴感
Arcane Mastery,奧術大師
Dragon's Breath,龍之吐息
Shimmer,微光
Arcane Spike,奧術針刺
Summon Phoenix,召喚不死鳥
Necromancer: Unpopped Army,亡靈法師：未擊破的軍隊
Archmage,灵魔法师
Wizard Lord Phoenix,大法師不死鳥
Soulbind,黑暗王子
,
Laser Blasts,鐳射炸彈
Super Range,超級射程
Knockback,擊退
Plasma Blasts,電漿爆炸
Epic Range,史詩射程
Ultravision,超視野
Sun Avatar,太陽化身
Robo Monkey,機器猴子
Dark Knight,黑闇騎士
Sun Temple,太陽神廟
Tech Terror,科技恐怖
Dark Champion,黑暗冠軍
True Sun God,真太陽神
The Anti-Bloon,反氣球者
Legend of the Night,夜的傳說
,
Ninja Discipline,忍者紀律
Distraction,分心
Seeking Shuriken,追蹤手裡劍
Sharp Shurikens,尖銳手裡劍
Counter-Espionage,反間諜
Caltrops,鐵蒺藜
Double Shot,雙倍射擊
Shinobi Tactics,忍者戰術
Flash Bomb,閃光炸彈
Bloonjitsu,氣球柔術
Bloon Sabotage,氣球陰謀
Sticky Bomb,粘性炸彈
Grandmaster Ninja,大師忍者
Grand Saboteur,大破壞者
Master Bomber,轟炸大師
,
Larger Potions,更多藥水
Stronger Acid,更強酸液
Acid Pool,酸液池
Acidic Mixture Dip,酸性混合物浸漬
Perishing Potions,滅亡藥水
Alchemist Faster Throwing,更快投擲
Berserker Brew,狂暴之釀
Unstable Concoction,不穩定的混合物
Lead to Gold,鉛變金
Stronger Stimulant,更強興奮劑
Transforming Tonic,變形補劑
Rubber to Gold,膠變金
Permanent Brew,永久之釀
Total Transformation,全面變形
Bloon Master Alchemist,氣球大師煉金術士
,
Hard Thorns,硬荊棘
Thorn Swarm,荊棘眾生
Druidic Reach,督伊德所達
Heart of Thunder,雷霆之心
Heart of Oak,橡樹之心
Heart of Vengeance,復仇之心
Druid of the Storm,風暴督伊德
Druid of the Jungle,叢林督伊德
Druid of Wrath,憤怒督伊德
Ball Lightning,球型閃電
Jungle's Bounty,叢林賞金
Poplust,擊破之慾
Superstorm,超級風暴
Spirit of the Forest,森林精神
Avatar of Wrath,憤怒化身
,
Increased Production,增加生產
Long Life Bananas,長壽香蕉
EZ Collect,簡易收集
Greater Production,更大生產
Valuable Bananas,珍貴香蕉
Banana Salvage,香蕉救助
Banana Plantation,香蕉種植園
Monkey Bank,猴子銀行
Marketplace,市井
Banana Research Facility,香蕉研究設施
IMF loan,IMF貸款
Central Market,中央市場
Banana Central,香蕉中央
Monkey-Nomics,猴子經濟學
