//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Napsauta
StrikerJones Description,"Iskijä Jones on voimakas komentaja, joka käyttää tietämystään pitkän matkan taistelusta tehostaakseen räjähteiden voimaa merkittävästi."
CaptainChurchill Description,Panssarivaunussaan viihtyvä kapteeni on voimanpesä taistelukentällä eikä kuuntele järjettömyyksiä.
Gwendolin Description,"Gwendolin uskoo, ettei vielä ole ollut blooniongelmaa, jota ei voisi ratkaista tulella. Valtavalla määrällä tulta."
Benjamin Description,Eliittihakkerointitaidoillaan Benjamin voi tuottaa ylimääräistä rahaa hyvään tarkoitukseen.
PatFusty Description,"Pat on valtava apina, jolla on valtaisat voimat. Hänen ainutlaatuinen kokonsa ja voimansa auttavat bloonien vastaisessa sodassa."
Ezili Description,Ezili hallitsee pimeyden voimia ja osaa manipuloida blooneja. Ole varuillasi. 
ObynGreenfoot Description,Luonnonvoimia komentava Obyn voi ampua kiinteiden esteiden läpi henkisusihyökkäyksellään.
,
//Hero Level Descriptions,
Quincy Level 1 Description,Quincyn nuolet ponnahtavat jopa 3 eri kohteeseen.
Quincy Level 2 Description,Perushyökkäys ponnahtaa jopa 4 kohteeseen.
Quincy Level 3 Description,Pikalaukaus: kolminkertainen hyökkäysnopeus lyhyeksi ajaksi.
Quincy Level 4 Description,Jonkin verran pidempi kantama.
Quincy Level 5 Description,Käyttää tarkkaa näköään ampuakseen maastokuvioisia blooneja.
Quincy Level 6 Description,Ampuu 2 nuolta kerralla.
Quincy Level 7 Description,Ampuu räjähtäviä nuolia joka kolmannella laukauksella.
Quincy Level 8 Description,Nuolet tekevät kolminkertaisen vahingon MOAB-luokan blooneille.
Quincy Level 9 Description,Perushyökkäys ponnahtaa jopa 6 kohteeseen.
Quincy Level 10 Description,Nuolimyrsky: peittää laajan alueen tappavaan nuolisateeseen.
Quincy Level 11 Description,Suurempi hyökkäysnopeus.
Quincy Level 12 Description,Kukin nuoli saa lisää poksautustehoa.
Quincy Level 13 Description,Pieni kantaman kasvu.
Quincy Level 14 Description,Nuolet tekevät nelinkertaisen vahingon MOAB-luokan blooneille.
Quincy Level 15 Description,Pikalaukaus saa 4x hyökkäysnopeuden ja palautumisaikaa lyhennetään.
Quincy Level 16 Description,Vielä suurempi hyökkäysnopeus.
Quincy Level 17 Description,Nuolet kestävät 25 % pidempään. Ampuu räjähtäviä nuolia joka toisella laukauksella.
Quincy Level 18 Description,Quincy hyökkää nopeammin ja nuolimyrskyssä on lyhyempi palautumisaika ja 50 % enemmän nuolia.
Quincy Level 19 Description,"Ampuu 3 nuolta kerralla, ja kukin nuoli saa vieläkin enemmän poksautusvoimaa."
Quincy Level 20 Description,Quincy hyökkää entistä nopeammin. Nuolimyrsky ampuu enemmän nuolia ja tekee enemmän vahinkoa nuolta kohden.
,
StrikerJones Level 1 Description,Iskijä Jones räjäyttää blooneja tehokkaalla singolla.
StrikerJones Level 2 Description,Lisää räjähdyksen sädettä.
StrikerJones Level 3 Description,Täräyttävä ammus: ampuu ohjatun ammuksen näytön suurimpaan blooniin ja tyrmää sen.
StrikerJones Level 4 Description,Kaikki Pommittajat ja Mörssäriapinat ampuvat 10 % nopeammin.
StrikerJones Level 5 Description,Tekee kaikista mustista blooneista alttiimpia kaikkien kaikkien apinoiden räjäytysvahingolle.
StrikerJones Level 6 Description,Jonesin tavallisten hyökkäysten räjähdyksen säde ja poksautukset kasvavat suuresti.
StrikerJones Level 7 Description,"Poksauttaa 2 kerrosta per laukaus, ja Mörssäriapinan räjähdysalue on 10 % suurempi."
StrikerJones Level 8 Description,Pommittajat saavat sankarin lähellä +5 % kantamaan ja +25 % lävistykseen.
StrikerJones Level 9 Description,"Suurempi hyökkäysnopeus ja suurempi täräyttävien ammusten läpäisy, vahinko ja tyrmäys."
StrikerJones Level 10 Description,Tykistön komento: Nollaa kaikkien Pommittajien ja Mörssäriapinoiden palautumisajan.
StrikerJones Level 11 Description,Suurempi hyökkäysnopeus.
StrikerJones Level 12 Description,Jonkin verran laajennettu hyökkäysalue ja ylimääräisen kerroksen poksautus.
StrikerJones Level 13 Description,Suurempi hyökkäysnopeus.
StrikerJones Level 14 Description,Täräyttävä ammus vaikuttaa laajempaan alueeseen ja pidempään.
StrikerJones Level 15 Description,Täräyttävän ammuksen palautumisaika vähennetty 11 sekuntiin.
StrikerJones Level 16 Description,Suurempi hyökkäysnopeus.
StrikerJones Level 17 Description,Suurempi kantama ja poksauttaa 4 kerrosta per laukaus.
StrikerJones Level 18 Description,Kaikki Pommittajat ja Mörssäriapinat ampuvat vielä 10 % nopeammin.
StrikerJones Level 19 Description,Lisää hyökkäyskantamaa ja tekee kaikista mustista blooneista haavoittuvaisia räjähdysvahingolle.
StrikerJones Level 20 Description,Tykistön komento antaa myös tuplavahingon ja -poksautukset kaikille Pommittajien ja Mörssäriapinoiden laukauksille 10 sekunniksi.
,
CaptainChurchill Level 1 Description,Tankki ampuu lävistäviä pommeja jotka voivat räjähtää jopa 3 kertaa.
CaptainChurchill Level 2 Description,Suurempi poksautusvoima laukausta kohti.
CaptainChurchill Level 3 Description,Panssaroinnin lävistävät kranaatit: Laukaukset voivat poksauttaa mustat bloonit ja tekevät lisävahinkoa keraamisille. Kesto lisääntyy Churchillin tasojen myötä.
CaptainChurchill Level 4 Description,Suurempi hyökkäysalue.
CaptainChurchill Level 5 Description,Lisää nopeasti ampuvan konekiväärin tankkiin.
CaptainChurchill Level 6 Description,Kiikarien avulla Churchill voi poksauttaa maastokuvioituja blooneja.
CaptainChurchill Level 7 Description,Kranaatit tekevät enemmän vahinkoa ja voivat räjähtää 4 kertaa kolmen sijasta.
CaptainChurchill Level 8 Description,Suurempi hyökkäysnopeus.
CaptainChurchill Level 9 Description,Kranaatit voivat räjähtää 5 kertaa.
CaptainChurchill Level 10 Description,MOAB-tulitus: aloittaa kranaattitulituksen jopa 10:een näytöllä olevaan MOAB-luokan blooniin tehden uskomatonta vahinkoa joka kerta.
CaptainChurchill Level 11 Description,Suurempi poksautusteho kranaattia kohti.
CaptainChurchill Level 12 Description,Kranaatit tekevät vielä enemmän vahinkoa ja voivat räjähtää 6 kertaa.
CaptainChurchill Level 13 Description,Panssaroinnin lävistävät kranaatit poksauttavat 2 bloonikerrosta ja tehden lisävahinkoa keraamisille ja kestävämmille blooneille.
CaptainChurchill Level 14 Description,Konekivääri ja päätykki poksauttavat 1 lisäkerroksen per laukaus.
CaptainChurchill Level 15 Description,Kaikki hyökkäykset tekevät lisävahinkoa vahvistettuja blooneja vastaan.
CaptainChurchill Level 16 Description,Suurempi hyökkäysnopeus.
CaptainChurchill Level 17 Description,Panssaroinnin lävistävät ammukset tekevät entistä enemmän vahinkoa.
CaptainChurchill Level 18 Description,Kaikki ammukset poksauttavat blooneista ylimääräisen kerroksen.
CaptainChurchill Level 19 Description,Kranaatit voivat räjähtää 7 kertaa.
CaptainChurchill Level 20 Description,MOAB-tulitus ja päätykki tekevät massiivisesti enemmän vahinkoa jokaisella osumalla.
,
Gwendolin Level 1 Description,Ampuu blooneja pyroaseen tulella.
Gwendolin Level 2 Description,Jonkin verran suurempi poksautusteho per laukaus.
Gwendolin Level 3 Description,"Tulicocktail: viskaisee pullollisen syttyvää nestettä ja polttaa bloonit, jotka kulkevat tulen läpi."
Gwendolin Level 4 Description,"Pökköä pesään: luo aina muutaman sekunnin välein voimakkaan tulisen räjähdysaallon, joka poksauttaa blooneja ja lisää tulta lähellä olevien apinoiden hyökkäyksiin."
Gwendolin Level 5 Description,"Suurempi poksautusteho. 10 % suurempi hyökkäysnopeus ja -säde tulikehälle, signaalisoihdulle ja lohikäärmeen henkäykselle."
Gwendolin Level 6 Description,Hyökkäykset sytyttävät kohdebloonit palamaan.
Gwendolin Level 7 Description,"Pökköä pesään toimii suuremmalla kantamalla, Tulicocktail on tehokkaampi."
Gwendolin Level 8 Description,Ampuu 2 tulitusräjähdystä laukauksessa.
Gwendolin Level 9 Description,Kunkin räjähdyksen ensimmäinen osuma poksauttaa 1 ylimääräisen kerroksen.
Gwendolin Level 10 Description,"Tulimyrsky: Sytyttää koko näytön, polttaa kaikkia blooneja ja antaa Pökköä pesään -tehosteen kaikille apinoille."
Gwendolin Level 11 Description,Suurempi hyökkäysalue.
Gwendolin Level 12 Description,Suurempi hyökkäysnopeus.
Gwendolin Level 13 Description,"Merkittävästi suurempi poksautusvoima, ja lisäksi ammukset liikkuvat nopeammin ja kestävät pidempään."
Gwendolin Level 14 Description,Tulicocktail tekee enemmän vahinkoa ja sytyttää MOAB-luokan bloonit tuleen.
Gwendolin Level 15 Description,Suurempi hyökkäysnopeus.
Gwendolin Level 16 Description,Tulimyrsky kestää kauemmin ja tekee enemmän vahinkoa. Purppuranpunaiset bloonit eivät ole enää immuuneja Gwendolinin hyökkäyksille.
Gwendolin Level 17 Description,Pökköä pesään -kyvyn alaiset apinat poksauttavat 1 ylimääräisen kerroksen ja tekevät +2 vahinkoa lyijyblooneille.
Gwendolin Level 18 Description,"Suurempi hyökkäysnopeus. 20 % suurempi hyökkäysnopeus ja -säde tulikehälle, signaalisoihdulle ja lohikäärmeen henkäykselle."
Gwendolin Level 19 Description,Ampuu 3 tuliräjähdystä per laukaus.
Gwendolin Level 20 Description,Tulimyrsky tekee valtavasti enemmän vahinkoa.
,
Benjamin Level 1 Description,Hakkeroi 100 $ jokaisella kierroksella.
Benjamin Level 2 Description,Tuottaa 150 $ kierrosta kohti 100 $:n sijaan.
Benjamin Level 3 Description,Biohakkerointi: 4 lähintä apinaa poksauttaa ylimääräisen kerroksen hyökkäystä kohti 6 sekunnin ajan. Vaikutuksen alaiset apinat eivät voi hyökätä 2 sekuntiin vaikutuksen päätyttyä.
Benjamin Level 4 Description,Skimmaus: tuottaa 1 $:n enemmän jokaista uutta syntynyttä bloonia kohti.
Benjamin Level 5 Description,Pankin hakkerointi: kaikki pankit saavat tuloa 5 % enemmän.
Benjamin Level 6 Description,Kyberturvallisuus: palauttaa 5 elämää kunkin kierroksen lopussa.
Benjamin Level 7 Description,"Bloonitroijalainen: aina muutaman sekunnin välein lähettää troijalaisen ohjelmistoviruksen satunnaiselle bloonille. Vaikutuksen alaiset bloonit eivät tuota jälkeläisiä, kun ne tuhotaan, ja niistä saa 1 ylimääräisen rahan kerrosta kohden."
Benjamin Level 8 Description,Tulot nousevat 250 $:iin kierrosta kohti.
Benjamin Level 9 Description,Pankin hakkerointi kasvaa 12 %:iin asti
Benjamin Level 10 Description,Rahoituksen kanavointi: Heikentää useimmpia uusia syntyneitä blooneja 1 tason verran ja antaa niistä tuplasti käteistä poksautusta kohti. Kestää 10 sekuntia.
Benjamin Level 11 Description,Tulot nousevat 300 $:iin kierrosta kohti.
Benjamin Level 12 Description,Skimmaus kasvaa 2 $:iin bloonia kohti.
Benjamin Level 13 Description,Biohakkerointi lisää bonusvahinkoa ja vaikuttaa 6 apinaan 8 sekunnin ajan.
Benjamin Level 14 Description,Kyberturvallisuus lisää 10 elämää kierrosta kohti ja voi ylittää alun elämämäärän jopa 100:lla.
Benjamin Level 15 Description,Tulot nousevat 500 $:iin kierrosta kohti.
Benjamin Level 16 Description,"Bloonitroijalainen lähetetään useammin, ja se ansaitsee enemmän käteistä."
Benjamin Level 17 Description,Tulot kasvavat 800 $:iin kierrosta kohti.
Benjamin Level 18 Description,Bloonitroijalainen voi vaikuttaa BFB- ja DDT-blooneihin.
Benjamin Level 19 Description,Biohakkerointi kestää 9 sekuntia ja apinat voivat poksauttaa 3 ylimääräistä kerrosta 2 sijaan.
Benjamin Level 20 Description,Rahoituksen kanavointi kestää 20 sekuntia ja vaikutuksen alaisista blooneista saa kolminkertaisesti käteistä per poksautus.
,
PatFusty Level 1 Description,Pat läimäisee bloonit tantereeseen.
PatFusty Level 2 Description,Suurempi läimäyshyökkäyksen säde.
PatFusty Level 3 Description,Kutsuhuuto: Kaikki lähellä oleva apinat voivat poksauttaa 1 kerroksen enemmän hetken aikaa.
PatFusty Level 4 Description,Suurempi hyökkäysnopeus.
PatFusty Level 5 Description,"Tekee joskus voimakkaan läimäytyksen, joka työntää blooneja taaksepäin."
PatFusty Level 6 Description,Patin iskemät bloonit ovat pökerryksissä jonkin aikaa.
PatFusty Level 7 Description,Suurempi poksautusteho ja vahinko.
PatFusty Level 8 Description,Suurempi hyökkäysnopeus.
PatFusty Level 9 Description,Suurempi hyökkäysalue.
PatFusty Level 10 Description,"Suuri puristus: nappaa MOAB-, BFB-, ZOMG- tai DDT-bloonin (jos näkyvissä) ja murskaa sen kappaleiksi 5 sekunnissa."
PatFusty Level 11 Description,Hyökkäys poksauttaa enemmän kerroksia.
PatFusty Level 12 Description,Suurempi hyökkäysnopeus.
PatFusty Level 13 Description,Hyökkäys tyrmää bloonit pidemmäksi ajaksi ja voi tyrmätä MOAB-luokan bloonitkin hetkeksi.
PatFusty Level 14 Description,Kutsuhuuto kasvattaa kantaa ja kestoa ja lisää vahinkoa kutsuhuudon kuulleilla apinoilla.
PatFusty Level 15 Description,Läimäyshyökkäys voi vaikuttaa useampiin blooneihin.
PatFusty Level 16 Description,Suurempi hyökkäyksen kantama ja bonusvahinkoa keraamisille blooneille.
PatFusty Level 17 Description,Suurempi hyökkäysnopeus.
PatFusty Level 18 Description,Suurempi poksautusteho.
PatFusty Level 19 Description,Hyökkäys poksauttaa enemmän kerroksia.
PatFusty Level 20 Description,Suuri puristus voi napata useita suuria blooneja kerralla.
,
ObynGreenfoot Level 1 Description,Lähettää henkisusia bloonien kimppuun.
ObynGreenfoot Level 2 Description,Luonnon raivo: kaikki druidit alueella saavat +1 läpäisyyn.
ObynGreenfoot Level 3 Description,Okaat: luo radalle piikkipensaan
ObynGreenfoot Level 4 Description,"Luo 18 sekunnin välein toteemin, joka hidastaa kaikkia toteemin lähellä olevia blooneja 30 %. Ei niin tehokas MOAB-luokan blooneja vastaan."
ObynGreenfoot Level 5 Description,Suurempi hyökkäysnopeus. Viidakon druideilla on suurempi kantama.
ObynGreenfoot Level 6 Description,Suurempi poksautusteho ja ammukset liikkuvat nopeammin.
ObynGreenfoot Level 7 Description,Okaat voivat poksauttaa 100 bloonia.
ObynGreenfoot Level 8 Description,Luonnontoteemit hidastavat blooneja 40 %.
ObynGreenfoot Level 9 Description,"Hyökkäys poksauttaa ylimääräisiä kerroksia. Myrskyn druideilla on käytössä suuremmat myrskyt, jotka tekevät enemmän vahinkoa MOABeille."
ObynGreenfoot Level 10 Description,"Puumuuri: Manaa esiin radan ylittävän puumuurin, joka tuhoaa kaikki saapuvat bloonit. Täytyttyään puut räjähtävät rahoiksi."
ObynGreenfoot Level 11 Description,"Luonnon selkeys: kaikki maagiset apinat alueella saavat +5 kantamaan ja +2 lävistykseen, ja druidit saavat ylimääräisen +1 läpäisyyn."
ObynGreenfoot Level 12 Description,"Nopeampi hyökkäysnopeus, ja maagisten apinoiden kykyjen palautumisaika on 5 % pienempi."
ObynGreenfoot Level 13 Description,Entistä suurempi poksautusteho ja ammusten nopeus.
ObynGreenfoot Level 14 Description,Hyökkäys poksauttaa ylimääräisiä kerroksia.
ObynGreenfoot Level 15 Description,Luonnontoteemi hidastaa blooneja 60 %:n verran ja sen palautumisaika on lyhyempi.
ObynGreenfoot Level 16 Description,Okaat voivat poksauttaa 500 bloonia kukin ja vahingoittavat kaikkia bloonityyppejä.
ObynGreenfoot Level 17 Description,Suurempi hyökkäysnopeus.
ObynGreenfoot Level 18 Description,Parannettu Raivo: kaikki Raivon druidit aloittavat kunkin kierroksen 200 poksautuksen teholla.
ObynGreenfoot Level 19 Description,Hyökkäys poksauttaa ylimääräisiä kerroksia.
ObynGreenfoot Level 20 Description,Puumuuri voi pidätellä paljon enemmän blooneja.
,
Ezili Level 1 Description,Ezili kiroaa blooneja pimeän voodoon voimalla.
Ezili Level 2 Description,Suurempi hyökkäysalue.
Ezili Level 3 Description,"Sydämenpysäytin: Hidastaa blooneja, mahdollistaa purppurabloonien vahingoittamisen ja estää uusiutumisen 10 sekunnin ajaksi."
Ezili Level 4 Description,Ezilin päähyökkäys kiroaa nyt useita blooneja.
Ezili Level 5 Description,Suurempi hyökkäysnopeus.
Ezili Level 6 Description,Vahinko ajan mittaan kestää pidempään ja vahingoittaa nopeammin.
Ezili Level 7 Description,"Uhritoteemi: Toteemi, joka antaa maastokuvioinnin tunnistuksen, lisälävistystä, hyökkäysten kantamaa, hyökkäysnopeutta ja ammusten nopeutta lähistön apinoille, etenkin velhoille. Kuluttaa 10 elämää."
Ezili Level 8 Description,Ezilin hyökkäys tekee paljon enemmän vahinkoa MOAB-luokan blooneille.
Ezili Level 9 Description,"Ezilin hyökkäykset poistavat muilta kuin MOAB-luokan blooneilta maastokuviointi-, regeneraatio- ja vahvistus-ominaisuudet."
Ezili Level 10 Description,"MOAB-kirous: asettaa kirouksen MOAB-luokan bloonille, joka ottaa vahinkoa joka sekunti kunnes tuhoutuu."
Ezili Level 11 Description,Suurempi hyökkäyksen kantama. Lisää epäkuolleiden bloonien läpäisyä 50 %.
Ezili Level 12 Description,Sydämenpysäyttimen lyhyempi palautumisaika ja pidempi kesto. Tekee enemmän vahinkoa MOABeille.
Ezili Level 13 Description,Perushyökkäyksellä on suurempi aluevahinkosäde ja tehokkaampi lävistys.
Ezili Level 14 Description,Nopeampi vahingoittuminen ajan mittaan.
Ezili Level 15 Description,Suurempi alue. Ajan mittaan tehty vahinko kestää pidempään.
Ezili Level 16 Description,Uhritoteemi kestää pidempään ja sen käyttö maksaa vain 1 elämän.
Ezili Level 17 Description,Perushyökkäyksellä on suurempi aluevahinkosäde ja tehokkaampi lävistys.
Ezili Level 18 Description,Suurempi hyökkäysnopeus.
Ezili Level 19 Description,Kukin perushyökkäyksen vahinkotikitys poksauttaa 3 kerrosta!
Ezili Level 20 Description,MOAB-kirous toimii nopeammin ja voi tuhota BAD-blooneja.
,
//Hero Ability Names,
Rapid Shot Ability,Pikalaukaus
Storm of Arrows Ability,Nuolimyrsky  
Concussive Shell Ability,Täräyttävä ammus
Artillery Command Ability,Tykistön komento
Armor Piercing Shells Ability,Panssaroinnin lävistävät kranaatit
MOAB Barrage Ability,MOAB-tulitus
Cocktail of Fire Ability,Tulicocktail
Firestorm Ability,Tulimyrsky
Biohack Ability,Biohakkerointi
Syphon Funding Ability,Rahoituksen kanavointi
Rallying Roar Ability,Kutsuhuuto
Big Squeeze Ability,Suuri puristus
Brambles Ability,Okaat
Wall of Trees Ability,Puumuuri
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,Kolminkertainen hyökkäysnopeus lyhyeksi ajaksi.
Storm of Arrows Ability Description,Peittää laajan alueen tappavaan nuolisateeseen.
Concussive Shell Ability Description,Ampuu ohjatun kranaatin näytön suurimpaan blooniin ja tyrmää sen.
Artillery Command Ability Description,Nollaa kaikkien Pommittajien ja Mörssäriapinoiden palautumisajat.
Armor Piercing Shells Ability Description,Laukaukset voivat poksauttaa mustat bloonit ja tekevät lisävahinkoa keraamisille. Kesto lisääntyy Churchillin tasojen myötä.
MOAB Barrage Ability Description,Tulittaa kranaateilla jopa 10:ntä näytöllä olevaa MOAB-luokan bloonia tehden uskomatonta vahinkoa joka kerta.
Cocktail of Fire Ability Description,"Viskaisee pullollisen syttyvää nestettä ja polttaa bloonit, jotka kulkevat tulen läpi."
Firestorm Ability Description,"Sytyttää koko näytön, polttaa kaikkia blooneja ja antaa Pökköä pesään -tehosteen kaikille apinoille."
Biohack Ability Description,4 lähintä apinaa poksauttaa ylimääräisen kerroksen hyökkäystä kohti 6 sekunnin ajan. Vaikutuksen alaiset apinat eivät voi hyökätä 2 sekuntiin vaikutuksen päätyttyä.
Syphon Funding Ability Description,Heikentää useimpia uusia syntyneitä blooneja 1 tason verran ja antaa niistä tuplasti käteistä poksautusta kohti. Kestää 10 sekuntia.
Rallying Roar Ability Description,Kaikki lähellä oleva apinat voivat poksauttaa 1 kerroksen enemmän hetken aikaa.
Big Squeeze Ability Description,"Nappaa MOAB-, BFB-, DDT- (jos näkyvissä) tai ZOMG-bloonin ja murskaa sen kappaleiksi 5 sekunnissa."
Brambles Ability Description,"Luo radalle piikkipensaita, jotka voivat poksauttaa 50 bloonia."
Wall of Trees Ability Description,"Manaa esiin radan ylittävän puumuurin, joka tuhoaa kaikki saapuvat bloonit. Täytyttyään puut räjähtävät rahoiksi."
Heartstopper Ability Description,Mahdollistaa purppurabloonien poksauttamisen ja estää uusiutumisen 10 sekunnin ajaksi.
Sacrificial Totem Ability Description,"Toteemi, joka antaa maastokuvioinnin tunnistuksen, lisälävistystä, hyökkäysten kantamaa, hyökkäysnopeutta ja ammusten nopeutta lähistön apinoille, etenkin velhoille. Kuluttaa 10 elämää."
MOAB Hex Ability Description,"Asettaa kirouksen MOAB-luokan bloonille, jolloin se ottaa vahinkoa joka sekunti tuhoutumiseensa asti."
,
//Hero Misc,
Level,Taso
,
//Upgrade Names,
Sharp Shots,Terävät ammukset
Quick Shots,Pika-ammukset
Long Range Darts,Pitkän matkan tikat
Razor Sharp Shots,Veitsenterävät ammukset
Very Quick Shots,Erittäin nopeat ammukset
Enhanced Eyesight,Parannettu näkö
Spike-o-pult,Piikkikatapultti
Triple Shot,Kolmoislaukaus
Crossbow,Varsijousi
Juggernaut,Juggernautti
Super Monkey Fan Club,Superapinan faniklubi
Sharp Shooter,Tarkka-ampuja
Ultra-Juggernaut,Ultra-Juggernautti
Plasma Monkey Fan Club,Plasma-apinan faniklubi
Crossbow Master,Varsijousimestari
,
Improved Rangs,Paremmat bumerangit
Faster Throwing,Nopeampi heitto
Long Range Rangs,Pitkän kantaman bumerangit
Glaives,Heittoterät
Faster Rangs,Nopeammat bumerangit
Red Hot Rangs,Hehkuvat bumerangit
Glaive Ricochet,Heittoterän kimmoke
Bionc Boomerang,Bioninen bumerangi
Kylie Boomerang,Kylie-bumerangi
M.O.A.R Glaives,M.O.A.R-heittoterät
Turbo Charge,Turbolataus
MOAB Press,MOAB-prässi
Glaive Lord,Heittoterän mestari
Perma Charge,Ikilataus
MOAB Domination,MOAB-dominointi
,
Bigger Bombs,Suuremmat pommit
Faster Reload,Nopeampi lataus
Extra Range,Lisäkantama
Heavy Bombs,Raskaat pommit
Missile Launcher,Ohjusalusta
Frag Bombs,Sirpalepommit
Really Big Bombs,Todella suuret pommit
MOAB Mauler,MOAB-raatelija
Cluster Bombs,Rypälepommit
Bloon Impact,Bloonityrmäys
MOAB Assassin,MOAB-salamurhaaja
Recursive Cluster,Rekursiivinen klusteri
Bloon Crush,Bloonimurskain
MOAB Eliminator,MOAB-eliminaattori
Bomb Blitz,Pommituskampanja
,
Faster Shooting,Nopeampi ampuminen
Long Range Tacks,Lisäkantama nastoille
More Tacks,Lisää nastoja
Even Faster Shooting,Vielä nopeampi ampuminen
Super Range Tacks,Superkantama nastoille
Even More Tacks,Vieläkin enemmän nastoja
Hot Shots,Polttavat paukut
Blade Shooter,Teräampuja
Tack Sprayer,Nastaruisku
Ring of Fire,Tulikehä
Blade Maelstrom,Terämyrsky
Overdrive,Ylivaihde
Inferno Ring,Hornakehä
Super Maelstrom,Supermyrsky
The Tack Zone,Nastavyöhyke
,
Permafrost,Ikirouta
Enhanced Freeze,Tehokkaampi jäädytys
