//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clicca
Gwendolin Level 11 Description,Portata di attacco aumentata.
Gwendolin Level 12 Description,Velocità d'attacco aumentata.
Gwendolin Level 13 Description,Molti più Bloon distrutti per colpo e i proiettili si muovono più velocemente e durano più a lungo.
Gwendolin Level 14 Description,Cocktail di fuoco infligge danni extra e incendia i Bloon di classe MOAB.
Gwendolin Level 15 Description,Velocità d'attacco aumentata.
Gwendolin Level 16 Description,Tempesta di fuoco ha una durata maggiore. I bloon viola non sono più immuni agli attacchi di Gwendolin.
Gwendolin Level 17 Description,Raffica ustionante consente alle scimmie sotto il suo effetto di far scoppiare 1 strato aggiuntivo e di infliggere +2 di danno ai bloon di piombo.
Gwendolin Level 18 Description,Velocità d'attacco aumentata.
Gwendolin Level 19 Description,Spara 3 raffiche di fuoco per colpo.
Gwendolin Level 20 Description,Tempesta di fuoco provoca danno elevatissimo.
,
Benjamin Level 1 Description,Incassa $100 a ogni round.
Benjamin Level 2 Description,Genera 150 $ per round anziché 100 $.
Benjamin Level 3 Description,Hackeraggio: conferisce alle 4 scimmie più vicine la capacità di far scoppiare uno strato extra con ciascun attacco per 6 secondi. Le scimmie sotto il suo effetto una volta svanito non possono attaccare per 2 secondi.
Benjamin Level 4 Description,Trattenuta - +1 $ per ogni nuovo bloon generato.
Benjamin Level 5 Description,Attacco informatico - +5% di entrate per tutte le banche.
Benjamin Level 6 Description,Sicurezza informatica - Ripristina 5 vite al termine di ogni round.
Benjamin Level 7 Description,Virus informatico anti bloon - Invia ogni pochi secondi un virus informatico a un bloon a caso. I bloon infettati non ne generano altri quando vengono distrutti e producono 1 contante extra per ogni strato.
Benjamin Level 8 Description,Entrate aumentate di 250 $ per round.
Benjamin Level 9 Description,Attacco informatico aumentato dell' 12%.
Benjamin Level 10 Description,Dirottamento di fondi: degrada la maggior parte bloon appena generati di 1 livello. Il denaro ottenuto facendo scoppiare i bloon sotto il suo effetto si raddoppia. Dura 10 secondi.
Benjamin Level 11 Description,Entrate aumentate di 300 $ per round.
Benjamin Level 12 Description,Trattenuta aumentata di 2 $ per bloon.
Benjamin Level 13 Description,L'hackeraggio aumenta il danno bonus e ha effetto per 8 secondi su 6 scimmie.
Benjamin Level 14 Description,Sicurezza informatica aggiunge 10 vite per round fino a far superare le 100 vite iniziali.
Benjamin Level 15 Description,Entrate aumentate di 500 $ per round.
Benjamin Level 16 Description,Il Virus informatico anti bloon viene inviato più spesso e ottiene più denaro.
Benjamin Level 17 Description,Entrate aumentate di 800 $ per round.
Benjamin Level 18 Description,Il Virus informatico anti bloon ha effetto sui bloon BFB e DDT.
Benjamin Level 19 Description,Hackeraggio dura 9 secondi e le scimmie sotto il suo effetto sono in grado di far scoppiare 3 strati extra anziché 2.
Benjamin Level 20 Description,Dirottamento di fondi dura 20 secondi e il contante ottenuto dallo scoppio dei bloon viene triplicato.
,
PatFusty Level 1 Description,Pat è in grado di scaraventare i bloon al suolo.
PatFusty Level 2 Description,Raggio d'azione dell'attacco in salto aumentato.
PatFusty Level 3 Description,Ruggito di battaglia: tutte le scimmie vicine sono in grado di far esplodere 1 strato in più per un breve periodo.
PatFusty Level 4 Description,Velocità d'attacco aumentata.
PatFusty Level 5 Description,A volte assesta un potente ceffone che allontana i bloon dall'uscita.
PatFusty Level 6 Description,I bloon colpiti da Pat rimangono storditi per un breve lasso di tempo.
PatFusty Level 7 Description,Più bloon distrutti per colpo e più danni.
PatFusty Level 8 Description,Velocità d'attacco aumentata.
PatFusty Level 9 Description,Portata di attacco aumentata.
PatFusty Level 10 Description,"Gran spremuta: afferra un MOAB, un BFB, un DDT (se visibile) o un ZOMG e lo schiaccia riducendolo in pezzi in 5 secondi."
PatFusty Level 11 Description,L'attacco fa esplodere più strati.
PatFusty Level 12 Description,Velocità d'attacco aumentata.
PatFusty Level 13 Description,Gli attacchi lasciano i bloon storditi per più tempo e possono stordire molto brevemente i bloon classe MOAB.
PatFusty Level 14 Description,Aumentato il raggio e la durata di Ruggito di battaglia e aumentati i danni delle scimmie adunate.
PatFusty Level 15 Description,L'attacco ceffone colpisce più bloon.
PatFusty Level 16 Description,Aumentata la portata di attacco e i danni bonus ai Bloon classe ceramica.
PatFusty Level 17 Description,Velocità d'attacco aumentata.
PatFusty Level 18 Description,Più bloon distrutti per colpo.
PatFusty Level 19 Description,L'attacco fa esplodere più strati.
PatFusty Level 20 Description,Gran spremuta può afferrare più di un grosso Bloon alla volta.
,
ObynGreenfoot Level 1 Description,Evoca lupi spirito per attaccare i bloon.
ObynGreenfoot Level 2 Description,Ira della natura - I druidi a portata ottengono +1 perforazione.
ObynGreenfoot Level 3 Description,Crea sul tracciato un cespuglio di rovi capace di far scoppiare 50 bloon.
ObynGreenfoot Level 4 Description,Ogni 18 secondi crea un totem che rallenta del 30% tutti i bloon nelle sue vicinanze. Meno efficace nei confronti dei bloon classe MOAB.
ObynGreenfoot Level 5 Description,Velocità d'attacco aumentata.
ObynGreenfoot Level 6 Description,Più bloon distrutti per colpo e i proiettili si muovono più velocemente.
ObynGreenfoot Level 7 Description,I Cespugli di rovi sono in grado di far scoppiare 100 bloon.
ObynGreenfoot Level 8 Description,I totem Guardiano della natura rallentano i bloon del 40%.
ObynGreenfoot Level 9 Description,L'attacco fa scoppiare strati aggiuntivi.
ObynGreenfoot Level 10 Description,"Muraglia d'alberi: crea una muraglia di alberi che si estende da un capo all'altro del tracciato e che è in grado di distruggere tutti i bloon in entrata. Una volta pieni, gli alberi esplodono tramutandosi in denaro."
ObynGreenfoot Level 11 Description,Chiarezza della natura - Tutte le scimmie magiche a portata ottengono +5 portata e +2 perforazione e i druidi ottengono +1 perforazione extra.
ObynGreenfoot Level 12 Description,Velocità d'attacco aumentata.
ObynGreenfoot Level 13 Description,Ancora più bloon distrutti per colpo e velocità dei ancora maggiore proiettili.
ObynGreenfoot Level 14 Description,L'attacco fa scoppiare strati aggiuntivi.
ObynGreenfoot Level 15 Description,Il Guardiano della natura rallenta del 60% i bloon e ha un tempo di ricarica ridotto.
ObynGreenfoot Level 16 Description,I Cespuglio di rovi faranno scoppiare 500 Bloon a testa e possono danneggiare ogni tipo di Bloon.
ObynGreenfoot Level 17 Description,Velocità d'attacco aumentata.
ObynGreenfoot Level 18 Description,"Ira potenziata - Tutti i druidi dell'ira, a inizio round, sono in grado far scoppiare 200 bloon."
ObynGreenfoot Level 19 Description,L'attacco fa scoppiare strati aggiuntivi.
ObynGreenfoot Level 20 Description,La Muraglia d'alberi è in grado di trattenere molti più bloon.
,
Ezili Level 1 Description,Ezili è in grado di maledire i bloon grazie ai suoi oscuri poteri vudù.
Ezili Level 2 Description,Portata di attacco aumentata.
Ezili Level 3 Description,Cuore in gola: impedisce la rigenerazione per 6 secondi.
Ezili Level 4 Description,L'attacco principale di Ezili ora maledice più bloon.
Ezili Level 5 Description,Velocità d'attacco aumentata.
Ezili Level 6 Description,Il danno a tempo ha una durata maggiore e infligge danni più rapidamente.
Ezili Level 7 Description,"Totem sacrificale: un totem che fornisce alle scimmie vicine rilevamento mimetizzazione, penetrazione extra, portata di attacco, velocità di attacco e velocità proiettile. Consuma 10 vite."
Ezili Level 8 Description,Gli attacchi di Ezili provocano molti più danni ai bloon classe MOAB. 
Ezili Level 9 Description,"Gli attacchi di Ezili sono in grado di privare i bloon (tranne quelli di classe MOAB) delle proprietà mimetizzazione, rigenerazione e fortificazione."
Ezili Level 10 Description,Anatema MOAB: lancia una maledizione contro un bloon classe MOAB che subisce danno ogni secondo fino al completo annientamento.
Ezili Level 11 Description,Portata di attacco aumentata. Aumenta la perforazione dei bloon rianimati del 50%.
Ezili Level 12 Description,Tempo di ricarica ridotto e durata prolungata per Cuore in gola.
Ezili Level 13 Description,Gli attacchi base di tipo radiale hanno un raggio d'azione più ampio e una penetrazione maggiore.
Ezili Level 14 Description,Danno a tempo accelerato.
Ezili Level 15 Description,Portata aumentata.
Ezili Level 16 Description,Il Totem sacrificale dura più a lungo e il suo utilizzo costa solo 1 vita.
Ezili Level 17 Description,Gli attacchi base di tipo radiale hanno un raggio d'azione più ampio e una penetrazione maggiore.
Ezili Level 18 Description,Velocità d'attacco aumentata.
Ezili Level 19 Description,Ogni danno minimo inferto dagli attacchi base provoca lo scoppio di 3 strati!
Ezili Level 20 Description,L'anatema MOAB funziona più velocemente ed è in grado di distruggere bloon di classe BAD.
,
//Hero Ability Names,
Rapid Shot Ability,Colpo rapido
Storm of Arrows Ability,Tempesta di frecce 
Concussive Shell Ability,Granata concussiva
Artillery Command Ability,Comando artiglieria
Armor Piercing Shells Ability,Granate perforanti
MOAB Barrage Ability,Sbarramento MOAB
Cocktail of Fire Ability,Cocktail di fuoco
Firestorm Ability,Tempesta di fuoco
Biohack Ability,Hackeraggio
Syphon Funding Ability,Dirottamento di fondi
Rallying Roar Ability,Ruggito di battaglia
Big Squeeze Ability,Stritolamento
Brambles Ability,Cespuglio di rovi
Wall of Trees Ability,Muraglia d'alberi
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,Velocità d'attacco tripla per un breve lasso di tempo.
Storm of Arrows Ability Description,Copre un'ampia area con una pioggia letale di frecce.
Concussive Shell Ability Description,Spara una granata teleguidata verso il bloon più grande sullo schermo e lo stordisce.
Artillery Command Ability Description,Azzera il tempo di ricarica di tutti gli Spara bombe e delle Scimmie mortaio.
Armor Piercing Shells Ability Description,I colpi sono in grado di far scoppiare bloon neri e di provocare danno extra a quelli di ceramica. La durata aumenta man mano che Churchill sale di livello.
MOAB Barrage Ability Description,Lancia uno sbarramento di granate contro un massimo di 10 bloon classe MOAB sullo schermo provocando ogni volta gravissimi danni.
Cocktail of Fire Ability Description,Scaglia un flacone di liquido infiammabile. Tale liquido fa incenerire i bloon che passano attraverso il fuoco.
Firestorm Ability Description,"Incendia l'intero schermo, bruciando tutti i Bloon e garantendo a tutte le scimmie il potenziamento Raffica ustionante."
Biohack Ability Description,Conferisce alle 4 scimmie più vicine la capacità di far scoppiare uno strato extra con ciascun attacco per 6 secondi. Le scimmie sotto il suo effetto una volta svanito non possono attaccare per 2 secondi.
Syphon Funding Ability Description,Degrada tutti i bloon appena generati di 1 livello. Il denaro ottenuto facendo scoppiare i bloon sotto il suo effetto si raddoppia. Dura 10 secondi.
Rallying Roar Ability Description,Tutte le scimmie vicine sono in grado di far esplodere 1 strato in più per un breve periodo.
Big Squeeze Ability Description,"Afferra un MOAB, un BFB, un DDT (se visibile) o un ZOMG e lo fa a pezzi in 5 secondi."
Brambles Ability Description,Crea sul tracciato un cespuglio di rovi capace di far scoppiare 50 bloon.
Wall of Trees Ability Description,Evoca una muraglia di alberi che si estende da un capo all'altro del tracciato e che è in grado di distruggere tutti i bloon in entrata. Una volta pieni gli alberi esplodono tramutandosi in denaro. 
Heartstopper Ability Description,Impedisce ai bloon di rigenerarsi per 6 secondi.
Sacrificial Totem Ability Description,"Un totem che fornisce rilevamento mimetizzazione, potenza perforatrice extra, portata di attacco, velocità di attacco e velocità proiettile alle scimmie vicine. Consuma 10 vite."
MOAB Hex Ability Description,Scaglia una maledizione contro un bloon di classe MOAB che subisce danno ogni secondo fino al suo annientamento.
,
//Hero Misc,
Level,Livello
,
//Upgrade Names,
Sharp Shots,Colpi acuminati
Quick Shots,Colpi rapidi
Long Range Darts,Freccette a lungo raggio
Razor Sharp Shots,Colpi affilati
Very Quick Shots,Colpi rapidissimi
Enhanced Eyesight,Vista avanzata
Spike-o-pult,Catapulta
Triple Shot,Colpo triplo
Crossbow,Balestra
Juggernaut,Inarrestabile
Super Monkey Fan Club,Fan club della super scimmia
Sharp Shooter,Tiratore scelto
Ultra-Juggernaut,Ultra inarrestabile
Plasma Monkey Fan Club,Fan club della scimmia al plasma
Crossbow Master,Maestro della balestra
,
Improved Rangs,Boomerang migliorati
Faster Throwing,Lancio accelerato
Long Range Rangs,Boomerang a lungo raggio
Glaives,Falcioni
Faster Rangs,Boomerang accelerati
Red Hot Rangs,Boomerang fiammeggianti
Glaive Ricochet,Glaive con rimbalzo
Bionc Boomerang,Boomerang bionico
Kylie Boomerang,Boomerang Kylie
M.O.A.R Glaives,Falcione M.O.A.R
Turbo Charge,Carica turbo
MOAB Press,Pressa MOAB
Glaive Lord,Signore del glaive
Perma Charge,Carica permanente
MOAB Domination,Dominazione MOAB
,
Bigger Bombs,Bombe più grandi
Faster Reload,Caricamento accelerato
Extra Range,Portata extra
Heavy Bombs,Bombe pesanti
Missile Launcher,Lancia missili
Frag Bombs,Bombe a frammentazione
Really Big Bombs,Bombe enormi
MOAB Mauler,Demolitore MOAB
Cluster Bombs,Bombe a grappolo
Bloon Impact,Impatto bloon
MOAB Assassin,Assassino MOAB
Recursive Cluster,Bombardamento ripetuto
Bloon Crush,Frantuma-bloon
MOAB Eliminator,Eliminatore MOAB
Bomb Blitz,Incursione dinamitarda
,
Faster Shooting,Fuoco accelerato
Long Range Tacks,Puntine a lungo raggio
More Tacks,Puntine come piovesse
Even Faster Shooting,Fuoco super accelerato
Super Range Tacks,Puntine con portata super
Even More Tacks,Puntine a iosa
Hot Shots,Colpi infuocati
Blade Shooter,Spara lame
Tack Sprayer,Lancia puntine
Ring of Fire,Anello di fuoco
Blade Maelstrom,Vortice di lame
Overdrive,Overdrive
Inferno Ring,Anello infernale
Super Maelstrom,Super vortice
The Tack Zone,La zona puntine
,
Permafrost,Permafrost
Enhanced Freeze,Gelo potenziato
Larger Radius,Raggio maxi
Metal Freeze,Gelata
Deep Freeze,Gelo profondo
Re-Freeze,Ricongelamento
Ice Shards,Schegge di ghiaccio
Arctic Wind,Vento artico
Cryo Cannon,Cannone criogeno
Embrittlement,Fragilizzazione
Snowstorm,Tempesta di neve
Icicles,Ghiaccioli
Super Brittle,Super fragile
Absolute Zero,Zero assoluto
Icicle Impale,Ghiacciolo impalatore
,
Glue Soak,Bagno di colla
Bigger Globs,Grumi di colla maxi
Stickier Glue,Colla super appiccicosa
Corrosive Glue,Colla corrosiva
Glue Splatter,Getto di colla
Stronger Glue,Colla super
Bloon Dissolver,Dissolvi bloon
Glue Hose,Tubo spara colla
MOAB Glue,Colla MOAB
Bloon Liquefier,Sciogli bloon
Glue Strike,Spargi colla
Relentless Glue,Colla implacabile
The Bloon Solver,Solvente per bloon
Glue Storm,Tempesta di colla
Super Glue,Super colla
,
Full Metal Jacket,Proiettile incamiciato
Night Vision Goggles,Occhiali per visione notturna
Fast Firing,Fuoco rapido
Large Calibre,Grande calibro
Shrapnel Shot,Colpo di schegge
Even Faster Firing,Fuoco super accelerato
Deadly Precision,Precisione letale
Bouncing Bullet,Proiettile rimbalzante
Semi-Automatic,Semiautomatico
Maim MOAB,Trancia MOAB
Supply Drop,Lancio scorte
Full Auto Rifle,Fucile completamente automatico
Cripple MOAB,MOAB azzoppato
Elite Sniper,Cecchino élite
Elite Defender,Difensore élite
,
Longer Range,Portata maggiore
Barbed Darts,Frec. spinate
Twin Guns,Pistole gemelle
Advanced Intel,Ampio raggio
Heat-tipped Darts,Freccette con punta rovente
Airburst Darts,Frec. esplosive
Submerge and Support,Immersione e supporto
Ballistic Missile,Missile balistico
Triple Guns,Pistole triple
Bloontonium Reactor,Reattore al bloontonio
First Strike Capability,Primo attacco
Armor Piercing Darts,Freccette perforanti
Energizer,Energizzante
Pre-emptive Strike,Attacco preventivo
Sub Commander,Comandante del sommergibile
,
Buccaneer-Faster Shooting,Fuoco accelerato
Buccaneer-Grape Shot,Colpo d'uva
Buccaneer-Long Range,Lungo raggio
Buccaneer-Double Shot,Colpo doppio
Buccaneer-Hot Shot,Colpo infuocato
Buccaneer-Crow's Nest,Nido del corvo
Buccaneer-Destroyer,Distruttore
Buccaneer-Cannon Ship,Nave cannoniera
Buccaneer-Merchantman,Mercantile
Buccaneer-Aircraft Carrier,Portaerei
Buccaneer-Monkey Pirates,Scimmie pirata
Buccaneer-Favored Trades,Traffici favoriti
Buccaneer-Carrier Flagship,Nave ammiraglia
Buccaneer-Pirate Lord,Signore dei pirati
Buccaneer-Trade Empire,Impero commerciale
,
Rapid Fire,Fuoco rapido
Exploding Pineapple,Ananas esplosivo
Sharper Darts,Freccette affilate
Lots More Darts,Molte più freccette
Spy Plane,Aereo spia
Centered Path,Sentiero centrato
Fighter Plane,Aereo da combattimento
